,NetIncome,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,2.944B,,,,,852.00M,852.00M,-75.00M,15.00M,125.00M,-243.00M,,,,-1.445B,,2.173B,-1.516B,,,-586.00M,1.00M,-54.00M,-2.155B,-28.00M,-2.278B,-2.306B,,0.00,0.00,-1.545B,-1.545B,28.00M,-28.00M,-3.851B,11.15B,-3.833B,87.00M,7.401B,,-26.00M,-2.00M,0.00
2020-06,3.01B,,,,,1.048B,1.048B,40.00M,20.00M,121.00M,-345.00M,,,,-527.00M,,3.367B,-668.00M,,,-321.00M,48.00M,59.00M,-882.00M,4.444B,-1.616B,2.828B,,0.00,0.00,-1.577B,-1.577B,14.00M,-128.00M,1.137B,7.46B,3.622B,65.00M,11.15B,,4.445B,-1.00M,0.00
2020-03,3.219B,,,,,821.00M,821.00M,82.00M,0.00,108.00M,143.00M,,,,-3.666B,,707.00M,-986.00M,,,-2.545B,1.767B,136.00M,-1.628B,-1.951B,3.583B,1.632B,,-1.281B,-1.281B,-1.551B,-1.551B,26.00M,-316.00M,-1.49B,9.934B,-2.411B,-63.00M,7.46B,,0.00,-1.951B,-1.281B
2019-12,2.363B,,,,,936.00M,936.00M,-170.00M,176.00M,111.00M,-24.00M,,,,1.402B,,4.794B,-1.137B,,,-25.00M,341.00M,58.00M,-763.00M,0.00,182.00M,182.00M,,-1.05B,-1.05B,-1.405B,-1.405B,17.00M,245.00M,-2.011B,7.871B,2.02B,43.00M,9.934B,,0.00,0.00,-1.05B
2019-09,1.908B,,,,,845.00M,845.00M,-237.00M,612.00M,102.00M,1.087B,,,,-91.00M,,4.226B,-959.00M,,,-1.039B,1.954B,235.00M,191.00M,0.00,-360.00M,-360.00M,,-1.405B,-1.405B,-1.394B,-1.394B,40.00M,-33.00M,-3.152B,6.66B,1.265B,-54.00M,7.871B,,0.00,0.00,-1.405B
2019-06,2.644B,,,,,973.00M,973.00M,-343.00M,148.00M,111.00M,-6.00M,,,,-443.00M,,3.084B,-782.00M,,,-3.89B,2.20B,47.00M,-2.425B,0.00,603.00M,603.00M,,-1.235B,-1.235B,-1.468B,-1.468B,131.00M,-115.00M,-2.084B,8.077B,-1.425B,8.00M,6.66B,,0.00,0.00,-1.235B
2019-03,2.862B,,,,,898.00M,898.00M,194.00M,104.00M,93.00M,120.00M,,,,-2.935B,,1.336B,-595.00M,,,0.00,925.00M,38.00M,368.00M,4.958B,-4.135B,823.00M,,-1.09B,-1.09B,-1.428B,-1.428B,173.00M,-92.00M,-1.614B,7.967B,90.00M,20.00M,8.077B,,4.958B,0.00,-1.09B
2018-12,1.778B,,,,,998.00M,998.00M,-118.00M,296.00M,87.00M,70.00M,,,,481.00M,,3.592B,-929.00M,,,-59.00M,2.914B,252.00M,2.178B,-1.28B,2.83B,1.55B,,-5.933B,-5.933B,-1.277B,-1.277B,130.00M,-36.00M,-5.566B,7.828B,204.00M,-65.00M,7.967B,,0.00,-1.28B,-5.933B
2018-09,1.958B,,,,,1.094B,1.094B,-133.00M,0.00,91.00M,543.00M,,,,-760.00M,,2.793B,-653.00M,,,0.00,2.189B,124.00M,1.66B,1.00M,225.00M,226.00M,,-996.00M,-996.00M,-1.285B,-1.285B,162.00M,-12.00M,-1.905B,5.312B,2.548B,-32.00M,7.828B,,0.00,1.00M,-996.00M
2018-06,1.716B,,,,,1.29B,1.29B,-228.00M,0.00,90.00M,315.00M,,,,199.00M,,3.382B,-583.00M,,,-372.00M,1.633B,-5.00M,673.00M,-2.005B,2.07B,65.00M,,-1.596B,-1.596B,-1.311B,-1.311B,69.00M,-194.00M,-2.967B,4.486B,1.088B,-262.00M,5.312B,,0.00,-2.005B,-1.596B
2018-03,741.00M,,,,,1.137B,1.137B,-30.00M,0.00,80.00M,700.00M,,,,-1.473B,,1.155B,-450.00M,,,,522.00M,-269.00M,-197.00M,-1.003B,-1.00M,-1.004B,,-566.00M,-566.00M,-1.299B,-1.299B,230.00M,-83.00M,-2.722B,6.096B,-1.764B,154.00M,4.486B,,0.00,-1.003B,-566.00M
2017-12,-1.038B,,,,,1.167B,1.167B,-2.02B,270.00M,80.00M,-29.00M,,,,242.00M,,4.019B,-715.00M,,,-49.00M,789.00M,-83.00M,-58.00M,-802.00M,-1.988B,-2.79B,,-1.702B,-1.702B,-1.283B,-1.283B,18.00M,-28.00M,-5.785B,7.901B,-1.824B,19.00M,6.096B,,,-802.00M,-1.702B
2017-09,-51.00M,,,,,1.154B,1.154B,-329.00M,245.00M,76.00M,656.00M,,,,-2.922B,,-1.171B,-441.00M,,,0.00,1.053B,59.00M,671.00M,0.00,1.986B,1.986B,,-159.00M,-159.00M,-1.283B,-1.283B,73.00M,-81.00M,536.00M,7.786B,36.00M,79.00M,7.901B,,,0.00,-159.00M
2017-06,1.951B,,,,,1.162B,1.162B,-218.00M,51.00M,82.00M,91.00M,,,,198.00M,,3.317B,-393.00M,,,-41.00M,-807.00M,114.00M,-1.127B,-1.00M,-3.808B,-3.809B,,-1.134B,-1.134B,-1.307B,-1.307B,95.00M,-63.00M,-6.218B,11.71B,-4.028B,106.00M,7.786B,,,-1.00M,-1.134B
2017-03,1.556B,,,,,1.193B,1.193B,-54.00M,80.00M,74.00M,-28.00M,,,,-2.535B,,286.00M,-339.00M,,,-306.00M,3.89B,-52.00M,3.193B,-300.00M,3.784B,3.484B,,-1.019B,-1.019B,-1.294B,-1.294B,313.00M,-23.00M,1.461B,6.515B,4.94B,253.00M,11.71B,,,-300.00M,-1.019B
2016-12,-587.00M,,,,,1.185B,1.185B,-1.456B,3.376B,75.00M,638.00M,,,,401.00M,,3.632B,-551.00M,,,-2.00M,-2.514B,504.00M,-2.563B,1.079B,-909.00M,170.00M,,-1.016B,-1.016B,-1.271B,-1.271B,149.00M,-9.00M,-1.977B,7.907B,-908.00M,-484.00M,6.515B,,,0.00,-1.016B
2016-09,2.189B,,,,,1.175B,1.175B,55.00M,5.00M,77.00M,34.00M,,,,-564.00M,,2.971B,-409.00M,,,-621.00M,183.00M,-43.00M,-890.00M,-35.00M,918.00M,883.00M,,-845.00M,-845.00M,-1.274B,-1.274B,409.00M,-8.00M,-835.00M,6.608B,1.246B,53.00M,7.907B,,,-35.00M,-845.00M
2016-06,1.209B,,,,,1.55B,1.55B,-50.00M,290.00M,80.00M,84.00M,,,,-1.563B,,1.60B,-375.00M,,,-10.00M,-1.22B,107.00M,-1.498B,-1.50B,-9.00M,-1.509B,,-660.00M,-660.00M,-1.30B,-1.30B,179.00M,-76.00M,-3.366B,9.716B,-3.264B,156.00M,6.608B,,,-1.50B,-660.00M
2016-03,1.13B,,,,,1.561B,1.561B,-70.00M,277.00M,68.00M,82.00M,,,,-875.00M,,2.173B,-279.00M,,,-147.00M,2.253B,-86.00M,1.741B,-851.00M,0.00,-851.00M,,-913.00M,-913.00M,-1.279B,-1.279B,202.00M,-25.00M,-2.866B,8.524B,1.048B,144.00M,9.716B,,,-851.00M,-913.00M
2015-12,982.00M,161.00M,38.00M,5.00M,204.00M,1.56B,1.56B,82.00M,82.00M,78.00M,739.00M,,,,519.00M,,4.246B,-493.00M,,,129.00M,-374.00M,121.00M,-617.00M,-1.00M,-14.00M,-15.00M,,-1.181B,-1.181B,-1.263B,-1.263B,51.00M,2.00M,-2.406B,7.548B,1.223B,-247.00M,8.524B,,0.00,-1.00M,-1.181B
2015-09,1.831B,0.00,5.00M,-63.00M,-58.00M,1.57B,1.57B,-463.00M,7.00M,75.00M,126.00M,,,,223.00M,,3.311B,-316.00M,,,16.00M,99.00M,140.00M,-61.00M,-2.00M,3.00M,1.00M,,-1.281B,-1.281B,-1.272B,-1.272B,57.00M,-44.00M,-2.539B,6.922B,711.00M,-85.00M,7.548B,,-2.00M,0.00,-1.281B
2015-06,688.00M,715.00M,4.00M,-2.00M,717.00M,1.608B,1.608B,-204.00M,59.00M,83.00M,138.00M,,,,-392.00M,,2.697B,-271.00M,,,25.00M,2.759B,12.00M,2.525B,-4.00M,-3.706B,-3.71B,,-709.00M,-709.00M,-1.302B,-1.302B,135.00M,-11.00M,-5.597B,7.98B,-375.00M,-683.00M,6.922B,,-1.00M,-3.00M,-709.00M
