,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2007-09,6.074B,6.074B,1.518B,4.556B,,1.951B,1.440B,,66.80M,,,,,3.392B,1.164B,,,,835.30M,,2.065B,539.10M,1.526B,,-30.60M,1.526B,1.476B,1.653B,488.70M,1.164B,0.7,0.0,0.6774,0.7,0.7,0.0,0.6774,0.7,2.179B,2.179B,0.38
2007-06,6.111B,6.111B,1.552B,4.559B,,2.084B,1.030B,,-10.00M,,,,,3.114B,1.445B,,,,749.10M,,2.232B,555.80M,1.676B,,-30.80M,1.676B,1.684B,1.945B,500.10M,1.445B,0.77,0.0,0.7734,0.77,0.77,0.0,0.7734,0.77,2.177B,2.177B,0.38
2007-03,5.769B,5.769B,1.526B,4.244B,,1.802B,1.03B,,141.50M,,,,,2.832B,1.412B,,,,794.10M,,2.254B,550.10M,1.704B,,-30.60M,1.704B,1.597B,1.912B,500.40M,1.412B,0.79,0.0,0.7404,0.79,0.78,0.0,0.731,0.78,2.157B,2.185B,0.38
2006-12,6.044B,6.044B,1.669B,4.375B,,2.346B,1.723B,,217.60M,,,,,4.069B,306.20M,,,,801.80M,,911.90M,438.00M,473.90M,,,473.90M,343.34M,849.20M,543.00M,306.20M,0.22,0.0,0.1598,0.22,0.22,0.0,0.1603,0.22,2.170B,2.185B,0.38
2006-09,5.410B,5.410B,1.544B,3.866B,,2.371B,945.40M,,8.50M,,,,,3.316B,550.30M,,,,603.90M,,1.231B,290.20M,940.60M,,-30.70M,940.60M,934.10M,1.114B,563.30M,550.30M,0.43,0.0,0.427,0.43,0.43,0.0,0.427,0.43,2.175B,2.186B,0.38
2006-06,5.700B,5.772B,1.445B,4.326B,,1.734B,1.172B,,11.00M,,,,,2.906B,1.42B,,,,693.80M,,2.108B,609.00M,1.499B,,-30.00M,1.499B,1.491B,1.959B,538.70M,1.42B,0.69,0.0,0.6864,0.69,0.69,0.0,0.6864,0.69,2.173B,2.173B,0.38
2006-03,5.410B,5.410B,1.343B,4.067B,,1.715B,942.00M,,3.30M,,,,,2.657B,1.410B,,,,506.70M,,1.970B,450.40M,1.52B,,-29.90M,1.52B,1.517B,2.034B,623.40M,1.410B,0.7,0.0,0.6988,0.7,0.69,0.0,0.6888,0.69,2.184B,2.190B,0.38
2005-12,5.766B,5.766B,1.479B,4.287B,,2.046B,1.112B,,-223.80M,,,,,3.158B,1.130B,,,,362.80M,,1.520B,400.20M,1.120B,,-30.20M,1.120B,1.285B,1.635B,505.90M,1.130B,0.51,0.0,0.5854,0.51,0.51,0.0,0.5853,0.51,2.185B,2.189B,0.38
2005-09,5.416B,5.416B,1.239B,4.177B,,1.741B,942.60M,,32.90M,,,,,2.684B,1.494B,,,,513.00M,,1.998B,577.50M,1.421B,,-30.90M,1.421B,1.398B,1.917B,423.10M,1.494B,0.65,0.0,0.6393,0.65,0.65,0.0,0.6394,0.65,2.194B,2.197B,0.38
2005-06,5.468B,5.468B,1.161B,4.307B,,1.755B,946.80M,,10.70M,,,,,2.702B,1.605B,,,,344.80M,,1.925B,1.204B,720.60M,,-30.30M,720.60M,714.18M,2.004B,399.30M,1.605B,0.33,0.0,0.3271,0.33,0.33,0.0,0.3271,0.33,2.202B,2.206B,0.38
2005-03,5.362B,5.362B,1.271B,4.091B,,1.606B,846.60M,,-13.20M,,,,,2.452B,1.639B,,,,303.10M,,1.921B,550.60M,1.370B,,-30.40M,1.370B,1.380B,2.018B,379.80M,1.639B,0.62,0.0,0.6243,0.62,0.62,0.0,0.6243,0.62,2.207B,2.210B,0.38
2004-12,5.782B,5.782B,1.290B,4.493B,,2.258B,1.109B,,23.20M,,,,,3.367B,1.126B,,,,309.10M,,1.408B,290.30M,1.118B,,-40.20M,1.118B,1.099B,1.525B,399.40M,1.126B,0.51,,0.5017,0.51,0.51,0.0,0.5017,0.51,2.214B,2.217B,0.38
2004-09,5.538B,5.538B,1.364B,4.174B,,1.753B,919.30M,,38.50M,,,,,2.672B,1.502B,,,,345.60M,,1.813B,487.40M,1.326B,,-37.60M,1.326B,1.297B,1.852B,350.80M,1.502B,0.6,0.0,0.5873,0.6,0.6,0.0,0.5874,0.6,2.218B,2.226B,0.38
2004-06,6.022B,6.022B,1.164B,4.858B,,1.616B,986.00M,,2.40M,,,,,2.602B,2.256B,,,,222.90M,,2.439B,670.70M,1.768B,,-36.80M,1.768B,1.766B,2.608B,352.30M,2.256B,0.8,0.0,0.7992,0.8,0.79,0.0,0.7892,0.79,2.221B,2.230B,0.37
2004-03,5.631B,5.631B,1.148B,4.483B,,1.611B,996.30M,,320.00M,,,,,2.608B,1.875B,,,,514.70M,,2.343B,724.30M,1.619B,,-39.60M,1.619B,1.398B,2.223B,348.20M,1.875B,0.73,0.0,0.6305,0.73,0.73,0.0,0.631,0.73,2.223B,2.232B,0.37
2003-12,5.627B,5.627B,1.227B,4.400B,,1.633B,906.30M,,-60.90M,,,,,2.539B,1.861B,,,,-54.90M,,1.761B,365.70M,1.395B,0.00,-37.20M,1.395B,1.443B,2.181B,320.60M,1.861B,0.65,-0.0021,0.6717,0.54,0.64,-0.0021,0.6616,0.54,2.225B,2.236B,0.37
2003-09,5.762B,5.762B,1.083B,4.679B,,1.464B,776.50M,,36.20M,,,,,2.240B,2.438B,,,,219.60M,,2.605B,739.80M,1.865B,-6.70M,-39.10M,1.858B,1.839B,2.765B,326.70M,2.438B,0.83,0.0,0.8184,0.83,0.83,0.0,0.8185,0.82,2.237B,2.254B,0.37
2003-06,5.525B,5.525B,988.50M,4.537B,,1.590B,786.40M,36.90M,211.70M,,,,,2.413B,2.124B,,,,399.10M,,2.470B,685.30M,1.784B,82.50M,-40.60M,1.867B,1.632B,2.464B,340.80M,2.124B,0.8,0.04,0.7318,0.83,0.79,0.04,0.7224,0.83,2.241B,2.261B,0.36
2003-03,5.571B,5.571B,1.080B,4.491B,,1.514B,810.70M,31.30M,43.10M,,,,,2.356B,2.135B,,,,140.40M,,2.216B,671.20M,1.545B,165.40M,-51.80M,1.710B,1.515B,2.462B,326.10M,2.135B,0.69,0.07,0.6766,0.76,0.68,0.07,0.6667,0.76,2.244B,2.262B,0.36
2002-12,6.058B,6.058B,1.128B,4.930B,,1.538B,838.80M,30.20M,-4.80M,,,,,2.407B,2.523B,,,,89.20M,,2.577B,762.70M,1.814B,75.90M,-44.50M,1.890B,1.817B,2.830B,307.60M,2.523B,0.81,0.04,0.8115,0.85,0.8,0.04,0.8015,0.84,2.247B,2.265B,0.36
2002-09,5.426B,5.426B,973.20M,4.453B,,1.408B,676.90M,29.90M,35.60M,,,,,2.114B,2.338B,,,,224.30M,,2.510B,743.00M,1.767B,116.70M,-59.10M,1.884B,1.742B,2.535B,196.40M,2.338B,0.79,0.05,0.7789,0.84,0.78,0.05,0.7689,0.83,2.250B,2.266B,0.36
2002-06,12.81B,12.81B,8.293B,4.517B,,1.478B,631.20M,51.00M,5.60M,,,,,2.16B,2.357B,,,,195.80M,,2.501B,750.30M,1.751B,,-59.90M,1.751B,1.747B,2.722B,365.10M,2.357B,0.77,0.0,0.7683,0.77,0.77,0.0,0.7683,0.77,2.263B,2.283B,0.35
2002-03,12.17B,12.17B,7.981B,4.189B,,1.465B,530.30M,51.40M,55.20M,,,,,2.046B,2.142B,,,,227.00M,,2.322B,696.50M,1.625B,,-50.70M,1.625B,1.586B,2.504B,362.10M,2.142B,0.72,0.0,0.703,0.72,0.71,0.0,0.6932,0.71,2.271B,2.295B,0.35
