,NetIncome,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",OtherNoncashItems,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2008-03,11.17B,,,3.104B,-659.00M,,7.803B,21.42B,-3.979B,,-3.979B,413.00M,-734.00M,,-4.30B,-11.00M,190.00M,179.00M,131.00M,-9.465B,-9.334B,-1.984B,-1.984B,-214.00M,-11.35B,33.98B,5.767B,1.165B,40.91B,131.00M,225.00M,-46.00M,-9.465B,4.849B,184.00M
2007-12,12.66B,-4.816B,-9.095B,3.155B,,-1.283B,-144.00M,11.34B,-4.56B,,-4.56B,1.782B,,6.655B,337.00M,,,419.00M,,-8.829B,-7.75B,,-1.903B,-173.00M,-9.407B,31.42B,2.265B,293.00M,33.98B,,,,-8.829B,,
2007-09,9.41B,845.00M,3.159B,3.159B,,1.649B,1.649B,15.06B,-3.935B,,-3.935B,749.00M,,-556.00M,-3.742B,,,-91.00M,,-7.572B,-7.572B,,-1.932B,-182.00M,-9.777B,28.96B,1.544B,920.00M,31.42B,,,,-7.572B,,
2007-06,10.26B,273.00M,2.994B,2.994B,,-2.209B,-2.209B,11.32B,-3.786B,,-3.786B,1.135B,,-434.00M,-3.085B,,,-61.00M,,-7.633B,-7.633B,,-1.961B,-224.00M,-9.656B,29.99B,-1.423B,388.00M,28.96B,,,,-7.633B,,
2007-03,9.28B,221.00M,2.942B,2.942B,,1.843B,1.843B,14.29B,-3.106B,,-3.106B,538.00M,,-670.00M,-3.238B,,,331.00M,,-7.788B,-7.788B,,-1.825B,,-9.505B,28.24B,1.543B,207.00M,29.99B,,,,-7.788B,,
2006-12,10.25B,,3.282B,3.282B,22.00M,-3.836B,-4.299B,8.862B,-4.161B,,-4.161B,752.00M,-2.604B,2.547B,-3.466B,,,-264.00M,,-9.179B,-8.006B,,-2.092B,286.00M,-10.08B,32.73B,-4.68B,190.00M,28.24B,,,,-9.179B,,
2006-09,10.49B,,2.73B,2.73B,-1.557B,2.834B,2.834B,14.50B,-3.715B,,-3.715B,2.328B,-1.45B,-1.151B,-3.988B,,,186.00M,,-7.985B,-7.985B,,-1.892B,-68.00M,-9.759B,32.11B,750.00M,-129.00M,32.73B,,,,-7.985B,,
2006-06,10.36B,,2.76B,2.76B,431.00M,-2.255B,-2.255B,11.30B,-3.856B,,-3.856B,,1.45B,-867.00M,-3.273B,,,206.00M,,-6.63B,-6.63B,,-1.926B,-23.00M,-8.373B,31.94B,-350.00M,518.00M,32.11B,,,,-6.63B,,
2006-03,8.40B,,2.644B,2.644B,330.00M,3.257B,3.257B,14.63B,-3.73B,,-3.73B,,,227.00M,-3.503B,,,-55.00M,,-5.764B,-5.764B,,-1.957B,-226.00M,-8.002B,28.67B,3.126B,148.00M,31.94B,,,,-5.764B,,
2005-12,10.71B,,2.671B,2.671B,-718.00M,-6.226B,-2.561B,10.39B,-3.899B,1.456B,-2.443B,,,-448.00M,-2.891B,,,-487.00M,,-6.236B,-5.295B,,-1.859B,-330.00M,-7.971B,29.24B,-472.00M,-97.00M,28.67B,,,,-6.236B,,
