,NetIncome,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",OtherNoncashItems,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,4.783B,,,4.47B,-1.085B,,351.00M,8.519B,-3.349B,,-3.349B,1.441B,-138.00M,187.00M,-1.859B,,-1.922B,-1.922B,,-427.00M,-427.00M,-3.291B,-3.291B,-102.00M,-5.742B,3.177B,918.00M,30.00M,4.125B,,1.95B,-3.872B,-427.00M,2.117B,
2017-12,8.409B,,,5.842B,1.517B,,-102.00M,7.411B,-4.501B,,-4.501B,1.408B,-3.557B,114.00M,-6.536B,0.00,1.789B,1.789B,,-232.00M,-232.00M,-3.289B,-3.289B,-105.00M,-1.837B,4.266B,-962.00M,-127.00M,3.177B,,2.181B,-392.00M,-232.00M,4.611B,965.00M
2017-09,4.085B,,,4.88B,-1.111B,,-319.00M,7.535B,-4.913B,,-4.913B,854.00M,-157.00M,1.661B,-2.555B,0.00,-1.589B,-1.589B,,-1.00M,-1.00M,-3.289B,-3.289B,-109.00M,-4.988B,4.042B,-8.00M,232.00M,4.266B,,0.00,-1.589B,-1.00M,-7.858B,-1.552B
2017-06,3.264B,,,4.652B,52.00M,,-1.021B,6.947B,-3.098B,,-3.098B,154.00M,-55.00M,121.00M,-2.878B,0.00,-1.681B,-1.681B,,-13.00M,-13.00M,-3.289B,-3.289B,-76.00M,-5.059B,4.897B,-990.00M,135.00M,4.042B,,1.00M,-1.682B,-13.00M,1.277B,219.00M
2017-03,4.09B,,,4.519B,-1.229B,,793.00M,8.173B,-2.89B,,-2.89B,687.00M,-1.738B,180.00M,-3.761B,60.00M,373.00M,433.00M,,-501.00M,-501.00M,-3.134B,-3.134B,-44.00M,-3.246B,3.657B,1.166B,74.00M,4.897B,,1.794B,-1.361B,-501.00M,1.97B,368.00M
2016-12,2.024B,,,8.117B,3.256B,,994.00M,7.396B,-3.887B,,-3.887B,2.093B,-19.00M,141.00M,-1.672B,102.00M,-3.425B,-3.323B,0.00,-250.00M,-250.00M,-3.133B,-3.133B,-40.00M,-6.746B,5.093B,-1.022B,-414.00M,3.657B,0.00,102.00M,-3.425B,-250.00M,3.049B,709.00M
2016-09,2.889B,,,4.605B,-1.478B,,-661.00M,5.355B,-3.404B,,-3.404B,976.00M,-1.087B,280.00M,-3.235B,0.00,1.875B,1.875B,-1.00M,0.00,-1.00M,-3.133B,-3.133B,-37.00M,-1.296B,4.358B,824.00M,-89.00M,5.093B,-1.00M,0.00,1.875B,0.00,-905.00M,-375.00M
2016-06,1.681B,,,4.821B,-657.00M,,-1.326B,4.519B,-4.271B,,-4.271B,1.029B,-77.00M,172.00M,-3.147B,1.00M,1.399B,1.40B,2.00M,-1.00M,1.00M,-3.133B,-3.133B,-43.00M,-1.775B,4.846B,-403.00M,-85.00M,4.358B,2.00M,1.00M,1.399B,-1.00M,-1.395B,-111.00M
2016-03,1.781B,,,4.765B,-1.335B,,-399.00M,4.812B,-4.601B,,-4.601B,177.00M,-234.00M,309.00M,-4.349B,11.96B,-7.622B,4.341B,5.00M,-726.00M,-721.00M,-3.054B,-3.054B,-42.00M,524.00M,3.705B,987.00M,154.00M,4.846B,5.00M,11.96B,-7.622B,-726.00M,-749.00M,-223.00M
2015-12,2.83B,,,4.755B,-153.00M,,-2.076B,4.38B,-6.136B,,-6.136B,785.00M,-195.00M,222.00M,-5.324B,-8.00M,4.265B,4.257B,5.00M,-754.00M,-749.00M,-3.054B,-3.054B,-41.00M,413.00M,4.296B,-531.00M,-60.00M,3.705B,5.00M,1.759B,2.498B,-754.00M,-5.594B,-459.00M
2015-09,4.384B,,,4.542B,-248.00M,,496.00M,9.174B,-6.401B,,-6.401B,491.00M,-49.00M,302.00M,-5.657B,23.00M,175.00M,198.00M,,-501.00M,-501.00M,-3.06B,-3.06B,-39.00M,-3.402B,4.343B,115.00M,-162.00M,4.296B,,28.00M,170.00M,-501.00M,9.666B,722.00M
2015-06,4.262B,,,4.451B,1.103B,,-1.024B,8.792B,-7.109B,,-7.109B,629.00M,-81.00M,70.00M,-6.491B,-3.00M,926.00M,923.00M,0.00,-1.003B,-1.003B,-3.066B,-3.066B,-48.00M,-3.194B,5.184B,-893.00M,52.00M,4.343B,0.00,0.00,923.00M,-1.003B,-5.298B,-433.00M
2015-03,5.075B,,,4.30B,-868.00M,,-509.00M,7.998B,-6.844B,,-6.844B,484.00M,-282.00M,290.00M,-6.352B,7.99B,-4.113B,3.877B,0.00,-1.781B,-1.781B,-2.91B,-2.91B,-40.00M,-854.00M,4.616B,792.00M,-224.00M,5.184B,0.00,8.00B,-4.123B,-1.781B,1.226B,170.00M
2014-12,6.782B,,,4.458B,688.00M,,-4.472B,7.415B,-8.884B,,-8.884B,241.00M,-362.00M,158.00M,-8.847B,159.00M,7.231B,7.39B,20.00M,-3.318B,-3.298B,-2.924B,-2.924B,29.00M,1.197B,4.962B,-235.00M,-111.00M,4.616B,20.00M,2.277B,5.113B,-3.318B,-14.34B,-295.00M
2014-09,8.346B,,,4.362B,151.00M,,-463.00M,12.40B,-8.198B,,-8.198B,127.00M,-591.00M,1.017B,-7.645B,3.00M,309.00M,312.00M,1.00M,-3.002B,-3.001B,-2.946B,-2.946B,-38.00M,-5.673B,6.083B,-922.00M,-199.00M,4.962B,1.00M,3.00M,309.00M,-3.002B,3.972B,121.00M
2014-06,9.117B,,,4.285B,-751.00M,,-2.449B,10.20B,-8.542B,,-8.542B,2.556B,-221.00M,2.03B,-4.177B,0.00,432.00M,432.00M,7.00M,-3.003B,-2.996B,-2.966B,-2.966B,-66.00M,-5.596B,5.601B,429.00M,53.00M,6.083B,7.00M,0.00,432.00M,-3.003B,6.221B,87.00M
2014-03,9.37B,,,4.192B,-911.00M,,2.452B,15.10B,-7.328B,,-7.328B,1.111B,-457.00M,368.00M,-6.306B,5.50B,-6.668B,-1.168B,2.00M,-3.86B,-3.858B,-2.732B,-2.732B,-58.00M,-7.816B,4.644B,981.00M,-24.00M,5.601B,2.00M,5.50B,-6.668B,-3.86B,4.145B,87.00M
2013-12,8.643B,,,4.38B,575.00M,,-2.044B,10.21B,-8.426B,,-8.426B,1.836B,-791.00M,669.00M,-6.712B,126.00M,1.789B,1.915B,4.00M,-3.302B,-3.298B,-2.75B,-2.75B,-45.00M,-4.178B,5.31B,-682.00M,16.00M,4.644B,4.00M,2.298B,-383.00M,-3.302B,-19.87B,-318.00M
2013-09,8.069B,,,4.287B,789.00M,,286.00M,13.43B,-9.098B,,-9.098B,206.00M,-180.00M,130.00M,-8.942B,4.00M,1.917B,1.921B,37.00M,-3.044B,-3.007B,-2.77B,-2.77B,-33.00M,-3.889B,4.609B,600.00M,101.00M,5.31B,37.00M,1.945B,-24.00M,-3.044B,34.53B,537.00M
2013-06,6.975B,,,4.405B,1.586B,,-5.283B,7.683B,-8.651B,,-8.651B,305.00M,-432.00M,285.00M,-8.493B,197.00M,5.979B,6.176B,7.00M,-4.031B,-4.024B,-2.794B,-2.794B,-73.00M,-715.00M,6.214B,-1.525B,-80.00M,4.609B,7.00M,6.538B,-362.00M,-4.031B,-7.44B,-114.00M
2013-03,9.761B,,,4.11B,-2.60B,,2.321B,13.59B,-7.494B,,-7.494B,360.00M,-3.032B,112.00M,-10.05B,5.00M,1.587B,1.592B,2.00M,-5.621B,-5.619B,-2.561B,-2.561B,-106.00M,-6.694B,9.582B,-3.156B,-212.00M,6.214B,2.00M,1.592B,,-5.621B,-7.22B,-105.00M
2012-12,10.30B,-2.797B,,4.11B,-684.00M,,-2.492B,13.22B,-10.06B,,-10.06B,805.00M,-189.00M,439.00M,-9.002B,266.00M,-250.00M,16.00M,9.00M,-5.254B,-5.245B,-2.592B,-2.592B,96.00M,-7.725B,13.06B,-3.503B,30.00M,9.582B,9.00M,1.356B,-1.34B,-5.254B,17.90B,387.00M
2012-09,9.926B,-584.00M,,4.037B,352.00M,,-289.00M,13.44B,-8.026B,,-8.026B,607.00M,-168.00M,95.00M,-7.492B,204.00M,-3.292B,-3.088B,98.00M,-5.098B,-5.00B,-2.622B,-2.622B,-150.00M,-10.86B,17.80B,-4.91B,163.00M,13.06B,98.00M,208.00M,-3.296B,-5.098B,-5.568B,-97.00M
2012-06,17.65B,-11.11B,,3.899B,2.157B,,-2.384B,10.22B,-8.345B,,-8.345B,3.73B,-130.00M,989.00M,-3.756B,254.00M,313.00M,567.00M,4.00M,-5.012B,-5.008B,-2.657B,-2.657B,-55.00M,-7.153B,18.67B,-692.00M,-176.00M,17.80B,4.00M,260.00M,307.00M,-5.012B,-6.911B,-191.00M
2012-03,9.799B,,,3.842B,-146.00M,,5.792B,19.29B,-7.843B,,-7.843B,2.513B,-111.00M,90.00M,-5.351B,124.00M,-527.00M,-403.00M,82.00M,-5.704B,-5.622B,-2.221B,-2.221B,116.00M,-8.13B,12.66B,5.806B,200.00M,18.67B,82.00M,129.00M,-532.00M,-5.704B,-5.416B,-99.00M
