,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,45.42B,45.42B,36.04B,9.389B,2.444B,,7.352B,279.00M,-279.00M,188.00M,9.984B,-595.00M,279.00M,-279.00M,502.00M,-279.00M,-372.00M,337.00M,-709.00M,,,29.00M,-680.00M,-680.00M,4.89B,4.983B,-93.00M,-0.15,,,,-0.15,-0.15,-0.15,,,,-0.15,-0.15,4.271B,4.271B,0.87
2020-06,32.28B,32.28B,25.88B,6.397B,2.409B,,5.154B,317.00M,-317.00M,214.00M,7.777B,-1.38B,317.00M,-317.00M,57.00M,-317.00M,-1.64B,-471.00M,-1.169B,,,89.00M,-1.08B,-1.08B,3.593B,4.916B,-1.323B,-0.26,,,,-0.26,-0.26,-0.26,,,,-0.26,-0.26,4.271B,4.271B,0.87
2020-03,55.13B,55.13B,46.20B,8.935B,2.579B,,6.832B,249.00M,-249.00M,288.00M,9.699B,-764.00M,249.00M,-249.00M,755.00M,-249.00M,-258.00M,512.00M,-770.00M,,,160.00M,-610.00M,-610.00M,5.81B,5.819B,-9.00M,-0.14,,,,-0.14,-0.14,-0.14,,,,-0.14,-0.14,4.27B,4.27B,0.87
2019-12,63.02B,63.02B,49.18B,13.85B,3.048B,,7.769B,201.00M,-201.00M,357.00M,11.17B,2.673B,201.00M,-201.00M,3.942B,-201.00M,6.414B,684.00M,5.73B,,,-40.00M,5.69B,5.69B,11.54B,4.923B,6.615B,1.33,,,,1.33,1.33,1.33,,,,1.33,1.33,4.27B,4.27B,0.87
2019-09,63.42B,63.42B,49.01B,14.41B,2.753B,,7.676B,232.00M,-232.00M,299.00M,10.73B,3.683B,232.00M,-232.00M,1.27B,-232.00M,4.721B,1.474B,3.247B,,,-77.00M,3.17B,3.17B,9.826B,4.873B,4.953B,0.75,,,,0.75,0.75,0.75,,,,0.75,0.75,4.271B,4.271B,0.87
2019-06,67.49B,67.49B,53.10B,14.40B,2.827B,,7.675B,216.00M,-216.00M,333.00M,10.84B,3.561B,216.00M,-216.00M,1.287B,-216.00M,4.632B,1.241B,3.391B,,,-261.00M,3.13B,3.13B,9.479B,4.631B,4.848B,0.73,,,,0.73,0.73,0.73,,,,0.73,0.73,4.271B,4.271B,0.87
2019-03,61.65B,61.65B,48.34B,13.30B,2.77B,,7.405B,181.00M,-181.00M,280.00M,10.46B,2.849B,181.00M,-181.00M,1.621B,-181.00M,4.289B,1.883B,2.406B,,,-56.00M,2.35B,2.35B,9.041B,4.571B,4.47B,0.55,,,,0.55,0.55,0.55,,,,0.55,0.55,4.27B,4.27B,0.82
2018-12,68.25B,68.25B,51.98B,16.27B,2.848B,,7.838B,215.00M,-215.00M,555.00M,11.24B,5.027B,215.00M,-215.00M,3.309B,-215.00M,8.121B,1.915B,6.206B,,,-206.00M,6.00B,6.00B,13.36B,5.028B,8.336B,1.41,,,,1.41,1.41,1.41,,,,1.41,1.41,4.267B,4.267B,0.82
2018-09,74.19B,74.19B,55.53B,18.66B,2.892B,,8.303B,200.00M,-200.00M,292.00M,11.49B,7.169B,200.00M,-200.00M,2.111B,-200.00M,9.08B,2.634B,6.446B,,,-206.00M,6.24B,6.24B,13.94B,4.658B,9.28B,1.46,,,,1.46,1.46,1.46,,,,1.46,1.46,4.271B,4.271B,0.82
2018-06,71.46B,71.46B,54.83B,16.62B,2.993B,,8.375B,147.00M,-147.00M,332.00M,11.70B,4.922B,147.00M,-147.00M,1.737B,-147.00M,6.512B,2.526B,3.986B,,,-36.00M,3.95B,3.95B,11.25B,4.589B,6.659B,0.92,,,,0.92,0.92,0.92,,,,0.92,0.92,4.271B,4.271B,0.82
2018-03,65.44B,65.44B,49.25B,16.19B,2.747B,,8.147B,204.00M,-204.00M,287.00M,11.18B,5.006B,204.00M,-204.00M,2.438B,-204.00M,7.24B,2.457B,4.783B,,,-133.00M,4.65B,4.65B,11.91B,4.47B,7.444B,1.09,,,,1.09,1.09,1.09,,,,1.09,1.09,4.27B,4.27B,0.77
2017-12,65.31B,65.31B,51.19B,14.13B,2.956B,,7.989B,186.00M,-186.00M,703.00M,11.65B,2.478B,186.00M,-186.00M,725.00M,-186.00M,3.017B,-5.392B,8.409B,,,-29.00M,8.38B,8.38B,9.045B,5.842B,3.203B,1.97,,,,1.97,1.97,1.97,,,,1.97,1.97,4.268B,4.268B,0.77
2017-09,59.35B,59.35B,44.26B,15.09B,2.632B,,7.751B,111.00M,-111.00M,284.00M,10.67B,4.419B,111.00M,-111.00M,1.275B,-111.00M,5.583B,1.498B,4.085B,,,-115.00M,3.97B,3.97B,10.57B,4.88B,5.694B,0.93,,,,0.93,0.93,0.93,,,,0.93,0.93,4.271B,4.271B,0.77
2017-06,56.03B,56.03B,42.91B,13.12B,2.556B,,7.368B,158.00M,-158.00M,514.00M,10.44B,2.682B,158.00M,-158.00M,1.632B,-158.00M,4.156B,892.00M,3.264B,,,86.00M,3.35B,3.35B,8.966B,4.652B,4.314B,0.78,,,,0.78,0.78,0.78,,,,0.78,0.78,4.271B,4.271B,0.77
