,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,8.832B,,8.832B,19.97B,,,19.97B,4.723B,13.16B,,17.88B,,,2.002B,48.69B,,,250.50B,,,43.61B,15.24B,309.35B,358.04B,33.34B,1.217B,,34.56B,,34.56B,,,,,21.91B,21.91B,,56.47B,46.89B,,46.89B,24.47B,24.47B,22.10B,7.212B,20.02B,116.96B,173.43B,16.00B,407.73B,,226.14B,,,,,,-20.19B,177.40B
2020-06,12.58B,,12.58B,19.04B,,,19.04B,4.629B,15.03B,,19.66B,,,1.747B,53.02B,,,250.52B,,,43.19B,14.76B,308.48B,361.50B,33.22B,1.102B,,34.32B,,34.32B,,,,,22.95B,22.95B,,57.27B,46.56B,,46.56B,24.72B,24.72B,22.34B,6.97B,19.61B,117.07B,174.34B,15.81B,412.12B,,226.14B,,,,,,-21.62B,180.18B
2020-03,11.41B,,11.41B,20.87B,,,20.87B,4.434B,12.07B,,16.50B,,,1.465B,50.25B,,,248.41B,,,42.98B,14.16B,305.56B,355.80B,35.82B,1.203B,,37.02B,,37.02B,,,,,27.76B,27.76B,,64.77B,31.86B,,31.86B,24.86B,24.86B,21.91B,6.664B,19.63B,102.29B,167.06B,15.64B,416.92B,,226.14B,,,,,,-24.34B,182.08B
2019-12,3.089B,,3.089B,21.10B,,5.866B,26.97B,4.518B,14.01B,,18.53B,,,1.469B,50.05B,486.70B,-233.68B,253.02B,,,43.16B,16.36B,312.54B,362.60B,24.69B,4.881B,7.011B,43.41B,,43.41B,,18.56B,316.00M,1.701B,20.58B,20.58B,,63.99B,24.67B,1.67B,26.34B,25.62B,25.62B,22.30B,7.288B,21.42B,99.67B,163.66B,15.64B,421.34B,,225.84B,,,,,,-19.49B,191.65B
2019-09,5.351B,,5.351B,25.31B,,,25.31B,4.459B,13.13B,,17.59B,,,1.759B,50.01B,,,250.51B,,,42.92B,15.92B,309.35B,359.36B,40.54B,2.458B,,43.00B,,43.00B,,,,,21.20B,21.20B,,64.20B,25.95B,,25.95B,26.51B,26.51B,19.36B,7.194B,22.00B,98.06B,162.25B,15.80B,419.37B,,225.97B,,,,,,-19.28B,189.92B
2019-06,4.213B,,4.213B,27.13B,,,27.13B,4.456B,14.38B,,18.84B,,,1.563B,51.74B,,,250.85B,,,42.53B,15.60B,308.99B,360.73B,41.48B,2.612B,,44.09B,,44.09B,,,,,26.20B,26.20B,,70.29B,19.00B,,19.00B,26.85B,26.85B,19.82B,7.088B,22.13B,91.98B,162.26B,15.64B,419.91B,,225.97B,,,,,,-18.20B,191.38B
2019-03,4.586B,,4.586B,27.10B,,,27.10B,4.353B,13.98B,,18.33B,,,1.553B,51.58B,,,248.56B,,,42.07B,13.98B,304.61B,356.19B,42.09B,2.748B,,44.84B,,44.84B,,,,,21.79B,21.79B,,66.63B,19.03B,,19.03B,27.29B,27.29B,20.05B,6.799B,20.74B,91.54B,158.17B,15.48B,420.50B,,225.97B,,,,,,-18.78B,191.22B
2018-12,3.042B,,3.042B,19.64B,,5.063B,24.70B,4.155B,14.80B,,18.96B,,,1.272B,47.97B,477.19B,-230.09B,247.10B,,,40.79B,10.33B,298.22B,346.20B,21.06B,5.892B,6.062B,39.88B,,39.88B,,12.86B,325.00M,4.07B,17.26B,17.26B,,57.14B,19.24B,1.303B,20.54B,27.24B,27.24B,20.27B,6.734B,18.09B,90.53B,147.67B,15.26B,421.65B,,225.55B,,,,,,-19.56B,191.79B
2018-09,5.669B,,5.669B,27.88B,,,27.88B,4.144B,14.62B,,18.76B,,,1.665B,53.98B,,,249.15B,,,40.43B,11.07B,300.65B,354.63B,41.71B,4.161B,,45.88B,,45.88B,,,,,19.41B,19.41B,,65.29B,20.62B,,20.62B,27.08B,27.08B,21.45B,6.466B,18.73B,92.51B,157.80B,15.25B,419.16B,,225.67B,,,,,,-18.37B,190.36B
2018-06,3.43B,,3.43B,26.99B,,,26.99B,4.11B,14.37B,,18.48B,,,1.649B,50.56B,,,248.21B,,,39.69B,10.34B,298.24B,348.79B,38.49B,3.457B,,41.95B,,41.95B,,,,,20.50B,20.50B,,62.45B,20.72B,,20.72B,26.78B,26.78B,21.50B,6.311B,19.23B,92.81B,155.26B,15.09B,416.42B,,225.67B,,,,,,-18.61B,187.22B
