,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2020-09,3.231B,3.231B,2.384B,846.21M,369.85M,0.00,65.96M,2.00M,-63.96M,369.85M,476.36M,2.00M,65.96M,-63.96M,3.00M,-63.96M,415.30M,93.58M,321.72M,,-0.308M,321.41M,321.41M,629.70M,148.44M,2020-09,2.50,,,2.50,2020-09,2.47,,,2.47,2020-09,128.71M,130.29M,2020-09,AOR,
2020-06,3.161B,3.161B,2.357B,803.28M,352.79M,,74.55M,,-43.55M,352.79M,450.49M,,74.55M,-43.55M,-36.49M,-43.55M,370.57M,74.87M,295.70M,,0.021M,295.72M,295.72M,591.70M,146.58M,2020-06,2.30,,,2.30,2020-06,2.27,,,2.27,2020-06,128.52M,129.63M,2020-06,AOR,
2020-03,3.702B,3.702B,2.767B,935.74M,413.46M,,80.76M,,-80.76M,413.46M,522.28M,,80.76M,-80.76M,12.64M,-80.76M,454.16M,86.79M,367.37M,,-0.116M,367.25M,367.25M,672.57M,137.65M,2020-03,2.86,,,2.86,2020-03,2.83,,,2.83,2020-03,128.29M,129.75M,2020-03,AOR,
2019-12,3.498B,3.498B,2.683B,815.21M,491.12M,,82.89M,,-82.89M,491.12M,324.09M,,82.89M,-82.89M,13.55M,-82.89M,254.75M,50.15M,204.60M,,-0.124M,204.47M,204.47M,481.87M,144.23M,2019-12,1.59,,,1.59,2019-12,1.57,,,1.57,2019-12,128.40M,130.50M,2019-12,AOR,
2019-09,3.335B,3.335B,2.480B,854.77M,399.18M,10.00M,69.96M,18.00M,-51.96M,399.18M,455.59M,18.00M,69.96M,-51.96M,30.00M,-51.96M,433.16M,94.12M,339.04M,,-0.143M,338.90M,331.07M,612.18M,109.07M,2019-09,2.64,,,2.579,2019-09,2.60,,,2.540,2019-09,128.46M,130.13M,2019-09,AOR,Restated
2019-06,3.681B,3.681B,2.740B,941.89M,391.49M,,50.07M,,-32.07M,391.49M,550.40M,,50.07M,-32.07M,-5.223M,-32.07M,513.35M,99.61M,413.74M,,-0.07M,413.67M,413.67M,668.81M,105.39M,2019-06,3.22,,,3.22,2019-06,3.17,,,3.17,2019-06,128.56M,129.63M,2019-06,AOR,Restated
2019-03,3.688B,3.688B,2.767B,920.77M,360.86M,,48.21M,,-48.21M,360.86M,559.91M,,48.21M,-48.21M,17.50M,-48.21M,529.20M,117.82M,411.38M,,-0.133M,411.25M,411.25M,685.67M,108.26M,2019-03,3.20,,,3.20,2019-03,3.14,,,3.14,2019-03,128.71M,130.88M,2019-03,AOR,Restated
2018-12,3.472B,3.472B,2.602B,869.71M,397.26M,,47.52M,,-47.52M,397.26M,472.45M,,47.52M,-47.52M,6.225M,-47.52M,431.15M,119.24M,311.91M,,-0.176M,311.74M,311.74M,588.72M,110.05M,2018-12,2.39,,,2.39,2018-12,2.36,,,2.36,2018-12,130.36M,132.31M,2018-12,AOR,Restated
2018-09,3.479B,3.479B,2.595B,884.47M,394.32M,,44.34M,,-44.34M,394.32M,490.15M,,44.34M,-44.34M,13.91M,-44.34M,459.72M,83.82M,375.90M,,-0.188M,375.71M,375.71M,616.55M,112.49M,2018-09,2.84,,,2.84,2018-09,2.79,,,2.79,2018-09,132.36M,134.66M,2018-09,AOR,Restated
2018-06,3.817B,3.817B,2.830B,987.28M,418.21M,,53.04M,,-53.04M,418.21M,569.07M,,53.04M,-53.04M,-18.10M,-53.04M,497.93M,144.60M,353.33M,,-0.072M,353.26M,353.26M,665.74M,114.77M,2018-06,2.66,,,2.66,2018-06,2.62,,,2.62,2018-06,132.70M,134.72M,2018-06,AOR,Restated
