,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,1.485B,,1.485B,1.382B,555.00M,1.937B,434.00M,375.00M,1.556B,1.745B,209.00M,,,5.376B,,,,,2.569B,2.569B,,2.569B,1.493B,516.00M,2.009B,59.00M,,155.00M,4.792B,10.17B,476.00M,197.00M,,673.00M,522.00M,1.195B,,,111.00M,111.00M,371.00M,371.00M,,31.00M,1.884B,1.824B,619.00M,2.443B,70.00M,70.00M,75.00M,231.00M,2.744B,4.628B,4.00M,-1.529B,8.567B,-16.00M,-1.554B,-7.00M,-1.577B,5.465B
2020-06,1.447B,,1.447B,1.502B,508.00M,2.01B,478.00M,334.00M,1.86B,1.929B,204.00M,,,5.59B,,,,,2.615B,2.615B,,2.615B,1.493B,525.00M,2.018B,66.00M,,158.00M,4.857B,10.45B,556.00M,169.00M,,725.00M,499.00M,1.224B,,,115.00M,115.00M,408.00M,408.00M,,49.00M,1.954B,2.029B,637.00M,2.666B,71.00M,71.00M,73.00M,223.00M,2.96B,4.914B,4.00M,-1.474B,8.543B,,,,-1.613B,5.46B
2020-03,1.115B,,1.115B,1.879B,639.00M,2.518B,531.00M,377.00M,1.983B,2.032B,237.00M,,,5.902B,,,,,2.613B,2.613B,,2.613B,1.515B,534.00M,2.049B,57.00M,,69.00M,4.788B,10.69B,662.00M,102.00M,,764.00M,541.00M,1.305B,,,115.00M,115.00M,470.00M,470.00M,,97.00M,2.163B,2.002B,646.00M,2.648B,69.00M,69.00M,68.00M,256.00M,2.973B,5.136B,4.00M,-1.381B,8.518B,,,,-1.655B,5.486B
2019-12,1.171B,,1.171B,1.855B,643.00M,2.498B,577.00M,364.00M,2.099B,2.197B,247.00M,,,6.113B,0.00,231.00M,1.309B,3.797B,674.00M,6.011B,-2.983B,3.028B,2.807B,852.00M,3.659B,282.00M,0.00,67.00M,7.036B,13.15B,715.00M,154.00M,,869.00M,543.00M,1.412B,,,114.00M,114.00M,427.00M,427.00M,,24.00M,2.247B,1.989B,674.00M,2.663B,140.00M,140.00M,68.00M,253.00M,3.056B,5.303B,4.00M,690.00M,8.507B,,,,-1.423B,7.778B
2019-09,1.313B,,1.313B,1.799B,615.00M,2.414B,676.00M,512.00M,2.396B,2.537B,251.00M,,,6.515B,,,,,3.034B,3.034B,,3.034B,3.236B,866.00M,4.102B,291.00M,0.00,63.00M,7.49B,14.00B,716.00M,110.00M,,826.00M,588.00M,1.414B,,,113.00M,113.00M,455.00M,455.00M,,38.00M,2.276B,2.484B,673.00M,3.157B,174.00M,174.00M,72.00M,269.00M,3.60B,5.876B,4.00M,1.094B,8.483B,,,,-1.524B,8.057B
2019-06,1.121B,,1.121B,1.973B,585.00M,2.558B,637.00M,522.00M,2.606B,2.858B,229.00M,,,6.766B,,,,,3.054B,3.054B,,3.054B,3.206B,900.00M,4.106B,294.00M,0.00,129.00M,7.583B,14.35B,695.00M,99.00M,,794.00M,578.00M,1.372B,,,116.00M,116.00M,455.00M,455.00M,,20.00M,2.221B,2.483B,696.00M,3.179B,177.00M,177.00M,76.00M,285.00M,3.641B,5.862B,4.00M,1.358B,8.441B,,,,-1.392B,8.411B
2019-03,1.27B,,1.27B,1.793B,539.00M,2.332B,627.00M,556.00M,1.948B,3.131B,205.00M,,,6.938B,,,,,3.394B,3.394B,,3.394B,6.292B,2.942B,9.234B,299.00M,11.00M,126.00M,13.06B,20.00B,679.00M,98.00M,,777.00M,586.00M,1.363B,,,115.00M,115.00M,412.00M,412.00M,,24.00M,2.103B,2.483B,728.00M,3.211B,565.00M,565.00M,75.00M,283.00M,4.059B,6.162B,4.00M,6.766B,8.408B,,,,-1.413B,13.76B
2018-12,1.427B,,1.427B,2.101B,565.00M,2.666B,614.00M,501.00M,2.515B,2.986B,200.00M,,,7.279B,0.00,227.00M,1.271B,3.737B,249.00M,5.484B,-2.687B,2.797B,6.264B,3.02B,9.284B,301.00M,11.00M,124.00M,12.52B,19.80B,722.00M,190.00M,,912.00M,610.00M,1.522B,,,7.00M,7.00M,458.00M,458.00M,,23.00M,2.341B,2.482B,222.00M,2.704B,564.00M,564.00M,70.00M,298.00M,3.566B,5.907B,4.00M,6.862B,8.39B,,,,-1.437B,13.82B
2018-09,1.293B,,1.293B,2.005B,483.00M,2.488B,627.00M,600.00M,1.95B,3.177B,263.00M,,,7.221B,,,,,,,,2.813B,6.339B,3.072B,9.411B,304.00M,13.00M,131.00M,12.67B,19.89B,675.00M,103.00M,,778.00M,626.00M,1.404B,8.00M,8.00M,,8.00M,570.00M,570.00M,,13.00M,2.276B,2.706B,,2.706B,672.00M,672.00M,70.00M,263.00M,3.641B,5.917B,4.00M,6.869B,8.361B,,,,-1.328B,13.91B
2018-06,1.137B,,1.137B,1.967B,445.00M,2.412B,655.00M,572.00M,1.931B,3.158B,301.00M,,,7.008B,,,,,,,,2.859B,6.273B,3.171B,9.444B,308.00M,13.00M,126.00M,12.75B,19.76B,616.00M,108.00M,,724.00M,613.00M,1.337B,8.00M,8.00M,,8.00M,609.00M,609.00M,,13.00M,2.194B,2.707B,,2.707B,666.00M,666.00M,68.00M,223.00M,3.596B,5.79B,4.00M,6.888B,8.306B,,,,-1.298B,13.90B
2018-03,1.236B,,1.236B,2.102B,415.00M,2.517B,659.00M,605.00M,1.882B,3.146B,287.00M,,,7.186B,,,,,,,,2.926B,6.217B,3.215B,9.432B,312.00M,13.00M,141.00M,12.82B,20.01B,528.00M,119.00M,,647.00M,659.00M,1.306B,6.00M,6.00M,,6.00M,598.00M,598.00M,,8.00M,2.132B,2.707B,,2.707B,685.00M,685.00M,69.00M,335.00M,3.727B,5.859B,4.00M,6.883B,8.256B,,,,-1.061B,14.08B
2017-12,1.437B,,1.437B,2.015B,495.00M,2.51B,656.00M,513.00M,1.834B,3.003B,267.00M,,,7.217B,0.00,252.00M,1.34B,3.75B,219.00M,5.561B,-2.559B,3.002B,6.227B,3.301B,9.528B,309.00M,13.00M,137.00M,12.99B,20.21B,510.00M,233.00M,,743.00M,733.00M,1.476B,6.00M,6.00M,,6.00M,519.00M,519.00M,,8.00M,2.354B,2.706B,,2.706B,677.00M,677.00M,66.00M,309.00M,3.692B,6.046B,4.00M,6.966B,8.234B,,,,-1.11B,14.09B
2017-09,1.722B,,1.722B,2.06B,518.00M,2.578B,719.00M,499.00M,2.001B,3.219B,306.00M,,,7.825B,,,,,,,,3.031B,6.165B,3.377B,9.542B,309.00M,71.00M,156.00M,13.11B,20.93B,447.00M,190.00M,,637.00M,828.00M,1.465B,506.00M,506.00M,,506.00M,550.00M,550.00M,,7.00M,2.842B,2.707B,,2.707B,925.00M,925.00M,67.00M,309.00M,3.941B,6.783B,4.00M,6.999B,8.19B,,,,-1.109B,14.08B
2017-06,1.53B,,1.53B,2.086B,599.00M,2.685B,786.00M,517.00M,1.904B,3.207B,319.00M,,,7.741B,,,,,,,,3.052B,6.129B,3.438B,9.567B,306.00M,70.00M,151.00M,13.15B,20.89B,448.00M,213.00M,,661.00M,854.00M,1.515B,506.00M,506.00M,,506.00M,573.00M,573.00M,,20.00M,2.851B,2.708B,,2.708B,999.00M,999.00M,69.00M,307.00M,4.014B,6.865B,4.00M,7.044B,8.163B,,,,-1.258B,13.95B
2017-03,1.479B,,1.479B,1.978B,653.00M,2.631B,903.00M,528.00M,1.823B,3.254B,380.00M,,,7.744B,,,,,,,,3.108B,6.065B,3.467B,9.532B,302.00M,87.00M,131.00M,13.16B,20.90B,388.00M,204.00M,,592.00M,884.00M,1.476B,506.00M,506.00M,,506.00M,595.00M,595.00M,,53.00M,2.852B,2.707B,,2.707B,1.043B,1.043B,64.00M,317.00M,4.067B,6.919B,4.00M,7.138B,8.135B,,,,-1.356B,13.92B
2016-12,1.408B,,1.408B,2.083B,665.00M,2.748B,961.00M,561.00M,1.803B,3.325B,395.00M,,,7.876B,1.57B,,,3.659B,219.00M,5.448B,-2.298B,3.15B,6.067B,3.53B,9.597B,307.00M,86.00M,124.00M,13.26B,21.14B,414.00M,295.00M,,709.00M,923.00M,1.632B,506.00M,506.00M,,506.00M,662.00M,662.00M,,66.00M,3.047B,2.708B,,2.708B,1.064B,1.064B,63.00M,318.00M,4.09B,7.137B,4.00M,7.285B,8.103B,,,,-1.452B,13.94B
2016-09,1.51B,,1.51B,1.808B,765.00M,2.573B,1.045B,698.00M,2.418B,4.161B,467.00M,,,8.711B,,,,,,,,3.261B,6.015B,3.626B,9.641B,311.00M,135.00M,135.00M,13.48B,22.19B,396.00M,183.00M,,579.00M,936.00M,1.515B,6.00M,6.00M,,6.00M,856.00M,856.00M,,43.00M,2.615B,3.21B,,3.21B,1.155B,1.155B,70.00M,326.00M,4.691B,7.306B,4.00M,8.018B,8.079B,,,,-1.283B,14.82B
