,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,-53.00M,,11.00M,19.00M,83.00M,83.00M,-8.00M,0.00,,22.00M,72.00M,165.00M,-4.00M,-19.00M,,,27.00M,241.00M,,323.00M,-49.00M,,-49.00M,0.00,0.00,-49.00M,-206.00M,,-206.00M,,,,0.00,0.00,,-23.00M,-229.00M,1.447B,45.00M,-7.00M,1.485B,,11.00M,-217.00M,,,5.00M
2020-06,-87.00M,,6.00M,6.00M,82.00M,82.00M,-2.00M,0.00,,26.00M,515.00M,76.00M,33.00M,-105.00M,,,-193.00M,326.00M,,378.00M,-56.00M,,-56.00M,0.00,-2.00M,-58.00M,25.00M,,25.00M,,,,0.00,0.00,,-9.00M,16.00M,1.115B,336.00M,-4.00M,1.447B,,25.00M,,,-14.00M,39.00M
2020-03,-2.049B,,233.00M,233.00M,105.00M,105.00M,-62.00M,1.891B,,45.00M,-32.00M,47.00M,9.00M,-211.00M,,,-62.00M,-249.00M,,39.00M,-68.00M,,-68.00M,0.00,15.00M,-53.00M,,,,,,,-19.00M,-19.00M,,-24.00M,-43.00M,1.171B,-57.00M,1.00M,1.115B,,,,,14.00M,3.00M
2019-12,-385.00M,,7.00M,33.00M,100.00M,100.00M,-59.00M,436.00M,,-103.00M,-91.00M,273.00M,4.00M,22.00M,,,46.00M,254.00M,,473.00M,-67.00M,,-67.00M,0.00,20.00M,-47.00M,-521.00M,,-521.00M,,,,-19.00M,-19.00M,,-34.00M,-574.00M,1.313B,-148.00M,6.00M,1.171B,,511.00M,-1.00B,,63.00M,32.00M
2019-09,-249.00M,,4.00M,4.00M,102.00M,102.00M,2.00M,12.00M,,46.00M,172.00M,24.00M,-20.00M,11.00M,,,-17.00M,170.00M,,352.00M,-69.00M,,-69.00M,-115.00M,72.00M,-112.00M,0.00,,0.00,,,,-20.00M,-20.00M,,-14.00M,-34.00M,1.121B,206.00M,-14.00M,1.313B,,0.00,0.00,,11.00M,12.00M
2019-06,-5.384B,,2.00M,2.00M,154.00M,154.00M,-360.00M,5.373B,,52.00M,-228.00M,-41.00M,-25.00M,57.00M,,,14.00M,-223.00M,,-73.00M,-54.00M,,-54.00M,0.00,5.00M,-49.00M,0.00,,0.00,,,,-19.00M,-19.00M,,0.00,-19.00M,1.27B,-141.00M,-8.00M,1.121B,,0.00,,,41.00M,36.00M
2019-03,-75.00M,,0.00,0.00,177.00M,177.00M,-9.00M,0.00,,21.00M,352.00M,-152.00M,-4.00M,-328.00M,,,-34.00M,-166.00M,,-38.00M,-43.00M,,-43.00M,-65.00M,1.00M,-107.00M,,,,,,,-19.00M,-19.00M,,-1.00M,-20.00M,1.427B,-165.00M,8.00M,1.27B,,,,,29.00M,5.00M
2018-12,15.00M,,3.00M,3.00M,171.00M,171.00M,-78.00M,0.00,,-96.00M,-189.00M,186.00M,64.00M,163.00M,,,-136.00M,88.00M,,221.00M,-71.00M,,-71.00M,0.00,6.00M,-65.00M,,,,,,,-19.00M,-19.00M,,9.00M,-18.00M,1.293B,138.00M,-4.00M,1.427B,,,,,3.00M,42.00M
2018-09,4.00M,,,,172.00M,172.00M,-2.00M,0.00,,48.00M,-87.00M,-43.00M,33.00M,128.00M,,,-72.00M,-41.00M,,190.00M,-71.00M,,-71.00M,0.00,39.00M,-32.00M,,,,,,,-19.00M,-19.00M,,27.00M,8.00M,1.137B,166.00M,-10.00M,1.293B,,,,,11.00M,2.00M
2018-06,25.00M,,2.00M,2.00M,174.00M,174.00M,12.00M,0.00,,22.00M,135.00M,-4.00M,-10.00M,15.00M,,,-164.00M,-28.00M,,239.00M,-63.00M,,-63.00M,-244.00M,8.00M,-299.00M,,,,,,,-19.00M,-19.00M,,17.00M,-2.00M,1.236B,-62.00M,-37.00M,1.137B,,,,,8.00M,43.00M
2018-03,-66.00M,,-2.00M,-2.00M,173.00M,173.00M,5.00M,,,19.00M,1.00M,-146.00M,-20.00M,-311.00M,,,218.00M,-258.00M,,-129.00M,-39.00M,,-39.00M,-36.00M,14.00M,-61.00M,,,,,,,-19.00M,-19.00M,,1.00M,-18.00M,1.437B,-208.00M,7.00M,1.236B,,,,,42.00M,3.00M
2017-12,-15.00M,,1.00M,1.00M,175.00M,175.00M,-357.00M,,,-121.00M,82.00M,126.00M,35.00M,-2.00M,,,159.00M,400.00M,,321.00M,-65.00M,,-65.00M,-1.00M,5.00M,-61.00M,-502.00M,,-502.00M,,,,-19.00M,-19.00M,,-22.00M,-543.00M,1.722B,-283.00M,-2.00M,1.437B,,,-496.00M,,180.00M,148.00M
2017-09,-27.00M,,2.00M,2.00M,174.00M,174.00M,-3.00M,,,51.00M,104.00M,-19.00M,13.00M,27.00M,,,-90.00M,35.00M,,232.00M,-42.00M,,-42.00M,-3.00M,9.00M,-36.00M,-1.00M,,-1.00M,,,,-19.00M,-19.00M,,-1.00M,-21.00M,1.53B,175.00M,17.00M,1.722B,,,-1.00M,,-227.00M,-99.00M
2017-06,-74.00M,,2.00M,2.00M,174.00M,174.00M,15.00M,,,35.00M,-57.00M,57.00M,66.00M,26.00M,,,-76.00M,16.00M,,168.00M,-43.00M,,-43.00M,-76.00M,13.00M,-106.00M,-1.00M,,-1.00M,,,,-19.00M,-19.00M,,2.00M,-18.00M,1.479B,44.00M,7.00M,1.53B,,,-1.00M,,41.00M,45.00M
2017-03,-120.00M,,0.00,0.00,175.00M,175.00M,4.00M,,,55.00M,113.00M,65.00M,16.00M,-139.00M,,,-58.00M,-3.00M,,111.00M,-42.00M,,-42.00M,-6.00M,6.00M,-42.00M,-2.00M,,-2.00M,,,,-19.00M,-19.00M,,8.00M,-13.00M,1.408B,56.00M,15.00M,1.479B,,,-2.00M,,56.00M,3.00M
2016-12,-717.00M,,2.00M,8.00M,174.00M,174.00M,18.00M,0.00,,-179.00M,-83.00M,352.00M,71.00M,-39.00M,,,-172.00M,129.00M,,153.00M,-63.00M,,-63.00M,-170.00M,22.00M,-211.00M,-3.00M,,-3.00M,,,,-19.00M,-19.00M,,-3.00M,-25.00M,1.51B,-83.00M,-19.00M,1.408B,,0.00,-3.00M,,8.00M,45.00M
2016-09,-1.364B,,6.00M,6.00M,176.00M,176.00M,72.00M,972.00M,,86.00M,256.00M,110.00M,-39.00M,-229.00M,,,12.00M,110.00M,,58.00M,-60.00M,,-60.00M,-24.00M,1.00M,-83.00M,-112.00M,,-112.00M,,,,-19.00M,-19.00M,,5.00M,-126.00M,1.661B,-151.00M,0.00,1.51B,,1.009B,-1.121B,,53.00M,3.00M
2016-06,-217.00M,,7.00M,7.00M,178.00M,178.00M,-153.00M,,,118.00M,402.00M,208.00M,81.00M,-441.00M,,,-55.00M,195.00M,,128.00M,-77.00M,,-77.00M,-15.00M,1.00M,-91.00M,-101.00M,,-101.00M,,,,-19.00M,-19.00M,,-9.00M,-129.00M,1.759B,-92.00M,-6.00M,1.661B,,595.00M,-696.00M,,88.00M,50.00M
2016-03,-118.00M,,6.00M,6.00M,175.00M,175.00M,-135.00M,,,83.00M,916.00M,112.00M,-11.00M,-453.00M,,,46.00M,610.00M,,621.00M,-84.00M,,-84.00M,-21.00M,2.00M,-103.00M,-684.00M,,-684.00M,,,,-173.00M,-173.00M,,-4.00M,-861.00M,2.08B,-343.00M,22.00M,1.759B,,2.368B,-3.052B,,32.00M,3.00M
