,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.384B,1.384B,1.245B,139.00M,213.00M,0.00,21.00M,0.00,-21.00M,,213.00M,-74.00M,0.00,21.00M,-21.00M,-19.00M,-21.00M,-114.00M,-61.00M,-53.00M,,-2.00M,-55.00M,-55.00M,-10.00M,83.00M,-93.00M,-0.14,,,-0.14,-0.14,-0.14,,,-0.14,-0.14,385.00M,385.00M,0.0
2020-06,1.496B,1.496B,1.359B,137.00M,237.00M,0.00,22.00M,2.00M,-20.00M,,237.00M,-100.00M,2.00M,22.00M,-20.00M,-14.00M,-20.00M,-134.00M,-47.00M,-87.00M,,-6.00M,-93.00M,-93.00M,-30.00M,82.00M,-112.00M,-0.24,,,-0.24,-0.24,-0.24,,,-0.24,-0.24,385.00M,385.00M,0.0
2020-03,1.883B,1.883B,1.659B,224.00M,283.00M,-1.891B,22.00M,3.00M,-19.00M,,283.00M,-59.00M,3.00M,22.00M,-19.00M,-2.127B,-19.00M,-2.205B,-156.00M,-2.049B,,2.00M,-2.047B,-290.26M,-2.078B,105.00M,-2.183B,-5.34,,,-0.7532,-5.34,-5.34,,,-0.7532,-5.34,383.00M,383.00M,0.05
2019-12,2.281B,2.281B,1.905B,376.00M,289.00M,-436.00M,25.00M,4.00M,-21.00M,,289.00M,87.00M,4.00M,25.00M,-21.00M,-497.00M,-21.00M,-431.00M,-46.00M,-385.00M,,0.00,-385.00M,4.466M,-306.00M,100.00M,-406.00M,-1.01,,,0.0095,-1.01,-1.01,,,0.0095,-1.01,382.00M,382.00M,0.05
2019-09,2.126B,2.126B,1.975B,151.00M,293.00M,-12.00M,25.00M,4.00M,-21.00M,,293.00M,-142.00M,4.00M,25.00M,-21.00M,-26.00M,-21.00M,-189.00M,60.00M,-249.00M,,5.00M,-244.00M,-235.24M,-62.00M,102.00M,-164.00M,-0.64,,,-0.6171,-0.64,-0.64,,,-0.6171,-0.64,382.00M,382.00M,0.05
2019-06,2.132B,2.132B,2.07B,62.00M,417.00M,-5.373B,25.00M,6.00M,-19.00M,,417.00M,-355.00M,6.00M,25.00M,-19.00M,-5.383B,-19.00M,-5.757B,-373.00M,-5.384B,,-5.00M,-5.389B,-365.24M,-5.578B,154.00M,-5.732B,-14.11,,,-0.9588,-14.11,-14.11,,,-0.9588,-14.11,382.00M,382.00M,0.05
2019-03,1.94B,1.94B,1.684B,256.00M,304.00M,0.00,25.00M,6.00M,-19.00M,,304.00M,-48.00M,6.00M,25.00M,-19.00M,-18.00M,-19.00M,-85.00M,-10.00M,-75.00M,,-2.00M,-77.00M,-77.00M,117.00M,177.00M,-60.00M,-0.2,,,-0.2,-0.2,-0.2,,,-0.2,-0.2,380.00M,380.00M,0.05
2018-12,2.398B,2.398B,1.989B,409.00M,322.00M,0.00,22.00M,7.00M,-15.00M,,322.00M,87.00M,7.00M,22.00M,-15.00M,-31.00M,-15.00M,41.00M,26.00M,15.00M,,-3.00M,12.00M,12.00M,234.00M,171.00M,63.00M,0.03,,,0.03,0.03,0.03,,,0.03,0.03,378.00M,378.00M,0.05
2018-09,2.154B,2.154B,1.761B,393.00M,320.00M,0.00,24.00M,6.00M,-18.00M,,320.00M,73.00M,6.00M,24.00M,-18.00M,-22.00M,-18.00M,33.00M,29.00M,4.00M,,-3.00M,1.00M,1.00M,229.00M,172.00M,57.00M,0.0026,,,0.0026,0.0026,0.0026,,,0.0026,0.0026,379.00M,383.00M,0.05
2018-06,2.106B,2.106B,1.751B,355.00M,303.00M,0.00,23.00M,5.00M,-18.00M,,303.00M,52.00M,5.00M,23.00M,-18.00M,-4.00M,-18.00M,30.00M,5.00M,25.00M,,-1.00M,24.00M,24.00M,227.00M,174.00M,53.00M,0.06,,,0.06,0.06,0.06,,,0.06,0.06,378.00M,381.00M,0.05
2018-03,1.795B,1.795B,1.508B,287.00M,288.00M,,24.00M,7.00M,-17.00M,,288.00M,-1.00M,7.00M,24.00M,-17.00M,-45.00M,-17.00M,-63.00M,3.00M,-66.00M,,-2.00M,-68.00M,-68.00M,134.00M,173.00M,-39.00M,-0.18,,,-0.18,-0.18,-0.18,,,-0.18,-0.18,377.00M,377.00M,0.05
2017-12,1.969B,1.969B,1.802B,167.00M,278.00M,,25.00M,6.00M,-19.00M,,278.00M,-111.00M,6.00M,25.00M,-19.00M,2.00M,-19.00M,-128.00M,-113.00M,-15.00M,,1.00M,-14.00M,-14.00M,72.00M,175.00M,-103.00M,-0.04,,,-0.04,-0.04,-0.04,,,-0.04,-0.04,377.00M,377.00M,0.05
2017-09,1.835B,1.835B,1.55B,285.00M,292.00M,,26.00M,11.00M,-15.00M,,292.00M,-7.00M,11.00M,26.00M,-15.00M,-18.00M,-15.00M,-40.00M,-13.00M,-27.00M,,1.00M,-26.00M,-26.00M,160.00M,174.00M,-14.00M,-0.07,,,-0.07,-0.07,-0.07,,,-0.07,-0.07,377.00M,377.00M,0.05
2017-06,1.759B,1.759B,1.528B,231.00M,293.00M,,26.00M,4.00M,-22.00M,,293.00M,-62.00M,4.00M,26.00M,-22.00M,-7.00M,-22.00M,-91.00M,-17.00M,-74.00M,,-1.00M,-75.00M,-75.00M,109.00M,174.00M,-65.00M,-0.2,,,-0.2,-0.2,-0.2,,,-0.2,-0.2,377.00M,377.00M,0.05
2017-03,1.741B,1.741B,1.532B,209.00M,306.00M,,25.00M,4.00M,-21.00M,,306.00M,-97.00M,4.00M,25.00M,-21.00M,-15.00M,-21.00M,-133.00M,-13.00M,-120.00M,,-2.00M,-122.00M,-122.00M,67.00M,175.00M,-108.00M,-0.32,,,-0.32,-0.32,-0.32,,,-0.32,-0.32,376.00M,376.00M,0.05
2016-12,1.692B,1.692B,2.151B,-459.00M,307.00M,0.00,25.00M,4.00M,-21.00M,,307.00M,-766.00M,4.00M,25.00M,-21.00M,-18.00M,-21.00M,-805.00M,-88.00M,-717.00M,,3.00M,-714.00M,-714.00M,-606.00M,174.00M,-780.00M,-1.9,,,-1.9,-1.9,-1.9,,,-1.9,-1.9,379.00M,379.00M,0.05
