,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2017-03,419.00M,-1.151B,,,-1.151B,252.00M,522.00M,774.00M,774.00M,171.00M,493.00M,30.00M,-162.00M,,,,-132.00M,,574.00M,-272.00M,,-272.00M,-5.87B,-15.00M,3.00M,-6.154B,-2.505B,-1.455B,-3.96B,,-95.00M,-95.00M,-460.00M,-460.00M,129.00M,-13.00M,-4.399B,18.62B,-9.979B,65.00M,8.706B,,,-2.505B,-95.00M
2016-12,798.00M,0.00,-1.00M,0.00,85.00M,198.00M,121.00M,319.00M,319.00M,47.00M,1.166B,-61.00M,54.00M,,,,-1.245B,,1.17B,-319.00M,,-319.00M,-7.00M,1.868B,8.00M,1.55B,14.93B,-1.085B,13.85B,,0.00,0.00,-386.00M,-386.00M,42.00M,0.00,13.50B,2.50B,16.22B,-104.00M,18.62B,,,-1.00M,0.00
2016-09,-329.00M,0.00,4.00M,947.00M,951.00M,200.00M,140.00M,340.00M,340.00M,49.00M,175.00M,34.00M,-3.00M,,,,31.00M,,1.217B,-312.00M,,-312.00M,-66.00M,-182.00M,6.00M,-554.00M,-1.00M,-397.00M,-398.00M,,-2.00M,-2.00M,-384.00M,-384.00M,76.00M,-38.00M,-746.00M,2.578B,-83.00M,5.00M,2.50B,,,-1.00M,-2.00M
2016-06,615.00M,0.00,0.00,,0.00,202.00M,145.00M,347.00M,347.00M,62.00M,85.00M,-146.00M,-54.00M,,,,-200.00M,,909.00M,-247.00M,,-247.00M,-7.00M,-1.246B,30.00M,-1.47B,-3.00M,298.00M,295.00M,,-1.00M,-1.00M,-384.00M,-384.00M,43.00M,-132.00M,-179.00M,3.334B,-740.00M,-16.00M,2.578B,,,-3.00M,-1.00M
2016-03,316.00M,-25.00M,477.00M,,452.00M,203.00M,144.00M,347.00M,347.00M,152.00M,-1.261B,-4.00M,-95.00M,,,,-99.00M,,-93.00M,-243.00M,,-243.00M,25.00M,446.00M,-2.00M,226.00M,-7.00M,-583.00M,-590.00M,,-519.00M,-519.00M,-385.00M,-385.00M,87.00M,-25.00M,-1.432B,5.001B,-1.299B,-368.00M,3.334B,,,-7.00M,-519.00M
2015-12,3.604B,-2.84B,0.00,0.00,-2.858B,223.00M,143.00M,366.00M,366.00M,43.00M,-243.00M,-20.00M,-44.00M,,,,208.00M,,828.00M,-248.00M,,-248.00M,0.00,1.805B,9.00M,1.566B,-21.00M,738.00M,717.00M,,-888.00M,-888.00M,-360.00M,-360.00M,51.00M,,-497.00M,3.132B,1.897B,-28.00M,5.001B,,0.00,-21.00M,-888.00M
2015-09,563.00M,0.00,0.00,0.00,0.00,232.00M,151.00M,383.00M,383.00M,44.00M,234.00M,-26.00M,-3.00M,,,,-29.00M,,1.195B,-411.00M,,-411.00M,-231.00M,-570.00M,15.00M,-1.197B,-3.00M,-501.00M,-504.00M,,-2.00M,-2.00M,-359.00M,-359.00M,50.00M,,-815.00M,4.048B,-817.00M,-99.00M,3.132B,,0.00,-3.00M,-2.00M
2015-06,785.00M,-207.00M,0.00,,-207.00M,201.00M,151.00M,352.00M,352.00M,57.00M,71.00M,-35.00M,-82.00M,,,,-117.00M,,941.00M,-216.00M,,-216.00M,2.286B,-1.843B,15.00M,242.00M,-23.00M,-47.00M,-70.00M,,-1.00M,-1.00M,-360.00M,-360.00M,57.00M,,-374.00M,3.226B,809.00M,13.00M,4.048B,,0.00,-23.00M,-1.00M
2015-03,-529.00M,,0.00,,0.00,215.00M,156.00M,371.00M,371.00M,148.00M,230.00M,-90.00M,-128.00M,,,,-218.00M,,2.00M,-235.00M,,-235.00M,230.00M,-213.00M,13.00M,-205.00M,2.475B,-1.471B,1.004B,,-1.346B,-1.346B,-364.00M,-364.00M,156.00M,,-550.00M,4.063B,-753.00M,-84.00M,3.226B,,2.485B,-10.00M,-1.346B
2014-12,904.00M,0.00,,,87.00M,229.00M,166.00M,395.00M,395.00M,38.00M,174.00M,-22.00M,-94.00M,,,,-114.00M,,1.238B,-287.00M,,-287.00M,-490.00M,759.00M,8.00M,-10.00M,-577.00M,74.00M,-503.00M,,-1.00M,-1.00M,-335.00M,-335.00M,139.00M,0.00,-700.00M,3.613B,528.00M,-78.00M,4.063B,,0.00,-577.00M,-1.00M
2014-09,539.00M,0.00,,,0.00,226.00M,129.00M,355.00M,355.00M,40.00M,426.00M,-97.00M,-62.00M,,,,-159.00M,,1.201B,-277.00M,,-277.00M,-2.822B,2.239B,35.00M,-825.00M,0.00,397.00M,397.00M,,-1.00M,-1.00M,-331.00M,-331.00M,64.00M,-400.00M,-271.00M,3.57B,105.00M,-62.00M,3.613B,,0.00,0.00,-1.00M
2014-06,466.00M,0.00,,,0.00,239.00M,161.00M,400.00M,400.00M,49.00M,194.00M,-158.00M,-51.00M,,,,-209.00M,,900.00M,-258.00M,,-258.00M,0.00,1.486B,0.00,1.228B,0.00,-341.00M,-341.00M,,-1.00M,-1.00M,-333.00M,-333.00M,56.00M,,-619.00M,2.06B,1.509B,1.00M,3.57B,,0.00,0.00,-1.00M
2014-03,375.00M,,,,,224.00M,174.00M,398.00M,398.00M,119.00M,-548.00M,82.00M,-90.00M,,,,-8.00M,,336.00M,-255.00M,,-255.00M,0.00,-367.00M,27.00M,-595.00M,0.00,1.213B,1.213B,,-2.192B,-2.192B,-343.00M,-343.00M,170.00M,,-1.152B,3.475B,-1.411B,-4.00M,2.06B,,0.00,0.00,-2.192B
2013-12,589.00M,,,,,228.00M,198.00M,426.00M,426.00M,40.00M,1.845B,-135.00M,88.00M,,,,-1.017B,,1.625B,-303.00M,,-303.00M,-14.00M,1.155B,2.00M,840.00M,,-1.438B,-1.732B,,-39.00M,-39.00M,-218.00M,-218.00M,215.00M,-95.00M,-1.869B,2.882B,596.00M,-3.00M,3.475B,,,,-39.00M
2013-09,966.00M,,,,,239.00M,197.00M,436.00M,436.00M,45.00M,-1.028B,113.00M,-10.00M,,,,103.00M,,522.00M,-277.00M,,-277.00M,-566.00M,-1.873B,19.00M,-2.697B,,374.00M,374.00M,,-351.00M,-351.00M,-220.00M,-220.00M,38.00M,-400.00M,-559.00M,5.572B,-2.734B,44.00M,2.882B,,,,-351.00M
2013-06,477.00M,,,,,239.00M,197.00M,436.00M,436.00M,51.00M,-66.00M,-81.00M,-100.00M,,,,-181.00M,,717.00M,-291.00M,,-291.00M,,327.00M,,36.00M,,902.00M,902.00M,,-290.00M,-290.00M,-220.00M,-220.00M,73.00M,0.00,465.00M,4.373B,1.218B,-19.00M,5.572B,,,,-290.00M
2013-03,544.00M,,,,,222.00M,199.00M,421.00M,421.00M,126.00M,-489.00M,-10.00M,-132.00M,,,,-142.00M,,460.00M,-274.00M,,-274.00M,,-1.834B,,-2.108B,,2.248B,2.248B,,-925.00M,-925.00M,-224.00M,-224.00M,69.00M,-5.901B,-4.733B,10.80B,-6.381B,-48.00M,4.373B,,,,-925.00M
2012-12,1.053B,,,,,257.56M,330.01M,587.57M,587.57M,74.26M,163.26M,-653.29M,48.47M,,,,-2.083B,,1.503B,-385.81M,,-385.81M,-24.38M,-815.82M,1.002M,-1.225B,3.683B,-4.358M,3.679B,,-640.65M,-640.65M,-812.06M,-812.06M,279.59M,-0.151M,2.505B,7.997B,2.783B,21.77M,10.80B,,,-11.02B,-640.65M
2012-09,1.943B,,,,,430.34M,329.38M,759.73M,759.73M,75.61M,881.58M,-54.22M,-85.99M,,,,-140.21M,,3.520B,-530.75M,,-530.75M,-21.62M,431.07M,-10.31M,-131.61M,0.00,-1.908B,-1.908B,,-1.234M,-1.234M,-805.40M,-805.40M,524.09M,-400.00M,-2.591B,7.053B,796.94M,147.23M,7.997B,,,0.00,-1.234M
2012-06,1.725B,,,,,320.89M,370.55M,691.44M,691.44M,85.78M,-837.24M,611.03M,-208.79M,,,,402.24M,,2.067B,-425.12M,,-425.12M,-110.00M,1.222B,1.159M,688.37M,0.00,1.298B,1.298B,,-734.43M,-734.43M,-806.98M,-806.98M,359.04M,0.00,115.37M,4.346B,2.871B,-163.70M,7.053B,,,0.00,-734.43M
2012-03,1.242B,,,,,354.21M,389.06M,743.27M,743.27M,197.34M,80.40M,132.48M,-170.69M,,,,-38.20M,,2.225B,-453.33M,,-453.33M,-550.00M,-3.900B,11.15M,-4.892B,-54.00M,1.399B,1.345B,,-987.69M,-987.69M,-758.55M,-758.55M,687.28M,-120.85M,165.22M,6.813B,-2.502B,34.70M,4.346B,,,-54.00M,-987.69M
2011-12,,,,,,240.80M,407.73M,648.54M,648.54M,62.90M,-2.710B,-942.53M,-177.52M,,,-1.151B,-1.470B,,1.401B,-274.24M,,-274.24M,399.50M,1.633B,6.829M,1.765B,-3.164M,-1.178B,-1.181B,,-2.572M,-2.572M,,-751.99M,651.54M,,-1.684B,5.049B,1.482B,282.52M,6.813B,,,-1.003B,-2.572M
2011-09,,,,,,420.71M,417.67M,838.39M,838.39M,67.84M,303.18M,-243.36M,-2.458M,,,2.091B,1.845B,,3.054B,-452.00M,,-452.00M,-485.00M,1.932B,-3.199M,992.00M,-2.157M,-1.962B,-1.964B,,-0.583M,-0.583M,,-751.63M,47.81M,,-2.668B,4.077B,1.378B,-406.02M,5.049B,,,-2.157M,-0.583M
2011-06,,,,,,379.37M,432.05M,811.41M,811.41M,76.46M,2.333B,216.94M,5.195M,,,-940.01M,-717.88M,,2.503B,-372.96M,,-372.96M,-187.50M,-1.109B,1.875B,205.59M,-1.506B,778.52M,-727.58M,,-2.095M,-2.095M,,-750.41M,93.90M,,-1.386B,2.740B,1.323B,14.30M,4.077B,,,-1.506B,-2.095M
2011-03,,,,,,354.12M,391.55M,745.67M,745.67M,175.81M,745.93M,298.95M,44.78M,,,,343.74M,,2.011B,-391.81M,,-391.81M,0.00,-1.917B,7.804M,-2.301B,-500.58M,396.21M,-104.37M,,-71.75M,-71.75M,,-683.97M,175.75M,,-684.33M,3.648B,-974.42M,66.20M,2.740B,,,-500.58M,-71.75M
2010-12,4.626B,,,,,303.23M,406.35M,709.58M,709.58M,56.95M,-3.438B,-870.87M,192.74M,,,,235.46M,,2.317B,-291.33M,,-291.33M,-313.20M,-1.825B,-10.59M,-2.440B,-672.74M,1.216B,543.07M,,-0.652M,-0.652M,,-692.10M,56.37M,,-93.31M,3.818B,-217.18M,47.41M,3.648B,,1.00B,-253.07M,-0.652M
2010-09,,,,,,313.16M,363.87M,677.02M,677.02M,72.15M,1.596B,230.37M,-27.05M,,,,203.32M,,2.548B,-205.08M,,-205.08M,-2.20B,14.32M,-2.23M,-2.393B,0.00,-73.81M,-73.81M,,-2.326M,-2.326M,,-679.42M,68.46M,,-687.11M,4.322B,-531.69M,28.13M,3.818B,,0.00,-1.420B,-2.326M
2010-06,-1.003B,,,,,303.81M,371.39M,675.20M,675.20M,84.22M,2.614B,-45.80M,23.80M,,,,-22.00M,,2.348B,-273.51M,,-273.51M,-504.40M,1.085B,-3.50M,303.83M,3.00B,-2.121B,879.14M,,-2.479M,-2.479M,,-679.20M,15.42M,,212.88M,1.567B,2.865B,-110.12M,4.322B,,2.225B,0.00,-2.479M
2010-03,1.003B,,,,,287.25M,275.25M,562.50M,562.50M,173.87M,-458.64M,291.64M,-49.63M,,,,242.01M,,1.523B,-245.14M,,-245.14M,-6.416B,874.14M,-1.872B,-7.659B,-1.254M,775.01M,773.75M,,-861.37M,-861.37M,,-620.75M,188.17M,,-520.20M,8.809B,-6.656B,-586.31M,1.567B,,775.01M,-1.254M,-861.37M
2009-12,5.746B,,,,211.97M,324.61M,222.74M,547.35M,547.35M,58.86M,-3.841B,-898.00M,316.81M,,,241.09M,-524.29M,,1.833B,-245.45M,,-245.45M,-851.73M,2.663B,-2.976M,1.563B,0.00,936.26M,936.26M,,-0.959M,-0.959M,,-618.78M,186.85M,,503.37M,4.876B,3.899B,34.56M,8.809B,,-2.281B,0.00,-0.959M
2009-09,-2.727B,,,,0.00,312.22M,228.49M,540.71M,540.71M,62.59M,3.962B,82.99M,194.36M,,,669.00M,946.36M,,3.030B,-328.71M,,-328.71M,-9.512M,-1.178B,-2.257M,-1.518B,0.00,-266.35M,-266.35M,,-0.605M,-0.605M,,-618.38M,29.00M,,-856.33M,4.204B,655.25M,16.36M,4.876B,,-266.35M,0.00,-0.605M
2009-06,1.288B,,,,0.00,304.07M,233.33M,537.40M,537.40M,57.96M,57.96M,51.59M,-81.91M,,,-139.35M,-169.67M,,1.714B,-262.74M,,-262.74M,-17.33M,-1.857B,-0.625M,-2.137B,-500.00M,777.01M,277.01M,,-1.828M,-1.828M,,-618.23M,13.42M,,-329.62M,4.875B,-753.21M,82.72M,4.204B,,777.01M,-500.00M,-1.828M
2009-03,1.439B,,,,-797.13M,270.07M,193.97M,464.04M,464.04M,186.95M,186.95M,375.66M,-198.70M,,,-770.74M,-593.78M,,698.72M,-252.15M,,-252.15M,-1.492B,138.96M,-0.51M,-1.606B,1.017B,1.770B,2.787B,,-822.95M,-822.95M,,-559.08M,279.39M,,1.685B,4.112B,777.56M,-14.79M,4.875B,,4.770B,-1.983B,-822.95M
2008-12,1.390B,,,,208.49M,220.88M,201.67M,422.56M,422.56M,347.02M,-36.43M,-944.92M,-140.53M,,,-832.42M,-751.76M,,1.233B,-264.59M,,-264.59M,-250.00M,-793.35M,955.76M,-352.18M,-913.95M,-324.74M,541.28M,-935.06M,-8.679M,-943.74M,,-558.51M,1.009B,,47.88M,2.810B,1.278B,23.84M,4.112B,-935.06M,0.00,-1.239B,-8.679M
2008-09,1.085B,94.66M,,,-96.85M,296.22M,202.34M,498.56M,498.56M,-219.79M,163.65M,49.68M,-81.86M,,,1.081B,1.048B,,2.698B,-319.80M,,-319.80M,,1.209B,-943.50M,-54.10M,200.00M,-1.700B,-3.280B,935.06M,-1.692M,933.37M,,-555.56M,-463.17M,,-3.365B,3.797B,-720.88M,-265.36M,2.810B,935.06M,-1.700B,200.00M,-1.692M
2008-06,1.322B,-94.66M,,,-16.10M,268.82M,197.04M,465.86M,465.86M,67.87M,67.87M,-97.08M,1.662M,,,14.24M,-81.17M,,1.758B,-370.34M,,-370.34M,0.00,-348.58M,-69.12M,-788.04M,0.00,709.92M,709.92M,,-252.28M,-252.28M,,-555.64M,155.68M,,57.68M,2.710B,1.028B,58.52M,3.797B,,709.92M,0.00,-252.28M
2008-03,937.87M,,,,18.70M,265.81M,186.05M,451.85M,451.85M,151.92M,151.92M,44.00M,-36.75M,,,-262.44M,-255.19M,,1.305B,-332.98M,,-332.98M,0.00,-541.98M,-18.20M,-893.16M,-200.00M,989.95M,789.95M,,-819.15M,-819.15M,,-504.55M,307.49M,,-226.27M,2.456B,185.72M,67.85M,2.710B,,989.95M,-200.00M,-819.15M
2007-12,1.203B,,,,356.33M,299.79M,183.40M,483.19M,483.19M,,75.52M,-526.51M,165.82M,,,55.55M,-1.068B,,1.050B,-428.78M,,-428.78M,,205.35M,-4.937M,-228.36M,,,-176.32M,223.03M,-0.187M,222.84M,,-502.30M,,,-455.78M,1.911B,365.95M,179.60M,2.456B,223.03M,,,-0.187M
2007-09,717.01M,,,,,309.34M,194.43M,503.77M,503.77M,,103.96M,55.94M,-35.50M,,,192.83M,213.28M,,1.538B,-387.58M,,-387.58M,,46.05M,-16.74M,-358.28M,,,-233.19M,112.64M,-195.14M,-82.49M,,-502.29M,,,-817.97M,1.539B,361.76M,10.14M,1.911B,112.64M,,,-195.14M
2007-06,988.74M,,,,349.97M,229.26M,206.24M,435.50M,435.50M,,87.03M,-124.03M,50.62M,,,-248.39M,-321.79M,,1.539B,-510.73M,,-510.73M,,299.09M,-12.57M,-160.66M,,,-229.20M,200.00M,-2.267M,197.73M,,-500.75M,,,-532.22M,682.35M,846.58M,10.01M,1.539B,200.00M,,,-2.267M
2007-03,697.54M,,,,-349.97M,234.47M,197.96M,432.42M,432.42M,,163.17M,162.75M,-49.62M,,,,113.13M,,1.056B,-329.12M,,-329.12M,,2.927M,0.769M,-388.98M,,,94.22M,714.14M,-861.20M,-147.07M,,-453.81M,,,-506.66M,521.19M,160.65M,0.506M,682.35M,714.14M,,,-861.20M
2006-12,-476.21M,,,,2.320B,253.79M,157.32M,411.11M,411.11M,,59.54M,-490.29M,15.42M,,,,-1.026B,0.00,1.289B,-314.12M,,-314.12M,-3.601B,-12.10M,6.205M,-3.921B,,,2.972B,93.89M,0.00,93.89M,,-452.80M,,,2.613B,526.37M,-18.93M,13.75M,521.19M,93.89M,,,0.00
2006-09,715.84M,,,,-567.23M,234.84M,146.61M,381.44M,381.44M,,777.32M,77.50M,-99.98M,,,,-22.48M,0.00,1.285B,-352.34M,,-352.34M,-1.599M,-11.26M,0.62M,-364.58M,,,-987.36M,252.94M,0.00,252.94M,,-450.75M,,,-1.185B,790.90M,-264.87M,0.336M,526.37M,252.94M,,,0.00
2006-06,612.24M,,,,452.00M,246.12M,147.50M,393.61M,393.61M,,-506.90M,47.88M,29.27M,,,492.57M,569.72M,52.01M,1.573B,-375.11M,,-375.11M,-4.321B,-2.090B,-34.04M,-6.820B,,,4.032B,62.47M,0.00,62.47M,,-450.06M,,,3.644B,2.343B,-1.603B,50.86M,790.90M,62.47M,,,0.00
2006-03,864.88M,,,,,248.75M,123.85M,372.59M,372.59M,,,263.13M,159.94M,,,-492.57M,-69.49M,15.14M,1.183B,-296.25M,,-296.25M,,2.419M,1.503M,-292.33M,,,-365.82M,93.48M,-754.50M,-661.02M,,-423.55M,,,-1.450B,2.894B,-559.61M,9.018M,2.343B,93.48M,,,-754.50M
2005-12,976.42M,,,,125.33M,216.83M,120.89M,337.72M,337.72M,,-101.51M,-432.55M,94.15M,,,,22.02M,-8.72M,1.351B,-311.65M,,-311.65M,-268.58M,16.42M,2.171M,-561.64M,,,225.57M,223.64M,-712.85M,-489.21M,,-426.62M,,,-690.26M,2.845B,99.35M,-50.67M,2.894B,223.64M,,,-712.85M
2005-09,680.71M,,,,17.13M,215.85M,127.52M,343.37M,343.37M,,404.40M,89.05M,-179.16M,,,,-90.12M,69.42M,1.425B,-261.99M,,-261.99M,-26.54M,4.969M,0.80M,-282.76M,,,904.41M,,-177.08M,-177.08M,,-427.54M,,,299.79M,1.447B,1.442B,-44.14M,2.845B,,,,-177.08M
2005-06,877.05M,,,,,211.60M,121.38M,332.98M,332.98M,,-302.89M,103.70M,62.14M,,,736.58M,902.42M,54.98M,1.865B,-299.71M,,-299.71M,,22.94M,10.29M,-266.49M,,,-1.458B,-76.80M,189.84M,113.05M,,-426.58M,,,-1.771B,1.703B,-173.08M,-83.09M,1.447B,-76.80M,,,189.84M
2005-03,837.89M,,,,,224.53M,120.35M,344.88M,344.88M,,,141.59M,-65.39M,,,-736.58M,-660.38M,11.34M,533.73M,-334.14M,,-334.14M,,723.60M,1.343M,390.80M,,,500.45M,76.80M,-602.23M,-525.43M,,-405.74M,,,-430.72M,1.226B,493.81M,-16.05M,1.703B,76.80M,,,-602.23M
2004-12,974.60M,,,,94.40M,215.12M,118.24M,333.36M,333.36M,,-357.97M,-555.81M,-45.84M,,,,-212.66M,29.96M,861.69M,-357.92M,,-357.92M,-362.47M,339.68M,1.048M,-438.76M,,,131.32M,,-94.40M,60.80M,,-404.95M,,,-212.83M,810.89M,210.10M,204.64M,1.226B,,,,-94.40M
2004-09,804.08M,,,,8.10M,194.78M,118.02M,312.80M,312.80M,,-64.11M,-98.84M,-65.93M,,,,-164.78M,-30.31M,865.78M,-371.92M,,-371.92M,0.00,100.07M,1.65M,-270.20M,,,-447.32M,,-405.35M,-405.35M,,-405.91M,,263.53M,-995.05M,1.232B,-399.46M,-21.22M,810.89M,,,,-405.35M
2004-06,574.24M,,,,224.64M,234.04M,119.20M,353.24M,353.24M,,416.17M,-121.64M,-151.53M,,,,-273.16M,148.18M,1.443B,-257.29M,,-257.29M,-1.593B,-182.35M,10.10M,-2.023B,,,429.21M,,264.07M,264.07M,,-405.53M,,-263.53M,724.22M,1.124B,144.75M,-37.16M,1.232B,,,,264.07M
