,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,Restated
2020-10,95.00M,0.00,0.00,125.00M,125.00M,51.00M,,0.00,20.00M,,4.00M,,-499.00M,817.00M,-97.00M,,-30.00M,191.00M,486.00M,,2020-10,0.00,-80.00M,0.00,-155.00M,0.00,-235.00M,,2020-10,0.00,0.00,,0.00,0.00,0.00,0.00,4.00M,0.00,4.00M,,2020-10,2.241B,3.00M,2.499B,,2020-10,0.00,0.00,0.00,-45.00M,2.00M,,2020-10,
2020-07,-62.00M,0.00,58.00M,126.00M,126.00M,-84.00M,,4.00M,17.00M,,1.00M,,-12.00M,806.00M,8.00M,,-9.00M,793.00M,853.00M,,2020-07,0.00,-86.00M,0.00,28.00M,2.00M,-56.00M,,2020-07,-1.307B,443.00M,,0.00,0.00,0.00,0.00,6.00M,-62.00M,387.00M,,2020-07,1.048B,9.00M,2.241B,,2020-07,2.25B,-1.807B,0.00,16.00M,1.00M,,2020-07,
2020-04,-932.00M,0.00,0.00,130.00M,130.00M,-41.00M,,484.00M,18.00M,,3.00M,,-79.00M,-611.00M,126.00M,,-38.00M,-602.00M,-940.00M,,2020-04,0.00,-122.00M,0.00,238.00M,,116.00M,,2020-04,,500.00M,,0.00,0.00,0.00,0.00,6.00M,-7.00M,499.00M,,2020-04,1.381B,-8.00M,1.048B,,2020-04,500.00M,,0.00,37.00M,38.00M,,2020-04,
2020-01,-184.00M,70.00M,70.00M,140.00M,140.00M,-123.00M,,327.00M,4.00M,,-7.00M,,563.00M,16.00M,97.00M,,-20.00M,656.00M,883.00M,,2020-01,0.00,-179.00M,0.00,4.00M,,-175.00M,,2020-01,0.00,0.00,,-50.00M,-50.00M,-90.00M,-90.00M,3.00M,0.00,-137.00M,,2020-01,806.00M,4.00M,1.381B,,2020-01,,0.00,-50.00M,59.00M,1.00M,,2020-01,
2019-10,140.00M,0.00,0.00,140.00M,140.00M,-4.00M,,7.00M,17.00M,,-10.00M,,-393.00M,70.00M,-21.00M,,-1.00M,-345.00M,-55.00M,,2019-10,0.00,-199.00M,0.00,0.00,,-199.00M,,2019-10,0.00,0.00,,-50.00M,-50.00M,-91.00M,-91.00M,5.00M,-1.00M,-137.00M,,2019-10,1.195B,2.00M,806.00M,,2019-10,0.00,0.00,-50.00M,27.00M,37.00M,,2019-10,Restated
2019-07,168.00M,0.00,0.00,139.00M,139.00M,23.00M,,3.00M,23.00M,,0.00,,-83.00M,277.00M,4.00M,,0.00,198.00M,554.00M,,2019-07,0.00,-159.00M,0.00,-21.00M,,-180.00M,,2019-07,0.00,0.00,,-50.00M,-50.00M,-91.00M,-91.00M,7.00M,-1.00M,-135.00M,,2019-07,958.00M,-2.00M,1.195B,,2019-07,0.00,0.00,-50.00M,72.00M,0.00,,2019-07,Restated
2019-04,227.00M,-191.00M,-191.00M,138.00M,138.00M,23.00M,,0.00,24.00M,,7.00M,,-83.00M,-101.00M,25.00M,,-40.00M,-199.00M,29.00M,,2019-04,220.00M,-288.00M,-69.00M,17.00M,,-340.00M,,2019-04,,0.00,,-50.00M,-50.00M,-92.00M,-92.00M,10.00M,-19.00M,-151.00M,,2019-04,1.42B,0.00,958.00M,,2019-04,0.00,,-50.00M,18.00M,38.00M,,2019-04,Restated
2019-01,276.00M,4.00M,4.00M,153.00M,153.00M,32.00M,,,19.00M,,-36.00M,,542.00M,-230.00M,46.00M,,-6.00M,352.00M,814.00M,,2019-01,0.00,-195.00M,0.00,9.00M,-2.00M,-188.00M,,2019-01,,,,-98.00M,-98.00M,-92.00M,-92.00M,6.00M,-1.00M,-185.00M,,2019-01,976.00M,3.00M,1.42B,,2019-01,,,-98.00M,70.00M,-1.00M,,2019-01,Restated
2018-10,266.00M,0.00,0.00,145.00M,145.00M,9.00M,,,24.00M,,-18.00M,,-472.00M,83.00M,-18.00M,,2.00M,-405.00M,21.00M,,2018-10,0.00,-184.00M,0.00,-10.00M,-1.00M,-195.00M,,2018-10,,,,-100.00M,-100.00M,-93.00M,-93.00M,7.00M,-2.00M,-188.00M,,2018-10,1.34B,-2.00M,976.00M,,2018-10,,,-100.00M,12.00M,39.00M,,2018-10,Restated
2018-07,297.00M,0.00,0.00,140.00M,140.00M,18.00M,,,27.00M,,-10.00M,,-178.00M,307.00M,-6.00M,,17.00M,140.00M,612.00M,,2018-07,0.00,-188.00M,0.00,-122.00M,1.00M,-309.00M,,2018-07,,,,-100.00M,-100.00M,-94.00M,-94.00M,13.00M,-2.00M,-183.00M,,2018-07,1.229B,-9.00M,1.34B,,2018-07,,,-100.00M,42.00M,0.00,,2018-07,Restated
