,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-11,379.50M,-5.30M,,,-12.40M,-24.30M,2.30M,,,97.80M,97.80M,,0.50M,14.40M,-10.10M,-140.70M,-44.40M,-23.10M,36.20M,,,-55.50M,-227.50M,,256.90M,,-136.50M,0.40M,-136.10M,,8.60M,0.00,-0.10M,-127.60M,,-760.10M,69.40M,-690.70M,298.60M,,298.60M,-103.80M,-103.80M,0.90M,-5.40M,-500.40M,,439.20M,-371.10M,0.90M,69.00M,,298.60M,988.20M,-1.748B,,,AOR,
2020-08,329.80M,0.00,,,4.00M,-15.50M,-11.50M,,,95.20M,95.20M,,3.40M,16.50M,24.30M,52.40M,-202.80M,-16.70M,-21.70M,,,15.60M,-173.20M,,284.50M,,-145.50M,0.60M,-144.90M,,,1.90M,0.10M,-142.90M,,-133.40M,-0.50M,-133.90M,,,,-103.50M,-103.50M,-9.30M,-12.90M,-259.60M,,554.30M,-118.00M,2.90M,439.20M,,,,-133.40M,,,AOR,
2020-05,201.30M,0.00,,,-6.00M,25.20M,19.20M,,,96.40M,96.40M,,146.40M,30.20M,-0.80M,-6.60M,268.10M,1.00M,124.50M,,,56.40M,443.40M,0.00,936.10M,,-104.20M,5.30M,-98.90M,,3.20M,1.80M,0.00,-93.90M,,-281.60M,0.20M,-281.40M,0.00,,0.00,-103.50M,-103.50M,0.50M,-1.40M,-385.80M,,100.00M,456.40M,-2.10M,554.30M,,0.00,0.00,-281.60M,,,AOR,
2020-02,204.70M,0.70M,,,-1.70M,-16.20M,-17.50M,,,99.10M,99.10M,,7.60M,8.00M,1.50M,91.10M,125.40M,-7.60M,-23.00M,,,-10.30M,175.60M,0.00,479.00M,,-81.60M,2.90M,-78.70M,,52.40M,3.10M,3.50M,-19.70M,,-455.00M,0.40M,-454.60M,0.00,,0.00,-103.40M,-103.40M,5.00M,-0.10M,-553.10M,,193.00M,-93.80M,0.80M,100.00M,,0.00,0.00,-455.00M,,,AOR,
2019-11,261.50M,-0.20M,,,-14.30M,-11.50M,-25.70M,,,96.70M,96.70M,,38.90M,10.80M,13.20M,-170.00M,-32.00M,9.10M,17.10M,,,0.90M,-174.90M,,220.50M,,-77.10M,4.80M,-72.30M,,139.00M,0.80M,-0.20M,67.30M,,-5.10M,-55.50M,-60.60M,0.00,,0.00,-103.40M,-103.40M,2.40M,0.90M,-160.70M,,65.70M,127.10M,0.20M,193.00M,,0.00,0.00,-5.10M,,,AOR,Restated
2019-08,174.30M,1.70M,,,0.20M,-9.10M,-7.20M,,,96.70M,96.70M,,67.00M,10.20M,-2.60M,41.70M,-198.00M,-16.10M,64.90M,,,-23.90M,-131.40M,,207.00M,,-106.60M,1.00M,-105.60M,,,1.30M,-3.20M,-107.50M,,-205.80M,55.00M,-150.80M,,,,-103.30M,-103.30M,-3.10M,-13.60M,-270.80M,,237.60M,-171.30M,-0.60M,65.70M,,,,-205.80M,,,AOR,Restated
2019-05,125.20M,-56.20M,,0.00,2.60M,-4.90M,-53.00M,,,100.40M,100.40M,,90.80M,11.20M,-52.40M,39.30M,65.00M,0.90M,-2.60M,,,44.40M,147.00M,0.00,369.20M,,-117.00M,3.80M,-113.20M,,249.30M,-8.80M,11.00M,138.30M,,-455.60M,1.00M,-454.60M,0.00,,0.00,-103.20M,-103.20M,2.50M,-0.30M,-555.60M,,283.20M,-48.10M,2.50M,237.60M,,0.00,0.00,-455.60M,,,AOR,Restated
2019-02,242.60M,0.00,,0.00,2.70M,-10.80M,-8.10M,,,92.30M,92.30M,,0.70M,3.80M,-24.40M,78.10M,88.20M,1.20M,-1.40M,,,21.40M,187.50M,0.00,494.40M,,-102.80M,1.00M,-101.80M,,0.00,0.00,0.00,-101.80M,,-455.80M,-0.90M,-456.70M,-0.20M,,-0.20M,-86.70M,-86.70M,-0.40M,-7.30M,-551.30M,,443.30M,-158.70M,-1.40M,283.20M,,-0.20M,0.00,-455.80M,,,AOR,Restated
2018-11,134.30M,0.10M,,47.50M,-23.10M,-10.60M,13.90M,,,76.60M,76.60M,,1.80M,7.30M,15.10M,-167.60M,39.90M,2.90M,63.30M,,,-31.50M,-93.00M,11.20M,167.20M,,-47.20M,0.50M,-46.70M,,-5.117B,0.00,0.00,-5.164B,,5.249B,-304.20M,4.945B,555.90M,,555.90M,-83.30M,-83.30M,-1.30M,-50.00M,5.366B,,75.80M,369.50M,-2.00M,443.30M,,555.90M,8.310B,-3.061B,,,AOR,Restated
2018-08,178.20M,-13.30M,,,-3.00M,-11.10M,-27.40M,,,63.70M,63.70M,,0.50M,11.40M,7.40M,-18.90M,-115.10M,-24.10M,-30.40M,,,49.40M,-139.10M,,94.70M,,-86.10M,17.20M,-68.90M,,30.30M,0.00,0.10M,-38.50M,,0.00,26.80M,26.80M,,,,-83.00M,-83.00M,-2.40M,-51.00M,-109.60M,,129.00M,-53.40M,0.20M,75.80M,,,,0.00,,,AOR,Restated
2018-05,70.60M,0.00,,,18.30M,-320.30M,-302.00M,,,63.60M,63.60M,,5.30M,11.20M,148.00M,21.10M,27.00M,8.70M,37.40M,,,20.70M,114.90M,0.30M,111.90M,,-75.70M,0.50M,-75.20M,,0.00,,0.20M,-75.00M,,227.80M,-75.00M,152.80M,0.00,-107.30M,-107.30M,-84.60M,-84.60M,1.90M,-1.70M,-38.90M,,133.90M,-2.00M,-2.90M,129.00M,,0.00,300.00M,-72.20M,-107.30M,,AOR,Restated
2018-02,349.20M,0.00,,,-2.50M,-20.80M,-23.30M,,,64.40M,64.40M,,0.60M,9.00M,13.40M,84.00M,40.70M,-5.60M,-23.50M,,,-105.50M,-9.90M,18.20M,421.60M,,-52.50M,0.60M,-51.90M,,-87.50M,,4.30M,-135.10M,,-165.30M,285.20M,119.90M,0.00,-280.00M,-280.00M,-86.10M,-86.10M,9.00M,-0.30M,-237.50M,,85.00M,49.00M,-0.10M,133.90M,,0.00,0.00,-165.30M,-280.00M,,AOR,Restated
2017-11,224.10M,0.00,,,-20.60M,-11.20M,-31.80M,,,64.30M,64.30M,,2.80M,9.50M,-1.70M,-96.10M,7.90M,6.60M,114.40M,,,-36.80M,-4.00M,21.50M,284.70M,,-80.80M,2.90M,-77.90M,,-249.60M,,,-327.50M,,495.20M,-256.40M,238.80M,0.00,-280.00M,-280.00M,-88.30M,-88.30M,6.40M,-0.30M,-123.40M,,252.40M,-166.20M,-1.20M,85.00M,,0.00,500.00M,-4.80M,-280.00M,,AOR,Restated
2017-08,153.60M,0.00,,,-30.00M,-16.40M,-46.40M,,,64.70M,64.70M,,6.00M,8.20M,5.50M,-13.70M,-138.40M,-6.50M,-23.60M,,,132.10M,-50.10M,-5.50M,136.00M,,-42.60M,4.00M,-38.60M,,0.00,,,-38.60M,,,295.30M,295.30M,,-300.00M,-300.00M,-83.30M,-83.30M,-2.40M,-16.70M,-107.10M,,252.40M,-9.70M,9.70M,252.40M,,,,,-300.00M,,AOR,Restated
