,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-11,2.995B,2.995B,2.106B,888.90M,357.70M,,108.10M,0.40M,-107.70M,357.70M,531.20M,0.40M,108.10M,-107.70M,13.70M,-107.70M,437.20M,80.70M,379.50M,,,-0.60M,,378.90M,378.90M,643.10M,97.80M,545.30M,,0.77,,,0.77,0.77,,0.77,,,0.77,0.77,,489.10M,490.90M,0.275,,AOR,
2020-08,2.679B,2.679B,1.869B,810.20M,300.30M,,114.50M,0.80M,-113.70M,300.30M,509.90M,0.80M,114.50M,-113.70M,13.80M,-113.70M,410.00M,86.70M,329.80M,,,-0.80M,,329.00M,329.00M,619.70M,95.20M,524.50M,,0.67,,,0.67,0.67,,0.67,,,0.67,0.67,,488.20M,489.90M,0.2125,,AOR,
2020-05,3.288B,3.288B,2.365B,922.80M,532.00M,,126.10M,0.80M,-125.30M,532.00M,390.80M,0.80M,126.10M,-125.30M,-27.30M,-125.30M,238.20M,59.80M,201.30M,0.00,,0.10M,,201.40M,201.40M,460.70M,96.40M,364.30M,,0.41,0.00,,0.41,0.41,,0.41,0.00,,0.41,0.41,,493.10M,493.10M,0.2125,,AOR,
2020-02,2.555B,2.555B,1.871B,684.40M,319.90M,,119.00M,1.30M,-117.70M,319.90M,364.50M,1.30M,119.00M,-117.70M,16.40M,-117.70M,263.20M,68.90M,204.70M,0.00,,-0.30M,,204.40M,204.40M,481.30M,99.10M,382.20M,,0.42,0.00,,0.42,0.42,,0.42,0.00,,0.42,0.42,,487.40M,488.80M,0.2125,,AOR,
2019-11,2.821B,2.821B,2.023B,797.90M,369.80M,,121.80M,0.40M,-121.40M,369.80M,428.10M,0.40M,121.80M,-121.40M,11.30M,-121.40M,318.00M,84.10M,261.50M,,,-1.00M,,260.50M,260.50M,536.50M,96.70M,439.80M,,0.53,,,0.53,0.53,,0.53,,,0.53,0.53,,487.30M,488.30M,0.2125,,AOR,Restated
2019-08,2.391B,2.391B,1.726B,664.50M,400.80M,,123.30M,0.60M,-122.70M,400.80M,263.70M,0.60M,123.30M,-122.70M,9.50M,-122.70M,150.50M,-11.50M,174.30M,,,-0.50M,,173.80M,173.80M,370.50M,96.70M,273.80M,,0.36,,,0.36,0.36,,0.36,,,0.36,0.36,,486.80M,487.90M,0.2125,,AOR,Restated
2019-05,2.613B,2.613B,1.905B,708.00M,394.70M,,132.70M,1.80M,-130.90M,394.70M,313.30M,1.80M,132.70M,-130.90M,5.40M,-130.90M,187.80M,71.80M,125.20M,0.00,,1.30M,,126.50M,126.50M,420.90M,100.40M,320.50M,,0.26,0.00,,0.26,0.26,,0.26,0.00,,0.26,0.26,,482.10M,483.10M,0.2125,,AOR,Restated
2019-02,2.707B,2.707B,1.955B,752.30M,334.10M,,132.80M,1.90M,-130.90M,334.10M,418.20M,1.90M,132.80M,-130.90M,9.80M,-130.90M,297.10M,67.20M,242.60M,0.00,,-0.60M,,242.00M,242.00M,522.20M,92.30M,429.90M,,0.50,0.00,,0.50,0.50,,0.50,0.00,,0.50,0.50,,486.20M,487.40M,0.2125,,AOR,Restated
2018-11,2.384B,2.384B,1.706B,677.20M,487.30M,,83.10M,2.50M,-80.60M,487.30M,189.90M,2.50M,83.10M,-80.60M,9.70M,-80.60M,119.00M,22.40M,134.30M,-1.90M,,-0.80M,,131.60M,133.50M,278.70M,76.60M,202.10M,,0.32,-0.01,,0.32,0.31,,0.32,-0.01,,0.32,0.31,,419.90M,421.80M,0.2125,,AOR,Restated
2018-08,1.834B,1.834B,1.319B,515.50M,257.30M,,49.60M,0.60M,-49.00M,257.30M,258.20M,0.60M,49.60M,-49.00M,10.20M,-49.00M,219.40M,57.40M,178.20M,,,0.00,,178.20M,178.20M,332.70M,63.70M,269.00M,,0.45,,,0.45,0.45,,0.45,,,0.45,0.45,,391.70M,394.10M,0.2125,,AOR,Restated
2018-05,1.966B,1.966B,1.391B,575.40M,461.90M,,45.50M,1.00M,-44.50M,461.90M,113.50M,1.00M,45.50M,-44.50M,20.40M,-44.50M,89.40M,36.50M,70.60M,-0.30M,,-0.70M,,69.60M,69.90M,198.50M,63.60M,134.90M,,0.18,0.00,,0.18,0.18,,0.18,0.00,,0.18,0.18,,393.70M,396.30M,0.2125,,AOR,Restated
2018-02,1.994B,1.994B,1.396B,598.80M,352.10M,,40.60M,0.80M,-39.80M,352.10M,246.70M,0.80M,40.60M,-39.80M,21.90M,-39.80M,228.80M,-91.40M,349.20M,14.50M,,-0.90M,,362.80M,348.30M,333.80M,64.40M,269.40M,,0.87,0.04,,0.87,0.91,,0.87,0.03,,0.87,0.90,,399.10M,402.50M,0.2125,,AOR,Restated
2017-11,2.173B,2.173B,1.515B,658.30M,324.80M,,39.10M,1.10M,-38.00M,324.80M,333.50M,1.10M,39.10M,-38.00M,17.50M,-38.00M,313.00M,109.50M,224.10M,0.40M,,-1.00M,,223.50M,223.10M,416.40M,64.30M,352.10M,,0.55,0.00,,0.55,0.55,,0.54,0.00,,0.54,0.54,,406.50M,410.40M,0.2125,,AOR,Restated
2017-08,1.804B,1.804B,1.285B,519.00M,259.60M,,37.30M,0.90M,-36.40M,259.60M,259.40M,0.90M,37.30M,-36.40M,20.60M,-36.40M,243.60M,120.00M,153.60M,-0.30M,,-0.80M,,152.50M,152.80M,345.60M,64.70M,280.90M,,0.37,0.00,,0.37,0.37,,0.36,0.00,,0.36,0.36,,415.10M,419.20M,0.2125,,AOR,Restated
2017-05,1.862B,1.862B,1.331B,530.70M,474.70M,,38.40M,0.90M,-37.50M,474.70M,56.00M,0.90M,38.40M,-37.50M,,-37.50M,73.70M,-60.80M,153.60M,-1.70M,,-0.60M,,151.30M,153.00M,180.30M,68.20M,112.10M,,0.36,0.00,,0.36,0.36,,0.36,0.00,,0.36,0.36,,419.60M,424.00M,0.20,,AOR,Restated
2017-02,1.981B,1.981B,1.360B,621.00M,349.70M,,47.00M,1.30M,-45.70M,349.70M,271.30M,1.30M,47.00M,-45.70M,,-45.70M,225.60M,67.90M,179.50M,0.70M,,-0.50M,,179.70M,179.00M,338.90M,66.30M,272.60M,,0.41,0.01,,0.41,0.42,,0.41,0.00,,0.41,0.41,,431.70M,436.40M,0.20,,AOR,Restated
2016-11,2.088B,2.088B,1.441B,647.50M,417.90M,,54.90M,0.80M,-54.10M,417.90M,229.60M,0.80M,54.90M,-54.10M,,-54.10M,175.50M,78.40M,114.30M,11.60M,,-3.80M,,122.10M,110.50M,296.70M,66.30M,230.40M,,0.26,0.02,,0.26,0.28,,0.26,0.02,,0.26,0.28,,437.70M,441.30M,0.25,,AOR,Restated
2016-08,1.896B,1.896B,1.351B,544.60M,231.70M,,58.90M,0.70M,-58.20M,231.70M,312.90M,0.70M,58.90M,-58.20M,,-58.20M,254.70M,169.20M,98.60M,91.40M,,-3.80M,,186.20M,94.80M,380.80M,67.20M,313.60M,,0.22,0.20,,0.22,0.42,,0.22,0.20,,0.22,0.42,,439.00M,442.70M,0.25,,AOR,Restated
2016-05,2.053B,2.053B,1.473B,580.10M,731.60M,,60.70M,0.60M,-60.10M,731.60M,-151.50M,0.60M,60.70M,-60.10M,,-60.10M,-211.60M,-79.60M,-116.60M,237.50M,,-3.30M,,117.60M,-119.90M,-83.00M,67.90M,-150.90M,,-0.07,0.34,,-0.07,0.27,,-0.07,0.34,,-0.07,0.27,,437.70M,441.20M,0.25,,AOR,Restated
2016-02,2.199B,2.199B,1.580B,619.80M,447.00M,,76.90M,0.50M,-76.40M,447.00M,172.80M,0.50M,76.90M,-76.40M,,-76.40M,96.40M,33.60M,71.40M,134.90M,,-1.70M,,204.60M,69.70M,242.70M,69.40M,173.30M,,0.16,0.30,,0.16,0.46,,0.16,0.30,,0.16,0.46,,435.70M,439.60M,0.25,,AOR,Restated
2015-11,2.359B,2.359B,1.691B,668.00M,483.20M,,79.20M,0.00,-79.20M,483.20M,184.80M,0.00,79.20M,-79.20M,,-79.20M,105.60M,43.10M,80.10M,79.20M,,-4.40M,,154.90M,75.70M,234.30M,49.50M,184.80M,,0.18,0.18,,0.18,0.36,,0.18,0.17,,0.18,0.35,,433.80M,437.90M,0.25,,AOR,Restated
2015-08,2.795B,2.795B,2.094B,701.10M,405.40M,,80.50M,0.20M,-80.30M,405.40M,295.70M,0.20M,80.50M,-80.30M,,-80.30M,215.40M,85.00M,167.40M,-1.320B,,-1.70M,,-1.154B,165.70M,387.60M,91.70M,295.90M,,0.38,-3.06,,0.38,-2.68,,0.38,-3.06,,0.38,-2.68,,430.70M,435.70M,0.25,,AOR,Restated
2015-05,222.50M,222.50M,-4.70M,227.20M,237.30M,,86.40M,0.00,-86.40M,237.30M,-10.10M,0.00,86.40M,-86.40M,,-86.40M,-96.50M,-35.20M,-74.50M,286.00M,,-2.30M,,209.20M,-76.80M,-9.30M,0.80M,-10.10M,,0.48,0.01,,0.48,0.49,,0.47,0.01,,0.47,0.48,,427.90M,432.80M,0.25,,AOR,Restated
2015-02,2.907B,2.907B,2.187B,720.00M,360.30M,,80.00M,0.20M,-79.80M,360.30M,359.70M,0.20M,80.00M,-79.80M,,-79.80M,279.90M,100.60M,212.30M,-1.165B,,-1.40M,,-954.10M,210.90M,452.30M,92.40M,359.90M,,0.49,-2.72,,0.49,-2.23,,0.49,-2.72,,0.49,-2.23,,427.10M,432.30M,0.25,,AOR,Restated
2014-11,3.136B,3.136B,2.379B,757.30M,392.00M,,79.00M,0.30M,-78.70M,392.00M,365.30M,0.30M,79.00M,-78.70M,,-78.70M,286.60M,101.90M,218.70M,-202.80M,,-5.90M,,10.00M,212.80M,461.00M,95.40M,365.60M,,0.50,-0.48,,0.50,0.02,,0.49,-0.48,,0.49,0.02,,425.70M,430.80M,0.25,,AOR,Restated
2014-08,2.763B,2.763B,2.172B,590.80M,393.80M,,83.80M,0.50M,-83.30M,393.80M,197.00M,0.50M,83.80M,-83.30M,,-83.30M,113.70M,43.10M,96.20M,388.30M,,-2.20M,,482.30M,94.00M,293.50M,96.00M,197.50M,,0.22,0.92,,0.22,1.14,,0.22,0.90,,0.22,1.12,,423.90M,429.30M,0.25,,AOR,Restated
2014-05,-46.00M,-46.00M,-298.40M,252.40M,152.80M,,91.90M,0.70M,-91.20M,152.80M,99.60M,0.70M,91.90M,-91.20M,,-91.20M,8.40M,-34.80M,55.30M,-376.70M,,-2.80M,,-324.20M,52.50M,100.30M,-72.90M,100.30M,,-0.76,-0.01,,-0.76,-0.77,,-0.76,-0.01,,-0.76,-0.77,,421.90M,427.80M,0.25,,AOR,Restated
2014-02,3.947B,3.947B,3.024B,923.10M,534.90M,,95.30M,0.30M,-95.00M,534.90M,388.20M,0.30M,95.30M,-95.00M,,-95.00M,293.20M,78.20M,226.10M,10.80M,,-2.60M,,234.30M,223.50M,538.20M,149.70M,388.50M,,0.53,0.03,,0.53,0.56,,0.52,0.03,,0.52,0.55,,421.20M,427.30M,0.25,,AOR,Restated
2013-11,4.221B,4.221B,3.261B,959.80M,553.10M,,96.30M,0.80M,-95.50M,553.10M,406.70M,0.80M,96.30M,-95.50M,,-95.50M,311.20M,106.00M,210.40M,42.00M,,-3.70M,,248.70M,206.70M,545.50M,138.00M,407.50M,,0.49,0.10,,0.49,0.59,,0.48,0.10,,0.48,0.58,,421.10M,427.00M,0.25,,AOR,Restated
