,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-11,68.00M,68.00M,948.50M,,948.50M,354.70M,204.60M,1.064B,,1.623B,156.90M,,2.798B,,,,,,,5.425B,-2.947B,2.478B,11.39B,4.278B,15.67B,1.329B,19.48B,22.28B,,1.598B,1.598B,760.90M,2.359B,368.60M,618.40M,987.00M,,987.00M,,,5.40M,3.351B,,8.280B,,8.280B,,,,,77.50M,,2.176B,10.46B,13.81B,,2.921B,5.939B,2.312B,2.695B,,,,-85.10M,8.392B,,AOR,
2020-08,438.20M,438.20M,807.80M,,807.80M,361.20M,160.40M,1.058B,,1.580B,108.40M,,2.935B,,,,,,,5.311B,-2.880B,2.431B,11.44B,4.303B,15.74B,1.269B,19.44B,22.38B,,1.523B,1.523B,859.40M,2.383B,0.60M,718.60M,719.20M,,719.20M,,,,3.102B,,8.898B,,8.898B,,,,,77.60M,,2.179B,11.08B,14.18B,,2.921B,5.695B,2.298B,2.696B,,,,-95.80M,8.121B,,AOR,
2020-05,553.30M,553.30M,860.80M,,860.80M,364.90M,125.20M,887.80M,,1.378B,93.90M,,2.886B,0.00,145.30M,4.145B,656.20M,,243.80M,5.190B,-2.800B,2.390B,11.44B,4.316B,15.75B,1.276B,19.42B,22.30B,,1.526B,1.526B,915.20M,2.441B,1.10M,845.50M,846.60M,,846.60M,,,,3.287B,61.50M,8.901B,206.10M,9.107B,1.330B,1.330B,63.10M,324.90M,74.60M,,179.40M,11.07B,14.35B,,2.921B,5.471B,2.323B,2.730B,,,,-109.60M,7.876B,,AOR,
2020-02,99.00M,99.00M,854.20M,,854.20M,346.60M,175.50M,1.124B,,1.646B,105.00M,,2.709B,,,,,,,5.079B,-2.761B,2.318B,11.44B,4.479B,15.92B,1.252B,19.49B,22.20B,,1.357B,1.357B,845.10M,2.202B,0.80M,923.80M,924.60M,,924.60M,,,,3.127B,,9.094B,,9.094B,,,,,78.90M,,2.117B,11.21B,14.34B,,2.921B,5.375B,2.293B,2.732B,,,,-72.00M,7.785B,,AOR,
2019-11,192.00M,192.00M,947.60M,,947.60M,338.60M,217.40M,1.214B,,1.770B,100.50M,,3.030B,,,,,,,4.983B,-2.661B,2.322B,11.44B,4.494B,15.94B,1.204B,19.46B,22.49B,,1.442B,1.442B,809.40M,2.251B,0.50M,1.174B,1.174B,,1.174B,,,0.50M,3.426B,,9.296B,,9.296B,,,,,78.50M,,2.080B,11.38B,14.80B,,2.921B,5.275B,2.287B,2.740B,,,,-131.00M,7.612B,,AOR,Restated
2019-08,64.70M,64.70M,776.30M,,776.30M,331.80M,155.80M,1.268B,,1.756B,108.70M,,2.728B,,,,,,,4.997B,-2.649B,2.348B,11.46B,4.525B,15.99B,1.291B,19.63B,22.35B,,1.317B,1.317B,919.90M,2.237B,56.00M,150.10M,206.10M,,206.10M,,,7.00M,2.450B,,10.32B,,10.32B,,,,,76.70M,,2.059B,12.39B,14.84B,,2.921B,5.118B,2.278B,2.744B,,,,-132.40M,7.440B,,AOR,Restated
2019-05,236.60M,236.60M,818.20M,,818.20M,338.90M,126.90M,1.083B,,1.549B,93.40M,,2.734B,0.00,141.70M,3.915B,677.50M,,172.00M,4.906B,-2.579B,2.327B,11.44B,4.539B,15.97B,1.178B,19.48B,22.21B,,1.252B,1.252B,863.80M,2.116B,1.00M,20.60M,21.60M,,21.60M,,,5.10M,2.143B,56.80M,10.66B,0.00,10.66B,1.349B,1.349B,74.10M,262.50M,79.10M,,209.40M,12.61B,14.75B,,2.921B,5.048B,2.286B,2.760B,,,,-110.30M,7.385B,,AOR,Restated
2019-02,282.20M,282.20M,870.20M,,870.20M,350.80M,184.50M,1.103B,,1.639B,107.60M,,2.946B,,,,,,,4.888B,-2.529B,2.359B,11.35B,4.962B,16.31B,1.110B,19.78B,22.73B,,1.189B,1.189B,1.019B,2.208B,0.00,,0.00,19.90M,19.90M,,,13.90M,2.242B,,11.11B,,11.11B,,,,,78.50M,,1.919B,13.03B,15.28B,,2.921B,5.025B,2.277B,2.765B,,,,-85.70M,7.373B,,AOR,Restated
2018-11,442.30M,442.30M,958.10M,,958.10M,339.50M,211.10M,1.179B,,1.730B,108.70M,,3.275B,,,,,,,4.876B,-2.515B,2.361B,11.17B,5.132B,16.30B,1.071B,19.73B,23.01B,,1.246B,1.246B,970.30M,2.216B,0.90M,,0.90M,17.20M,18.10M,,,,2.234B,,11.55B,,11.55B,,,,,79.20M,,1.924B,13.47B,15.70B,,2.921B,4.886B,2.281B,2.773B,,,,-91.50M,7.224B,,AOR,Restated
2018-08,74.80M,74.80M,599.20M,,599.20M,237.10M,94.80M,776.60M,,1.108B,224.70M,,2.046B,,,,,,,4.112B,-2.476B,1.636B,4.499B,1.275B,5.775B,1.028B,8.438B,10.48B,,984.00M,984.00M,837.80M,1.822B,304.10M,307.50M,611.60M,,611.60M,,,,2.433B,,3.234B,,3.234B,,,,,78.50M,,1.003B,4.237B,6.67B,,2.840B,4.842B,1.166B,4.955B,,,,-155.70M,3.736B,,AOR,Restated
