,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,766.10M,,766.10M,1.066B,1.066B,322.90M,82.00M,111.40M,,516.30M,254.80M,,,,2.603B,0.00,44.40M,264.10M,490.40M,132.50M,49.90M,981.30M,-515.40M,465.90M,623.90M,271.30M,895.20M,133.00M,25.20M,110.30M,1.859B,4.462B,,2020-09,194.90M,28.80M,223.70M,181.20M,404.90M,,355.00M,355.00M,30.60M,385.60M,782.20M,875.60M,17.40M,,1.854B,,101.10M,101.10M,169.70M,19.80M,9.30M,,61.50M,,2020-09,91.20M,1.133B,937.00M,-85.70M,2.076B,,2020-09,AOR,
2020-06,769.20M,,769.20M,987.40M,987.40M,372.70M,81.00M,146.70M,,600.40M,274.70M,,,,2.632B,,,,,469.90M,,469.90M,,469.90M,607.40M,265.70M,873.10M,,,,1.823B,4.454B,,2020-06,164.50M,,164.50M,468.50M,633.00M,,,580.00M,,580.00M,778.40M,778.40M,,,1.991B,,102.60M,102.60M,154.20M,28.20M,9.60M,,70.10M,,2020-06,90.90M,1.055B,901.20M,-113.50M,1.934B,,2020-06,AOR,
2020-03,667.80M,,667.80M,1.005B,1.005B,412.60M,80.80M,110.60M,,604.00M,224.30M,,,,2.501B,,,,,465.70M,,465.70M,,465.70M,614.70M,281.60M,896.30M,,,,1.843B,4.344B,,2020-03,198.40M,,198.40M,433.20M,631.60M,,,520.00M,,520.00M,798.10M,798.10M,,,1.950B,,100.40M,100.40M,149.50M,28.70M,9.90M,,76.20M,,2020-03,90.70M,993.70M,878.20M,-101.80M,1.861B,,2020-03,AOR,
2019-12,721.90M,,721.90M,1.079B,1.079B,,,,,597.40M,248.50M,,,,2.647B,,,,,444.40M,,444.40M,,444.40M,612.40M,290.90M,903.30M,,,,1.804B,4.451B,,2019-12,215.30M,,215.30M,471.20M,686.50M,,,542.00M,,542.00M,817.90M,817.90M,,,2.046B,,93.70M,93.70M,157.00M,30.40M,10.00M,,85.10M,,2019-12,90.70M,983.20M,870.40M,-97.00M,1.847B,,2019-12,AOR,
2019-09,531.40M,,531.40M,1.106B,1.106B,376.50M,71.80M,103.20M,,551.50M,206.20M,,,,2.395B,0.00,44.20M,242.50M,456.20M,,42.90M,785.80M,-474.30M,311.50M,612.20M,300.70M,912.90M,122.40M,67.50M,74.30M,1.706B,4.102B,,2019-09,248.50M,39.80M,288.30M,149.80M,438.10M,,410.00M,410.00M,,410.00M,766.00M,874.00M,33.00M,,1.884B,,0.00,0.00,148.40M,31.10M,9.30M,,80.30M,,2019-09,90.80M,934.00M,845.60M,-102.10M,1.768B,,2019-09,AOR,Restated
2019-06,520.70M,,520.70M,1.054B,1.054B,368.80M,72.80M,87.70M,,529.30M,237.00M,,,,2.341B,,,,,,,,,307.40M,566.90M,273.10M,840.00M,,,,1.626B,3.967B,,2019-06,226.10M,,226.10M,433.10M,659.20M,,,401.00M,,401.00M,749.70M,749.70M,,,1.810B,,,,151.70M,,13.70M,,65.40M,,2019-06,91.00M,890.70M,831.40M,-69.50M,1.744B,,2019-06,AOR,Restated
2019-03,546.30M,,546.30M,1.029B,1.029B,331.00M,67.00M,80.00M,,478.00M,207.70M,,,,2.261B,,,,,,,,,268.40M,309.30M,90.80M,400.10M,,,,1.129B,3.390B,,2019-03,208.70M,,208.70M,352.20M,560.90M,,,,,,757.90M,757.90M,,,1.319B,,,,94.70M,,4.80M,,55.40M,,2019-03,91.20M,902.30M,813.60M,-71.80M,1.735B,,2019-03,AOR,Restated
2018-12,616.00M,,616.00M,989.50M,989.50M,330.00M,61.80M,77.80M,,469.60M,223.50M,,,,2.301B,,,,,,,,,270.10M,310.70M,97.30M,408.00M,,,,1.070B,3.371B,,2018-12,198.10M,,198.10M,396.30M,594.40M,,,,,,738.60M,738.60M,,,1.333B,,,,106.10M,,5.00M,,57.40M,,2018-12,91.20M,855.50M,799.30M,-69.00M,1.677B,,2018-12,AOR,Restated
2018-09,504.80M,,504.80M,1.010B,1.010B,304.10M,50.60M,83.40M,,438.10M,233.30M,,,,2.188B,0.00,44.20M,227.00M,404.00M,,28.60M,703.80M,-429.20M,274.60M,293.60M,101.10M,394.70M,62.50M,44.00M,71.70M,1.064B,3.253B,,2018-09,190.30M,49.00M,239.30M,144.00M,383.30M,,,,,,729.70M,805.30M,1.20M,,1.340B,,,,70.00M,8.60M,4.30M,,56.60M,,2018-09,91.20M,780.40M,778.10M,-65.30M,1.584B,,2018-09,AOR,Restated
2018-06,536.00M,,536.00M,933.60M,933.60M,334.40M,54.20M,80.60M,,469.20M,249.80M,,,,2.193B,,,,,,,,,265.90M,239.90M,79.40M,319.30M,,,,978.80M,3.172B,,2018-06,189.20M,,189.20M,379.00M,568.20M,,,18.20M,,18.20M,790.20M,790.20M,,2.50M,1.379B,,,,28.10M,,4.30M,,62.00M,,2018-06,91.50M,704.60M,771.80M,-70.70M,1.497B,,2018-06,AOR,Restated
