,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,850.50M,850.50M,475.80M,374.70M,174.50M,77.20M,13.40M,-24.60M,2.10M,1.60M,-0.50M,,251.70M,123.00M,1.60M,2.10M,-0.50M,-14.50M,-0.50M,108.00M,31.50M,76.50M,,,0.10M,135.40M,25.30M,110.10M,,2020-09,,1.072,0.84,,2020-09,,1.061,0.83,91.20M,91.80M,0.00,,2020-09,AOR,
2020-06,694.30M,694.30M,395.80M,298.50M,145.00M,65.30M,23.10M,-28.30M,2.90M,2.70M,-0.20M,,210.30M,88.20M,2.70M,2.90M,-0.20M,-3.20M,-0.20M,84.80M,23.90M,60.90M,,,0.30M,111.70M,24.00M,87.70M,,2020-06,,0.9033,0.67,,2020-06,,0.9022,0.67,90.80M,91.20M,0.00,,2020-06,AOR,
2020-03,794.50M,794.50M,457.30M,337.20M,175.30M,71.00M,40.50M,-36.00M,4.30M,3.10M,-1.20M,,246.30M,90.90M,3.10M,4.30M,-1.20M,-36.90M,-1.20M,52.80M,9.70M,43.10M,,,0.10M,81.50M,24.40M,57.10M,,2020-03,,0.8161,0.48,,2020-03,,0.8035,0.47,90.70M,91.40M,0.00,,2020-03,AOR,
2019-12,828.90M,828.90M,462.10M,366.80M,177.00M,67.10M,,-12.70M,4.70M,3.00M,-1.70M,,244.10M,122.70M,3.00M,4.70M,-1.70M,-8.30M,-1.70M,112.70M,23.80M,88.90M,,,-0.70M,142.60M,25.20M,117.40M,,2019-12,,1.060,0.97,,2019-12,,1.049,0.96,90.90M,91.70M,0.00,,2019-12,AOR,
2019-09,878.90M,878.90M,494.30M,384.60M,181.60M,65.20M,0.00,-27.00M,4.80M,3.50M,-1.30M,,246.80M,137.80M,3.50M,4.80M,-1.30M,-26.10M,-1.30M,110.40M,40.00M,70.40M,,,0.30M,150.80M,35.60M,115.20M,,2019-09,,1.158,0.98,,2019-09,,1.146,0.97,91.00M,91.90M,0.00,,2019-09,AOR,Restated
2019-06,825.80M,825.80M,474.40M,351.40M,153.60M,62.10M,50.60M,-81.80M,1.80M,3.70M,1.90M,,215.70M,135.70M,3.70M,1.80M,1.90M,-77.60M,1.90M,60.00M,30.50M,29.50M,,,-0.10M,82.00M,20.20M,61.80M,,2019-06,,0.9618,0.32,,2019-06,,0.9562,0.32,91.00M,91.80M,0.00,,2019-06,AOR,Restated
2019-03,779.40M,779.40M,461.20M,318.20M,146.80M,59.40M,0.00,-2.20M,1.00M,4.00M,3.00M,,206.20M,112.00M,4.00M,1.00M,3.00M,-2.00M,3.00M,113.00M,24.60M,88.40M,,,0.20M,133.70M,19.70M,114.00M,,2019-03,,0.9932,0.97,,2019-03,,0.9830,0.96,91.00M,91.90M,0.00,,2019-03,AOR,Restated
2018-12,741.00M,741.00M,424.90M,316.10M,141.10M,60.90M,,-2.40M,1.20M,3.90M,2.70M,,202.00M,114.10M,3.90M,1.20M,2.70M,20.60M,2.70M,137.40M,33.50M,103.90M,,,-0.70M,156.10M,17.50M,138.60M,,2018-12,,1.139,1.13,,2018-12,,1.129,1.12,91.00M,92.00M,0.00,,2018-12,AOR,Restated
2018-09,801.60M,801.60M,462.90M,338.70M,143.20M,59.60M,0.30M,-2.80M,1.10M,8.70M,7.60M,,202.80M,135.90M,8.70M,1.10M,7.60M,-1.50M,7.60M,142.00M,25.20M,116.80M,,,-0.40M,162.30M,19.20M,143.10M,,2018-09,,1.281,1.27,,2018-09,,1.271,1.26,91.20M,92.20M,0.00,,2018-09,AOR,Restated
2018-06,709.10M,709.10M,395.50M,313.60M,140.40M,59.50M,11.00M,-23.70M,1.30M,1.80M,0.50M,,199.90M,113.70M,1.80M,1.30M,0.50M,-22.20M,0.50M,92.00M,19.50M,72.50M,,,0.10M,111.00M,17.70M,93.30M,,2018-06,,0.9872,0.79,,2018-06,,0.9851,0.79,91.50M,92.50M,0.00,,2018-06,AOR,Restated
