,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2020-10,,2.471B,178.00M,2.649B,,,2.747B,2.747B,,,,966.00M,6.362B,,,,,13.20B,,,13.20B,-5.891B,7.306B,,,,,,,705.00M,8.011B,14.37B,2.284B,41.00M,2.325B,1.283B,3.608B,,,,,,823.00M,823.00M,,,,4.431B,,2.214B,4.899B,7.113B,,,,458.00M,7.571B,12.00B,19.00M,2.268B,60.00M,,24.00M,2.371B
2020-07,,2.188B,25.00M,2.213B,,,2.242B,2.242B,,,,882.00M,5.337B,,,,,13.52B,,,13.52B,-5.933B,7.584B,,,,,,,795.00M,8.379B,13.72B,1.629B,40.00M,1.669B,1.124B,2.793B,,,,,,856.00M,856.00M,,,,3.649B,,2.212B,5.179B,7.391B,,,,423.00M,7.814B,11.46B,19.00M,2.173B,39.00M,,22.00M,2.253B
2020-04,,1.028B,51.00M,1.079B,,,2.217B,2.217B,,,,920.00M,4.216B,,,,,13.68B,,,13.68B,-5.886B,7.796B,,,,,,,698.00M,8.494B,12.71B,971.00M,23.00M,994.00M,1.051B,2.045B,,,500.00M,,500.00M,886.00M,1.386B,,,,3.431B,,1.25B,5.331B,6.581B,,,,381.00M,6.962B,10.39B,19.00M,2.235B,17.00M,,46.00M,2.317B
2020-01,1.053B,1.364B,290.00M,1.654B,316.00M,316.00M,2.156B,2.156B,225.00M,,,155.00M,4.516B,0.0,1.408B,,4.428B,5.402B,202.00M,2.923B,14.36B,-5.839B,8.524B,109.00M,121.00M,230.00M,256.00M,,,153.00M,9.163B,13.68B,1.174B,48.00M,1.222B,57.00M,1.279B,74.00M,,,,,920.00M,920.00M,226.00M,226.00M,419.00M,3.209B,56.00M,1.249B,5.508B,6.757B,,50.00M,,139.00M,7.154B,10.36B,19.00M,3.257B,0.00,,40.00M,3.316B
2019-10,,788.00M,294.00M,1.082B,,,2.72B,2.72B,,,,770.00M,4.572B,,,,,15.02B,,,15.02B,-5.999B,9.021B,,,,,,,525.00M,9.546B,14.12B,1.241B,43.00M,1.284B,974.00M,2.258B,,,,,,934.00M,934.00M,,,,3.192B,,1.249B,5.65B,6.899B,,,,393.00M,7.292B,10.48B,19.00M,3.573B,0.00,,42.00M,3.634B
2019-07,,1.177B,294.00M,1.471B,,,2.326B,2.326B,,,,770.00M,4.567B,,,,,14.87B,,,14.87B,-5.926B,8.948B,,,,,,,528.00M,9.476B,14.04B,1.246B,34.00M,1.28B,908.00M,2.188B,,,,,,946.00M,946.00M,,,,3.134B,,1.249B,5.644B,6.893B,,,,391.00M,7.284B,10.42B,19.00M,3.551B,0.00,,55.00M,3.625B
2019-04,,941.00M,272.00M,1.213B,,,2.242B,2.242B,,,,757.00M,4.212B,,,,,14.73B,,,14.73B,-5.871B,8.861B,,,,,,,547.00M,9.408B,13.62B,994.00M,26.00M,1.02B,882.00M,1.902B,,,,,,929.00M,929.00M,,,,2.831B,,1.249B,5.597B,6.846B,,,,372.00M,7.218B,10.05B,19.00M,3.495B,0.00,,57.00M,3.571B
2019-01,708.00M,1.081B,288.00M,1.369B,321.00M,321.00M,2.131B,2.131B,259.00M,,,151.00M,4.251B,0.0,1.123B,,4.257B,,183.00M,3.104B,8.667B,-5.755B,2.912B,109.00M,92.00M,201.00M,151.00M,,,534.00M,3.798B,8.049B,1.126B,24.00M,1.15B,41.00M,1.191B,78.00M,,,,,0.00,0.00,227.00M,328.00M,323.00M,2.174B,52.00M,1.249B,0.00,1.249B,,736.00M,,167.00M,2.322B,4.496B,19.00M,3.481B,0.00,,53.00M,3.553B
2018-10,,958.00M,296.00M,1.254B,,,2.668B,2.668B,,,,792.00M,4.714B,,,,,,,,8.999B,-6.112B,2.887B,,,,,,,572.00M,3.459B,8.173B,1.299B,24.00M,1.323B,1.07B,2.393B,,,,,,,,,,,2.393B,,1.249B,,1.249B,,,,1.091B,2.34B,4.733B,19.00M,3.368B,0.00,,53.00M,3.44B
2018-07,,1.322B,286.00M,1.608B,,,2.202B,2.202B,,,,780.00M,4.59B,,,,,,,,8.895B,-6.063B,2.832B,,,,,,,588.00M,3.42B,8.01B,1.297B,18.00M,1.315B,1.026B,2.341B,,,,,,,,,,,2.341B,,1.249B,,1.249B,,,,1.08B,2.329B,4.67B,19.00M,3.268B,0.00,,53.00M,3.34B
