,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-10,95.00M,0.00,0.00,125.00M,125.00M,51.00M,,0.00,20.00M,,4.00M,,-499.00M,817.00M,-97.00M,,-30.00M,191.00M,486.00M,-80.00M,0.00,-80.00M,0.00,-155.00M,0.00,-235.00M,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,4.00M,0.00,4.00M,2.241B,255.00M,3.00M,2.499B,,0.00,0.00,0.00,-45.00M,2.00M
2020-07,-62.00M,0.00,58.00M,126.00M,126.00M,-84.00M,,4.00M,17.00M,,1.00M,,-12.00M,806.00M,8.00M,,-9.00M,793.00M,853.00M,-86.00M,0.00,-86.00M,0.00,28.00M,2.00M,-56.00M,-1.307B,1.75B,443.00M,,0.00,0.00,0.00,0.00,6.00M,-62.00M,387.00M,1.048B,1.184B,9.00M,2.241B,,2.25B,-1.807B,0.00,16.00M,1.00M
2020-04,-932.00M,0.00,0.00,130.00M,130.00M,-41.00M,,484.00M,18.00M,,3.00M,,-79.00M,-611.00M,126.00M,,-38.00M,-602.00M,-940.00M,-122.00M,0.00,-122.00M,0.00,238.00M,,116.00M,,500.00M,500.00M,,0.00,0.00,0.00,0.00,6.00M,-7.00M,499.00M,1.381B,-325.00M,-8.00M,1.048B,,500.00M,,0.00,37.00M,38.00M
2020-01,-184.00M,70.00M,70.00M,140.00M,140.00M,-123.00M,,327.00M,4.00M,,-7.00M,,563.00M,16.00M,97.00M,,-20.00M,656.00M,883.00M,-179.00M,0.00,-179.00M,0.00,4.00M,,-175.00M,0.00,,0.00,,-50.00M,-50.00M,-90.00M,-90.00M,3.00M,0.00,-137.00M,806.00M,571.00M,4.00M,1.381B,,,0.00,-50.00M,59.00M,1.00M
2019-10,140.00M,0.00,0.00,140.00M,140.00M,-4.00M,,7.00M,17.00M,,-10.00M,,-393.00M,70.00M,-21.00M,,-1.00M,-345.00M,-55.00M,-199.00M,0.00,-199.00M,0.00,0.00,,-199.00M,0.00,0.00,0.00,,-50.00M,-50.00M,-91.00M,-91.00M,5.00M,-1.00M,-137.00M,1.195B,-391.00M,2.00M,806.00M,,0.00,0.00,-50.00M,27.00M,37.00M
2019-07,168.00M,0.00,0.00,139.00M,139.00M,23.00M,,3.00M,23.00M,,0.00,,-83.00M,277.00M,4.00M,,0.00,198.00M,554.00M,-159.00M,0.00,-159.00M,0.00,-21.00M,,-180.00M,0.00,0.00,0.00,,-50.00M,-50.00M,-91.00M,-91.00M,7.00M,-1.00M,-135.00M,958.00M,239.00M,-2.00M,1.195B,,0.00,0.00,-50.00M,72.00M,0.00
2019-04,227.00M,-191.00M,-191.00M,138.00M,138.00M,23.00M,,0.00,24.00M,,7.00M,,-83.00M,-101.00M,25.00M,,-40.00M,-199.00M,29.00M,-508.00M,220.00M,-288.00M,-69.00M,17.00M,,-340.00M,,0.00,0.00,,-50.00M,-50.00M,-92.00M,-92.00M,10.00M,-19.00M,-151.00M,1.42B,-462.00M,0.00,958.00M,,0.00,,-50.00M,18.00M,38.00M
2019-01,276.00M,4.00M,4.00M,153.00M,153.00M,32.00M,,,19.00M,,-36.00M,,542.00M,-230.00M,46.00M,,-6.00M,352.00M,814.00M,-195.00M,0.00,-195.00M,0.00,9.00M,-2.00M,-188.00M,,,,,-98.00M,-98.00M,-92.00M,-92.00M,6.00M,-1.00M,-185.00M,976.00M,441.00M,3.00M,1.42B,,,,-98.00M,70.00M,-1.00M
2018-10,266.00M,0.00,0.00,145.00M,145.00M,9.00M,,,24.00M,,-18.00M,,-472.00M,83.00M,-18.00M,,2.00M,-405.00M,21.00M,-184.00M,0.00,-184.00M,0.00,-10.00M,-1.00M,-195.00M,,,,,-100.00M,-100.00M,-93.00M,-93.00M,7.00M,-2.00M,-188.00M,1.34B,-362.00M,-2.00M,976.00M,,,,-100.00M,12.00M,39.00M
2018-07,297.00M,0.00,0.00,140.00M,140.00M,18.00M,,,27.00M,,-10.00M,,-178.00M,307.00M,-6.00M,,17.00M,140.00M,612.00M,-188.00M,0.00,-188.00M,0.00,-122.00M,1.00M,-309.00M,,,,,-100.00M,-100.00M,-94.00M,-94.00M,13.00M,-2.00M,-183.00M,1.229B,120.00M,-9.00M,1.34B,,,,-100.00M,42.00M,0.00
2018-04,164.00M,0.00,0.00,140.00M,140.00M,6.00M,,,21.00M,,-7.00M,,-46.00M,-321.00M,-40.00M,,17.00M,-390.00M,-66.00M,-138.00M,0.00,-138.00M,0.00,-164.00M,-7.00M,-309.00M,,,,,-100.00M,-100.00M,-94.00M,-94.00M,20.00M,-19.00M,-193.00M,1.799B,-568.00M,-2.00M,1.229B,,,,-100.00M,19.00M,38.00M
2018-01,205.00M,,,141.00M,141.00M,111.00M,,,27.00M,,-32.00M,,494.00M,-305.00M,93.00M,,7.00M,289.00M,780.00M,-268.00M,6.00M,-262.00M,,0.00,,-263.00M,,67.00M,0.00,,-15.00M,-15.00M,-89.00M,-89.00M,7.00M,-3.00M,-100.00M,1.37B,417.00M,12.00M,1.799B,,,0.00,-15.00M,310.00M,0.00
2017-10,229.00M,,,139.00M,139.00M,-23.00M,,,18.00M,,-3.00M,,-433.00M,197.00M,-37.00M,,27.00M,-246.00M,114.00M,-188.00M,1.00M,-187.00M,,0.00,,-187.00M,,0.00,0.00,,-100.00M,-100.00M,-90.00M,-90.00M,9.00M,-1.00M,-182.00M,1.626B,-255.00M,-1.00M,1.37B,,,0.00,-100.00M,130.00M,38.00M
2017-07,271.00M,,,141.00M,141.00M,-17.00M,,,22.00M,,-3.00M,,-70.00M,114.00M,-81.00M,,18.00M,-19.00M,395.00M,-165.00M,45.00M,-120.00M,,0.00,,-120.00M,,-67.00M,-67.00M,,-104.00M,-104.00M,-90.00M,-90.00M,6.00M,-1.00M,-256.00M,1.60B,19.00M,7.00M,1.626B,,,-67.00M,-104.00M,95.00M,0.00
2017-04,143.00M,,,138.00M,138.00M,-10.00M,,,20.00M,,-14.00M,,-133.00M,-114.00M,58.00M,,3.00M,-186.00M,91.00M,-110.00M,14.00M,-96.00M,,0.00,,-96.00M,,,,,-96.00M,-96.00M,-92.00M,-92.00M,8.00M,-13.00M,-193.00M,1.797B,-198.00M,1.00M,1.60B,,,,-96.00M,35.00M,38.00M
2017-01,220.00M,,,144.00M,144.00M,-44.00M,,89.00M,21.00M,0.00,-31.00M,,559.00M,-143.00M,106.00M,,-2.00M,520.00M,919.00M,-141.00M,0.00,-141.00M,,,-4.00M,-145.00M,,,-421.00M,,0.00,0.00,-92.00M,-92.00M,4.00M,-1.00M,-510.00M,1.522B,264.00M,-3.00M,1.797B,,,-421.00M,0.00,170.00M,2.00M
2016-10,204.00M,,,146.00M,146.00M,3.00M,,33.00M,19.00M,0.00,-10.00M,,-461.00M,210.00M,-83.00M,,5.00M,-329.00M,66.00M,-113.00M,0.00,-113.00M,,,0.00,-113.00M,,0.00,0.00,,0.00,0.00,-92.00M,-92.00M,9.00M,-24.00M,-107.00M,1.681B,-154.00M,-5.00M,1.522B,,,0.00,0.00,175.00M,39.00M
2016-07,125.00M,,,155.00M,155.00M,-5.00M,,56.00M,21.00M,0.00,-3.00M,,1.00M,215.00M,22.00M,,-21.00M,217.00M,566.00M,-131.00M,0.00,-131.00M,,,0.00,-131.00M,,0.00,0.00,,0.00,0.00,-92.00M,-92.00M,6.00M,23.00M,-63.00M,1.313B,372.00M,-4.00M,1.681B,,,0.00,0.00,100.00M,2.00M
2016-04,127.00M,,,148.00M,148.00M,-12.00M,,0.00,15.00M,-1.00M,-22.00M,,-53.00M,-41.00M,9.00M,,-2.00M,-87.00M,168.00M,-139.00M,0.00,-139.00M,,,-1.00M,-140.00M,,,,,0.00,0.00,-91.00M,-91.00M,10.00M,-16.00M,-97.00M,1.37B,-69.00M,12.00M,1.313B,,,,0.00,43.00M,39.00M
2016-01,214.00M,,,154.00M,154.00M,111.00M,,,18.00M,-4.00M,-98.00M,,609.00M,-306.00M,103.00M,,5.00M,411.00M,860.00M,-221.00M,,-221.00M,,,0.00,-221.00M,,-400.00M,-21.00M,,-193.00M,-193.00M,-92.00M,-92.00M,5.00M,3.00M,-298.00M,1.042B,341.00M,-13.00M,1.37B,,0.00,,-193.00M,114.00M,2.00M
2015-10,248.00M,,,144.00M,144.00M,-9.00M,,,15.00M,0.00,-50.00M,,-491.00M,230.00M,-6.00M,,11.00M,-256.00M,92.00M,-204.00M,,-204.00M,,,-3.00M,-207.00M,,400.00M,400.00M,,-200.00M,-200.00M,-93.00M,-93.00M,7.00M,0.00,114.00M,1.043B,-1.00M,0.00,1.042B,,400.00M,,-200.00M,72.00M,37.00M
2015-07,219.00M,,,146.00M,146.00M,8.00M,,,21.00M,-7.00M,-8.00M,,-7.00M,4.00M,44.00M,,11.00M,52.00M,431.00M,-151.00M,,-151.00M,,,-1.00M,-152.00M,,,,,-390.00M,-390.00M,-95.00M,-95.00M,18.00M,4.00M,-463.00M,1.234B,-184.00M,-7.00M,1.043B,,,,-390.00M,203.00M,1.00M
2015-04,239.00M,,,148.00M,148.00M,17.00M,,,22.00M,-17.00M,-35.00M,,-117.00M,-40.00M,-8.00M,,2.00M,-163.00M,211.00M,-150.00M,,-150.00M,,,,-150.00M,,,,,-232.00M,-232.00M,-97.00M,-97.00M,35.00M,-49.00M,-343.00M,1.515B,-282.00M,1.00M,1.234B,,,,-232.00M,63.00M,38.00M
2015-01,319.00M,,,152.00M,152.00M,107.00M,,,24.00M,-3.00M,-31.00M,,635.00M,-298.00M,66.00M,,34.00M,437.00M,1.015B,-206.00M,0.00,-206.00M,,,-2.00M,-208.00M,,0.00,-21.00M,,-133.00M,-133.00M,-93.00M,-93.00M,14.00M,2.00M,-231.00M,954.00M,576.00M,-15.00M,1.515B,,0.00,,-133.00M,144.00M,0.00
2014-10,351.00M,,,141.00M,141.00M,-3.00M,,,23.00M,-10.00M,-27.00M,,-626.00M,291.00M,-32.00M,,10.00M,-357.00M,118.00M,-180.00M,0.00,-180.00M,,,0.00,-180.00M,,0.00,0.00,,-438.00M,-438.00M,-96.00M,-96.00M,33.00M,6.00M,-495.00M,1.518B,-557.00M,-7.00M,954.00M,,0.00,,-438.00M,185.00M,38.00M
