,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,923.00M,,923.00M,794.60M,,,939.70M,200.80M,594.90M,829.50M,56.10M,1.681B,149.00M,,,55.80M,3.749B,,,,,19.28B,,19.28B,-7.776B,11.50B,1.125B,,1.125B,683.50M,1.085B,15.10B,18.85B,,2020-09,736.70M,,92.80M,626.50M,1.456B,579.20M,2.035B,186.10M,273.80M,273.80M,66.20M,340.00M,304.40M,304.40M,,,2.866B,118.80M,4.638B,1.030B,,1.030B,292.50M,7.282B,10.15B,,2020-09,3.80M,9.722B,861.20M,,,-2.054B,8.533B,,2020-09,AOR,
2020-06,1.073B,,1.073B,689.60M,,,847.20M,182.00M,585.30M,1.157B,29.50M,1.954B,141.30M,,,39.80M,4.056B,,,,,18.89B,,18.89B,-7.544B,11.35B,1.108B,,1.108B,713.80M,1.081B,14.96B,19.02B,,2020-06,811.90M,0.70M,6.60M,410.30M,1.230B,534.80M,1.764B,155.90M,669.20M,669.20M,67.30M,736.50M,456.20M,456.20M,,,3.113B,126.60M,4.654B,1.055B,,1.055B,256.00M,7.244B,10.36B,,2020-06,3.80M,9.747B,855.40M,,,-2.113B,8.493B,,2020-06,AOR,
2020-03,1.069B,,1.069B,723.00M,,,1.042B,164.50M,601.20M,1.121B,44.40M,1.931B,125.70M,,,52.80M,4.221B,,,,,18.44B,,18.44B,-7.268B,11.17B,1.077B,,1.077B,742.30M,1.104B,14.75B,18.98B,,2020-03,691.70M,0.60M,2.30M,502.00M,1.197B,510.40M,1.707B,147.50M,1.055B,1.055B,64.20M,1.119B,295.40M,295.40M,,,3.269B,116.50M,4.642B,977.00M,,977.00M,271.40M,7.147B,10.42B,,2020-03,3.80M,9.719B,847.70M,,,-2.184B,8.386B,,2020-03,AOR,
2019-12,519.10M,,519.10M,649.30M,,158.10M,983.40M,190.80M,618.40M,1.219B,47.90M,2.076B,110.70M,,,28.60M,3.718B,4.979B,340.30M,3.109B,9.294B,192.10M,1.260B,19.17B,-7.292B,11.88B,1.157B,,1.157B,763.60M,1.181B,15.58B,19.30B,,2019-12,680.40M,20.00M,33.90M,740.60M,1.475B,539.60M,2.014B,154.40M,88.80M,88.80M,67.10M,155.90M,266.90M,266.90M,,,2.592B,127.00M,4.652B,1.041B,,1.041B,311.60M,7.339B,9.931B,,2019-12,3.80M,9.922B,858.40M,,,-1.598B,9.186B,,2019-12,AOR,
2019-09,641.10M,,641.10M,801.40M,,,1.037B,203.50M,592.80M,1.455B,43.10M,2.294B,110.20M,,,42.30M,4.125B,,,,,19.68B,,19.68B,-7.527B,12.16B,1.732B,,1.732B,787.50M,1.193B,16.31B,20.44B,,2019-09,766.10M,0.90M,67.40M,692.00M,1.526B,546.70M,2.073B,164.60M,130.90M,130.90M,72.30M,203.20M,283.60M,283.60M,,,2.724B,142.90M,4.676B,1.151B,,1.151B,299.50M,7.404B,10.13B,,2019-09,3.80M,10.88B,881.30M,,,-1.665B,10.10B,,2019-09,AOR,Restated
2019-06,401.90M,,401.90M,711.70M,,,948.00M,237.10M,589.00M,1.814B,74.00M,2.714B,122.90M,,,42.10M,4.229B,,,,,19.60B,,19.60B,-7.372B,12.22B,1.745B,,1.745B,812.40M,1.161B,16.42B,20.64B,,2019-06,808.60M,0.80M,12.30M,429.10M,1.251B,477.70M,1.728B,138.50M,137.30M,137.30M,79.80M,217.10M,442.80M,442.80M,,,2.527B,162.90M,4.705B,1.147B,,1.147B,286.20M,7.435B,9.962B,,2019-06,3.80M,10.94B,1.003B,,,-1.478B,10.47B,,2019-06,AOR,Restated
2019-03,384.60M,,384.60M,792.00M,,,1.033B,225.30M,610.10M,1.665B,71.40M,2.572B,114.90M,,,42.00M,4.146B,,,,,19.38B,,19.38B,-7.196B,12.19B,1.727B,,1.727B,823.30M,1.131B,16.30B,20.45B,,2019-03,781.60M,0.70M,29.90M,466.90M,1.279B,497.70M,1.777B,140.00M,208.30M,208.30M,83.90M,292.20M,188.20M,188.20M,,,2.397B,163.70M,4.697B,1.122B,,1.122B,254.00M,7.241B,9.638B,,2019-03,3.80M,11.20B,996.20M,,,-1.596B,10.60B,,2019-03,AOR,Restated
2018-12,847.70M,,847.70M,703.70M,,136.10M,987.70M,261.60M,625.50M,1.344B,39.30M,2.270B,86.80M,,,44.60M,4.237B,4.478B,321.50M,2.761B,8.956B,,2.165B,18.68B,-6.934B,11.75B,1.708B,,1.708B,826.60M,1.166B,15.88B,20.12B,,2018-12,780.90M,11.80M,65.50M,572.80M,1.431B,679.10M,2.110B,136.30M,37.50M,37.50M,0.00,37.50M,199.80M,199.80M,,,2.484B,0.00,4.492B,1.081B,,1.081B,288.60M,7.031B,9.514B,,2018-12,3.80M,11.06B,985.90M,,,-1.657B,10.40B,,2018-12,AOR,Restated
2018-09,1.030B,,1.030B,834.90M,,,1.037B,234.70M,611.30M,1.073B,38.10M,1.957B,87.30M,,,66.60M,4.178B,,,,,,,18.69B,-6.794B,11.89B,1.753B,,1.753B,828.50M,1.366B,16.24B,20.41B,,2018-09,839.30M,,,504.10M,1.343B,645.80M,1.989B,126.80M,,86.90M,,86.90M,299.50M,299.50M,,,2.502B,,4.523B,1.195B,,1.195B,301.00M,7.259B,9.761B,,2018-09,3.80M,10.97B,983.80M,,,-1.518B,10.44B,,2018-09,AOR,Restated
2018-06,1.035B,,1.035B,624.90M,,,797.90M,209.60M,576.80M,1.357B,24.50M,2.168B,108.50M,,,60.40M,4.170B,,,,,,,18.12B,-6.564B,11.56B,1.738B,,1.738B,837.80M,1.48B,16.23B,20.40B,,2018-06,774.80M,1.90M,,384.50M,1.161B,517.90M,1.679B,117.90M,,281.40M,,281.40M,516.50M,516.50M,,,2.595B,,4.736B,1.164B,,1.164B,258.10M,7.387B,9.982B,,2018-06,3.80M,10.73B,981.70M,,,-1.523B,10.20B,,2018-06,AOR,Restated
2018-03,659.40M,,659.40M,708.40M,,,928.20M,203.50M,446.60M,1.332B,76.60M,2.059B,86.80M,,,108.00M,3.841B,,,,,,,18.29B,-6.424B,11.87B,1.761B,,1.761B,836.30M,1.540B,16.61B,20.45B,,2018-03,679.40M,2.20M,,426.70M,1.108B,476.60M,1.585B,116.10M,,322.60M,,322.60M,196.90M,196.90M,,,2.220B,,4.823B,1.178B,,1.178B,271.40M,7.552B,9.773B,,2018-03,3.80M,10.68B,977.20M,,,-1.202B,10.46B,,2018-03,AOR,Restated
2017-12,2.154B,,2.154B,563.60M,,81.30M,783.90M,123.60M,349.90M,1.035B,38.60M,1.547B,69.00M,,,62.90M,4.616B,3.540B,245.90M,2.473B,7.934B,,1.793B,15.99B,-6.274B,9.712B,1.694B,,1.694B,1.090B,1.268B,14.02B,18.63B,,2017-12,540.90M,12.10M,1.40M,386.20M,940.60M,502.40M,1.443B,98.10M,,349.60M,,349.60M,140.40M,140.40M,,,2.031B,,4.878B,1.117B,,1.117B,152.90M,6.963B,8.994B,,2017-12,3.50M,10.63B,44.50M,,,-1.062B,9.618B,,2017-12,AOR,Restated
2017-09,685.70M,,685.70M,592.30M,,5.50M,830.70M,131.60M,314.70M,1.121B,98.50M,1.666B,116.60M,,,76.30M,3.376B,,,,,,,15.85B,-6.154B,9.696B,1.703B,,1.703B,1.139B,1.124B,14.43B,17.80B,,2017-09,547.90M,3.20M,,370.40M,921.50M,496.90M,1.418B,103.50M,,192.80M,,192.80M,183.10M,183.10M,,,1.898B,,3.722B,1.073B,,1.073B,146.60M,5.750B,7.648B,,2017-09,3.50M,11.08B,39.80M,,,-1.009B,10.11B,,2017-09,AOR,Restated
2017-06,660.60M,,660.60M,548.00M,,8.50M,752.90M,122.10M,311.10M,1.173B,77.20M,1.684B,127.10M,,,113.10M,3.337B,,,,,,,15.48B,-6.050B,9.435B,1.661B,,1.661B,1.128B,1.102B,14.11B,17.44B,,2017-06,651.10M,2.90M,,223.70M,877.70M,494.20M,1.372B,99.30M,,107.80M,,107.80M,293.00M,293.00M,,,1.872B,,3.800B,1.021B,,1.021B,146.10M,5.778B,7.650B,,2017-06,3.50M,10.91B,34.30M,,,-1.187B,9.756B,,2017-06,AOR,Restated
2017-03,675.30M,,675.30M,577.80M,,11.90M,798.80M,123.40M,327.00M,1.03B,53.30M,1.534B,123.80M,,,84.60M,3.216B,,,,,,,15.17B,-5.880B,9.295B,1.639B,,1.639B,1.064B,1.073B,13.88B,17.10B,,2017-03,536.70M,0.00,,202.30M,739.00M,442.40M,1.181B,98.60M,,165.00M,,165.00M,188.40M,188.40M,,,1.633B,,3.787B,1.048B,,1.048B,151.40M,5.802B,7.436B,,2017-03,3.50M,10.86B,27.60M,,,-1.270B,9.622B,,2017-03,AOR,Restated
2016-12,673.10M,,673.10M,550.80M,,111.30M,805.70M,121.50M,332.90M,936.70M,,1.391B,99.90M,,,87.90M,3.058B,3.413B,237.30M,2.303B,7.226B,,1.738B,14.92B,-5.719B,9.198B,1.631B,,1.631B,1.063B,1.054B,13.78B,16.84B,,2016-12,471.80M,101.80M,,128.80M,702.40M,487.90M,1.190B,102.00M,,38.90M,,38.90M,145.60M,145.60M,,,1.477B,,3.779B,1.009B,,1.009B,140.10M,5.741B,7.218B,,2016-12,3.50M,10.86B,29.90M,,,-1.312B,9.585B,,2016-12,AOR,Restated
2016-09,653.50M,,653.50M,512.40M,,97.00M,865.90M,130.20M,366.00M,1.004B,,1.500B,135.30M,207.80M,,86.60M,3.449B,,,,,,,14.83B,-5.604B,9.231B,1.652B,,1.652B,1.064B,1.078B,13.81B,17.26B,,2016-09,486.90M,,38.20M,223.70M,748.80M,455.90M,1.205B,121.60M,,426.40M,,426.40M,186.70M,186.70M,,,1.939B,,3.450B,1.062B,,1.062B,146.20M,5.450B,7.389B,,2016-09,3.50M,11.05B,19.30M,,,-1.232B,9.837B,,2016-09,AOR,Restated
2016-06,1.059B,,1.059B,399.60M,,119.60M,763.60M,121.80M,387.10M,1.193B,,1.702B,142.60M,,,124.90M,3.792B,,,,,,,14.67B,-5.468B,9.198B,1.668B,,1.668B,1.044B,1.257B,13.89B,17.68B,,2016-06,622.60M,,37.60M,195.50M,855.70M,483.20M,1.339B,107.00M,,96.30M,,96.30M,360.50M,360.50M,,,1.903B,,3.773B,1.070B,,1.070B,152.70M,5.788B,7.691B,,2016-06,3.50M,11.10B,19.50M,,,-1.168B,9.958B,,2016-06,AOR,Restated
2016-03,1.058B,,1.058B,677.20M,,153.70M,1.076B,125.60M,422.40M,1.018B,,1.566B,149.30M,,,107.70M,3.957B,,,,,,,14.35B,-5.326B,9.020B,1.661B,,1.661B,973.70M,1.317B,13.67B,17.63B,,2016-03,517.70M,,24.90M,354.20M,896.80M,508.50M,1.405B,103.10M,,83.80M,,83.80M,222.10M,222.10M,,,1.814B,,3.774B,1.066B,,1.066B,137.30M,5.782B,7.596B,,2016-03,3.50M,11.21B,12.80M,,,-1.226B,9.997B,,2016-03,AOR,Restated
