,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2016-09,1.952B,1.952B,1.739B,213.30M,66.90M,,,33.70M,8.20M,-25.50M,76.70M,143.60M,69.70M,8.20M,33.70M,-25.50M,-31.90M,-25.50M,12.30M,-30.10M,40.70M,,,-1.50M,,218.70M,172.70M,46.00M,,2016-09,,,0.1655,0.11,,,,,,2016-09,350.10M,351.50M,0.275,,2016-09,AOR,Restated
2016-06,1.675B,1.675B,1.521B,154.00M,72.90M,,,38.90M,5.40M,-33.50M,68.80M,141.70M,12.30M,5.40M,38.90M,-33.50M,14.00M,-33.50M,-7.20M,-9.80M,-11.10M,,,0.90M,,221.00M,189.30M,31.70M,,2016-06,,,-0.0552,-0.03,,,,,,2016-06,349.80M,349.80M,0.275,,2016-06,AOR,Restated
2016-03,1.674B,1.674B,1.437B,236.70M,89.80M,,,31.80M,5.70M,-26.10M,-16.50M,73.30M,163.40M,5.70M,31.80M,-26.10M,88.40M,-26.10M,225.70M,-28.70M,256.90M,,,-0.10M,,441.20M,183.70M,257.50M,,2016-03,,,0.5800,0.73,,,,,,2016-03,351.30M,353.20M,0.275,,2016-03,AOR,Restated
2015-12,2.163B,2.163B,1.808B,355.50M,94.90M,,,31.70M,12.90M,-18.80M,56.30M,151.20M,204.30M,12.90M,31.70M,-18.80M,-43.80M,-18.80M,141.70M,-14.30M,155.50M,,,-0.50M,,358.40M,185.00M,173.40M,,2015-12,,,0.5100,0.44,,,,,,2015-12,352.50M,354.30M,0.275,,2015-12,AOR,Restated
2015-09,2.106B,2.106B,1.770B,335.30M,76.60M,,,35.30M,11.10M,-24.20M,12.70M,89.30M,246.00M,11.10M,35.30M,-24.20M,-49.70M,-24.20M,172.10M,10.10M,160.70M,,,-0.70M,,388.30M,180.90M,207.40M,,2015-09,,,0.5791,0.45,,,,,,2015-09,354.30M,356.00M,0.275,,2015-09,AOR,Restated
2015-06,2.488B,2.488B,1.880B,607.90M,89.30M,,,31.80M,8.30M,-23.50M,8.60M,97.90M,510.00M,8.30M,31.80M,-23.50M,-23.80M,-23.50M,462.70M,72.60M,391.00M,,,-0.40M,,685.60M,191.10M,494.50M,,2015-06,,,1.117,1.08,,,,,,2015-06,361.30M,363.30M,0.275,,2015-06,AOR,Restated
2015-03,2.139B,2.139B,1.720B,419.20M,100.40M,,,34.80M,3.50M,-31.30M,0.30M,100.70M,318.50M,3.50M,34.80M,-31.30M,39.50M,-31.30M,326.70M,30.70M,294.60M,,,0.20M,,544.30M,182.80M,361.50M,,2015-03,,,0.6984,0.81,,,,,,2015-03,366.00M,367.90M,0.25,,2015-03,AOR,Restated
2014-12,2.379B,2.379B,1.800B,579.10M,91.10M,,-68.10M,35.80M,4.80M,-31.00M,55.30M,146.40M,432.70M,4.80M,35.80M,-31.00M,-20.50M,-31.00M,381.20M,27.00M,361.60M,,,-0.90M,,609.70M,192.70M,417.00M,,2014-12,,,1.012,0.96,,,,,,2014-12,369.90M,371.40M,0.25,,2014-12,AOR,Restated
2014-09,2.251B,2.251B,1.836B,414.70M,83.90M,,-35.30M,31.40M,6.20M,-25.20M,18.20M,102.10M,312.60M,6.20M,31.40M,-25.20M,-2.80M,-25.20M,284.60M,77.60M,202.90M,,,-1.00M,,505.50M,189.50M,316.00M,,2014-09,,,0.5559,0.54,,,,,,2014-09,374.00M,375.90M,0.25,,2014-09,AOR,Restated
2014-06,2.440B,2.440B,1.919B,521.10M,87.50M,,,30.60M,6.00M,-24.60M,30.40M,117.90M,403.20M,6.00M,30.60M,-24.60M,-45.50M,-24.60M,333.10M,82.70M,248.20M,,,0.20M,,558.10M,194.40M,363.70M,,2014-06,,,0.7278,0.65,,,,,,2014-06,374.20M,376.20M,0.25,,2014-06,AOR,Restated
2014-03,1.986B,1.986B,1.575B,411.60M,120.00M,,,31.10M,4.40M,-26.70M,25.00M,145.00M,266.60M,4.40M,31.10M,-26.70M,-21.50M,-26.70M,218.40M,-2.60M,217.70M,,,-0.20M,,423.80M,174.30M,249.50M,,2014-03,,,0.4654,0.54,,,,,,2014-03,378.20M,379.60M,0.25,,2014-03,AOR,Restated
2013-09,1.909B,1.909B,1.522B,386.90M,94.40M,,-122.80M,1.70M,3.50M,1.80M,25.60M,120.00M,266.90M,3.50M,1.70M,1.80M,-152.00M,1.80M,116.70M,-6.60M,125.80M,,,-1.40M,,284.50M,166.10M,118.40M,,2013-09,,,0.5226,0.29,,,,,,2013-09,425.90M,427.10M,0.25,,2013-09,AOR,
