,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,351.24M,,,,172.57M,172.57M,63.69M,,,,2.989M,-68.83M,-97.73M,-3.452M,,-24.17M,4.369M,52.28M,-49.97M,-118.68M,402.99M,,-294.08M,,,,-15.22M,6.32M,-302.98M,,394.94M,-233.98M,160.96M,,,0.555M,-86.36M,-86.36M,0.00,75.16M,,6.763M,175.16M,181.93M,,,210.71M,-49.75M,,,,,AOR,
2020-06,198.46M,,,,170.00M,170.00M,37.39M,,,,2.848M,-32.51M,-112.48M,4.85M,,22.96M,-4.694M,17.76M,-119.20M,-190.80M,185.40M,,-336.96M,,,,-0.57M,26.17M,-311.36M,,438.89M,-271.10M,167.79M,,,-0.524M,-86.31M,-86.31M,-11.37M,69.58M,,63.14M,-56.38M,6.763M,,,1.273B,-1.105B,,,,,AOR,
2020-03,34.87M,,,,173.17M,173.17M,-18.55M,,,,6.282M,-15.29M,61.43M,5.445M,,-5.192M,-20.20M,-63.10M,24.76M,3.153M,183.63M,,-340.01M,,,,-0.571M,-0.575M,-341.16M,,-150.00M,448.32M,298.32M,,,-1.68M,-86.26M,-86.26M,,210.39M,,10.28M,52.86M,63.14M,,,751.69M,-453.36M,,,,,AOR,
2019-12,68.85M,,,,163.34M,163.34M,-81.83M,,,,1.89M,-17.42M,98.72M,-33.49M,,16.74M,6.35M,108.37M,-209.56M,-12.87M,121.96M,,-333.56M,,,,-0.57M,35.17M,-298.96M,,197.21M,57.30M,254.51M,,,0.822M,-86.53M,-86.53M,-11.37M,157.43M,,29.85M,-19.57M,10.28M,,,351.48M,-96.98M,,,,,AOR,
2019-09,317.15M,,,,168.62M,168.62M,74.74M,,,,2.761M,-34.83M,-71.29M,2.955M,,-31.98M,6.017M,-7.657M,62.34M,-39.61M,488.83M,,-316.48M,,,,-1.437M,13.54M,-304.38M,,297.66M,-375.00M,-77.34M,,,2.23M,-81.14M,-81.14M,0.00,-156.25M,,1.648M,28.20M,29.85M,,,-66.32M,-11.02M,,,,,AOR,Restated
2019-06,149.02M,,,,164.38M,164.38M,-1.597M,,,,1.651M,-30.55M,-91.51M,-8.23M,,39.28M,-6.006M,24.98M,-68.92M,-110.41M,172.50M,,-281.61M,,,,-0.57M,9.054M,-273.12M,,0.00,188.32M,188.32M,,,0.293M,-81.08M,-81.08M,-11.37M,96.16M,,6.109M,-4.461M,1.648M,,,240.32M,-52.00M,,,,,AOR,Restated
2019-03,22.79M,,,,167.80M,167.80M,3.267M,,,,12.07M,18.39M,38.57M,-13.06M,,26.59M,-10.12M,-86.25M,-6.634M,-50.89M,173.43M,,-259.79M,,,,-0.57M,5.849M,-254.51M,,-2.676M,167.65M,164.97M,,,-2.653M,-80.90M,-80.90M,,81.42M,,5.766M,0.343M,6.109M,,,669.97M,-505.00M,,,,,AOR,Restated
2018-12,30.95M,,,,161.09M,161.09M,2.011M,,,,3.407M,15.65M,161.94M,14.49M,,-3.203M,10.33M,-96.17M,16.89M,104.27M,317.38M,,-279.71M,,,,-0.57M,0.776M,-279.51M,,50.00M,-51.80M,-1.80M,,,-3.071M,-80.86M,-80.86M,-11.37M,-97.10M,,64.99M,-59.22M,5.766M,,,130.20M,-132.00M,,,,,AOR,Restated
2018-09,319.88M,,,,164.31M,164.31M,79.24M,,,,2.951M,-3.087M,-35.02M,2.379M,,-48.01M,12.59M,3.442M,65.28M,0.66M,563.96M,,-218.51M,,,,-17.42M,1.707M,-234.22M,,295.24M,-488.05M,-192.80M,,,0.31M,-76.10M,-76.10M,0.00,-268.59M,,3.839M,61.15M,64.99M,,,-185.80M,-7.00M,,,,,AOR,Restated
2018-06,171.61M,,,,161.98M,161.98M,31.31M,,,,2.652M,-13.39M,-197.09M,-6.363M,,62.35M,11.73M,21.44M,-17.32M,-125.24M,228.93M,,-318.91M,,,,-0.57M,1.479M,-318.00M,,-82.00M,246.35M,164.35M,,,0.534M,-76.04M,-76.04M,-11.37M,77.47M,,15.44M,-11.60M,3.839M,,,246.35M,-82.00M,,,,,AOR,Restated
