,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,1.255B,1.255B,590.14M,664.36M,8.144M,54.98M,56.83M,2.956M,-53.88M,1.677M,209.35M,455.01M,2.956M,56.83M,-53.88M,27.35M,-53.88M,428.48M,77.23M,351.24M,,,-4.873M,346.37M,339.93M,657.88M,172.57M,485.31M,,3.07,,,,3.013,3.07,,3.07,,,,3.013,3.07,,112.68M,112.99M,0.7825,,AOR,
2020-06,929.59M,929.59M,457.77M,471.82M,8.811M,56.77M,57.94M,2.755M,-55.19M,0.692M,209.94M,261.87M,2.755M,57.94M,-55.19M,32.83M,-55.19M,239.52M,41.06M,198.46M,,,-4.874M,193.58M,183.94M,467.47M,170.00M,297.46M,,1.72,,,,1.634,1.72,,1.71,,,,1.625,1.71,,112.64M,112.88M,0.7825,,AOR,
2020-03,661.93M,661.93M,409.84M,252.09M,7.697M,56.77M,55.16M,3.277M,-51.88M,0.822M,211.67M,40.42M,3.277M,55.16M,-51.88M,26.12M,-51.88M,14.66M,-20.21M,34.87M,,,-4.873M,29.99M,24.33M,242.98M,173.17M,69.82M,,0.27,,,,0.2197,0.27,,0.27,,,,0.2198,0.27,,112.59M,112.86M,0.7825,,AOR,
2019-12,670.39M,670.39M,454.42M,215.97M,6.754M,54.59M,55.77M,2.682M,-53.09M,3.984M,203.97M,12.00M,2.682M,55.77M,-53.09M,21.41M,-53.09M,-19.68M,-88.54M,68.85M,,,-4.873M,63.98M,59.34M,199.42M,163.34M,36.09M,,0.57,,,,0.5287,0.57,,0.57,,,,0.5288,0.57,,112.55M,112.82M,0.7825,,AOR,
2019-09,1.191B,1.191B,583.44M,607.34M,5.917M,53.81M,54.00M,2.694M,-51.30M,0.794M,204.05M,403.29M,2.694M,54.00M,-51.30M,18.43M,-51.30M,370.42M,53.27M,317.15M,,,-4.873M,312.28M,307.82M,593.03M,168.62M,424.41M,,2.78,,,,2.740,2.78,,2.77,,,,2.731,2.77,,112.46M,112.75M,0.7375,,AOR,Restated
2019-06,869.50M,869.50M,469.76M,399.74M,7.572M,55.09M,52.97M,2.699M,-50.27M,0.683M,203.15M,196.59M,2.699M,52.97M,-50.27M,19.78M,-50.27M,166.10M,17.08M,149.02M,,,-4.874M,144.14M,137.79M,383.45M,164.38M,219.07M,,1.28,,,,1.223,1.28,,1.28,,,,1.224,1.28,,112.34M,112.65M,0.7375,,AOR,Restated
2019-03,740.53M,740.53M,476.22M,264.31M,11.19M,55.09M,53.99M,2.302M,-51.69M,0.427M,204.22M,60.08M,2.302M,53.99M,-51.69M,16.81M,-51.69M,25.21M,2.418M,22.79M,,,-4.873M,17.92M,8.018M,247.00M,167.80M,79.20M,,0.16,,,,0.0719,0.16,,0.16,,,,0.0722,0.16,,112.34M,112.74M,0.7375,,AOR,Restated
2018-12,756.38M,756.38M,488.10M,268.27M,12.91M,54.27M,55.98M,2.391M,-53.59M,1.00M,201.39M,66.88M,2.391M,55.98M,-53.59M,24.45M,-53.59M,37.74M,6.795M,30.95M,,,-4.873M,26.08M,15.61M,254.82M,161.09M,93.72M,,0.23,,,,0.1368,0.23,,0.23,,,,0.1372,0.23,,112.23M,112.70M,0.7375,,AOR,Restated
2018-09,1.268B,1.268B,636.48M,631.55M,12.26M,51.38M,55.69M,1.957M,-53.74M,0.90M,198.25M,433.31M,1.957M,55.69M,-53.74M,24.65M,-53.74M,404.22M,84.33M,319.88M,,,-4.873M,315.01M,305.31M,624.22M,164.31M,459.91M,,2.81,,,,2.723,2.81,,2.80,,,,2.714,2.80,,112.15M,112.53M,0.695,,AOR,Restated
2018-06,974.12M,974.12M,525.48M,448.64M,13.07M,53.61M,54.42M,2.408M,-52.01M,7.434M,206.48M,242.16M,2.408M,54.42M,-52.01M,25.50M,-52.01M,215.65M,44.04M,171.61M,,,-4.874M,166.74M,156.47M,432.05M,161.98M,270.07M,,1.49,,,,1.398,1.49,,1.48,,,,1.389,1.48,,112.12M,112.47M,0.695,,AOR,Restated
2018-03,692.71M,692.71M,462.79M,229.92M,14.08M,53.60M,52.20M,1.891M,-50.31M,0.163M,198.59M,31.33M,1.891M,52.20M,-50.31M,25.80M,-50.31M,6.829M,-1.265M,8.094M,,,-4.873M,3.221M,-6.928M,222.59M,163.57M,59.03M,,0.03,,,,-0.0606,0.03,,0.03,,,,-0.0602,0.03,,112.02M,112.49M,0.695,,AOR,Restated
2017-12,759.66M,759.66M,475.04M,284.62M,14.34M,51.05M,50.58M,1.715M,-48.87M,1.181M,199.07M,85.55M,1.715M,50.58M,-48.87M,10.60M,-48.87M,47.28M,20.78M,26.50M,,,-4.873M,21.63M,15.03M,262.78M,164.92M,97.86M,,0.19,,,,0.1311,0.19,,0.19,,,,0.1314,0.19,,112.00M,112.53M,0.695,,AOR,Restated
