,NetIncome,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2010-06,-151.50M,,25.25M,25.25M,15.53M,13.99M,-12.66M,333.04M,-100.09M,-15.47M,-40.25M,,64.60M,-91.22M,135.29M,-41.95M,-41.95M,-29.04M,-129.86M,-200.84M,,,,19.83M,-2.586M,17.25M,,,,12.66M,29.90M,1.081B,-35.65M,-5.61M,1.040B,19.83M,,,-2.586M
2010-03,151.50M,,27.38M,27.38M,23.33M,13.94M,-15.75M,-10.16M,-92.22M,36.09M,-51.30M,,-83.14M,-190.57M,2.328M,-24.22M,-24.22M,0.00,-32.92M,-57.14M,,,,30.10M,-2.315M,27.79M,,,,15.75M,43.54M,1.101B,-11.27M,-8.716M,1.081B,30.10M,,,-2.315M
2009-12,144.00M,,24.34M,24.34M,-8.926M,-6.344M,,-4.556M,-36.49M,-3.047M,-0.818M,,129.36M,89.00M,237.52M,-14.63M,-14.63M,-62.84M,-97.62M,-175.08M,,,,27.89M,-1.695M,26.20M,,,,19.16M,45.35M,992.93M,107.79M,0.216M,1.101B,27.89M,,,-1.695M
2009-09,136.57M,,22.30M,22.30M,-12.80M,4.606M,,0.391M,-36.31M,9.836M,-21.46M,,105.32M,57.38M,208.46M,-31.99M,-31.99M,-4.472M,-62.78M,-99.24M,,,,15.31M,-1.099M,14.21M,,,,7.25M,21.46M,860.38M,130.67M,1.875M,992.93M,15.31M,,,-1.099M
2009-06,141.26M,,21.58M,21.58M,-8.802M,5.054M,,0.722M,-12.31M,-16.98M,-22.09M,,42.83M,-8.55M,151.26M,-9.553M,-9.553M,0.00,-67.34M,-76.89M,,,,9.683M,-0.583M,9.10M,,,,3.332M,12.43M,758.57M,86.80M,15.01M,860.38M,9.683M,,,-0.583M
2009-03,113.13M,,21.15M,21.15M,3.935M,9.944M,,0.689M,-13.34M,16.86M,-7.662M,,-69.62M,-73.76M,75.09M,-20.47M,-20.47M,-1.304M,-21.77M,-43.54M,,,,8.764M,-12.88M,-4.118M,,,,1.819M,-2.299M,735.07M,29.25M,-5.744M,758.57M,8.764M,,,-12.88M
2008-12,112.29M,,21.25M,21.25M,-14.93M,,,-13.41M,-12.33M,5.16M,-16.56M,,84.54M,60.81M,192.91M,-23.08M,-23.08M,0.00,1.532M,-21.55M,,,,6.063M,0.00,6.063M,,,,0.734M,6.797M,569.26M,178.16M,-12.35M,735.07M,6.063M,,,0.00
2008-09,112.83M,,19.47M,19.47M,2.896M,,,12.02M,-15.32M,0.402M,-25.86M,,33.32M,-7.452M,139.77M,-61.12M,-61.12M,0.00,1.972M,-59.14M,,,,8.521M,-27.84M,-19.31M,,,,1.102M,-18.21M,521.19M,62.41M,-14.34M,569.26M,8.521M,,,-27.84M
2008-06,103.86M,,17.78M,17.78M,13.68M,,,1.872M,-73.98M,2.589M,-5.573M,,14.55M,-62.42M,74.76M,-31.79M,-31.79M,-11.71M,3.028M,-40.47M,,,,27.46M,,27.46M,,,,11.12M,38.57M,449.74M,72.87M,-1.418M,521.19M,27.46M,,,
2008-03,101.87M,,16.29M,16.29M,-6.669M,,,10.58M,-66.77M,11.13M,6.859M,,-51.04M,-99.82M,22.26M,-53.42M,-53.42M,-9.249M,128.83M,66.16M,,,,12.83M,,12.83M,,,,4.042M,16.88M,339.84M,105.29M,4.601M,449.74M,12.83M,,,
