,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,4.243B,4.243B,2.647B,1.596B,804.00M,-51.00M,6.00M,27.00M,21.00M,942.00M,654.00M,27.00M,6.00M,21.00M,-51.00M,21.00M,624.00M,276.00M,348.00M,348.00M,385.96M,768.00M,138.00M,630.00M,0.64,,0.71,0.64,0.64,,0.7099,0.64,542.00M,543.00M,0.22
2020-06,4.00B,4.00B,2.615B,1.385B,711.00M,-71.00M,9.00M,37.00M,28.00M,847.00M,538.00M,37.00M,9.00M,28.00M,-71.00M,28.00M,495.00M,134.00M,361.00M,361.00M,414.22M,641.00M,137.00M,504.00M,0.67,,0.7684,0.67,0.67,,0.7684,0.67,541.00M,541.00M,0.22
2020-03,4.225B,4.225B,2.747B,1.478B,711.00M,-55.00M,6.00M,41.00M,35.00M,844.00M,634.00M,41.00M,6.00M,35.00M,-159.00M,35.00M,510.00M,142.00M,367.00M,367.00M,480.35M,652.00M,136.00M,516.00M,0.67,,0.8776,0.67,0.67,,0.8776,0.67,546.00M,546.00M,0.22
2019-12,4.284B,4.284B,2.749B,1.535B,676.00M,-101.00M,6.00M,40.00M,34.00M,808.00M,727.00M,40.00M,6.00M,34.00M,-135.00M,34.00M,626.00M,174.00M,395.00M,395.00M,493.92M,765.00M,133.00M,632.00M,0.72,,0.9008,0.72,0.72,,0.8995,0.72,547.00M,551.00M,0.2
2019-09,4.248B,4.248B,2.681B,1.567B,706.00M,-65.00M,7.00M,43.00M,36.00M,833.00M,734.00M,43.00M,7.00M,36.00M,-112.00M,36.00M,658.00M,160.00M,497.00M,497.00M,581.78M,792.00M,127.00M,665.00M,0.9,,1.054,0.9,0.9,,1.054,0.9,551.00M,551.00M,0.2
2019-06,4.141B,4.141B,2.629B,1.512B,719.00M,-49.00M,6.00M,45.00M,39.00M,844.00M,668.00M,45.00M,6.00M,39.00M,-31.00M,39.00M,676.00M,167.00M,509.00M,509.00M,533.85M,815.00M,133.00M,682.00M,0.9,,0.9441,0.9,0.9,,0.9441,0.9,564.00M,564.00M,0.2
2019-03,4.11B,4.11B,2.575B,1.535B,871.00M,-2.00M,7.00M,48.00M,41.00M,994.00M,541.00M,48.00M,7.00M,41.00M,1.00M,41.00M,583.00M,142.00M,441.00M,441.00M,441.00M,723.00M,133.00M,590.00M,0.77,,0.77,0.77,0.77,,0.77,0.77,573.00M,575.00M,0.2
2018-12,4.129B,4.129B,2.54B,1.589B,757.00M,,8.00M,49.00M,41.00M,877.00M,712.00M,49.00M,8.00M,41.00M,62.00M,41.00M,815.00M,168.00M,648.00M,648.00M,583.70M,954.00M,131.00M,823.00M,1.12,,1.008,1.12,1.12,,1.0090000000000001,1.12,576.00M,581.00M,0.2
2018-09,4.078B,4.078B,2.48B,1.598B,734.00M,,6.00M,47.00M,41.00M,853.00M,745.00M,47.00M,6.00M,41.00M,-124.00M,41.00M,662.00M,185.00M,477.00M,477.00M,564.91M,795.00M,127.00M,668.00M,0.82,,0.9718,0.82,0.82,,0.9716,0.82,579.00M,580.00M,0.2
2018-06,4.006B,4.006B,2.417B,1.589B,805.00M,,7.00M,40.00M,33.00M,919.00M,670.00M,40.00M,7.00M,33.00M,-80.00M,33.00M,623.00M,168.00M,456.00M,456.00M,514.40M,753.00M,123.00M,630.00M,0.78,,0.8798,0.78,0.78,,0.8797,0.78,585.00M,586.00M,0.2
2018-03,3.912B,3.912B,2.401B,1.511B,711.00M,,6.00M,41.00M,35.00M,818.00M,693.00M,41.00M,6.00M,35.00M,-31.00M,35.00M,697.00M,177.00M,520.00M,520.00M,543.13M,820.00M,117.00M,703.00M,0.89,,0.9294,0.89,0.88,,0.9193,0.88,587.00M,589.00M,0.2
2017-12,3.828B,3.828B,2.36B,1.468B,628.00M,,5.00M,36.00M,31.00M,739.00M,729.00M,36.00M,5.00M,31.00M,-47.00M,31.00M,713.00M,732.00M,-18.00M,-18.00M,-33.60M,840.00M,122.00M,718.00M,-0.03,,-0.0564,-0.03,-0.03,,-0.0564,-0.03,590.00M,592.00M,0.15
2017-09,3.766B,3.766B,2.337B,1.429B,674.00M,,6.00M,34.00M,28.00M,781.00M,648.00M,34.00M,6.00M,28.00M,-18.00M,28.00M,658.00M,164.00M,495.00M,495.00M,507.02M,778.00M,114.00M,664.00M,0.84,,0.8604,0.84,0.84,,0.8603,0.84,590.00M,592.00M,0.15
2017-06,3.67B,3.67B,2.261B,1.409B,709.00M,,6.00M,31.00M,25.00M,803.00M,606.00M,31.00M,6.00M,25.00M,4.00M,25.00M,635.00M,165.00M,470.00M,470.00M,466.30M,744.00M,103.00M,641.00M,0.8,,0.7937,0.8,0.8,,0.7937,0.8,589.00M,591.00M,0.15
2017-03,3.546B,3.546B,2.194B,1.352B,686.00M,,6.00M,32.00M,26.00M,782.00M,570.00M,32.00M,6.00M,26.00M,53.00M,26.00M,649.00M,92.00M,557.00M,557.00M,512.38M,759.00M,104.00M,655.00M,0.92,,0.8463,0.92,0.92,,0.8465,0.92,605.00M,607.00M,
2016-12,3.462B,3.462B,2.078B,1.384B,730.00M,,4.00M,29.00M,25.00M,823.00M,561.00M,29.00M,4.00M,25.00M,-26.00M,25.00M,560.00M,144.00M,416.00M,416.00M,435.31M,665.00M,101.00M,564.00M,0.69,,0.7218,0.69,0.68,,0.7117,0.68,607.00M,610.00M,
