,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2020-09,4.436B,139.00M,4.575B,3.118B,,3.118B,,,926.00M,8.619B,,,,,2.317B,,,2.317B,,2.317B,4.931B,1.087B,6.018B,441.00M,563.00M,829.00M,10.17B,18.79B,420.00M,122.00M,542.00M,813.00M,1.355B,38.00M,38.00M,213.00M,251.00M,285.00M,285.00M,,28.00M,3.296B,2.412B,820.00M,3.232B,310.00M,32.00M,342.00M,349.00M,4.351B,7.647B,5.00M,11.14B,33.00M,,-40.00M,11.14B
2020-06,4.422B,160.00M,4.582B,3.208B,,3.208B,,,741.00M,8.531B,,,,,2.347B,,,2.347B,,2.347B,4.391B,1.026B,5.417B,429.00M,669.00M,823.00M,9.685B,18.22B,359.00M,330.00M,689.00M,819.00M,1.508B,38.00M,38.00M,206.00M,244.00M,319.00M,319.00M,,24.00M,3.212B,2.421B,802.00M,3.223B,28.00M,46.00M,74.00M,307.00M,4.032B,7.244B,5.00M,11.07B,83.00M,,-188.00M,10.97B
2020-03,3.886B,396.00M,4.282B,3.22B,,3.22B,,,823.00M,8.325B,,,,,2.249B,,,2.249B,,2.249B,4.014B,1.005B,5.019B,433.00M,594.00M,809.00M,9.104B,17.43B,289.00M,197.00M,486.00M,803.00M,1.289B,38.00M,38.00M,197.00M,235.00M,354.00M,354.00M,,42.00M,2.872B,2.43B,734.00M,3.164B,31.00M,42.00M,73.00M,229.00M,3.944B,6.816B,5.00M,10.83B,41.00M,,-264.00M,10.61B
2019-12,2.645B,779.00M,3.424B,3.256B,,3.256B,,,931.00M,7.611B,0.0,11.00M,790.00M,2.038B,926.00M,133.00M,379.00M,4.277B,-2.042B,2.235B,3.979B,1.041B,5.02B,17.00M,585.00M,736.00M,8.593B,16.20B,239.00M,152.00M,391.00M,792.00M,1.183B,38.00M,38.00M,202.00M,240.00M,313.00M,313.00M,,8.00M,2.983B,700.00M,745.00M,1.445B,35.00M,23.00M,58.00M,218.00M,2.199B,5.182B,5.00M,11.02B,33.00M,,-38.00M,11.02B
2019-09,2.343B,734.00M,3.077B,3.438B,,3.438B,,,876.00M,7.391B,,,,,2.223B,,,2.223B,,2.223B,3.694B,1.192B,4.886B,79.00M,492.00M,773.00M,8.453B,15.84B,246.00M,111.00M,357.00M,890.00M,1.247B,38.00M,38.00M,195.00M,233.00M,265.00M,265.00M,,16.00M,2.919B,709.00M,734.00M,1.443B,57.00M,71.00M,128.00M,181.00M,2.223B,5.142B,6.00M,10.82B,35.00M,,-159.00M,10.70B
2019-06,1.66B,1.343B,3.003B,3.386B,,3.386B,,,817.00M,7.206B,,,,,2.184B,,,2.184B,,2.184B,3.651B,1.161B,4.812B,80.00M,468.00M,767.00M,8.311B,15.52B,254.00M,108.00M,362.00M,870.00M,1.232B,28.00M,28.00M,201.00M,229.00M,285.00M,285.00M,,15.00M,2.824B,718.00M,679.00M,1.397B,44.00M,63.00M,107.00M,161.00M,2.136B,4.96B,6.00M,10.58B,38.00M,,-70.00M,10.56B
2019-03,950.00M,2.718B,3.668B,3.377B,,3.377B,,,838.00M,7.883B,,,,,2.123B,,,2.123B,,2.123B,3.638B,1.185B,4.823B,79.00M,464.00M,724.00M,8.213B,16.10B,262.00M,130.00M,392.00M,838.00M,1.23B,19.00M,19.00M,184.00M,203.00M,340.00M,340.00M,,16.00M,2.72B,727.00M,651.00M,1.378B,177.00M,64.00M,241.00M,150.00M,2.24B,4.96B,6.00M,11.14B,64.00M,,-74.00M,11.14B
2018-12,1.161B,3.35B,4.511B,3.19B,,3.19B,,,909.00M,8.61B,0.0,79.00M,839.00M,1.772B,,156.00M,338.00M,3.184B,-1.79B,1.394B,3.481B,1.15B,4.631B,80.00M,442.00M,689.00M,7.236B,15.85B,215.00M,162.00M,377.00M,797.00M,1.174B,9.00M,9.00M,0.00,9.00M,286.00M,286.00M,,25.00M,2.71B,736.00M,0.00,736.00M,183.00M,62.00M,245.00M,253.00M,1.712B,4.422B,6.00M,11.48B,47.00M,,-114.00M,11.42B
2018-09,1.339B,3.424B,4.763B,3.187B,,3.187B,,,777.00M,8.727B,,,,,,,,,,1.362B,3.037B,1.021B,4.058B,93.00M,391.00M,643.00M,6.547B,15.27B,223.00M,158.00M,381.00M,848.00M,1.229B,100.00M,100.00M,,100.00M,244.00M,244.00M,,67.00M,2.693B,624.00M,,624.00M,157.00M,72.00M,229.00M,260.00M,1.603B,4.296B,6.00M,11.04B,119.00M,,-188.00M,10.98B
2018-06,901.00M,3.346B,4.247B,3.204B,,3.204B,,,852.00M,8.303B,,,,,,,,,,1.345B,3.036B,1.06B,4.096B,80.00M,367.00M,615.00M,6.503B,14.81B,217.00M,174.00M,391.00M,792.00M,1.183B,100.00M,100.00M,,100.00M,308.00M,308.00M,,18.00M,2.537B,649.00M,,649.00M,145.00M,77.00M,222.00M,242.00M,1.621B,4.158B,6.00M,10.68B,55.00M,,-94.00M,10.65B
2018-03,1.44B,3.39B,4.83B,3.145B,,3.145B,159.00M,,856.00M,8.99B,,,,,,,,,,1.333B,2.713B,955.00M,3.668B,83.00M,394.00M,577.00M,6.055B,15.04B,293.00M,74.00M,367.00M,792.00M,1.159B,100.00M,100.00M,,100.00M,360.00M,360.00M,,2.00M,2.469B,673.00M,,673.00M,113.00M,70.00M,183.00M,199.00M,1.588B,4.057B,6.00M,10.86B,63.00M,,63.00M,10.99B
