,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,208.00M,,-78.00M,,81.00M,,,492.00M,492.00M,-4.00M,,18.00M,,-11.00M,-95.00M,0.00,32.00M,106.00M,,,43.00M,827.00M,,2020-09,-475.00M,210.00M,-265.00M,0.00,-1.00M,21.00M,,2020-09,-518.00M,,-518.00M,,-5.00M,-5.00M,,0.00,-13.00M,-536.00M,2020-09,127.00M,46.00M,1.00M,,2020-09,,3.631B,-4.149B,-5.00M,218.00M,,2020-09,AOR,
2020-06,212.00M,,-73.00M,,-73.00M,,,490.00M,490.00M,-63.00M,,15.00M,,-14.00M,192.00M,7.00M,28.00M,10.00M,,,237.00M,817.00M,,2020-06,-194.00M,187.00M,-7.00M,-2.00M,0.00,7.00M,,2020-06,-1.202B,,-1.202B,,0.00,0.00,,0.00,-1.00M,-1.203B,2020-06,513.00M,-388.00M,2.00M,,2020-06,,1.103B,-2.305B,0.00,18.00M,,2020-06,AOR,
2020-03,173.00M,,-84.00M,,-84.00M,,,526.00M,526.00M,1.00M,,13.00M,,13.00M,105.00M,5.00M,-30.00M,-65.00M,,,15.00M,644.00M,,2020-03,-261.00M,217.00M,-44.00M,0.00,-1.00M,6.00M,,2020-03,142.00M,,142.00M,,-276.00M,-276.00M,,1.00M,-9.00M,-142.00M,2020-03,52.00M,463.00M,-2.00M,,2020-03,,2.517B,-2.375B,-276.00M,3.00M,,2020-03,AOR,
2019-12,338.00M,,-92.00M,,-63.00M,,,516.00M,516.00M,87.00M,,16.00M,,0.00,69.00M,9.00M,-38.00M,-492.00M,,,-452.00M,442.00M,,2019-12,-219.00M,255.00M,36.00M,-2.00M,-1.00M,6.00M,,2019-12,-274.00M,,-274.00M,,-206.00M,-206.00M,,1.00M,-10.00M,-489.00M,2019-12,60.00M,-8.00M,0.00,,2019-12,,3.135B,-3.409B,-206.00M,142.00M,,2019-12,AOR,
2019-09,391.00M,,-76.00M,,-76.00M,,,519.00M,519.00M,68.00M,,14.00M,,-1.00M,-69.00M,8.00M,2.00M,136.00M,,,77.00M,992.00M,,2019-09,-905.00M,209.00M,-696.00M,-52.00M,-1.00M,6.00M,,2019-09,-55.00M,,-55.00M,,-210.00M,-210.00M,,0.00,1.00M,-264.00M,2019-09,75.00M,-15.00M,0.00,,2019-09,,1.535B,-1.59B,-210.00M,23.00M,,2019-09,AOR,Restated
2019-06,270.00M,,-82.00M,,-50.00M,,,504.00M,504.00M,28.00M,,16.00M,,5.00M,-34.00M,-16.00M,-35.00M,235.00M,,,150.00M,923.00M,,2019-06,-927.00M,204.00M,-723.00M,-22.00M,-1.00M,5.00M,,2019-06,56.00M,,56.00M,,-211.00M,-211.00M,,6.00M,-10.00M,-159.00M,2019-06,52.00M,23.00M,0.00,,2019-06,,3.163B,-3.107B,-211.00M,69.00M,,2019-06,AOR,Restated
2019-03,175.00M,,-69.00M,,-69.00M,,,499.00M,499.00M,21.00M,,15.00M,,6.00M,73.00M,-9.00M,12.00M,-56.00M,,,20.00M,667.00M,,2019-03,-299.00M,200.00M,-99.00M,-173.00M,0.00,7.00M,,2019-03,-145.00M,,-145.00M,,-243.00M,-243.00M,,4.00M,-9.00M,-393.00M,2019-03,43.00M,9.00M,0.00,,2019-03,,1.427B,-1.572B,-243.00M,4.00M,,2019-03,AOR,Restated
2018-12,310.00M,,-84.00M,,-84.00M,,,470.00M,470.00M,67.00M,,29.00M,,37.00M,16.00M,3.00M,44.00M,-162.00M,,,-99.00M,730.00M,,2018-12,-195.00M,196.00M,1.00M,-2.161B,-2.00M,4.00M,,2018-12,1.638B,,1.638B,,-211.00M,-211.00M,,0.00,-23.00M,1.404B,2018-12,65.00M,-24.00M,2.00M,,2018-12,,5.116B,-3.478B,-211.00M,21.00M,,2018-12,AOR,Restated
2018-09,333.00M,,-58.00M,,-58.00M,,,418.00M,418.00M,97.00M,,30.00M,,19.00M,-160.00M,-4.00M,6.00M,-207.00M,,,-365.00M,474.00M,,2018-09,-790.00M,145.00M,-645.00M,-747.00M,0.00,4.00M,,2018-09,1.074B,,1.074B,,-211.00M,-211.00M,,0.00,0.00,863.00M,2018-09,117.00M,-51.00M,-1.00M,,2018-09,,2.732B,-1.658B,-211.00M,11.00M,,2018-09,AOR,Restated
2018-06,270.00M,,-67.00M,,-67.00M,,,390.00M,390.00M,56.00M,,24.00M,,-3.00M,-51.00M,-10.00M,-17.00M,415.00M,,,337.00M,1.007B,,2018-06,-993.00M,161.00M,-832.00M,-6.00M,-1.00M,12.00M,,2018-06,-169.00M,,-169.00M,,-169.00M,-169.00M,,1.00M,-1.00M,-338.00M,2018-06,278.00M,-158.00M,-3.00M,,2018-06,,2.074B,-2.243B,-169.00M,29.00M,,2018-06,AOR,Restated
2018-03,183.00M,,-75.00M,,-75.00M,,,393.00M,393.00M,37.00M,,19.00M,,4.00M,80.00M,-9.00M,42.00M,-32.00M,,,81.00M,642.00M,,2018-03,-313.00M,185.00M,-128.00M,-52.00M,,2.00M,,2018-03,-307.00M,,-307.00M,,-226.00M,-226.00M,,1.00M,,-532.00M,2018-03,352.00M,-68.00M,-6.00M,,2018-03,,2.256B,-2.563B,-226.00M,10.00M,,2018-03,AOR,Restated
2017-12,897.00M,,-67.00M,,-56.00M,,,390.00M,390.00M,-630.00M,,23.00M,,32.00M,-12.00M,10.00M,-19.00M,-182.00M,,,-203.00M,453.00M,,2017-12,-317.00M,178.00M,-139.00M,-1.314B,0.00,11.00M,,2017-12,1.048B,,1.048B,,-30.00M,-30.00M,,2.00M,0.00,1.02B,2017-12,324.00M,31.00M,-3.00M,,2017-12,,3.099B,-2.051B,-30.00M,91.00M,,2017-12,AOR,Restated
2017-09,199.00M,,-56.00M,,-25.00M,,,353.00M,353.00M,57.00M,,24.00M,,25.00M,-156.00M,-4.00M,6.00M,-52.00M,,,-206.00M,427.00M,,2017-09,-604.00M,143.00M,-461.00M,-98.00M,-1.00M,2.00M,,2017-09,146.00M,,146.00M,,-2.00M,-2.00M,,0.00,-37.00M,107.00M,2017-09,338.00M,-24.00M,10.00M,,2017-09,,4.759B,-4.613B,-2.00M,55.00M,,2017-09,AOR,Restated
2017-06,141.00M,,-54.00M,,-42.00M,,,330.00M,330.00M,30.00M,,24.00M,,28.00M,-81.00M,1.00M,-16.00M,292.00M,,,196.00M,707.00M,,2017-06,-727.00M,137.00M,-590.00M,-965.00M,-3.00M,7.00M,,2017-06,837.00M,,837.00M,,-1.00M,-1.00M,,0.00,0.00,836.00M,2017-06,337.00M,-8.00M,9.00M,,2017-06,,2.441B,-1.604B,-1.00M,58.00M,,2017-06,AOR,Restated
2017-03,109.00M,,-47.00M,,-47.00M,,,310.00M,310.00M,10.00M,,16.00M,,3.00M,65.00M,-6.00M,9.00M,153.00M,,,221.00M,622.00M,,2017-03,-241.00M,108.00M,-133.00M,,-1.00M,1.00M,,2017-03,-437.00M,,-437.00M,,-23.00M,-23.00M,,1.00M,-7.00M,-466.00M,2017-03,312.00M,23.00M,2.00M,,2017-03,,1.502B,-1.939B,-23.00M,1.00M,,2017-03,AOR,Restated
2016-12,153.00M,,-59.00M,,6.00M,,,318.00M,318.00M,33.00M,,12.00M,-5.00M,-4.00M,8.00M,4.00M,2.00M,-216.00M,,,-202.00M,311.00M,,2016-12,-129.00M,137.00M,8.00M,0.00,-2.00M,,,2016-12,-262.00M,,-262.00M,,-40.00M,-40.00M,,1.00M,-7.00M,-308.00M,2016-12,297.00M,21.00M,-6.00M,,2016-12,,2.94B,-3.202B,-40.00M,85.00M,,2016-12,AOR,Restated
2016-09,187.00M,,-46.00M,,-36.00M,,,311.00M,311.00M,21.00M,,11.00M,0.00,7.00M,-61.00M,-1.00M,11.00M,-67.00M,,,-118.00M,383.00M,,2016-09,-446.00M,117.00M,-329.00M,-14.00M,0.00,,,2016-09,147.00M,,147.00M,,-152.00M,-152.00M,,0.00,0.00,-5.00M,2016-09,265.00M,35.00M,-3.00M,,2016-09,,1.848B,-1.701B,-152.00M,11.00M,,2016-09,AOR,Restated
2016-06,134.00M,,-55.00M,,-29.00M,,,306.00M,306.00M,44.00M,,13.00M,-26.00M,4.00M,-35.00M,2.00M,0.00,230.00M,,,197.00M,643.00M,,2016-06,-641.00M,137.00M,-504.00M,-1.00M,0.00,,,2016-06,67.00M,,67.00M,,-172.00M,-172.00M,,0.00,14.00M,-91.00M,2016-06,219.00M,47.00M,-1.00M,,2016-06,,3.05B,-2.983B,-172.00M,3.00M,,2016-06,AOR,Restated
2016-03,92.00M,,-48.00M,,-48.00M,,,310.00M,310.00M,25.00M,,9.00M,-27.00M,4.00M,103.00M,-4.00M,64.00M,76.00M,,,239.00M,604.00M,,2016-03,-123.00M,119.00M,-4.00M,-13.00M,0.00,,,2016-03,-423.00M,,-423.00M,,-164.00M,-164.00M,,0.00,27.00M,-560.00M,2016-03,179.00M,27.00M,13.00M,,2016-03,,914.00M,-1.337B,-164.00M,,,2016-03,AOR,Restated
2015-12,169.00M,,-65.00M,,-65.00M,,,318.00M,318.00M,242.00M,,12.00M,52.00M,7.00M,61.00M,8.00M,-55.00M,-311.00M,,,-297.00M,438.00M,,2015-12,-135.00M,160.00M,25.00M,0.00,,,,2015-12,-276.00M,,-276.00M,,-122.00M,-122.00M,,0.00,-49.00M,-447.00M,2015-12,171.00M,13.00M,-5.00M,,2015-12,,1.113B,-1.389B,-122.00M,5.00M,,2015-12,AOR,Restated
2015-09,215.00M,,-58.00M,,-58.00M,,,315.00M,315.00M,24.00M,,12.00M,-57.00M,3.00M,-109.00M,3.00M,20.00M,-61.00M,,,-147.00M,307.00M,,2015-09,-435.00M,147.00M,-288.00M,-28.00M,,,,2015-09,100.00M,,100.00M,,-166.00M,-166.00M,,0.00,56.00M,-10.00M,2015-09,200.00M,-19.00M,-10.00M,,2015-09,,1.546B,-1.446B,-166.00M,25.00M,,2015-09,AOR,Restated
2015-06,86.00M,,-58.00M,,63.00M,,,307.00M,307.00M,31.00M,,11.00M,0.00,3.00M,-44.00M,1.00M,-21.00M,138.00M,,,74.00M,575.00M,,2015-06,-721.00M,128.00M,-593.00M,-58.00M,,,,2015-06,228.00M,,228.00M,,-158.00M,-158.00M,,1.00M,-54.00M,17.00M,2015-06,257.00M,-59.00M,2.00M,,2015-06,,3.171B,-2.943B,-158.00M,30.00M,,2015-06,AOR,Restated
2015-03,115.00M,,-54.00M,,-52.00M,,,304.00M,304.00M,39.00M,,14.00M,,-23.00M,81.00M,-4.00M,18.00M,183.00M,,,278.00M,675.00M,,2015-03,-345.00M,120.00M,-225.00M,,,,,2015-03,32.00M,,32.00M,,-343.00M,-343.00M,,,-24.00M,-335.00M,2015-03,158.00M,115.00M,-16.00M,,2015-03,,2.736B,-2.704B,-343.00M,,,2015-03,AOR,Restated
2014-12,194.00M,,-72.00M,,-72.00M,,,312.00M,312.00M,127.00M,,26.00M,0.00,2.00M,-2.00M,34.00M,-62.00M,-224.00M,,,-254.00M,335.00M,,2014-12,-253.00M,163.00M,-90.00M,-4.00M,,,,2014-12,-42.00M,,-42.00M,,-214.00M,-214.00M,,0.00,11.00M,-245.00M,2014-12,168.00M,-4.00M,-6.00M,,2014-12,,1.159B,-1.201B,-214.00M,40.00M,,2014-12,AOR,Restated
