,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,2.187B,2.187B,1.301B,886.00M,232.00M,-6.00M,278.00M,-278.00M,,329.00M,557.00M,278.00M,-278.00M,-4.00M,-278.00M,275.00M,67.00M,208.00M,,,,,208.00M,212.54M,1.045B,,2020-09,2.88,,,2.88,,2020-09,2.87,,2.933,2.87,,72.44M,,2020-09,AOR,
2020-06,1.939B,1.939B,1.238B,701.00M,222.00M,-3.00M,130.00M,-130.00M,,317.00M,384.00M,130.00M,-130.00M,-3.00M,-130.00M,251.00M,39.00M,212.00M,,,,,212.00M,214.54M,871.00M,,2020-06,2.94,,,2.94,,2020-06,2.93,,2.965,2.93,,72.28M,,2020-06,AOR,
2020-03,2.125B,2.125B,1.398B,727.00M,267.00M,-2.00M,136.00M,-136.00M,,367.00M,360.00M,136.00M,-136.00M,2.00M,-136.00M,226.00M,53.00M,173.00M,,,,,173.00M,174.53M,888.00M,,2020-03,2.33,,,2.33,,2020-03,2.33,,2.351,2.33,,74.27M,,2020-03,AOR,
2019-12,2.456B,2.456B,1.491B,965.00M,268.00M,-2.00M,170.00M,-170.00M,,364.00M,601.00M,170.00M,-170.00M,2.00M,-170.00M,433.00M,95.00M,338.00M,,,,,338.00M,339.56M,1.119B,,2019-12,4.501,,,4.501,,2019-12,4.49,,4.511,4.49,,75.52M,,2019-12,AOR,
2019-09,2.488B,2.488B,1.455B,1.033B,273.00M,-2.00M,147.00M,-147.00M,,375.00M,658.00M,147.00M,-147.00M,-1.00M,-147.00M,510.00M,119.00M,391.00M,,,,,391.00M,392.53M,1.176B,,2019-09,5.10,,,5.10,,2019-09,5.08,,5.100,5.08,,76.86M,,2019-09,AOR,Restated
2019-06,2.29B,2.29B,1.379B,911.00M,271.00M,-6.00M,180.00M,-180.00M,,376.00M,535.00M,180.00M,-180.00M,-4.00M,-180.00M,351.00M,81.00M,270.00M,,,,,270.00M,274.61M,1.035B,,2019-06,3.45,,,3.45,,2019-06,3.444,,3.503,3.444,,78.47M,,2019-06,AOR,Restated
2019-03,2.117B,2.117B,1.356B,761.00M,280.00M,-9.00M,151.00M,-151.00M,,384.00M,377.00M,151.00M,-151.00M,-6.00M,-151.00M,220.00M,45.00M,175.00M,,,,,175.00M,182.16M,870.00M,,2019-03,2.21,,,2.21,,2019-03,2.19,,2.279,2.19,,80.05M,,2019-03,AOR,Restated
2018-12,2.306B,2.306B,1.308B,998.00M,302.00M,-38.00M,142.00M,-142.00M,,397.00M,601.00M,142.00M,-142.00M,-34.00M,-142.00M,425.00M,115.00M,310.00M,,,,,310.00M,337.72M,1.037B,,2018-12,3.846,,,3.846,,2018-12,3.80,,4.140,3.80,,81.49M,,2018-12,AOR,Restated
2018-09,2.116B,2.116B,1.178B,938.00M,265.00M,-20.00M,118.00M,-118.00M,,340.00M,598.00M,118.00M,-118.00M,-20.00M,-118.00M,460.00M,127.00M,333.00M,,,,,333.00M,347.48M,996.00M,,2018-09,4.05,,,4.05,,2018-09,4.01,,4.184,4.01,,83.17M,,2018-09,AOR,Restated
2018-06,1.891B,1.891B,1.109B,782.00M,239.00M,-6.00M,112.00M,-112.00M,,306.00M,476.00M,112.00M,-112.00M,-5.00M,-112.00M,359.00M,89.00M,270.00M,,,,,270.00M,274.51M,861.00M,,2018-06,3.22,,,3.22,,2018-06,3.20,,3.254,3.20,,84.20M,,2018-06,AOR,Restated
