,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,AsOriginallyReported,Restated
2020-09,174.00M,174.00M,1.324B,1.324B,108.00M,122.00M,,,1.728B,,,,9.041B,1.261B,,10.30B,,10.30B,5.147B,701.00M,5.848B,30.00M,16.18B,17.91B,,2020-09,541.00M,,541.00M,675.00M,,700.00M,,700.00M,,,,1.916B,9.351B,524.00M,9.875B,1.818B,1.818B,,,,138.00M,11.83B,13.75B,,2020-09,1.00M,3.957B,,,-214.00M,4.161B,AOR,
2020-06,127.00M,127.00M,1.226B,1.226B,107.00M,162.00M,,,1.622B,,,,9.086B,1.275B,,10.36B,,10.36B,5.135B,761.00M,5.896B,21.00M,16.28B,17.90B,,2020-06,316.00M,,316.00M,799.00M,,806.00M,,806.00M,,,,1.921B,9.599B,532.00M,10.13B,1.82B,1.82B,,,,121.00M,12.07B,13.99B,,2020-06,1.00M,3.957B,,,-247.00M,3.907B,AOR,
2020-03,513.00M,513.00M,1.413B,1.413B,115.00M,173.00M,,,2.214B,,,,9.422B,1.266B,,10.69B,,10.69B,5.122B,823.00M,5.945B,21.00M,16.65B,18.87B,,2020-03,484.00M,,484.00M,658.00M,,854.00M,,854.00M,,,,1.996B,10.74B,530.00M,11.27B,1.878B,1.878B,,,,86.00M,13.24B,15.23B,,2020-03,1.00M,3.957B,,,-292.00M,3.635B,AOR,
2019-12,52.00M,52.00M,1.53B,1.53B,120.00M,140.00M,,,1.842B,0.00,101.00M,210.00M,15.50B,669.00M,348.00M,16.83B,-5.773B,11.06B,5.154B,895.00M,6.049B,19.00M,17.13B,18.97B,,2019-12,454.00M,26.00M,480.00M,229.00M,997.00M,997.00M,178.00M,1.175B,55.00M,55.00M,94.00M,2.198B,10.43B,533.00M,10.96B,1.887B,1.887B,77.00M,,,,12.94B,15.14B,,2019-12,1.00M,3.70B,,,-186.00M,3.83B,AOR,
2019-09,60.00M,60.00M,1.595B,1.595B,130.00M,96.00M,,,1.881B,,,,10.16B,1.237B,,11.40B,,11.40B,,,6.104B,19.00M,17.52B,19.40B,,2019-09,839.00M,,839.00M,831.00M,,973.00M,,973.00M,,,,2.643B,10.69B,522.00M,11.21B,1.80B,1.80B,,,,99.00M,13.11B,15.76B,,2019-09,1.00M,3.50B,,,-217.00M,3.65B,AOR,Restated
2019-06,75.00M,75.00M,1.525B,1.525B,135.00M,105.00M,,,1.84B,,,,9.839B,1.197B,,11.04B,,11.04B,5.134B,1.019B,6.153B,18.00M,17.21B,19.05B,,2019-06,752.00M,,752.00M,788.00M,,995.00M,,995.00M,,,,2.535B,10.70B,497.00M,11.20B,1.743B,1.743B,,,,94.00M,13.03B,15.57B,,2019-06,1.00M,3.29B,,,-194.00M,3.478B,AOR,Restated
2019-03,52.00M,52.00M,1.487B,1.487B,123.00M,58.00M,,,1.72B,,,,9.438B,1.202B,,10.64B,,10.64B,,,6.21B,16.00M,16.87B,18.59B,,2019-03,557.00M,,557.00M,751.00M,,930.00M,,930.00M,,,,2.238B,10.68B,497.00M,11.17B,1.714B,1.714B,,,,86.00M,12.97B,15.21B,,2019-03,1.00M,3.08B,,,-216.00M,3.375B,AOR,Restated
2018-12,43.00M,43.00M,1.545B,1.545B,109.00M,64.00M,,,1.761B,0.00,103.00M,209.00M,14.58B,,302.00M,15.19B,-4.975B,10.21B,5.058B,1.084B,6.142B,16.00M,16.37B,18.13B,,2018-12,536.00M,103.00M,639.00M,216.00M,903.00M,903.00M,0.00,903.00M,56.00M,56.00M,98.00M,2.116B,10.84B,0.00,10.84B,1.687B,1.687B,69.00M,,,,12.61B,14.73B,,2018-12,1.00M,2.87B,,,-237.00M,3.403B,AOR,Restated
2018-09,65.00M,65.00M,1.438B,1.438B,104.00M,85.00M,,,1.692B,,,,8.91B,529.00M,,9.439B,,9.439B,4.313B,895.00M,5.208B,15.00M,14.66B,16.35B,,2018-09,688.00M,,688.00M,503.00M,,896.00M,,896.00M,,,,2.087B,9.182B,,9.182B,1.628B,1.628B,,,,123.00M,10.93B,13.02B,,2018-09,1.00M,2.66B,,,-178.00M,3.334B,AOR,Restated
2018-06,117.00M,117.00M,1.203B,1.203B,94.00M,92.00M,,,1.506B,,,,8.213B,480.00M,,8.693B,,8.693B,4.096B,798.00M,4.894B,15.00M,13.60B,15.11B,,2018-06,859.00M,,859.00M,470.00M,,900.00M,,900.00M,,,,2.229B,8.086B,,8.086B,1.509B,1.509B,,,,120.00M,9.715B,11.94B,,2018-06,1.00M,2.45B,,,-196.00M,3.164B,AOR,Restated
2018-03,278.00M,278.00M,1.154B,1.154B,84.00M,74.00M,,,1.59B,,,,7.678B,467.00M,,8.145B,,8.145B,4.115B,825.00M,4.94B,13.00M,13.10B,14.69B,,2018-03,513.00M,,513.00M,402.00M,,726.00M,,726.00M,,,,1.641B,8.412B,,8.412B,1.455B,1.455B,,,,122.00M,9.989B,11.63B,,2018-03,1.00M,2.282B,,,-176.00M,3.058B,AOR,Restated
2017-12,352.00M,352.00M,1.233B,1.233B,75.00M,112.00M,,,1.772B,0.00,102.00M,238.00M,11.99B,,245.00M,12.58B,-4.284B,8.291B,4.082B,875.00M,4.957B,10.00M,13.26B,15.03B,,2017-12,409.00M,25.00M,434.00M,181.00M,,723.00M,,723.00M,46.00M,46.00M,81.00M,1.668B,8.717B,,8.717B,1.419B,1.419B,68.00M,,,,10.26B,11.92B,,2017-12,1.00M,2.105B,,,-151.00M,3.106B,AOR,Restated
2017-09,324.00M,324.00M,1.151B,1.151B,82.00M,82.00M,,,1.639B,,,,7.391B,451.00M,,7.842B,,7.842B,3.493B,759.00M,4.252B,11.00M,12.10B,13.74B,,2017-09,612.00M,,612.00M,467.00M,,694.00M,,694.00M,,,,1.773B,7.677B,,7.677B,2.012B,2.012B,,,,71.00M,9.76B,11.53B,,2017-09,1.00M,2.077B,,,-143.00M,2.211B,AOR,Restated
2017-06,338.00M,338.00M,990.00M,990.00M,78.00M,77.00M,,,1.483B,,,,7.076B,449.00M,,7.525B,,7.525B,3.468B,798.00M,4.266B,10.00M,11.80B,13.28B,,2017-06,692.00M,,692.00M,408.00M,,644.00M,,644.00M,,,,1.744B,7.571B,,7.571B,1.952B,1.952B,,,,69.00M,9.592B,11.34B,,2017-06,1.00M,2.077B,,,-185.00M,1.948B,AOR,Restated
2017-03,337.00M,337.00M,854.00M,854.00M,75.00M,54.00M,,,1.32B,,,,6.107B,426.00M,,6.533B,,6.533B,3.262B,701.00M,3.963B,6.00M,10.50B,11.82B,,2017-03,382.00M,,382.00M,358.00M,,577.00M,,577.00M,,,,1.317B,6.772B,,6.772B,1.911B,1.911B,,,,69.00M,8.752B,10.07B,,2017-03,1.00M,2.077B,,,-210.00M,1.753B,AOR,Restated
2016-12,312.00M,312.00M,920.00M,920.00M,68.00M,61.00M,,,1.361B,0.00,96.00M,212.00M,9.781B,,221.00M,10.31B,-3.691B,6.619B,3.26B,742.00M,4.002B,6.00M,10.63B,11.99B,,2016-12,243.00M,23.00M,266.00M,119.00M,,597.00M,,597.00M,40.00M,40.00M,55.00M,1.184B,7.193B,,7.193B,1.896B,1.896B,67.00M,,,,9.156B,10.34B,,2016-12,1.00M,2.077B,,,-218.00M,1.648B,AOR,Restated
2016-09,297.00M,297.00M,929.00M,929.00M,72.00M,56.00M,,,1.354B,,,,6.427B,435.00M,,6.862B,,6.862B,3.267B,782.00M,4.049B,10.00M,10.92B,12.28B,,2016-09,409.00M,,409.00M,402.00M,,609.00M,,609.00M,,,,1.42B,7.393B,,7.393B,1.863B,1.863B,,,,60.00M,9.316B,10.74B,,2016-09,1.00M,2.037B,,,-196.00M,1.539B,AOR,Restated
2016-06,265.00M,265.00M,867.00M,867.00M,71.00M,61.00M,,,1.264B,,,,6.325B,437.00M,,6.762B,,6.762B,3.259B,825.00M,4.084B,10.00M,10.86B,12.12B,,2016-06,609.00M,,609.00M,323.00M,,576.00M,,576.00M,,,,1.508B,7.265B,,7.265B,1.79B,1.79B,,,,55.00M,9.11B,10.62B,,2016-06,1.00M,1.885B,,,-187.00M,1.502B,AOR,Restated
2016-03,219.00M,219.00M,833.00M,833.00M,74.00M,56.00M,,,1.182B,,,,6.025B,442.00M,,6.467B,,6.467B,3.262B,864.00M,4.126B,9.00M,10.60B,11.78B,,2016-03,330.00M,,330.00M,349.00M,,550.00M,,550.00M,,,,1.229B,7.203B,,7.203B,1.797B,1.797B,,,,54.00M,9.054B,10.28B,,2016-03,1.00M,1.714B,,,-187.00M,1.501B,AOR,Restated
2015-12,179.00M,179.00M,930.00M,930.00M,69.00M,116.00M,,,1.294B,0.00,98.00M,226.00M,9.357B,,212.00M,9.893B,-3.262B,6.631B,3.243B,905.00M,4.148B,10.00M,10.79B,12.08B,,2015-12,275.00M,22.00M,297.00M,130.00M,,607.00M,,607.00M,38.00M,38.00M,61.00M,1.233B,7.555B,,7.555B,1.765B,1.765B,54.00M,,,,9.374B,10.61B,,2015-12,1.00M,1.56B,,,-250.00M,1.476B,AOR,Restated
2015-09,171.00M,171.00M,994.00M,994.00M,77.00M,58.00M,126.00M,,1.426B,,,,6.438B,436.00M,,6.874B,,6.874B,3.257B,948.00M,4.205B,93.00M,11.17B,12.60B,,2015-09,475.00M,,475.00M,403.00M,,639.00M,,639.00M,,,,1.517B,7.876B,,7.876B,1.653B,1.653B,,,,55.00M,9.584B,11.10B,,2015-09,1.00M,1.44B,,,-218.00M,1.497B,AOR,Restated
2015-06,200.00M,200.00M,894.00M,894.00M,81.00M,74.00M,187.00M,,1.436B,,,,6.396B,425.00M,,6.821B,,6.821B,3.253B,1.00B,4.253B,95.00M,11.17B,12.60B,,2015-06,683.00M,,683.00M,309.00M,,590.00M,,590.00M,,,,1.582B,7.82B,,7.82B,1.696B,1.696B,,,,55.00M,9.571B,11.15B,,2015-06,1.00M,1.273B,,,-146.00M,1.452B,AOR,Restated
2015-03,257.00M,257.00M,848.00M,848.00M,81.00M,51.00M,215.00M,,1.452B,,,,5.988B,428.00M,,6.416B,,6.416B,3.249B,1.047B,4.296B,118.00M,10.83B,12.28B,,2015-03,465.00M,,465.00M,497.00M,,593.00M,,593.00M,,,,1.555B,7.482B,,7.482B,1.69B,1.69B,,,,60.00M,9.232B,10.79B,,2015-03,1.00M,1.118B,,,-163.00M,1.495B,AOR,Restated
2014-12,158.00M,158.00M,940.00M,940.00M,78.00M,122.00M,,,1.298B,0.00,97.00M,223.00M,8.822B,,200.00M,9.342B,-2.896B,6.446B,3.272B,1.106B,4.378B,7.00M,10.83B,12.13B,,2014-12,414.00M,35.00M,449.00M,140.00M,,618.00M,,618.00M,39.00M,39.00M,73.00M,1.478B,7.344B,,7.344B,1.444B,1.444B,57.00M,,,,8.853B,10.33B,,2014-12,1.00M,802.00M,,,-74.00M,1.798B,AOR,Restated
2014-09,168.00M,168.00M,941.00M,941.00M,112.00M,64.00M,93.00M,,1.378B,,,,6.146B,423.00M,,6.569B,,6.569B,3.27B,1.165B,4.435B,101.00M,11.10B,12.48B,,2014-09,505.00M,,505.00M,572.00M,,618.00M,,618.00M,,,,1.695B,7.477B,,7.477B,1.412B,1.412B,,,,83.00M,8.972B,10.67B,,2014-09,1.00M,589.00M,,,-35.00M,1.816B,AOR,Restated
2014-06,170.00M,170.00M,844.00M,844.00M,119.00M,71.00M,192.00M,,1.396B,,,,6.029B,423.00M,,6.452B,,6.452B,3.293B,1.218B,4.511B,108.00M,11.07B,12.47B,,2014-06,625.00M,,625.00M,500.00M,,621.00M,,621.00M,,,,1.746B,7.394B,,7.394B,1.44B,1.44B,,,,80.00M,8.914B,10.66B,,2014-06,1.00M,437.00M,,,16.00M,1.807B,AOR,Restated
