,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,1.433B,1.433B,502.40M,930.40M,747.50M,,,-12.50M,12.20M,2.40M,-9.80M,,747.50M,182.90M,2.40M,12.20M,-9.80M,-10.90M,-9.80M,162.20M,42.40M,119.80M,,,119.80M,129.02M,234.70M,60.30M,174.40M,,1.63,,,1.755,1.63,,1.61,,,1.734,1.61,,73.60M,74.60M,0.00,,AOR,
2020-09,1.194B,1.194B,394.10M,799.40M,628.20M,,,-191.50M,12.80M,2.20M,-10.60M,,628.20M,171.20M,2.20M,12.80M,-10.60M,-189.70M,-10.60M,-29.10M,10.00M,-39.10M,,,-39.10M,100.70M,45.20M,61.50M,-16.30M,,-0.53,,,1.372,-0.53,,-0.53,,,1.372,-0.53,,73.50M,73.50M,0.00,,AOR,
2020-06,487.50M,487.50M,138.80M,348.70M,507.60M,,,-9.10M,9.60M,2.90M,-6.70M,,507.60M,-158.90M,2.90M,9.60M,-6.70M,-7.00M,-6.70M,-172.60M,-44.90M,-127.70M,,,-127.70M,-120.97M,-99.30M,63.70M,-163.00M,,-1.75,,,-1.658,-1.75,,-1.75,,,-1.658,-1.75,,73.10M,73.10M,0.00,,AOR,
2020-03,1.274B,1.274B,679.70M,594.40M,852.20M,,,-26.00M,4.80M,5.90M,1.10M,,852.20M,-257.80M,5.90M,4.80M,1.10M,-30.50M,1.10M,-287.20M,-38.20M,-249.00M,,,-249.00M,-226.46M,-213.90M,68.50M,-282.40M,,-3.38,,,-3.074,-3.38,,-3.38,,,-3.080,-3.38,,73.70M,75.10M,0.6875,,AOR,
2019-12,1.751B,1.751B,661.60M,1.089B,843.30M,,,-21.40M,4.20M,7.30M,3.10M,,843.30M,245.80M,7.30M,4.20M,3.10M,-18.50M,3.10M,230.40M,-103.70M,334.10M,,,334.10M,349.72M,302.80M,68.20M,234.60M,,4.47,,,4.679,4.47,,4.41,,,4.616,4.41,,74.70M,75.80M,0.6875,,AOR,Restated
2019-09,1.706B,1.706B,657.20M,1.049B,795.30M,,,-20.60M,4.40M,9.60M,5.20M,,795.30M,253.70M,9.60M,4.40M,5.20M,-22.30M,5.20M,236.60M,54.50M,182.10M,,,182.10M,197.94M,307.60M,66.60M,241.00M,,2.37,,,2.577,2.37,,2.34,,,2.543,2.34,,76.70M,77.90M,0.6875,,AOR,Restated
2019-06,1.429B,1.429B,508.00M,920.80M,746.70M,,,-30.80M,4.20M,11.60M,7.40M,,746.70M,174.10M,11.60M,4.20M,7.40M,-34.90M,7.40M,146.60M,29.50M,117.10M,,,117.10M,141.71M,217.00M,66.20M,150.80M,,1.50,,,1.815,1.50,,1.47,,,1.778,1.47,,78.20M,79.90M,0.6875,,AOR,Restated
2019-03,1.506B,1.506B,604.20M,901.50M,809.40M,,,-64.20M,5.10M,11.30M,6.20M,,809.40M,92.10M,11.30M,5.10M,6.20M,-63.00M,6.20M,35.30M,3.70M,31.60M,,,31.60M,89.07M,109.70M,69.30M,40.40M,,0.40,,,1.127,0.40,,0.39,,,1.109,0.39,,79.10M,79.90M,0.625,,AOR,Restated
2018-12,1.726B,1.726B,666.30M,1.060B,823.40M,,,-42.30M,5.20M,9.90M,4.70M,,823.40M,236.10M,9.90M,5.20M,4.70M,-41.30M,4.70M,199.50M,79.50M,120.00M,,,120.00M,145.46M,276.70M,72.00M,204.70M,,1.50,,,1.818,1.50,,1.48,,,1.794,1.48,,80.20M,81.20M,0.625,,AOR,Restated
2018-09,1.691B,1.691B,661.60M,1.029B,793.60M,,,-25.70M,6.00M,10.40M,4.40M,,793.60M,235.70M,10.40M,6.00M,4.40M,-25.30M,4.40M,214.80M,44.50M,170.30M,,,170.30M,190.68M,290.50M,69.70M,220.80M,,2.09,,,2.341,2.09,,2.07,,,2.318,2.07,,81.30M,82.30M,0.625,,AOR,Restated
2018-06,1.391B,1.391B,494.90M,895.70M,741.90M,,,-23.70M,4.40M,9.20M,4.80M,,741.90M,153.80M,9.20M,4.40M,4.80M,-25.70M,4.80M,132.90M,23.90M,109.00M,,,109.00M,128.43M,207.60M,70.30M,137.30M,,1.33,,,1.567,1.33,,1.31,,,1.543,1.31,,81.90M,83.30M,0.625,,AOR,Restated
2018-03,1.529B,1.529B,620.70M,908.50M,828.60M,,,-54.50M,3.80M,4.70M,0.90M,,828.60M,79.90M,4.70M,3.80M,0.90M,-55.90M,0.90M,24.90M,-16.40M,41.30M,,,41.30M,81.08M,104.50M,75.80M,28.70M,,0.51,,,0.9970,0.51,,0.50,,,0.9822,0.50,,81.70M,82.50M,0.50,,AOR,Restated
2017-12,1.642B,1.642B,645.60M,996.20M,779.80M,,,-27.20M,4.80M,3.30M,-1.50M,,779.80M,216.40M,3.30M,4.80M,-1.50M,-28.60M,-1.50M,186.30M,268.10M,-81.80M,,,-81.80M,-65.48M,263.80M,72.70M,191.10M,,-1.00,,,-0.8002,-1.00,,-1.00,,,-0.8002,-1.00,,81.70M,81.70M,0.50,,AOR,Restated
2017-09,1.664B,1.664B,668.40M,995.80M,772.70M,,,-29.80M,4.60M,2.30M,-2.30M,,772.70M,223.10M,2.30M,4.60M,-2.30M,-29.60M,-2.30M,191.20M,47.40M,143.80M,,,143.80M,166.21M,269.60M,73.80M,195.80M,,1.76,,,2.034,1.76,,1.75,,,2.022,1.75,,81.70M,82.30M,0.50,,AOR,Restated
2017-06,1.347B,1.347B,495.90M,851.20M,714.40M,,,-46.50M,5.00M,2.00M,-3.00M,,714.40M,136.80M,2.00M,5.00M,-3.00M,-47.00M,-3.00M,86.80M,27.30M,59.50M,,,59.50M,91.40M,164.70M,72.90M,91.80M,,0.73,,,1.121,0.73,,0.72,,,1.107,0.72,,81.60M,82.50M,0.50,,AOR,Restated
2017-03,1.565B,1.565B,746.30M,819.10M,781.10M,,,-321.80M,1.30M,1.60M,0.30M,,763.00M,56.10M,1.60M,1.30M,0.30M,-324.90M,0.30M,-268.50M,-64.50M,-204.00M,,,-204.00M,40.50M,-191.60M,75.60M,-267.20M,,-2.46,,,0.5180,-2.46,,-2.46,,,0.5180,-2.46,,82.10M,82.10M,0.50,,AOR,Restated
2016-12,1.715B,1.715B,731.40M,983.20M,771.90M,,6.00M,-77.00M,3.60M,2.50M,-1.10M,,777.90M,205.30M,2.50M,3.60M,-1.10M,-81.10M,-1.10M,123.10M,41.80M,81.30M,,,81.30M,133.90M,204.60M,77.90M,126.70M,,0.98,,,1.617,0.98,,0.98,,,1.611,0.98,,82.60M,83.30M,0.50,,AOR,Restated
2016-09,1.821B,1.821B,866.40M,954.20M,803.30M,,6.10M,-68.50M,4.10M,2.30M,-1.80M,,809.40M,144.80M,2.30M,4.10M,-1.80M,-69.30M,-1.80M,73.70M,28.00M,45.70M,,,45.70M,87.49M,153.40M,75.60M,77.80M,,0.55,,,1.055,0.55,,0.55,,,1.052,0.55,,82.70M,83.20M,0.50,,AOR,Restated
2016-06,1.552B,1.552B,657.60M,894.60M,814.70M,,6.00M,-105.10M,3.40M,0.90M,-2.50M,,820.70M,73.90M,0.90M,3.40M,-2.50M,-104.60M,-2.50M,-33.20M,-10.90M,-22.30M,,,-22.30M,46.71M,48.60M,78.40M,-29.80M,,-0.27,,,0.5585,-0.27,,-0.27,,,0.5585,-0.27,,83.30M,83.30M,0.50,,AOR,Restated
2016-03,1.871B,1.871B,857.50M,1.014B,918.50M,,,-44.40M,7.00M,1.30M,-5.70M,,901.50M,112.20M,1.30M,7.00M,-5.70M,-44.70M,-5.70M,61.80M,20.40M,41.40M,,,41.40M,71.14M,151.20M,82.40M,68.80M,,0.49,,,0.8454,0.49,,0.49,,,0.8412,0.49,,83.70M,84.70M,0.50,,AOR,Restated
2015-12,1.946B,1.946B,852.00M,1.094B,833.00M,,5.00M,-67.00M,6.00M,2.00M,-4.00M,,838.00M,256.00M,2.00M,6.00M,-4.00M,-71.00M,-4.00M,181.00M,50.00M,131.00M,,,131.00M,181.75M,263.00M,76.00M,187.00M,,1.55,,,2.148,1.55,,1.54,,,2.134,1.54,,84.90M,85.50M,0.50,,AOR,Restated
2015-09,1.97B,1.97B,857.00M,1.113B,839.00M,,6.00M,-38.00M,4.00M,1.00M,-3.00M,,845.00M,268.00M,1.00M,4.00M,-3.00M,-46.00M,-3.00M,219.00M,59.00M,160.00M,,,160.00M,191.35M,300.00M,77.00M,223.00M,,1.87,,,2.236,1.87,,1.86,,,2.224,1.86,,85.60M,86.00M,0.50,,AOR,Restated
2015-06,1.618B,1.618B,652.00M,966.00M,822.00M,,6.00M,-42.00M,4.00M,2.00M,-2.00M,,828.00M,138.00M,2.00M,4.00M,-2.00M,-46.00M,-2.00M,90.00M,26.00M,64.00M,,,64.00M,94.53M,168.00M,74.00M,94.00M,,0.74,,,1.093,0.74,,0.73,,,1.079,0.73,,86.50M,87.50M,0.50,,AOR,Restated
2015-03,1.885B,1.885B,841.40M,1.044B,839.30M,,6.20M,-8.00M,4.70M,2.10M,-2.60M,,845.50M,198.40M,2.10M,4.70M,-2.60M,-22.40M,-2.60M,173.40M,49.20M,124.20M,,,124.20M,138.45M,253.50M,75.40M,178.10M,,1.43,,,1.593,1.43,,1.41,,,1.572,1.41,,87.30M,87.90M,0.50,,AOR,Restated
2014-12,2.033B,2.033B,874.00M,1.159B,837.00M,,6.00M,-1.00M,3.00M,0.00,-3.00M,,843.00M,316.00M,0.00,3.00M,-3.00M,-12.00M,-3.00M,301.00M,86.00M,215.00M,,,215.00M,221.43M,382.00M,78.00M,304.00M,,2.44,,,2.513,2.44,,2.41,,,2.482,2.41,,88.10M,89.00M,0.45,,AOR,Restated
2014-09,1.994B,1.994B,862.00M,1.132B,836.00M,,7.00M,-3.00M,5.00M,3.00M,-2.00M,,843.00M,289.00M,3.00M,5.00M,-2.00M,-9.00M,-2.00M,278.00M,77.00M,201.00M,,,201.00M,205.33M,355.00M,72.00M,283.00M,,2.27,,,2.319,2.27,,2.25,,,2.299,2.25,,88.40M,89.20M,0.45,,AOR,Restated
2014-06,1.708B,1.708B,665.00M,1.043B,788.00M,,6.00M,-5.00M,4.00M,1.00M,-3.00M,,794.00M,249.00M,1.00M,4.00M,-3.00M,-11.00M,-3.00M,235.00M,73.00M,162.00M,,,162.00M,167.51M,308.00M,69.00M,239.00M,,1.82,,,1.882,1.82,,1.80,,,1.861,1.80,,88.90M,90.20M,0.45,,AOR,Restated
2014-03,1.867B,1.867B,817.00M,1.05B,815.00M,,7.00M,-3.00M,4.00M,-1.00M,-5.00M,,822.00M,228.00M,-1.00M,4.00M,-5.00M,-4.00M,-5.00M,219.00M,66.00M,153.00M,,,153.00M,154.40M,288.00M,65.00M,223.00M,,1.71,,,1.725,1.71,,1.68,,,1.695,1.68,,91.60M,91.60M,0.45,,AOR,Restated
2013-12,2.015B,2.015B,843.00M,1.172B,815.00M,,9.00M,-14.00M,4.00M,0.00,-4.00M,,824.00M,348.00M,0.00,4.00M,-4.00M,-20.00M,-4.00M,324.00M,87.00M,237.00M,,,237.00M,250.16M,395.00M,67.00M,328.00M,,2.62,,,2.766,2.62,,2.57,,,2.713,2.57,,90.10M,91.80M,0.45,,AOR,Restated
2013-09,1.915B,1.915B,831.00M,1.084B,777.00M,,10.00M,-2.00M,7.00M,2.00M,-5.00M,,787.00M,297.00M,2.00M,7.00M,-5.00M,-4.00M,-5.00M,288.00M,83.00M,205.00M,,,205.00M,205.71M,361.00M,66.00M,295.00M,,2.28,,,2.288,2.28,,2.23,,,2.238,2.23,,90.40M,92.20M,0.40,,AOR,Restated
