,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-05,1.935B,1.935B,1.496B,438.20M,64.30M,133.30M,197.60M,0.00,0.00,-11.50M,268.00M,170.20M,-11.50M,0.00,-11.50M,158.70M,33.30M,125.40M,-1.60M,123.80M,125.40M,250.30M,70.40M,179.90M,,1.00,-0.01,1.00,0.99,,0.99,-0.01,0.99,0.98,,124.90M,126.60M,0.56,,AOR,Restated
2017-02,1.879B,1.879B,1.440B,438.50M,54.60M,87.20M,141.80M,0.70M,0.70M,-9.30M,209.70M,228.80M,-9.30M,0.70M,-9.30M,220.20M,53.90M,166.30M,-0.70M,165.60M,165.77M,296.70M,67.90M,228.80M,,1.34,-0.01,1.336,1.33,,1.32,-0.01,1.316,1.32,,124.10M,125.90M,0.56,,AOR,Restated
2016-11,1.642B,1.642B,1.322B,321.00M,57.10M,79.50M,136.60M,1.30M,-0.10M,-9.50M,204.40M,116.60M,-9.50M,-0.10M,-9.50M,107.00M,27.30M,79.70M,-0.20M,79.50M,79.77M,184.40M,67.80M,116.60M,,0.65,0.00,0.6506,0.65,,0.64,0.00,0.6406,0.64,,123.10M,124.90M,0.56,,AOR,Restated
2016-08,1.714B,1.714B,1.343B,371.70M,63.70M,87.70M,151.40M,,7.80M,-9.90M,218.20M,153.50M,-9.90M,7.80M,-9.90M,151.40M,40.30M,111.10M,-0.90M,110.20M,105.37M,220.30M,66.80M,153.50M,,0.89,-0.01,0.8442,0.88,,0.88,-0.01,0.8348,0.87,,124.90M,126.70M,0.56,,AOR,Restated
2016-05,1.790B,1.790B,1.382B,407.90M,63.40M,90.70M,154.10M,2.50M,-1.90M,-9.70M,220.90M,187.00M,-9.70M,-1.90M,-9.70M,175.40M,35.00M,140.40M,-0.80M,139.60M,141.92M,249.10M,66.80M,182.30M,,1.11,-0.01,1.122,1.10,,1.10,-0.01,1.112,1.09,,126.50M,128.40M,0.50,,AOR,Restated
2016-02,1.848B,1.848B,1.416B,432.00M,50.70M,95.20M,145.90M,0.00,2.10M,-83.10M,212.90M,219.10M,-83.10M,2.10M,-83.10M,138.10M,29.90M,108.20M,-2.40M,105.80M,106.56M,286.10M,67.00M,219.10M,,0.85,-0.02,0.8371,0.83,,0.84,-0.02,0.8273,0.82,,127.60M,129.40M,0.50,,AOR,Restated
2015-11,1.609B,1.609B,1.284B,324.90M,58.30M,101.90M,160.20M,7.90M,-7.70M,-57.30M,235.50M,89.40M,-57.30M,-7.70M,-57.30M,24.40M,-5.70M,30.10M,13.10M,43.20M,34.72M,164.70M,75.30M,89.40M,,0.23,0.11,0.2661,0.34,,0.23,0.10,0.2656,0.33,,128.10M,129.90M,0.55,,AOR,Restated
2015-08,1.687B,1.687B,1.311B,376.30M,65.60M,97.10M,162.70M,1.30M,1.70M,-22.40M,243.80M,132.50M,-22.40M,1.70M,-22.40M,111.80M,30.80M,81.00M,5.40M,86.40M,79.77M,213.60M,81.10M,132.50M,,0.64,0.04,0.6303,0.68,,0.63,0.04,0.6205,0.67,,127.40M,129.30M,0.55,,AOR,Restated
2015-05,1.878B,1.878B,1.447B,431.40M,65.50M,119.50M,185.00M,15.30M,-15.00M,-24.00M,265.90M,165.50M,-24.00M,-15.00M,-24.00M,126.50M,8.40M,118.10M,-12.80M,105.30M,132.10M,184.90M,80.90M,104.00M,,0.94,-0.11,1.051,0.83,,0.92,-0.11,1.029,0.82,,126.20M,128.50M,0.55,,AOR,Restated
2015-02,1.731B,1.731B,1.342B,388.60M,51.40M,86.40M,137.80M,4.50M,-0.80M,-23.30M,217.40M,171.20M,-23.30M,-0.80M,-23.30M,147.10M,18.70M,128.40M,5.40M,133.80M,129.10M,250.80M,79.60M,171.20M,,1.03,0.04,1.036,1.07,,1.01,0.04,1.016,1.05,,124.60M,126.90M,0.55,,AOR,Restated
