,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2005-08,1.409B,1.409B,1.083B,326.12M,,,133.04M,,,,187.17M,138.95M,,,,128.00M,42.48M,85.51M,,85.51M,85.51M,193.98M,55.03M,138.95M,,0.56,0.00,0.56,0.56,,0.53,0.00,0.53,0.53,,153.30M,160.40M,0.00,,,
2005-05,1.394B,1.394B,1.077B,317.12M,,,125.62M,,,,180.19M,136.93M,,,,121.64M,37.65M,83.99M,,83.99M,83.99M,194.39M,57.46M,136.93M,,0.54,0.00,0.54,0.54,,0.52,0.00,0.52,0.52,,155.20M,162.20M,0.04,,,
2005-02,1.376B,1.376B,1.055B,320.44M,,,126.49M,,,,179.21M,141.23M,,,,130.82M,38.19M,92.63M,,92.63M,92.63M,196.89M,55.66M,141.23M,,0.59,0.00,0.59,0.59,,0.56,0.00,0.56,0.56,,157.30M,164.50M,0.00,,,
2004-11,1.229B,1.229B,971.04M,258.34M,,,130.78M,,,,183.96M,74.38M,,,,63.37M,20.39M,42.98M,,42.98M,42.98M,130.20M,55.82M,74.38M,,0.27,0.00,0.27,0.27,,0.26,0.00,0.26,0.26,,156.80M,163.40M,0.04,,,
2004-08,1.279B,1.279B,992.25M,286.39M,,,114.58M,,,,167.34M,119.05M,,,,108.09M,37.07M,71.01M,,71.01M,71.01M,174.36M,55.31M,119.05M,,0.45,0.00,0.45,0.45,,0.44,0.00,0.44,0.44,,157.60M,163.20M,0.00,,,
2004-05,1.359B,1.359B,1.052B,306.74M,,,124.60M,,,,178.82M,127.92M,,,,74.71M,22.03M,52.68M,,52.68M,52.68M,183.90M,55.97M,127.92M,,0.33,0.00,0.33,0.33,,0.32,0.00,0.32,0.32,,160.20M,167.00M,0.04,,,
2004-02,1.242B,1.242B,953.87M,288.08M,,,113.55M,,,,165.73M,122.35M,,,,111.40M,34.32M,77.09M,,77.09M,77.09M,177.02M,54.68M,122.35M,,0.47,0.00,0.47,0.47,,0.45,0.00,0.45,0.45,,164.20M,170.10M,0.00,,,
2003-11,1.143B,1.143B,914.76M,227.78M,,,120.32M,,,,172.37M,55.41M,,,,44.69M,14.64M,30.05M,,30.05M,30.05M,108.97M,53.56M,55.41M,,0.18,0.00,0.18,0.18,,0.18,0.00,0.18,0.18,,164.90M,171.00M,0.04,,,
2003-08,1.260B,1.260B,979.87M,279.82M,,,113.64M,,,,165.19M,114.62M,,,,103.98M,35.39M,68.59M,,68.59M,68.59M,168.02M,53.40M,114.62M,,0.42,0.00,0.42,0.42,,0.40,0.00,0.40,0.40,,164.70M,170.50M,0.00,,,
2003-05,1.227B,1.227B,969.79M,257.70M,,,111.90M,,-3.781M,,163.92M,93.78M,,-3.781M,,79.05M,24.22M,54.83M,,54.83M,57.45M,147.38M,53.60M,93.78M,,0.33,0.00,0.3456,0.33,,0.31,0.00,0.3251,0.31,,167.90M,173.50M,0.04,,,
2003-02,1.181B,1.181B,920.32M,261.06M,,,108.94M,,,,157.07M,103.99M,,,,93.32M,31.54M,61.79M,,61.79M,61.79M,153.90M,49.91M,103.99M,,0.36,0.00,0.36,0.36,,0.35,0.00,0.35,0.35,,170.70M,177.50M,0.00,,,
2002-11,1.072B,1.072B,855.46M,216.08M,,,103.20M,,,,149.13M,66.95M,,,,56.22M,18.74M,37.48M,,37.48M,37.48M,114.65M,47.70M,66.95M,,0.22,0.00,0.22,0.22,,0.21,0.00,0.21,0.21,,170.90M,178.70M,0.04,,,
2002-08,1.175B,1.175B,904.10M,270.46M,,,106.06M,,,,151.20M,119.26M,,,,109.00M,37.12M,71.89M,,71.89M,71.89M,166.17M,46.92M,119.26M,,0.42,0.00,0.42,0.42,,0.40,0.00,0.40,0.40,,171.60M,180.00M,0.00,,,
2002-05,1.138B,1.138B,879.75M,257.78M,,,95.77M,,0.299M,,139.16M,118.62M,,0.299M,,108.70M,35.75M,72.95M,,72.95M,72.75M,164.18M,45.56M,118.62M,,0.42,0.00,0.4188,0.42,,0.4067,0.00,0.4056,0.4067,,172.75M,182.30M,0.0267,,,
2002-02,1.134B,1.134B,869.35M,265.04M,,,111.28M,,,,153.15M,111.89M,,,,102.78M,36.56M,66.22M,,66.22M,66.22M,155.53M,43.64M,111.89M,,0.38,0.00,0.38,0.38,,0.36,0.00,0.36,0.36,,175.05M,184.50M,0.00,,,
2001-11,1.014B,1.014B,803.32M,210.18M,,,106.15M,,2.269M,,147.22M,62.97M,,2.269M,,56.26M,19.79M,36.46M,,36.46M,34.99M,105.77M,42.80M,62.97M,,0.2067,0.00,0.1983,0.2067,,0.20,0.00,0.1920,0.20,,175.20M,183.00M,0.0267,,,
2001-08,1.081B,1.081B,831.19M,250.30M,,,106.94M,,,,146.45M,103.85M,,,,95.58M,33.42M,62.16M,,62.16M,62.16M,145.26M,41.40M,103.85M,,0.3535,0.00,0.3535,0.3535,,0.3402,0.00,0.3402,0.3402,,176.01M,183.66M,0.00,,,
2001-05,1.054B,1.054B,834.32M,219.31M,,,85.48M,,,,118.64M,100.66M,,,,92.58M,31.57M,61.01M,,61.01M,61.01M,140.85M,40.19M,100.66M,,0.3405,0.00,0.3405,0.3405,,0.3272,0.00,0.3272,0.3272,,176.64M,183.98M,0.0267,,,
2001-02,988.64M,988.64M,767.28M,221.35M,,,98.46M,,,,137.33M,84.02M,,,,75.49M,25.96M,49.53M,,49.53M,49.53M,122.90M,38.88M,84.02M,,0.2733,0.00,0.2733,0.2733,,0.2667,0.00,0.2667,0.2667,,179.70M,186.00M,0.00,,,
2000-11,931.96M,931.96M,735.35M,196.60M,,,105.96M,,,,143.52M,53.09M,,,,45.31M,15.77M,29.54M,,29.54M,29.54M,90.65M,37.56M,53.09M,,0.1667,0.00,0.1667,0.1667,,0.16,0.00,0.16,0.16,,179.70M,185.55M,0.0267,,,
2000-08,1.018B,1.018B,787.54M,230.67M,,,99.29M,,,,136.55M,94.11M,,,,87.84M,30.92M,56.92M,,56.92M,56.92M,131.38M,37.27M,94.11M,,0.3135,0.00,0.3135,0.3135,,0.3068,0.00,0.3068,0.3068,,182.31M,186.51M,0.00,,,
2000-05,980.36M,980.36M,776.59M,203.77M,,,83.74M,,,,113.80M,89.96M,,,,90.01M,32.00M,58.00M,,58.00M,58.00M,125.92M,35.96M,89.96M,,0.3138,0.00,0.3138,0.3138,,0.3004,0.00,0.3004,0.3004,,184.72M,188.90M,0.0267,,,
2000-02,917.50M,917.50M,712.70M,204.80M,,,90.90M,,,,125.40M,79.40M,,,,72.70M,25.80M,46.90M,,46.90M,46.90M,113.90M,34.50M,79.40M,,0.2467,0.00,0.2467,0.2467,,0.24,0.00,0.24,0.24,,191.55M,195.75M,0.00,,,
1999-11,848.20M,848.20M,677.70M,170.50M,,,94.20M,,,,127.30M,43.20M,,,,38.00M,13.50M,24.50M,,24.50M,24.50M,76.30M,33.10M,43.20M,,0.1267,0.00,0.1267,0.1267,,0.12,0.00,0.12,0.12,,196.20M,201.75M,0.0267,,,
1999-08,929.40M,929.40M,724.70M,204.70M,,,94.20M,,,,127.00M,77.70M,,,,73.20M,25.90M,47.30M,,47.30M,47.30M,110.50M,32.80M,77.70M,,0.2401,0.00,0.2401,0.2401,,0.2334,0.00,0.2334,0.2334,,196.98M,202.61M,0.00,,,
1999-05,914.00M,914.00M,704.00M,210.00M,,,101.60M,,,,134.70M,75.30M,,,,78.70M,27.70M,51.00M,,51.00M,51.00M,108.40M,33.10M,75.30M,,0.2468,0.00,0.2468,0.2468,,0.2401,0.00,0.2401,0.2401,,206.75M,212.12M,0.0267,,,
1999-02,866.90M,866.90M,683.20M,183.70M,,,88.20M,,,,120.80M,62.90M,,,,58.60M,20.20M,38.40M,,38.40M,38.40M,95.50M,32.60M,62.90M,,0.1868,0.00,0.1868,0.1868,,0.1801,0.00,0.1801,0.1801,,205.61M,213.23M,0.00,,,
1998-11,791.20M,791.20M,643.00M,148.20M,,,86.40M,,,,118.80M,29.40M,,,,24.60M,8.70M,15.90M,,15.90M,15.90M,61.90M,32.50M,29.40M,,0.0734,0.00,0.0734,0.0734,,0.0734,0.00,0.0734,0.0734,,216.71M,216.71M,0.0267,,,
1998-08,886.10M,886.10M,710.00M,176.10M,,,84.80M,,,,116.80M,59.30M,,,,53.90M,18.70M,35.20M,,35.20M,35.20M,91.30M,32.00M,59.30M,,0.1668,0.00,0.1668,0.1668,,0.1601,0.00,0.1601,0.1601,,211.09M,219.89M,0.00,,,
1998-05,921.12M,921.12M,720.20M,200.92M,,,101.60M,,,,134.80M,66.12M,,,,60.40M,20.40M,40.00M,,40.00M,40.00M,99.32M,33.20M,66.12M,,0.1865,0.00,0.1865,0.1865,,0.1765,0.00,0.1765,0.1765,,213.14M,231.54M,0.0267,,,
1998-02,811.30M,811.30M,644.70M,166.60M,,,83.30M,,,,116.30M,50.30M,,,,45.30M,15.50M,29.80M,,29.80M,29.80M,83.30M,33.00M,50.30M,,0.1334,0.00,0.1334,0.1334,,0.1334,0.00,0.1334,0.1334,,223.39M,223.39M,0.00,,,
1997-11,745.30M,745.30M,611.90M,133.40M,,,84.40M,,,,116.80M,16.60M,,,,11.80M,4.30M,7.50M,,7.50M,7.50M,49.00M,32.40M,16.60M,,0.0334,0.00,0.0334,0.0334,,0.0334,0.00,0.0334,0.0334,,224.89M,224.89M,0.0267,,,
1997-08,809.30M,809.30M,646.80M,162.50M,,,89.20M,,,,121.60M,40.90M,,,,36.20M,11.80M,24.40M,,24.40M,24.40M,73.30M,32.40M,40.90M,,0.1067,0.00,0.1067,0.1067,,0.1067,0.00,0.1067,0.1067,,228.64M,228.64M,0.00,,,
1997-05,816.60M,816.60M,653.50M,163.10M,,,83.70M,,,,116.40M,46.70M,,,,-189.20M,-73.20M,-116.00M,,-116.00M,-116.00M,79.40M,32.70M,46.70M,,-0.5002,0.00,-0.5002,-0.5002,,-0.5002,0.00,-0.5002,-0.5002,,222.19M,222.19M,0.0267,,,
1997-02,800.80M,800.80M,652.30M,148.50M,,,85.20M,,,,121.30M,27.20M,,,,21.60M,5.90M,15.70M,,15.70M,15.70M,63.30M,36.10M,27.20M,,0.0667,0.00,0.0667,0.0667,,0.0667,0.00,0.0667,0.0667,,235.38M,235.38M,0.00,,,
1996-11,748.80M,748.80M,628.80M,120.00M,,,93.30M,,,,130.20M,-10.20M,,,,-15.90M,-4.70M,-11.20M,,-11.20M,-11.20M,26.70M,36.90M,-10.20M,,-0.0467,0.00,-0.0467,-0.0467,,-0.0467,0.00,-0.0467,-0.0467,,239.88M,239.88M,0.0267,,,
1996-08,805.60M,805.60M,637.60M,168.00M,,,99.10M,,,,134.10M,33.90M,,,,28.90M,8.40M,20.50M,,20.50M,20.50M,68.90M,35.00M,33.90M,,0.0867,0.00,0.0867,0.0867,,0.0867,0.00,0.0867,0.0867,,236.42M,236.42M,0.00,,,
1996-05,829.50M,829.50M,640.90M,188.60M,,,93.60M,,0.00,,129.30M,59.30M,,0.00,,54.30M,19.80M,34.50M,,34.50M,34.50M,95.00M,35.70M,59.30M,,0.1467,0.00,0.1467,0.1467,,0.1467,0.00,0.1467,0.1467,,233.88M,233.88M,0.0267,,,
1996-02,795.10M,795.10M,605.60M,189.50M,,,95.10M,,,,127.50M,62.00M,,,,56.50M,20.90M,35.60M,,35.60M,35.60M,94.40M,32.40M,62.00M,,0.1467,0.00,0.1467,0.1467,,0.1467,0.00,0.1467,0.1467,,242.61M,242.61M,0.00,,,
1995-11,731.20M,731.20M,577.20M,154.00M,,,89.60M,,,,122.60M,31.40M,,,,26.00M,9.70M,16.30M,,16.30M,16.30M,64.40M,33.00M,31.40M,,0.0667,0.00,0.0667,0.0667,,0.0667,0.00,0.0667,0.0667,,244.38M,244.38M,0.0267,,,
1995-08,836.00M,836.00M,647.60M,188.40M,,,95.60M,,-75.00M,,131.00M,57.40M,,-75.00M,,-23.00M,-10.90M,-12.10M,,-12.10M,32.90M,92.80M,35.40M,57.40M,,-0.0534,0.00,0.1451,-0.0534,,-0.0534,0.00,0.1451,-0.0534,,226.76M,226.76M,,,,
1995-05,790.80M,790.80M,,,,,,,,,,-2.186B,,,,,,13.10M,,13.10M,13.10M,-2.186B,,-2.186B,,0.0534,0.00,0.0534,0.0534,,0.0534,0.00,0.0534,0.0534,,240.48M,240.48M,,,,
1995-02,790.80M,790.80M,,,,,,,,,,790.80M,,,,,,13.10M,,13.10M,13.10M,790.80M,,790.80M,,0.0534,0.00,0.0534,0.0534,,0.0534,0.00,0.0534,0.0534,,245.50M,245.50M,,,,
1994-11,790.80M,790.80M,,,,,,,,,,790.80M,,,,,,13.10M,,13.10M,13.10M,790.80M,,790.80M,,0.0534,0.00,0.0534,0.0534,,0.0534,0.00,0.0534,0.0534,,245.50M,245.50M,,,,
1994-08,790.80M,790.80M,,,,,,,,,,790.80M,,,,,,13.10M,,13.10M,13.10M,790.80M,,790.80M,,0.0534,0.00,0.0534,0.0534,,0.0534,0.00,0.0534,0.0534,,245.50M,245.50M,,,,
