,NetIncome,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-11,96.90M,,0.00,0.00,,,86.00M,86.00M,2.00M,,,22.30M,,-10.00M,1.00M,-12.90M,1.40M,-23.90M,,21.10M,38.00M,24.70M,-2.20M,219.70M,,-68.90M,3.10M,-62.90M,0.00,,0.10M,-62.20M,,-1.70M,0.00,-1.70M,6.20M,-0.20M,6.00M,-39.10M,-39.10M,,-34.80M,,654.60M,122.70M,777.30M,,6.20M,,-1.70M,-0.20M,,,,AOR,
2020-08,37.30M,,,,,,87.60M,87.60M,-10.00M,,,19.10M,,-14.10M,2.60M,16.80M,-0.10M,-16.80M,,35.50M,48.80M,86.80M,2.20M,208.90M,,-45.90M,2.30M,-39.90M,0.00,,-0.40M,-44.00M,,-1.20M,-270.00M,-271.20M,4.20M,-6.60M,-2.40M,0.00,0.00,,-273.60M,,763.30M,-108.70M,654.60M,,4.20M,,-271.20M,-6.60M,,,,AOR,
2020-05,-479.70M,,-1.60M,-1.60M,,,94.40M,94.40M,-131.70M,,390.00M,10.40M,,13.10M,0.90M,8.20M,-0.70M,-103.20M,,-23.10M,18.00M,-99.90M,-3.60M,-208.60M,,-93.10M,1.50M,-83.90M,-5.70M,,0.70M,-96.60M,,-1.40M,270.00M,268.60M,508.20M,-30.00M,478.20M,0.00,0.00,0.00,746.80M,,321.70M,441.60M,763.30M,,508.20M,1.02B,-751.40M,-30.00M,,,,AOR,
2020-02,233.30M,,0.00,0.00,,,87.70M,87.70M,6.50M,,0.20M,14.60M,,-7.90M,5.50M,-17.30M,2.90M,35.50M,,7.50M,110.80M,144.90M,-2.50M,476.80M,,-124.10M,0.00,-118.00M,-13.10M,,-0.50M,-138.10M,,-1.30M,0.00,-1.30M,2.90M,-69.40M,-66.50M,-106.60M,-106.60M,0.10M,-174.30M,,157.30M,164.40M,321.70M,,2.90M,0.00,-1.30M,-69.40M,,,,AOR,
2019-11,25.40M,,147.10M,147.10M,,,87.60M,87.60M,-15.40M,,,13.80M,,-16.10M,-5.70M,-13.20M,1.90M,-8.80M,,18.80M,-46.10M,-53.10M,0.70M,190.00M,,-144.80M,1.70M,-137.70M,0.00,,0.30M,-142.40M,,-1.20M,0.00,-1.20M,3.60M,-136.10M,-132.50M,-107.60M,-107.60M,0.20M,-241.10M,,350.80M,-193.50M,157.30M,,3.60M,,-1.20M,-136.10M,,,,AOR,Restated
2019-08,171.80M,,,,,,86.20M,86.20M,7.00M,,,14.20M,,1.50M,13.00M,8.40M,-6.90M,-28.20M,,-26.00M,12.80M,-26.90M,-0.70M,253.10M,,-122.50M,2.60M,-114.50M,-37.00M,,-10.00M,-166.90M,,-1.30M,0.00,-1.30M,11.20M,-94.80M,-83.60M,-108.10M,-108.10M,0.30M,-192.70M,,457.30M,-106.50M,350.80M,,11.20M,,-1.30M,-94.80M,,,,AOR,Restated
2019-05,208.70M,,0.00,0.00,,,87.90M,87.90M,31.60M,,14.60M,14.50M,,1.60M,-14.40M,2.10M,-2.40M,44.40M,,22.80M,-63.80M,-11.30M,0.10M,347.70M,,-113.60M,0.50M,-104.60M,0.00,,0.20M,-112.90M,,39.60M,0.00,39.60M,13.90M,-41.50M,-27.60M,-92.40M,-92.40M,0.00,-80.40M,,302.90M,154.40M,457.30M,,13.90M,40.90M,-1.30M,-41.50M,,,,AOR,Restated
2019-02,225.10M,,0.00,0.00,,,85.30M,85.30M,5.10M,,1.60M,13.70M,,-4.30M,13.30M,-0.10M,4.10M,33.00M,,-2.40M,111.70M,159.60M,-5.90M,480.20M,,-119.80M,11.90M,-102.00M,0.00,,0.00,-107.90M,,-1.70M,-45.00M,-46.70M,3.70M,-73.70M,-70.00M,-92.40M,-92.40M,0.00,-209.10M,,139.70M,163.20M,302.90M,,3.70M,5.50M,-52.20M,-73.70M,-12.30M,-24.90M,,AOR,Restated
2018-11,115.90M,,0.00,0.00,,,82.80M,82.80M,7.00M,,2.70M,13.70M,,12.00M,-11.60M,-14.80M,-0.10M,28.00M,,-18.10M,10.00M,-6.60M,-4.60M,222.90M,,-132.70M,0.00,-126.60M,0.00,,0.10M,-132.70M,,-1.60M,45.00M,43.40M,8.40M,-61.00M,-52.60M,-93.00M,-93.00M,-0.10M,-102.30M,,151.80M,-12.10M,139.70M,,8.40M,132.00M,-88.60M,-61.00M,12.30M,24.90M,,AOR,Restated
2018-08,168.90M,,,,,,80.70M,80.70M,3.80M,,0.10M,17.90M,,-3.50M,14.80M,10.70M,-9.80M,-55.00M,,-5.20M,-17.00M,-61.50M,,206.40M,,-111.80M,0.80M,-105.60M,0.00,,1.80M,-109.10M,,-1.60M,,-1.60M,33.30M,-31.30M,2.00M,-93.00M,-93.00M,0.20M,-92.40M,,146.90M,4.90M,151.80M,,33.30M,,-1.60M,-31.30M,,,,AOR,Restated
2018-05,175.40M,,,0.00,,,79.00M,79.00M,8.40M,,4.50M,10.60M,,0.40M,-33.00M,2.50M,0.40M,7.40M,,-5.60M,18.80M,-9.50M,-3.30M,265.50M,,-109.20M,0.00,-101.10M,0.00,,0.40M,-108.80M,,-1.50M,-50.60M,-52.10M,2.30M,-27.20M,-24.90M,-78.60M,-78.60M,-1.00M,-156.60M,,146.80M,0.10M,146.90M,,2.30M,147.80M,-199.90M,-27.20M,-40.30M,-142.20M,,AOR,Restated
2018-02,218.50M,,,102.20M,,,79.20M,79.20M,-47.10M,,-0.30M,14.10M,,-63.70M,16.30M,-9.00M,-0.10M,59.50M,,13.00M,54.30M,134.00M,-9.00M,427.90M,,-101.70M,0.20M,-97.00M,0.00,,0.00,-101.30M,,-109.80M,-102.90M,-212.70M,18.10M,-18.70M,-0.60M,-77.90M,-77.90M,-3.30M,-294.50M,,114.70M,32.10M,146.80M,,18.10M,518.60M,-731.30M,-18.70M,1.30M,112.00M,,AOR,Restated
2017-11,88.60M,,,,,,78.80M,78.80M,-4.30M,,0.00,9.70M,,-3.00M,-9.40M,-22.70M,-4.30M,-3.00M,,-10.90M,15.20M,-35.10M,-6.20M,128.50M,,-107.30M,0.20M,-101.80M,-40.40M,,3.40M,-139.50M,,-1.30M,153.50M,152.20M,1.60M,-88.70M,-87.10M,-77.90M,-77.90M,-8.30M,-21.10M,,146.80M,-32.10M,114.70M,,1.60M,593.60M,-441.40M,-88.70M,39.00M,30.20M,,AOR,Restated
2017-08,121.30M,,,,,,76.10M,76.10M,22.40M,,-0.80M,8.40M,,-1.80M,18.90M,2.60M,-8.50M,-23.80M,,-21.90M,-13.50M,-46.20M,,179.40M,,-100.60M,2.90M,-92.80M,,,1.00M,-101.30M,,-1.00M,,-1.00M,15.80M,-100.20M,-84.40M,-79.10M,-79.10M,0.10M,-164.40M,,233.10M,-86.30M,146.80M,,15.80M,,-1.00M,-100.20M,,,,AOR,Restated
2017-05,125.40M,,,,,,70.40M,70.40M,-10.00M,,0.00,13.40M,,2.80M,-31.00M,-2.30M,0.20M,48.20M,,54.20M,-56.30M,13.00M,-4.50M,210.50M,,-85.50M,0.10M,-78.90M,-764.40M,,0.40M,-849.40M,,504.80M,0.00,504.80M,50.60M,-15.30M,35.30M,-70.20M,-70.20M,10.70M,480.60M,,391.40M,-158.30M,233.10M,,50.60M,505.70M,-0.90M,-15.30M,,,,AOR,Restated
2017-02,166.30M,,,,,,67.90M,67.90M,-7.10M,,-0.70M,9.30M,,-1.30M,26.20M,15.60M,4.00M,-26.20M,,1.80M,151.20M,172.60M,-3.40M,403.60M,,-84.10M,1.30M,-77.40M,0.00,-1.10M,4.30M,-78.80M,,-1.20M,0.00,-1.20M,16.50M,-0.20M,16.30M,-69.40M,-69.40M,4.10M,-50.20M,,116.80M,274.60M,391.40M,,16.50M,0.00,-1.20M,-0.20M,,,,AOR,Restated
2016-11,79.70M,,,,,,67.80M,67.80M,-2.30M,,0.10M,11.80M,,-0.60M,-13.50M,-21.90M,-0.40M,17.40M,,-12.00M,-4.90M,-35.30M,-3.40M,117.80M,,-81.80M,3.10M,-72.10M,0.00,1.10M,,-77.60M,,-0.80M,0.00,-0.80M,42.70M,-19.10M,23.60M,-69.00M,-69.00M,8.10M,-38.10M,,114.70M,2.10M,116.80M,,42.70M,0.00,-0.80M,-19.10M,,,,AOR,Restated
2016-08,111.10M,,,,,,66.80M,66.80M,-3.50M,,-7.80M,6.20M,,10.10M,11.80M,13.60M,-4.90M,-47.20M,,-4.00M,20.90M,-9.80M,-7.00M,166.10M,,-66.90M,3.80M,-56.30M,,0.00,,-63.10M,,-1.00M,,-1.00M,3.30M,-195.60M,-192.30M,-70.50M,-70.50M,0.70M,-263.10M,,274.80M,-160.10M,114.70M,,3.30M,,-1.00M,-195.60M,,,,AOR,Restated
2016-05,140.40M,,,0.00,,,66.80M,66.80M,54.80M,,1.90M,8.10M,,-22.70M,-11.30M,3.40M,-4.20M,47.00M,,9.70M,-70.70M,-26.10M,-9.20M,214.00M,,-66.00M,3.80M,-51.70M,,-0.80M,,-61.20M,,-8.90M,,-8.90M,20.10M,-44.60M,-24.50M,-63.40M,-63.40M,3.00M,-93.80M,,215.80M,59.00M,274.80M,,20.10M,,-8.90M,-44.60M,,,,AOR,Restated
2016-02,108.20M,,,71.30M,,,67.00M,67.00M,-6.80M,,-2.10M,11.90M,,1.40M,9.40M,-8.90M,1.00M,24.20M,,-8.00M,138.00M,155.70M,-1.60M,405.00M,,-52.90M,10.00M,-40.60M,,0.00,,-42.90M,,-819.70M,,-819.70M,17.10M,-139.80M,-122.70M,-64.20M,-64.20M,2.70M,-1.004B,,857.60M,-641.80M,215.80M,,17.10M,,-819.70M,-139.80M,,,,AOR,Restated
