,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-11,777.30M,,777.30M,46.20M,,46.20M,203.00M,83.20M,,,1.110B,,,,,9.405B,,9.405B,-2.719B,6.686B,1.037B,806.30M,1.844B,,,288.40M,8.818B,9.928B,,235.60M,53.70M,289.30M,130.00M,419.30M,,,,,,439.90M,439.90M,686.90M,1.546B,929.40M,4.223B,5.152B,45.10M,45.10M,729.10M,5.926B,7.472B,,2.239B,223.20M,,,,,-7.10M,2.455B,,AOR,
2020-08,654.60M,,654.60M,47.20M,,47.20M,190.10M,79.10M,,,971.00M,,,,,9.350B,,9.350B,-2.659B,6.691B,1.037B,806.30M,1.844B,,,283.80M,8.818B,9.790B,,248.80M,58.20M,307.00M,128.90M,435.90M,,,,,,448.50M,448.50M,659.50M,1.544B,929.10M,4.264B,5.193B,43.30M,43.30M,633.90M,5.871B,7.414B,,2.221B,166.60M,,,,,-12.50M,2.375B,,AOR,
2020-05,763.30M,,763.30M,23.10M,27.90M,49.80M,206.90M,81.40M,,,1.101B,0.00,126.50M,3.082B,1.756B,4.247B,154.80M,9.367B,-2.641B,6.726B,1.037B,805.90M,1.843B,,,275.30M,8.845B,9.946B,,249.40M,100.00M,349.40M,159.70M,509.10M,,270.00M,270.00M,166.30M,436.30M,467.90M,467.90M,94.80M,1.793B,928.80M,4.276B,5.205B,56.10M,56.10M,560.90M,5.822B,7.615B,,2.205B,143.50M,,,,,-17.60M,2.331B,,AOR,
2020-02,321.70M,,321.70M,51.20M,,51.20M,229.60M,83.50M,,,686.00M,5.410B,,,,4.030B,,9.441B,-2.616B,6.825B,1.206B,950.80M,2.156B,,,305.70M,9.287B,9.973B,,360.10M,57.60M,417.70M,155.20M,572.90M,,,,,,475.70M,475.70M,634.50M,1.683B,928.50M,4.317B,5.246B,188.50M,188.50M,514.60M,5.949B,7.632B,,1.693B,648.60M,,,,,-0.40M,2.341B,,AOR,
2019-11,157.30M,,157.30M,56.80M,,56.80M,212.20M,109.20M,,,535.50M,5.296B,,,,4.029B,,9.325B,-2.565B,6.760B,1.199B,950.80M,2.150B,,,297.40M,9.207B,9.743B,,340.20M,71.80M,412.00M,137.10M,549.10M,,,,,,390.30M,390.30M,618.10M,1.558B,928.20M,4.306B,5.234B,182.10M,182.10M,495.00M,5.912B,7.469B,,1.69B,584.50M,,,,,-0.50M,2.274B,,AOR,Restated
2019-08,350.80M,,350.80M,51.10M,,51.10M,199.00M,69.40M,,,670.30M,5.126B,,,,3.997B,,9.123B,-2.515B,6.608B,1.200B,950.80M,2.150B,,,291.00M,9.049B,9.720B,,343.70M,81.50M,425.20M,136.30M,561.50M,,,,,,388.80M,388.80M,598.30M,1.549B,928.00M,4.266B,5.194B,165.50M,165.50M,430.60M,5.790B,7.338B,,1.693B,789.90M,,,,,-101.00M,2.381B,,AOR,Restated
2019-05,457.30M,,457.30M,40.20M,48.40M,88.30M,207.30M,139.70M,,,892.60M,0.00,148.10M,2.985B,1.716B,100.70M,84.80M,5.035B,-2.483B,2.553B,1.184B,950.80M,2.134B,,,313.10M,5.000B,5.893B,,332.60M,135.80M,468.40M,183.80M,652.20M,,,,2.90M,2.90M,428.50M,428.50M,107.10M,1.474B,927.70M,0.00,927.70M,156.90M,511.30M,587.10M,2.026B,3.500B,,1.685B,806.60M,,,,,-98.20M,2.393B,,AOR,Restated
2019-02,302.90M,,302.90M,73.90M,,73.90M,209.50M,100.90M,,,687.20M,,,,,4.954B,,4.954B,-2.414B,2.540B,1.184B,950.80M,2.134B,,,336.20M,5.011B,5.698B,,303.20M,57.80M,361.00M,163.30M,524.30M,,,,,,471.70M,471.70M,446.90M,1.443B,927.40M,,927.40M,130.70M,477.20M,534.60M,1.939B,3.382B,,1.677B,728.40M,,7.80M,,,-81.00M,2.316B,,AOR,Restated
2018-11,139.70M,,139.70M,80.50M,,80.50M,209.40M,120.50M,,,561.20M,,,,,4.880B,,4.880B,-2.359B,2.521B,1.184B,950.80M,2.134B,,,332.40M,4.988B,5.549B,,301.30M,61.30M,362.60M,139.80M,502.40M,,,45.00M,,45.00M,388.60M,388.60M,449.30M,1.385B,927.10M,,927.10M,125.10M,464.30M,522.20M,1.914B,3.299B,,1.676B,662.50M,,7.80M,,,-78.70M,2.250B,,AOR,Restated
2018-08,151.80M,,151.80M,68.80M,,68.80M,194.60M,118.30M,,,544.60M,,,,,4.764B,,4.764B,-2.291B,2.474B,1.184B,950.80M,2.134B,,,344.20M,4.952B,5.497B,,268.70M,65.70M,334.40M,138.20M,472.60M,,,,,,382.50M,382.50M,469.20M,1.324B,926.80M,,926.80M,118.10M,447.90M,522.70M,1.897B,3.222B,,1.667B,693.50M,,7.80M,,,-76.40M,2.275B,,AOR,Restated
