,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,3.019B,3.019B,1.770B,1.249B,802.60M,,-35.00M,139.00M,4.20M,-134.80M,,802.60M,446.40M,4.20M,139.00M,-134.80M,-19.90M,-134.80M,291.70M,42.40M,249.30M,0.00,,-3.10M,,639.70M,209.00M,430.70M,,2020-09,,,0.9675,0.8626,,0.00,,,,2020-09,285.40M,288.40M,0.47,,2020-09,AOR,
2020-06,2.686B,2.686B,1.636B,1.05B,788.60M,,-69.40M,61.80M,3.10M,-58.70M,,788.60M,261.40M,3.10M,61.80M,-58.70M,-54.30M,-58.70M,148.40M,14.10M,134.30M,-2.164B,,-5.40M,,356.80M,146.60M,210.20M,,2020-06,,,0.6679,-7.06,,-7.51,,,,2020-06,288.20M,291.50M,0.47,,2020-06,AOR,
2020-03,3.581B,3.581B,2.117B,1.465B,1.015B,,-52.40M,52.70M,4.60M,-48.10M,,1.015B,449.60M,4.60M,52.70M,-48.10M,-37.20M,-48.10M,364.30M,74.10M,290.20M,,,-6.80M,,666.60M,249.60M,417.00M,,2020-03,,,1.125,0.98,,,,,,2020-03,288.80M,292.60M,0.47,,2020-03,AOR,
2019-12,5.588B,5.588B,3.487B,2.102B,1.292B,,-122.80M,51.90M,5.30M,-46.60M,,1.292B,809.60M,5.30M,51.90M,-46.60M,-109.40M,-46.60M,653.60M,120.60M,533.00M,,,-5.00M,,1.100B,394.30M,705.50M,,2019-12,,,1.837,1.49,,,,,,2019-12,288.40M,292.50M,0.47,,2019-12,AOR,
2019-09,3.224B,3.224B,1.781B,1.443B,869.20M,,-24.90M,52.90M,6.80M,-46.10M,,869.20M,573.90M,6.80M,52.90M,-46.10M,-4.10M,-46.10M,523.70M,83.40M,440.30M,28.30M,,-4.40M,,770.90M,194.30M,576.60M,,2019-09,,,1.586,1.611,,0.0967,,,,2019-09,288.10M,292.80M,0.46,,2019-09,AOR,Restated
2019-06,3.169B,3.169B,1.780B,1.389B,900.00M,,-24.40M,54.50M,5.30M,-49.20M,,900.00M,488.80M,5.30M,54.50M,-49.20M,-3.50M,-49.20M,436.10M,88.80M,347.30M,25.20M,,-3.90M,,636.50M,145.90M,490.60M,,2019-06,,,1.258,1.28,,0.08,,,,2019-06,287.60M,292.10M,0.46,,2019-06,AOR,Restated
2019-03,3.505B,3.505B,2.090B,1.416B,1.008B,,-40.30M,56.10M,6.70M,-49.40M,,1.008B,407.50M,6.70M,56.10M,-49.40M,-19.10M,-49.40M,339.00M,38.60M,300.40M,,,-3.90M,,633.90M,238.80M,395.10M,,2019-03,,,1.154,1.03,,,,,,2019-03,288.20M,292.30M,0.46,,2019-03,AOR,Restated
2018-12,3.760B,3.760B,2.217B,1.544B,948.80M,,-13.00M,57.70M,3.80M,-53.90M,,948.80M,594.90M,3.80M,57.70M,-53.90M,6.90M,-53.90M,547.90M,147.70M,400.20M,,,-5.10M,,843.50M,237.90M,605.60M,,2018-12,,,1.403,1.37,,,,,,2018-12,288.00M,291.90M,0.46,,2018-12,AOR,Restated
2018-09,3.747B,3.747B,2.191B,1.556B,964.70M,,-75.60M,58.30M,2.60M,-55.70M,,964.70M,591.80M,2.60M,58.30M,-55.70M,-54.60M,-55.70M,481.50M,43.20M,438.30M,,,-2.90M,,774.40M,234.60M,539.80M,,2018-09,,,1.748,1.51,,,,,,2018-09,288.80M,293.40M,0.41,,2018-09,AOR,Restated
2018-06,3.690B,3.690B,2.146B,1.544B,1.037B,,-12.10M,60.20M,3.90M,-56.30M,,1.037B,506.70M,3.90M,60.20M,-56.30M,7.50M,-56.30M,457.90M,104.30M,353.60M,,,-2.30M,,752.80M,234.70M,518.10M,,2018-06,,,1.252,1.22,,,,,,2018-06,288.80M,293.30M,0.41,,2018-06,AOR,Restated
