,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,249.30M,,,,10.80M,10.80M,150.10M,58.90M,209.00M,209.00M,8.40M,,,11.40M,,65.40M,2.40M,-24.20M,,-8.30M,,-72.40M,-102.50M,0.00,451.80M,,2020-09,-111.70M,0.80M,0.80M,,4.90M,-173.80M,,2020-09,-260.10M,-288.90M,-549.00M,,-19.90M,-19.90M,-138.60M,11.00M,6.20M,-690.30M,,1.369B,-344.70M,10.40M,1.035B,,2020-09,,-1.347B,-19.90M,,2020-09,AOR,
2020-06,140.40M,,,,7.20M,7.20M,123.70M,22.90M,146.60M,146.60M,-19.70M,,,24.60M,,21.40M,172.30M,-125.90M,,20.10M,,-118.60M,-52.10M,118.40M,386.80M,,2020-06,-89.90M,0.30M,0.30M,,-4.50M,-13.20M,,2020-06,2.00M,-503.20M,-501.20M,,-9.70M,-9.70M,-137.70M,105.30M,-1.90M,-546.80M,,1.662B,-240.80M,-52.10M,1.369B,,2020-06,,-0.30M,-9.70M,,2020-06,AOR,
2020-03,290.20M,,,,9.90M,9.90M,169.30M,80.30M,249.60M,249.60M,-5.30M,,,29.10M,,-25.00M,-76.20M,-26.00M,,0.00,,-74.50M,-176.70M,,371.80M,,2020-03,-160.70M,1.40M,1.40M,,-4.90M,-165.70M,,2020-03,466.90M,957.60M,1.424B,,-95.00M,-95.00M,-145.50M,83.40M,-1.60M,1.266B,,186.40M,1.472B,3.60M,1.662B,,2020-03,,-299.70M,-95.00M,,2020-03,AOR,
2019-12,533.00M,,,,17.40M,17.40M,230.20M,164.10M,394.30M,394.30M,-72.50M,,,23.40M,,-3.50M,-18.90M,83.20M,,25.80M,,139.50M,229.60M,-300.70M,821.00M,,2019-12,-296.30M,4.00M,4.00M,,-20.90M,-269.90M,,2019-12,0.00,-401.50M,-401.50M,,-5.10M,-5.10M,-138.80M,15.10M,25.30M,-502.10M,,135.90M,49.00M,1.50M,186.40M,,2019-12,,0.00,-5.10M,,2019-12,AOR,
2019-09,440.30M,,,,3.60M,3.60M,142.70M,51.60M,194.30M,194.30M,25.90M,,,12.30M,,-123.70M,-37.10M,9.40M,,-33.90M,,43.60M,-18.00M,147.40M,682.10M,,2019-09,-163.80M,4.40M,4.40M,,-6.40M,-271.70M,,2019-09,-0.60M,-284.90M,-285.50M,,-1.10M,-1.10M,-136.30M,52.00M,0.00,-371.90M,,85.80M,38.50M,11.60M,135.90M,,2019-09,,-0.60M,-1.10M,,2019-09,AOR,Restated
2019-06,302.50M,,,,2.20M,2.20M,122.20M,23.70M,145.90M,145.90M,14.00M,,,23.20M,,-7.50M,-89.20M,31.40M,,65.70M,,-102.00M,-94.10M,153.30M,539.50M,,2019-06,-153.50M,1.10M,1.10M,,12.50M,-180.10M,,2019-06,0.30M,-53.50M,-53.20M,,-216.10M,-216.10M,-138.40M,52.00M,-0.50M,-358.10M,,79.00M,1.30M,5.50M,85.80M,,2019-06,,0.30M,-216.10M,,2019-06,AOR,Restated
2019-03,300.40M,,,,4.90M,4.90M,159.00M,79.80M,238.80M,238.80M,-5.00M,,,32.20M,,3.70M,8.00M,-83.00M,,-35.30M,,-86.60M,-196.90M,,378.10M,,2019-03,-187.00M,1.40M,1.40M,,-10.00M,-477.40M,,2019-03,-400.30M,487.90M,87.60M,,-131.40M,-131.40M,-141.40M,67.70M,,-117.50M,,294.00M,-216.80M,1.80M,79.00M,,2019-03,,-400.30M,-131.40M,,2019-03,AOR,Restated
2018-12,400.20M,,,,8.50M,8.50M,159.80M,78.10M,237.90M,237.90M,28.50M,,,18.90M,,-23.90M,-2.80M,30.10M,,61.30M,,68.60M,157.20M,,827.30M,,2018-12,-213.00M,0.50M,0.50M,0.00,-16.40M,-381.10M,,2018-12,-249.80M,226.10M,-23.70M,,-241.00M,-241.00M,-125.70M,28.70M,8.50M,-353.20M,,203.60M,93.00M,-2.60M,294.00M,,2018-12,,-249.80M,-241.00M,,2018-12,AOR,Restated
2018-09,438.30M,,,,6.40M,6.40M,156.00M,78.60M,234.60M,234.60M,24.00M,,,13.70M,,59.40M,-72.80M,-52.30M,,-27.60M,,41.00M,-111.70M,,664.70M,,2018-09,-221.60M,5.00M,5.00M,0.00,10.80M,-204.50M,,2018-09,-1.20M,-107.00M,-108.20M,,-105.60M,-105.60M,-118.50M,35.40M,-16.10M,-313.00M,,54.20M,147.20M,2.20M,203.60M,,2018-09,,-1.20M,-105.60M,,2018-09,AOR,Restated
2018-06,353.60M,,,,8.40M,8.40M,154.60M,80.10M,234.70M,234.70M,19.30M,,,28.10M,,-2.20M,-122.40M,-41.70M,,39.40M,,-218.70M,-343.40M,,298.50M,,2018-06,-209.20M,24.00M,24.00M,0.00,-0.80M,-188.60M,,2018-06,0.00,-131.60M,-131.60M,,-0.70M,-0.70M,-128.90M,22.00M,-2.30M,-241.50M,,175.50M,-131.60M,10.30M,54.20M,,2018-06,,0.00,-0.70M,,2018-06,AOR,Restated
