,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-12,434.77M,,434.77M,92.19M,0.00,861.58M,953.76M,77.97M,70.60M,,1.537B,,,,,,,,,,649.09M,,679.04M,,17.84B,19.37B,,331.50M,139.04M,470.54M,83.65M,554.19M,45.00M,45.00M,45.00M,,599.19M,10.23B,,10.23B,2.288B,,443.98M,10.67B,11.27B,,201.54M,-712.34M,6.378B,2.722M,200.00M,-50.43M,5.814B,,AOR,Restated
2017-09,493.06M,,493.06M,79.75M,,835.42M,915.16M,144.82M,83.78M,,1.637B,,,,,,,,,,639.78M,,657.47M,,17.67B,19.31B,,325.44M,130.43M,455.87M,99.10M,554.97M,0.00,0.00,0.00,,554.97M,10.23B,,10.23B,2.274B,,419.22M,10.65B,11.21B,,201.54M,-692.74M,6.371B,2.722M,200.00M,-51.80M,5.825B,,AOR,Restated
2017-06,492.44M,,492.44M,88.69M,,820.02M,908.71M,93.98M,47.34M,,1.542B,,,,,,,,,,846.15M,,658.22M,,17.74B,19.28B,,303.56M,130.43M,433.99M,85.17M,519.16M,0.00,0.00,0.00,,519.16M,10.24B,,10.24B,2.259B,,452.61M,10.69B,11.21B,,201.54M,-694.32M,6.363B,2.722M,200.00M,-53.16M,5.814B,,AOR,Restated
2017-03,302.94M,,302.94M,73.01M,,812.12M,885.14M,150.90M,51.24M,,1.390B,,,,,,,,,,819.75M,,666.68M,,17.58B,18.97B,,313.72M,130.42M,444.14M,266.71M,710.86M,105.00M,105.00M,105.00M,,815.86M,9.782B,,9.782B,2.147B,,446.49M,10.23B,11.04B,,201.54M,-712.27M,6.340B,2.722M,200.00M,-50.98M,5.776B,,AOR,Restated
2016-12,356.91M,,356.91M,92.55M,,799.14M,891.69M,129.67M,63.17M,,1.441B,,,,,,,,,,799.01M,,686.16M,,17.41B,18.85B,,298.52M,130.31M,428.83M,243.93M,672.76M,0.00,0.00,0.00,,672.76M,9.796B,,9.796B,2.146B,,450.82M,10.25B,10.92B,,201.54M,-693.69M,6.333B,2.722M,200.00M,-52.25M,5.786B,,AOR,Restated
2016-09,419.32M,,419.32M,76.26M,,785.57M,861.83M,176.69M,63.98M,,1.522B,,,,,,,,,,798.68M,,680.19M,,17.27B,18.79B,,312.98M,113.04M,426.02M,234.63M,660.64M,0.00,0.00,0.00,,660.64M,9.809B,,9.809B,2.133B,,461.08M,10.27B,10.93B,,201.54M,-725.52M,6.327B,2.722M,200.00M,-73.94M,5.726B,,AOR,Restated
2016-06,1.180B,,1.180B,84.86M,,776.82M,861.68M,144.22M,65.65M,,2.252B,,,,,,,,,,274.39M,,697.82M,,16.71B,18.96B,,287.46M,113.07M,400.54M,222.18M,622.71M,0.00,0.00,0.00,,622.71M,9.934B,,9.934B,2.165B,,508.95M,10.44B,11.07B,,201.54M,-702.36M,6.316B,2.722M,200.00M,-79.75M,5.733B,,AOR,Restated
2016-03,1.606B,,1.606B,73.76M,,767.86M,841.62M,136.80M,71.35M,,2.655B,,,,,,,,,,256.98M,,693.98M,,16.52B,19.18B,,252.73M,113.08M,365.81M,221.58M,587.38M,0.00,0.00,0.00,,587.38M,10.16B,,10.16B,2.180B,,498.29M,10.66B,11.25B,,201.54M,-699.05M,6.307B,2.722M,200.00M,-56.71M,5.750B,,AOR,Restated
2015-12,723.72M,,723.72M,97.86M,,754.88M,852.75M,185.12M,73.79M,,1.835B,,,,,,,,,,255.60M,,704.87M,,16.52B,18.35B,,274.71M,327.32M,602.03M,190.39M,792.42M,0.00,0.00,0.00,,792.42M,9.189B,,9.189B,2.177B,,483.60M,9.672B,10.46B,,201.54M,-780.95M,6.306B,2.722M,200.00M,-14.11M,5.709B,,AOR,Restated
2015-09,1.387B,,1.387B,66.45M,,738.70M,803.59M,143.48M,90.38M,,2.424B,,,,,,,,,,237.17M,,749.63M,,16.56B,18.98B,,245.20M,112.91M,358.11M,200.92M,559.03M,0.00,0.00,0.00,,559.03M,9.910B,,9.910B,2.211B,0.00,448.68M,10.36B,10.92B,,201.54M,-627.05M,6.301B,2.722M,200.00M,-20.62M,5.852B,,AOR,Restated
