,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2007-06,1.885B,92.94M,1.978B,,,,48.40M,47.17M,22.66M,,2.096B,,,,,,,9.812B,-1.475B,8.337B,92.94M,,,,8.430B,10.99B,,27.72M,96.19M,123.91M,59.10M,183.02M,,,,,183.02M,4.328B,,4.328B,731.04M,,,4.328B,6.100B,,1.19M,904.42M,3.264B,2.722M,,-3.338M,4.163B,,AOR,Restated
2007-03,2.016B,91.96M,2.108B,,,,50.80M,63.90M,20.33M,,2.243B,,,,,,,9.724B,-1.415B,8.309B,91.96M,,,,8.401B,11.09B,,-4.096M,105.28M,101.19M,48.92M,150.10M,,,,,150.10M,4.445B,,4.445B,726.94M,,,4.445B,6.221B,,1.19M,881.73M,3.261B,2.722M,,-3.239M,4.138B,,AOR,Restated
2006-12,725.79M,,725.79M,,,,57.05M,40.87M,,,823.71M,,,,,,,9.552B,-1.392B,8.160B,83.71M,,,,8.244B,9.695B,,102.93M,857.89M,960.83M,47.44M,1.008B,,,,,1.008B,4.151B,,4.151B,623.51M,,,4.151B,5.848B,,1.175M,108.16M,3.120B,2.722M,,-3.323M,3.223B,,AOR,Restated
2006-09,1.049B,83.48M,1.133B,,,,42.13M,72.03M,21.44M,,1.268B,,,,,,,9.308B,-1.373B,7.935B,83.48M,,,,8.019B,9.778B,,7.974M,95.61M,103.58M,45.70M,149.28M,,,,,149.28M,4.283B,,4.283B,746.42M,,,4.283B,5.215B,,1.166M,749.94M,3.069B,2.722M,,-0.807M,3.817B,,AOR,Restated
2006-06,1.265B,,1.265B,,,,35.81M,79.17M,894.24M,,2.274B,,,,,,,9.000B,-1.314B,7.685B,96.96M,,,,7.782B,9.711B,,-5.091M,95.84M,90.75M,50.18M,140.92M,,,,,140.92M,4.383B,,4.383B,824.87M,,,4.383B,5.316B,,1.142M,720.32M,2.831B,2.722M,,19.58M,3.569B,,AOR,Restated
2006-03,32.21M,,32.21M,,,,41.46M,91.65M,23.72M,,189.03M,,,,,,,9.161B,-1.321B,7.840B,98.84M,,,,7.939B,8.690B,,-8.406M,95.34M,86.94M,39.27M,126.21M,,3.226B,3.226B,,3.352B,4.697B,,4.697B,735.18M,,,4.697B,5.017B,,1.128M,173.13M,2.760B,2.722M,,7.541M,2.939B,,AOR,Restated
2005-12,261.50M,,261.50M,,,,,,25.62M,,287.11M,,,,,,,,,7.886B,,,,,7.886B,8.902B,,,,,47.91M,47.91M,,58.00M,58.00M,,105.91M,4.768B,,4.768B,739.27M,,,4.768B,5.246B,,1.125M,182.10M,2.746B,2.722M,,,2.917B,,AOR,Restated
2005-09,450.58M,37.50M,488.08M,,,,32.46M,63.86M,27.55M,,611.95M,,,,,,,9.181B,-1.237B,7.944B,133.81M,,,,8.078B,9.184B,,81.73M,443.44M,525.17M,39.44M,564.61M,,,,,564.61M,4.922B,,4.922B,725.08M,,,4.922B,5.624B,,1.125M,104.56M,2.749B,2.722M,,-12.02M,2.835B,,AOR,Restated
2005-06,507.18M,25.00M,532.18M,,,,28.23M,43.04M,29.08M,,632.53M,,,,,,,9.076B,-1.190B,7.885B,107.81M,,,,7.993B,9.125B,,-2.948M,95.60M,92.65M,47.74M,140.39M,,,,,140.39M,4.899B,,4.899B,795.77M,,,4.899B,5.267B,,1.114M,404.64M,2.679B,2.722M,,-15.29M,3.062B,,AOR,Restated
2005-03,209.31M,,209.31M,,,,27.44M,63.07M,25.61M,,325.44M,,,,,,,9.361B,-1.196B,8.165B,79.86M,,,,8.245B,9.098B,,13.75M,91.26M,105.01M,41.99M,147.00M,,,,,147.00M,5.011B,,5.011B,782.53M,,,5.011B,5.384B,,1.104M,314.91M,2.640B,2.722M,,-15.46M,2.931B,,AOR,Restated
2004-12,239.34M,,239.34M,,,,,,24.76M,,264.10M,,,,,,,,,8.148B,,,,,8.148B,9.063B,,,,,50.67M,50.67M,,,,,50.67M,5.012B,,5.012B,786.33M,,,5.012B,5.341B,,1.103M,325.45M,2.634B,2.722M,,,2.936B,,AOR,Restated
2004-09,213.87M,,213.87M,,,,12.94M,57.30M,24.14M,,308.25M,,,,,,,9.295B,-1.152B,8.143B,88.28M,,,,8.231B,9.012B,,-2.818M,90.94M,88.12M,41.01M,129.13M,,,,,129.13M,5.016B,,5.016B,790.76M,,,5.016B,5.329B,,1.09M,334.74M,2.582B,2.722M,,-15.81M,2.893B,,AOR,Restated
2004-06,227.70M,,227.70M,,,,11.64M,33.39M,27.89M,,300.61M,,,,,,,9.269B,-1.100B,8.170B,83.95M,,,,8.253B,8.982B,,0.44M,91.35M,91.79M,50.32M,142.11M,,,,,142.11M,4.995B,,4.995B,804.17M,,,4.995B,5.322B,,1.082M,336.70M,2.544B,2.722M,,-15.99M,2.856B,,AOR,Restated
2004-03,182.15M,,182.15M,,,,14.96M,56.00M,25.67M,,278.78M,,,,,,,9.123B,-1.048B,8.075B,83.56M,,,,8.159B,8.837B,,20.84M,89.17M,110.00M,41.98M,151.99M,,,,,151.99M,4.911B,,4.911B,851.90M,,,4.911B,5.238B,,1.064M,319.89M,2.453B,2.722M,,-16.16M,2.747B,,AOR,Restated
2003-12,22.69M,,22.69M,,,,,,,,22.69M,,,,,,,,,7.982B,,,,,7.982B,8.551B,,,,,,,,,,,,,,,830.13M,,,,5.321B,,,,,,,,2.400B,,AOR,Restated
2003-09,37.62M,,37.62M,,,,21.81M,57.01M,27.99M,,144.44M,,,,,,,8.774B,-952.75M,7.822B,88.63M,,,,7.910B,8.409B,,-14.03M,83.97M,69.94M,44.01M,113.95M,,,,,113.95M,4.920B,,4.920B,829.78M,,,4.920B,5.197B,,0.976M,322.53M,2.084B,2.722M,,-16.51M,2.381B,,AOR,Restated
2003-06,158.59M,,158.59M,,,,21.18M,22.09M,18.19M,,220.05M,,,,,,,8.526B,-893.25M,7.633B,93.90M,,,,7.727B,8.276B,,-34.73M,84.03M,49.30M,56.09M,105.39M,,,,,105.39M,4.819B,,4.819B,857.06M,,,4.819B,5.085B,,0.97M,327.22M,2.033B,2.722M,,-16.68M,2.334B,,AOR,Restated
2003-03,384.42M,,384.42M,,,,23.19M,30.14M,20.80M,,458.56M,,,,,,,8.381B,-846.00M,7.535B,101.79M,,,,7.637B,8.409B,,-17.81M,81.13M,63.32M,37.53M,100.85M,,,,,100.85M,4.980B,,4.980B,860.18M,,,4.980B,5.240B,,0.959M,325.11M,2.011B,2.722M,,-16.84M,2.309B,,AOR,Restated
2002-12,55.28M,,55.28M,,,,,,,,55.28M,,,,,,,,,7.848B,,,,,7.848B,8.427B,,,,,,,,,,,,5.147B,,5.147B,844.58M,,,5.147B,5.423B,,0.954M,198.59M,1.983B,2.722M,,,2.160B,,AOR,Restated
2002-09,28.79M,0.00,28.79M,,,,48.72M,38.75M,28.20M,,144.46M,,,,,,,8.766B,-836.42M,7.930B,101.82M,,,,8.032B,8.481B,,-11.95M,81.19M,69.24M,18.26M,87.50M,,,,,87.50M,4.467B,,4.467B,804.23M,,,4.467B,5.721B,,0.953M,-2.532M,1.978B,2.722M,,-13.61M,1.956B,,AOR,Restated
2002-06,81.64M,0.00,81.64M,,,,31.30M,16.08M,22.78M,,151.80M,,,,,,,7.608B,-795.85M,6.812B,100.80M,,,,6.913B,7.359B,,52.66M,83.71M,136.36M,17.64M,154.00M,,,,,154.00M,4.416B,,4.416B,825.73M,,,4.416B,4.746B,,0.915M,-16.15M,1.822B,2.722M,,-13.70M,1.787B,,AOR,Restated
2002-03,71.01M,0.00,71.01M,,,,36.85M,30.24M,45.22M,,183.30M,,,,,,,7.540B,-755.16M,6.785B,98.07M,,,,6.883B,7.301B,,56.12M,79.98M,136.11M,15.03M,151.14M,,,,,151.14M,4.361B,,4.361B,829.69M,,,4.361B,4.696B,,0.911M,-15.08M,1.810B,2.722M,,-13.87M,1.775B,,AOR,Restated
2001-12,98.07M,4.297M,102.36M,,,,,,,,102.36M,,,,,,,,,6.738B,,,,,6.738B,7.254B,,,,,,,,,,,,4.315B,,4.315B,844.74M,,,4.315B,4.655B,,0.908M,-17.67M,1.790B,2.722M,,,1.754B,,AOR,Restated
2001-09,161.01M,4.297M,165.31M,,,,41.09M,46.30M,20.90M,,273.60M,,,,,,,7.298B,-683.03M,6.615B,90.16M,,,,6.705B,7.194B,,-7.289M,79.00M,71.72M,15.68M,87.40M,,,,,87.40M,4.245B,,4.245B,847.23M,,,4.245B,4.597B,,0.907M,-20.30M,1.785B,,,-13.87M,1.749B,,AOR,Restated
2001-06,165.76M,4.297M,170.06M,,,,26.34M,47.96M,31.58M,,275.94M,,,,,,,7.166B,-647.88M,6.518B,94.16M,,,,6.612B,7.093B,,61.25M,78.24M,139.49M,12.07M,151.56M,,,,,151.56M,4.178B,,4.178B,851.87M,,,4.178B,4.502B,,0.904M,-19.19M,1.774B,,,-13.87M,1.740B,,AOR,Restated
2001-03,241.82M,6.06M,247.88M,,,,24.44M,73.54M,29.86M,,375.72M,,,,,,,6.285B,-616.62M,5.668B,92.46M,,,,5.760B,6.310B,,58.54M,71.92M,130.46M,8.127M,138.59M,,,,,138.59M,3.450B,,3.450B,821.58M,,,3.450B,3.766B,,0.897M,-15.83M,1.760B,,,-19.40M,1.723B,,AOR,Restated
2000-12,,,,,,,,,,,,,,,,,,,,5.526B,,,,,5.526B,6.226B,,,,,,,,,,,,3.415B,,3.415B,877.72M,,,3.415B,3.701B,,,,,,,,1.648B,,AOR,Restated
2000-09,12.43M,14.06M,26.50M,,,,40.04M,49.52M,29.51M,,145.56M,,,,,,,5.783B,-554.34M,5.229B,73.12M,,,,5.302B,5.611B,,-1.675M,61.22M,59.54M,5.951M,65.49M,,,,,65.49M,3.453B,,3.453B,774.36M,,,3.453B,3.741B,,0.693M,-11.88M,1.113B,,,-4.692M,1.096B,,AOR,Restated
2000-06,6.319M,28.28M,34.60M,,,,32.34M,39.07M,33.02M,,139.04M,,,,,,,5.702B,-525.20M,5.177B,69.49M,,,,5.246B,5.539B,,-5.89M,59.81M,53.92M,6.127M,60.05M,,,,,60.05M,3.395B,,3.395B,797.45M,,,3.395B,3.667B,,0.68M,-11.67M,1.077B,,,9.528M,1.074B,,AOR,Restated
2000-03,18.34M,73.02M,91.36M,,,,34.54M,24.41M,30.08M,,180.39M,,,,,,,5.848B,-501.55M,5.347B,36.54M,,,,5.383B,5.716B,,5.893M,51.20M,57.10M,5.154M,62.25M,,,,,62.25M,3.530B,,3.530B,808.83M,,,3.530B,3.799B,,0.68M,-10.50M,1.060B,,,58.56M,1.108B,,AOR,Restated
1999-12,12.04M,14.46M,26.50M,,,,28.26M,28.45M,,,83.21M,,,,,,,5.609B,-470.59M,5.139B,36.52M,,,,5.175B,5.435B,,25.15M,50.11M,75.27M,,75.27M,,,,,75.27M,3.322B,,3.322B,781.96M,,,3.322B,3.595B,,0.679M,-10.89M,1.068B,,,0.00,1.058B,,AOR,Restated
1999-09,,,,,,,,,,,,,,,,,,,,5.064B,,,,,5.064B,5.355B,,,,,9.60M,9.60M,,,,,9.60M,3.278B,,3.278B,780.90M,,,3.278B,3.420B,,,,,,,,1.154B,,,Restated
1999-06,,,,,,,,,,,,,,,,,,,,4.716B,,,,,4.716B,5.019B,,,,,7.80M,7.80M,,,,,7.80M,2.942B,,2.942B,782.00M,,,2.942B,3.080B,,,-11.60M,,,,,1.157B,,,Restated
1999-03,,,,,,,,,,,,,,,,,,,,4.635B,,,,,4.635B,4.936B,,,,,12.00M,12.00M,,,,,12.00M,3.011B,,3.011B,768.10M,,,3.011B,3.140B,,,-16.80M,,,,,1.027B,,,Restated
1998-12,12.17M,,12.17M,,,,40.83M,26.06M,,,79.05M,,,,,,,4.917B,-357.38M,4.560B,46.79M,420.14M,,,5.027B,5.235B,,9.71M,40.49M,50.20M,,50.20M,,,,,50.20M,3.089B,,3.089B,1.079B,,,3.089B,3.207B,,0.635M,-7.865M,955.71M,,,,948.48M,,AOR,Restated
1998-09,15.50M,,15.50M,,,,33.20M,,,183.80M,232.50M,,,,,,,3.563B,-335.80M,3.227B,,,,,3.227B,3.459B,,41.50M,,41.50M,,41.50M,,195.00M,195.00M,31.10M,267.60M,1.752B,,1.752B,462.00M,,0.10M,1.752B,2.020B,,,26.60M,,,,,977.20M,,,
1998-06,109.00M,,109.00M,,,,24.80M,,,148.20M,282.00M,,,,,,,2.675B,-319.40M,2.356B,,,,-0.10M,2.356B,2.638B,,62.10M,,62.10M,,62.10M,,,,20.70M,82.80M,1.328B,,1.328B,352.80M,,,1.328B,1.410B,,,27.00M,,,,,874.70M,,,
1998-03,391.40M,,391.40M,,,,18.90M,,,135.80M,546.10M,,,,,,,2.276B,-306.30M,1.970B,,,,,1.970B,2.516B,,37.80M,,37.80M,,37.80M,,,,24.00M,61.80M,1.337B,,1.337B,257.00M,,0.10M,1.337B,1.398B,,,21.90M,,,,,860.40M,,,
1997-12,17.56M,,17.56M,,,,24.46M,20.22M,,,62.24M,,,,,,,1.796B,-294.22M,1.502B,3.143M,0.00,,,1.505B,1.673B,,7.864M,22.54M,30.40M,,30.40M,,,,,30.40M,1.332B,,1.332B,100.64M,,,1.332B,1.397B,,0.387M,2.314M,172.35M,,,,175.05M,,AOR,Restated
1997-09,26.00M,,26.00M,,,,13.20M,,,108.80M,148.00M,,,,,,,1.433B,-285.50M,1.148B,,,,-0.30M,1.148B,1.296B,,16.10M,,16.10M,,16.10M,,,,17.30M,33.40M,985.60M,,985.60M,81.20M,,-0.10M,985.50M,1.019B,,,22.80M,,,,,195.50M,,,
1997-06,136.70M,,136.70M,,,,13.20M,,,145.70M,295.60M,,,,,,,1.091B,-276.90M,814.40M,,,,,814.40M,1.11B,,30.00M,,30.00M,,30.00M,,,,13.10M,43.10M,807.30M,,807.30M,76.20M,,,807.30M,850.40M,,,9.10M,,,,,183.40M,,,
