,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.022B,1.027B,492.30M,535.10M,,,,13.80M,0.50M,-13.30M,283.80M,283.80M,251.30M,0.50M,13.80M,-13.30M,2.30M,-13.30M,240.30M,55.10M,184.70M,,,-5.00M,179.70M,180.01M,278.00M,23.90M,254.10M,3.31,,,3.3160000000000003,3.31,3.28,,,3.286,3.28,54.33M,54.77M,1.08
2020-06,803.00M,808.90M,410.10M,398.80M,,,,13.40M,0.30M,-13.10M,250.10M,250.10M,148.70M,0.30M,13.40M,-13.10M,1.70M,-13.10M,137.30M,31.90M,105.90M,,,-4.70M,101.20M,101.73M,174.50M,23.80M,150.70M,1.86,,,1.87,1.86,1.85,,,1.86,1.85,54.40M,54.80M,1.08
2020-03,932.50M,938.10M,459.60M,478.50M,,,,11.40M,0.40M,-11.00M,282.70M,282.70M,195.80M,0.40M,11.40M,-11.00M,1.10M,-11.00M,185.90M,43.90M,142.00M,,,-4.80M,137.20M,138.64M,221.10M,23.80M,197.30M,2.52,,,2.546,2.52,2.49,,,2.516,2.49,54.50M,55.00M,1.08
2019-12,1.056B,1.039B,526.40M,512.70M,,,,12.10M,0.40M,-11.70M,279.10M,279.10M,233.60M,0.40M,12.10M,-11.70M,2.00M,-11.70M,223.90M,48.90M,175.00M,,,-4.40M,170.60M,171.30M,259.90M,23.90M,236.00M,3.12,,,3.133,3.12,3.08,,,3.093,3.08,54.66M,55.60M,1.08
2019-09,980.30M,985.90M,476.80M,509.10M,,,,12.00M,0.40M,-11.60M,280.40M,280.40M,228.70M,0.40M,12.00M,-11.60M,2.40M,-11.60M,219.50M,50.40M,169.20M,,,-4.60M,164.60M,164.75M,254.40M,22.90M,231.50M,2.99,,,2.9930000000000003,2.99,2.96,,,2.963,2.96,54.97M,55.66M,0.95
2019-06,1.030B,1.035B,501.00M,534.40M,,,,12.40M,0.30M,-12.10M,283.90M,283.90M,250.50M,0.30M,12.40M,-12.10M,1.80M,-12.10M,240.20M,55.60M,184.90M,,,-4.50M,180.40M,181.16M,275.60M,23.00M,252.60M,3.27,,,3.284,3.27,3.22,,,3.234,3.22,55.20M,56.00M,0.95
2019-03,1.002B,1.007B,473.60M,533.70M,,,,12.50M,0.40M,-12.10M,284.20M,284.20M,249.50M,0.40M,12.50M,-12.10M,1.10M,-12.10M,238.50M,56.90M,182.10M,,,-4.20M,177.90M,179.04M,273.60M,22.60M,251.00M,3.21,,,3.23,3.21,3.16,,,3.18,3.16,55.50M,56.30M,0.95
2018-12,1.051B,1.035B,521.70M,513.50M,,0.00,,12.40M,0.20M,-12.20M,275.30M,275.30M,238.20M,0.20M,12.40M,-12.20M,2.80M,-12.20M,228.80M,49.50M,179.30M,,,-4.30M,175.00M,174.76M,264.10M,22.90M,241.20M,3.14,,,3.136,3.14,3.09,,,3.0860000000000003,3.09,55.86M,56.76M,0.95
2018-09,974.70M,980.10M,466.90M,513.20M,,0.00,,12.40M,0.10M,-12.30M,280.80M,280.80M,232.40M,0.10M,12.40M,-12.30M,-1.10M,-12.30M,219.00M,51.50M,167.40M,,,-4.20M,163.20M,164.57M,254.60M,23.20M,231.40M,2.9,,,2.924,2.9,2.85,,,2.8739999999999997,2.85,56.26M,57.33M,0.82
2018-06,1.031B,1.037B,491.70M,544.90M,,0.00,,12.00M,0.20M,-11.80M,294.00M,294.00M,250.90M,0.20M,12.00M,-11.80M,-0.80M,-11.80M,238.30M,55.80M,182.70M,,,-4.00M,178.70M,178.93M,274.30M,24.00M,250.30M,3.17,,,3.174,3.17,3.12,,,3.1239999999999997,3.12,56.40M,57.30M,0.82
2018-03,1.013B,1.018B,490.00M,528.50M,,5.50M,,13.60M,0.10M,-13.50M,293.90M,293.90M,234.60M,0.10M,13.60M,-13.50M,2.70M,-13.50M,223.80M,57.60M,166.80M,,,-3.80M,163.00M,160.49M,261.40M,24.00M,237.40M,2.87,,,2.826,2.87,2.82,,,2.7769999999999997,2.82,56.70M,57.80M,0.82
2017-12,1.054B,1.054B,534.50M,520.00M,,0.00,,13.60M,0.10M,-13.50M,307.60M,307.60M,212.40M,0.10M,13.60M,-13.50M,-1.90M,-13.50M,197.00M,63.80M,133.20M,,,-3.70M,129.50M,130.38M,234.40M,23.80M,210.60M,2.28,,,2.295,2.28,2.24,,,2.255,2.24,56.80M,57.70M,0.82
2017-09,982.80M,982.80M,478.00M,504.80M,,0.00,,13.10M,0.00,-13.10M,296.10M,296.10M,208.70M,0.00,13.10M,-13.10M,-1.70M,-13.10M,193.90M,57.20M,137.10M,,,-3.70M,133.40M,134.80M,230.50M,23.50M,207.00M,2.33,,,2.354,2.33,2.29,,,2.314,2.29,57.20M,58.30M,0.71
2017-06,999.10M,999.10M,481.30M,517.80M,,0.00,,13.00M,0.10M,-12.90M,279.50M,279.50M,238.30M,0.10M,13.00M,-12.90M,-2.00M,-12.90M,223.40M,67.30M,156.80M,,,-3.60M,153.20M,154.59M,259.20M,22.80M,236.40M,2.65,,,2.674,2.65,2.6,,,2.6239999999999997,2.6,57.80M,59.00M,0.71
2017-03,963.90M,963.90M,463.10M,500.80M,,0.00,,12.70M,0.10M,-12.60M,278.10M,278.10M,222.70M,0.10M,12.70M,-12.60M,-2.50M,-12.60M,207.60M,62.60M,145.10M,,,-3.50M,141.60M,142.78M,243.40M,23.10M,220.30M,2.45,,,2.47,2.45,2.39,,,2.41,2.39,57.90M,59.30M,0.71
2016-12,964.00M,964.00M,467.70M,496.30M,,,,13.10M,0.10M,-13.00M,261.70M,261.70M,234.60M,0.10M,13.10M,-13.00M,-7.30M,-13.00M,214.30M,64.90M,149.70M,,,-3.40M,146.30M,146.58M,249.10M,21.70M,227.40M,2.52,,,2.525,2.52,2.47,,,2.475,2.47,58.10M,59.40M,0.71
2016-09,905.70M,905.70M,436.00M,469.70M,,,,13.10M,0.20M,-12.90M,261.50M,261.50M,208.20M,0.20M,13.10M,-12.90M,-1.00M,-12.90M,194.30M,59.60M,135.20M,,,-3.50M,131.70M,132.39M,228.60M,21.20M,207.40M,2.27,,,2.282,2.27,2.22,,,2.2319999999999998,2.22,58.00M,59.30M,0.61
2016-06,941.60M,941.60M,460.80M,480.80M,,,,12.90M,0.20M,-12.70M,264.90M,264.90M,215.90M,0.20M,12.90M,-12.70M,1.00M,-12.70M,204.20M,62.20M,143.40M,,,-3.30M,140.10M,139.41M,238.80M,21.70M,217.10M,2.41,,,2.398,2.41,2.36,,,2.3480000000000003,2.36,58.10M,59.40M,0.61
2016-03,900.50M,900.50M,438.20M,462.30M,,,,13.10M,0.10M,-13.00M,259.90M,259.90M,202.40M,0.10M,13.10M,-13.00M,-0.80M,-13.00M,188.60M,57.60M,131.30M,,,-3.00M,128.30M,128.92M,222.70M,21.00M,201.70M,2.21,,,2.221,2.21,2.16,,,2.17,2.16,58.10M,59.50M,0.61
2015-12,914.80M,914.80M,457.50M,457.30M,,,,13.00M,0.20M,-12.80M,250.00M,250.00M,207.30M,0.20M,13.00M,-12.80M,-0.70M,-12.80M,193.80M,59.30M,134.50M,,,-3.10M,131.40M,131.82M,270.90M,64.10M,206.80M,2.26,,,2.267,2.26,2.22,,,2.227,2.22,58.10M,59.10M,0.61
2015-09,882.60M,882.60M,432.20M,450.40M,,,,13.00M,0.10M,-12.90M,263.30M,263.30M,187.10M,0.10M,13.00M,-12.90M,-0.60M,-12.90M,173.60M,53.90M,119.90M,,,-3.10M,116.80M,117.21M,186.60M,-22.20M,186.60M,2.01,,,2.017,2.01,1.98,,,1.9869999999999999,1.98,58.10M,59.10M,0.53
2015-06,910.50M,910.50M,450.10M,460.40M,,,,12.90M,0.10M,-12.80M,268.20M,268.20M,192.20M,0.10M,12.90M,-12.80M,-0.80M,-12.80M,178.60M,56.20M,123.00M,,,-3.00M,120.00M,120.48M,212.10M,20.60M,191.50M,2.07,,,2.0780000000000003,2.07,2.03,,,2.0380000000000003,2.03,58.10M,59.10M,0.53
2015-03,885.20M,885.20M,434.80M,450.40M,,,,13.00M,0.10M,-12.90M,272.20M,272.20M,178.20M,0.10M,13.00M,-12.90M,-0.80M,-12.90M,164.50M,51.80M,113.20M,,,-2.70M,110.50M,111.04M,197.50M,20.00M,177.50M,1.9,,,1.909,1.9,1.87,,,1.879,1.87,58.10M,59.10M,0.53
2014-12,916.80M,916.80M,463.30M,453.50M,,,,13.80M,0.20M,-13.60M,266.10M,266.10M,187.40M,0.20M,13.80M,-13.60M,-0.40M,-13.60M,173.40M,54.90M,118.70M,,,-2.50M,116.20M,116.47M,207.70M,20.50M,187.20M,2.0,,,2.005,2.0,1.97,,,1.975,1.97,58.10M,59.40M,0.53
2014-09,859.90M,859.90M,428.30M,431.60M,,,,12.70M,0.10M,-12.60M,263.30M,263.30M,168.30M,0.10M,12.70M,-12.60M,-1.00M,-12.60M,154.70M,48.40M,106.40M,,,-2.70M,103.70M,104.38M,187.10M,19.70M,167.40M,1.78,,,1.7919999999999998,1.78,1.76,,,1.7719999999999998,1.76,58.10M,59.00M,0.44
