,NetIncome,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-06,2.366B,-137.00M,1.358B,-327.00M,894.00M,3.129B,3.129B,3.129B,221.00M,-532.00M,-973.00M,,5.105B,,-6.705B,2.924B,-3.781B,,167.00M,-1.864B,-5.478B,,-185.00M,524.00M,339.00M,,,,1.261B,1.261B,-538.00M,,-538.00M,-176.00M,886.00M,,17.55B,513.00M,-289.00M,17.77B,,1.261B,11.82B,-12.01B,,,AOR,Restated
2018-03,1.11B,243.00M,-648.00M,-300.00M,-705.00M,3.581B,3.581B,3.581B,365.00M,-400.00M,-3.503B,,448.00M,,-6.768B,2.379B,-4.389B,,1.148B,-1.487B,-4.562B,,4.502B,120.00M,4.622B,,,,,,-566.00M,,-566.00M,-287.00M,3.769B,,17.85B,-345.00M,44.00M,17.55B,,,11.33B,-6.832B,,,AOR,Restated
2017-12,-4.903B,64.00M,-502.00M,-288.00M,-726.00M,3.177B,3.177B,3.177B,7.363B,-995.00M,3.046B,-74.00M,6.888B,,-6.471B,2.018B,-4.453B,,102.00M,-932.00M,-4.811B,,1.581B,234.00M,1.815B,,-1.498B,-1.498B,0.00,0.00,1.701B,,-532.00M,-34.00M,-95.00M,,15.88B,1.982B,-14.00M,17.85B,,0.00,9.139B,-7.558B,-1.498B,,AOR,Restated
2017-09,114.00M,-117.00M,-117.00M,-241.00M,-475.00M,3.147B,3.147B,3.147B,2.214B,-356.00M,-1.696B,-67.00M,2.881B,,-7.092B,1.925B,-5.167B,,679.00M,-1.166B,-8.838B,,3.214B,39.00M,3.253B,,-1.498B,-1.498B,985.00M,985.00M,-556.00M,,-556.00M,-34.00M,2.139B,,19.54B,-3.818B,153.00M,15.88B,,985.00M,15.92B,-12.70B,-1.498B,,AOR,Restated
2017-06,2.433B,-39.00M,1.042B,-205.00M,798.00M,3.194B,3.194B,3.194B,267.00M,-371.00M,-691.00M,-112.00M,5.518B,,-7.613B,1.645B,-5.968B,,1.125B,-1.919B,-7.118B,,7.661B,-53.00M,7.608B,,-1.496B,-1.496B,,,-572.00M,,-572.00M,-93.00M,5.493B,,15.55B,3.893B,106.00M,19.54B,,,15.85B,-8.19B,-1.496B,,AOR,Restated
2017-03,2.686B,144.00M,-555.00M,-200.00M,-611.00M,2.743B,2.743B,2.743B,1.036B,-382.00M,-3.674B,243.00M,2.041B,,-6.457B,1.079B,-5.378B,,1.598B,-2.593B,-6.805B,,6.139B,-360.00M,5.779B,,0.00,0.00,,,-573.00M,,-573.00M,-144.00M,5.047B,,15.16B,283.00M,103.00M,15.55B,,,11.28B,-5.141B,0.00,,AOR,Restated
2016-12,1.895B,86.00M,-415.00M,-182.00M,-511.00M,2.694B,2.694B,2.694B,34.00M,-1.251B,1.851B,-694.00M,4.018B,,-6.818B,755.00M,-6.063B,-2.00M,-3.775B,-1.496B,-11.64B,,6.005B,7.00M,6.012B,,-999.00M,-999.00M,,,1.782B,,-586.00M,9.00M,4.932B,,18.12B,-2.694B,-265.00M,15.16B,,0.00,11.44B,-5.433B,-999.00M,,AOR,Restated
2016-09,2.707B,1.00M,-493.00M,-181.00M,-673.00M,2.534B,2.534B,2.534B,757.00M,-319.00M,1.775B,-211.00M,6.57B,,-6.884B,710.00M,-6.174B,-3.00M,-3.595B,-1.555B,-11.66B,,4.177B,5.00M,4.182B,,-1.201B,-1.201B,0.00,0.00,-594.00M,,-594.00M,-4.00M,2.118B,,21.09B,-2.972B,-3.00M,18.12B,,0.00,9.098B,-4.921B,-1.201B,,AOR,Restated
2016-06,2.736B,-20.00M,1.412B,-255.00M,1.137B,2.299B,2.299B,2.299B,706.00M,-856.00M,-414.00M,519.00M,6.127B,,-6.781B,608.00M,-6.173B,-283.00M,1.983B,-371.00M,-5.699B,,4.443B,-1.032B,3.411B,,0.00,0.00,,,-600.00M,,-600.00M,-61.00M,3.60B,,17.16B,4.028B,-97.00M,21.09B,,,9.266B,-4.823B,0.00,,AOR,Restated
2016-03,1.931B,162.00M,-519.00M,-151.00M,-508.00M,2.292B,2.292B,2.292B,731.00M,-1.922B,-2.632B,,-108.00M,,-7.396B,481.00M,-6.915B,-516.00M,1.686B,-895.00M,-6.64B,,6.684B,738.00M,7.422B,,-300.00M,-300.00M,,,-588.00M,,-588.00M,-107.00M,6.427B,,17.33B,-321.00M,152.00M,17.16B,,,12.23B,-5.55B,-300.00M,,AOR,Restated
