,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,37.52B,37.52B,32.62B,4.897B,2.13B,,275.00M,-982.00M,-1.257B,,2.13B,2.767B,-982.00M,275.00M,-1.257B,1.929B,-1.257B,3.439B,642.00M,2.797B,,49.00M,45.00M,2.846B,2.846B,6.794B,3.08B,3.714B,,1.95,,1.95,1.95,,1.93,,1.93,1.93,,1.436B,1.451B,0.00,,AOR,
2020-09,35.48B,35.48B,29.43B,6.052B,1.628B,,327.00M,499.00M,172.00M,,1.628B,4.424B,499.00M,327.00M,172.00M,309.00M,172.00M,4.905B,887.00M,4.018B,,27.00M,40.00M,4.045B,4.045B,8.394B,3.162B,5.232B,,2.80,,2.80,2.80,,2.78,,2.78,2.78,,1.432B,1.439B,0.00,,AOR,
2020-06,16.78B,16.78B,16.68B,96.00M,1.31B,,303.00M,413.00M,110.00M,,1.31B,-1.214B,413.00M,303.00M,110.00M,212.00M,110.00M,-892.00M,-112.00M,-780.00M,,22.00M,48.00M,-758.00M,-758.00M,2.676B,3.265B,-589.00M,,-0.56,,-0.56,-0.56,,-0.56,,-0.56,-0.56,,1.432B,1.432B,0.00,,AOR,
2020-03,32.71B,32.71B,30.08B,2.627B,1.97B,,193.00M,311.00M,118.00M,,1.97B,657.00M,311.00M,193.00M,118.00M,-132.00M,118.00M,643.00M,357.00M,286.00M,,8.00M,47.00M,294.00M,294.00M,4.144B,3.308B,836.00M,,0.17,,0.17,0.17,,0.17,,0.17,0.17,,1.433B,1.44B,0.38,,AOR,
2019-12,30.83B,30.83B,29.10B,1.728B,2.282B,,200.00M,-909.00M,-1.109B,,2.282B,-554.00M,-909.00M,200.00M,-1.109B,1.308B,-1.109B,-355.00M,-163.00M,-192.00M,,-2.00M,38.00M,-194.00M,-194.00M,3.131B,3.286B,-155.00M,,-0.17,,-0.17,-0.17,,-0.17,,-0.17,-0.17,,1.43B,1.439B,0.38,,AOR,Restated
2019-09,35.47B,35.47B,31.16B,4.312B,2.008B,,206.00M,169.00M,-37.00M,,2.008B,2.304B,169.00M,206.00M,-37.00M,315.00M,-37.00M,2.582B,271.00M,2.311B,,40.00M,38.00M,2.351B,2.351B,6.097B,3.309B,2.788B,,1.62,,1.62,1.62,,1.60,,1.60,1.60,,1.428B,1.442B,0.38,,AOR,Restated
2019-06,36.06B,36.06B,31.47B,4.589B,2.102B,,195.00M,364.00M,169.00M,,2.102B,2.487B,364.00M,195.00M,169.00M,271.00M,169.00M,2.927B,524.00M,2.403B,,15.00M,37.00M,2.418B,2.418B,6.529B,3.407B,3.122B,,1.68,,1.68,1.68,,1.66,,1.66,1.66,,1.42B,1.438B,0.38,,AOR,Restated
2019-03,34.88B,34.88B,31.54B,3.343B,2.099B,,181.00M,805.00M,624.00M,,2.099B,1.244B,805.00M,181.00M,624.00M,414.00M,624.00M,2.282B,137.00M,2.145B,,12.00M,38.00M,2.157B,2.157B,6.579B,4.116B,2.463B,,1.50,,1.50,1.50,,1.48,,1.48,1.48,,1.417B,1.436B,0.38,,AOR,Restated
2018-12,38.40B,38.40B,35.09B,3.307B,2.478B,,185.00M,-1.795B,-1.98B,,2.478B,829.00M,-1.795B,185.00M,-1.98B,2.609B,-1.98B,1.458B,-611.00M,2.069B,0.00,-25.00M,38.00M,2.044B,2.044B,5.289B,3.646B,1.643B,,1.42,0.10,1.42,1.42,,1.40,0.10,1.40,1.40,,1.414B,1.431B,0.38,,AOR,Restated
2018-09,35.79B,35.79B,31.60B,4.194B,2.584B,,161.00M,651.00M,490.00M,,2.584B,1.61B,651.00M,161.00M,490.00M,530.00M,490.00M,2.63B,100.00M,2.53B,0.00,4.00M,31.00M,2.534B,2.534B,6.104B,3.313B,2.791B,,1.77,0.00,1.77,1.77,,1.75,0.00,1.75,1.75,,1.412B,1.431B,0.38,,AOR,Restated
2018-06,36.76B,36.76B,33.07B,3.693B,2.216B,,159.00M,930.00M,771.00M,,2.216B,1.477B,930.00M,159.00M,771.00M,637.00M,771.00M,2.885B,519.00M,2.366B,0.00,24.00M,15.00M,2.39B,2.39B,6.173B,3.129B,3.044B,,1.68,0.00,1.68,1.68,,1.66,0.00,1.66,1.66,,1.41B,1.431B,0.38,,AOR,Restated
