,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,,15.09B,6.924B,22.01B,31.67B,31.67B,4.267B,,6.566B,10.83B,,,5.939B,70.45B,38.00B,,,44.05B,,,82.06B,,82.06B,,,5.72B,8.788B,23.00B,23.28B,5.344B,148.19B,218.64B,,24.66B,24.66B,27.37B,52.03B,28.26B,28.26B,,28.26B,,,,80.29B,70.00B,,70.00B,,,,,17.84B,2.455B,,11.88B,99.71B,180.00B,,14.00M,18.87B,25.46B,,-8.171B,36.18B,,AOR,Restated
2018-03,,14.26B,7.11B,21.37B,31.93B,31.93B,4.736B,,6.725B,11.46B,,,6.682B,71.44B,37.32B,,,43.44B,,,80.76B,,80.76B,,,5.79B,9.883B,22.15B,23.54B,5.169B,147.29B,218.73B,,26.04B,26.04B,27.33B,53.37B,29.35B,29.35B,,29.35B,,,,82.72B,69.47B,,69.47B,,,,,19.14B,1.16B,,11.94B,100.55B,183.27B,,14.00M,17.03B,25.34B,,-8.081B,34.30B,,AOR,Restated
2017-12,,15.51B,8.313B,23.82B,28.68B,28.68B,4.203B,,6.46B,10.66B,,,5.571B,68.74B,0.00,1.647B,7.471B,66.80B,21.11B,6.188B,103.22B,-24.08B,79.14B,1.857B,3.992B,5.849B,9.073B,21.21B,23.54B,4.929B,143.74B,212.48B,,23.93B,23.93B,22.60B,46.52B,26.96B,26.96B,,26.96B,3.40B,3.40B,,76.89B,67.25B,,67.25B,,2.887B,2.887B,8.253B,21.00B,1.199B,,,99.39B,176.28B,,14.00M,17.63B,25.37B,,-8.011B,35.00B,,AOR,Restated
2017-09,,12.79B,8.454B,21.25B,29.41B,29.41B,4.956B,,6.833B,11.79B,,,6.541B,76.62B,35.18B,,,41.78B,,,76.95B,,76.95B,,,5.854B,8.82B,21.02B,30.72B,9.513B,152.88B,229.50B,,23.26B,23.26B,26.60B,49.87B,25.61B,25.61B,,25.61B,,,6.374B,81.85B,67.07B,,67.07B,,,,,19.88B,1.234B,,12.74B,104.18B,186.02B,,14.00M,24.23B,25.78B,,-7.783B,42.24B,,AOR,Restated
2017-06,,16.60B,9.133B,25.73B,29.09B,29.09B,5.107B,,6.182B,11.29B,,,6.207B,85.08B,34.30B,,,39.72B,,,74.03B,,74.03B,,,5.989B,8.248B,20.14B,32.42B,14.39B,155.22B,240.30B,,23.40B,23.40B,26.60B,50.00B,30.01B,30.01B,,30.01B,,,14.29B,94.31B,59.08B,,59.08B,,,,,20.53B,204.00M,,12.44B,100.27B,194.58B,,15.00M,28.55B,26.33B,,-9.369B,45.52B,,AOR,Restated
2017-03,,12.86B,10.26B,23.12B,34.80B,34.80B,6.014B,,8.672B,14.69B,,,6.987B,79.60B,37.20B,,,37.30B,,,74.50B,,74.50B,,,6.193B,9.416B,22.54B,34.26B,4.279B,151.20B,230.79B,,28.72B,28.72B,28.48B,57.20B,33.70B,33.70B,,33.70B,,,,90.90B,57.20B,,57.20B,,,,,23.41B,242.00M,,13.07B,93.68B,184.58B,,15.00M,28.20B,27.01B,,-9.25B,45.97B,,AOR,Restated
2016-12,,12.57B,11.84B,24.42B,24.83B,24.83B,5.008B,,6.032B,11.04B,,,4.743B,76.20B,0.00,1.587B,6.217B,55.96B,19.36B,4.493B,87.61B,-20.67B,66.94B,1.856B,4.293B,6.149B,8.996B,17.00B,33.17B,13.22B,145.49B,221.69B,,23.33B,23.33B,23.20B,46.53B,23.80B,23.80B,,23.80B,2.695B,2.695B,12.16B,85.18B,51.33B,,51.33B,,2.285B,2.285B,8.474B,22.72B,239.00M,,,92.43B,177.62B,,15.00M,26.17B,26.98B,,-9.33B,43.84B,,AOR,Restated
2016-09,,15.93B,8.172B,24.10B,31.23B,31.23B,6.309B,,9.118B,15.43B,1.644B,,4.089B,76.50B,34.71B,,,31.78B,,,66.49B,,66.49B,,,6.354B,8.645B,20.30B,35.02B,4.269B,141.08B,217.58B,,28.63B,28.63B,28.53B,57.16B,25.37B,25.37B,,25.37B,,,,82.54B,53.73B,,53.73B,,,,,23.22B,295.00M,,13.08B,90.03B,172.56B,,15.00M,25.42B,27.24B,,-7.953B,44.72B,,AOR,Restated
2016-06,,18.92B,4.247B,23.17B,30.26B,30.26B,6.297B,,8.729B,15.03B,1.595B,,4.578B,74.63B,33.51B,,,28.44B,,,61.95B,,61.95B,,,6.433B,8.198B,19.31B,35.63B,4.30B,135.82B,210.45B,,26.96B,26.96B,27.85B,54.81B,21.23B,21.23B,,21.23B,,,,76.04B,54.09B,,54.09B,,,,,23.61B,373.00M,,12.70B,90.40B,166.45B,,16.00M,23.78B,27.73B,,-7.905B,43.63B,,AOR,Restated
2016-03,,14.89B,6.537B,21.43B,28.21B,28.21B,6.134B,,9.683B,15.82B,1.716B,,3.857B,71.03B,32.65B,,,24.54B,,,57.19B,,57.19B,,,5.891B,9.64B,19.14B,36.37B,4.344B,132.58B,203.62B,,26.77B,26.77B,26.63B,53.40B,21.59B,21.59B,,21.59B,,,,74.99B,49.56B,,49.56B,,,,,24.96B,393.00M,,12.78B,87.31B,162.29B,,15.00M,21.51B,27.46B,,-8.054B,40.93B,,AOR,Restated
