,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,8.583B,8.583B,4.388B,4.195B,1.89B,456.00M,0.00,141.00M,5.00M,-136.00M,,2.346B,1.849B,5.00M,141.00M,-136.00M,-3.00M,-136.00M,1.71B,316.00M,1.39B,,-1.00M,1.389B,1.389B,2.349B,498.00M,1.851B,,2.40,,2.40,2.40,,2.38,,2.38,2.38,,578.80M,584.00M,1.47,,AOR,
2020-09,8.35B,8.35B,4.303B,4.047B,1.677B,461.00M,0.00,128.00M,5.00M,-123.00M,,2.138B,1.909B,5.00M,128.00M,-123.00M,19.00M,-123.00M,1.805B,387.00M,1.417B,,-4.00M,1.413B,1.413B,2.414B,481.00M,1.933B,,2.45,,2.45,2.45,,2.43,,2.43,2.43,,577.80M,582.40M,1.47,,AOR,
2020-06,7.176B,7.176B,3.805B,3.371B,1.594B,424.00M,387.00M,137.00M,9.00M,-128.00M,,2.018B,1.353B,9.00M,137.00M,-128.00M,404.00M,-128.00M,1.629B,342.00M,1.287B,,3.00M,1.29B,984.27M,2.258B,492.00M,1.766B,,2.24,,1.710,2.24,,2.22,,1.694,2.22,,577.00M,580.80M,1.47,,AOR,
2020-03,8.075B,8.075B,4.109B,3.966B,1.768B,537.00M,2.00M,123.00M,10.00M,-113.00M,,2.305B,1.661B,10.00M,123.00M,-113.00M,19.00M,-113.00M,1.567B,273.00M,1.294B,,-2.00M,1.292B,1.290B,2.13B,440.00M,1.69B,,2.24,,2.237,2.24,,2.22,,2.217,2.22,,576.80M,581.50M,1.47,,AOR,
2019-12,8.111B,8.111B,4.325B,3.786B,1.94B,521.00M,0.00,124.00M,16.00M,-108.00M,,2.461B,1.325B,16.00M,124.00M,-108.00M,-5.00M,-108.00M,1.212B,242.00M,970.00M,,-1.00M,969.00M,969.00M,1.799B,463.00M,1.336B,,1.68,,1.68,1.68,,1.66,,1.66,1.66,,576.40M,582.70M,1.44,,AOR,Restated
2019-09,7.991B,7.991B,4.188B,3.803B,1.455B,443.00M,106.00M,109.00M,26.00M,-83.00M,,1.898B,1.905B,26.00M,109.00M,-83.00M,144.00M,-83.00M,1.966B,378.00M,1.588B,,-5.00M,1.583B,1.497B,2.454B,379.00M,2.075B,,2.75,,2.602,2.75,,2.72,,2.573,2.72,,576.50M,583.00M,1.44,,AOR,Restated
2019-06,8.171B,8.171B,4.313B,3.858B,1.686B,470.00M,-162.00M,111.00M,18.00M,-93.00M,,2.156B,1.702B,18.00M,111.00M,-93.00M,-163.00M,-93.00M,1.446B,315.00M,1.131B,,-4.00M,1.127B,1.254B,1.933B,376.00M,1.557B,,1.95,,2.169,1.95,,1.92,,2.136,1.92,,577.70M,586.10M,1.44,,AOR,Restated
2019-03,7.863B,7.863B,4.31B,3.553B,1.948B,477.00M,8.00M,104.00M,20.00M,-84.00M,,2.425B,1.128B,20.00M,104.00M,-84.00M,44.00M,-84.00M,1.088B,195.00M,893.00M,,-2.00M,891.00M,884.43M,1.567B,375.00M,1.192B,,1.54,,1.529,1.54,,1.51,,1.499,1.51,,577.50M,588.50M,1.44,,AOR,Restated
2018-12,7.945B,7.945B,4.06B,3.885B,1.682B,437.00M,17.00M,95.00M,18.00M,-77.00M,,2.119B,1.766B,18.00M,95.00M,-77.00M,31.00M,-77.00M,1.72B,371.00M,1.349B,,-2.00M,1.347B,1.334B,2.186B,371.00M,1.815B,,2.32,,2.297,2.32,,2.27,,2.248,2.27,,580.70M,592.70M,1.36,,AOR,Restated
2018-09,8.152B,8.152B,4.159B,3.993B,1.547B,430.00M,0.00,85.00M,15.00M,-70.00M,,1.977B,2.016B,15.00M,85.00M,-70.00M,19.00M,-70.00M,1.965B,419.00M,1.546B,,-3.00M,1.543B,1.543B,2.405B,355.00M,2.05B,,2.64,,2.64,2.64,,2.58,,2.58,2.58,,585.60M,598.40M,1.36,,AOR,Restated
