,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,2.813B,2.819B,2.314B,505.01M,74.45M,81.00M,30.59M,1.011M,-29.58M,332.50M,532.23M,-27.22M,1.011M,30.59M,-29.58M,84.71M,-29.58M,27.92M,4.573M,23.34M,,,-25.75M,-2.401M,-70.98M,58.51M,,2020-09,-0.01,,-0.01,,2020-09,-0.01,,-0.01,,2020-09,0.35,,2020-09,AOR,
2020-06,2.053B,2.063B,1.307B,755.84M,75.37M,-436.91M,32.70M,1.506M,-31.19M,303.36M,508.91M,246.93M,1.506M,32.70M,-31.19M,-397.06M,-31.19M,-181.32M,-30.91M,-150.41M,,,-26.27M,-176.68M,184.06M,-148.62M,,2020-06,-1.09,,-1.09,,2020-06,-1.09,,-1.09,,2020-06,0.35,,2020-06,AOR,
2020-03,3.377B,3.401B,3.254B,146.36M,87.74M,-25.92M,22.64M,4.073M,-18.57M,328.34M,556.66M,-410.30M,4.073M,22.64M,-18.57M,-26.58M,-18.57M,-455.45M,-162.17M,-293.29M,,,-11.34M,-304.62M,-285.21M,-432.81M,,2020-03,-1.88,,-1.88,,2020-03,-1.88,,-1.88,,2020-03,0.35,,2020-03,AOR,
2019-12,4.423B,4.382B,3.641B,740.65M,93.26M,0.00,36.38M,5.012M,-31.37M,383.63M,611.47M,129.18M,5.012M,36.38M,-31.37M,2.547M,-31.37M,100.36M,19.29M,81.07M,,,-20.46M,60.60M,60.14M,136.74M,,2019-12,0.38,,0.38,,2019-12,0.37,,0.37,,2019-12,0.35,,2019-12,AOR,
2019-09,4.410B,4.425B,3.438B,987.00M,87.63M,0.00,36.03M,6.164M,-29.86M,345.58M,560.22M,426.78M,6.164M,36.03M,-29.86M,4.085M,-29.86M,401.00M,103.02M,297.98M,,,-36.17M,261.81M,261.52M,437.03M,,2019-09,1.60,,1.60,,2019-09,1.58,,1.58,,2019-09,0.33,,2019-09,AOR,Restated
2019-06,4.769B,4.783B,3.753B,1.030B,85.32M,-152.71M,34.26M,4.588M,-29.68M,333.25M,545.48M,484.45M,4.588M,34.26M,-29.68M,-148.62M,-29.68M,306.15M,89.34M,216.82M,,,-19.90M,196.92M,303.47M,340.42M,,2019-06,1.16,,1.16,,2019-06,1.15,,1.15,,2019-06,0.33,,2019-06,AOR,Restated
2019-03,3.884B,3.897B,2.967B,930.39M,88.03M,0.00,36.65M,6.375M,-30.27M,331.59M,541.05M,389.34M,6.375M,36.65M,-30.27M,4.922M,-30.27M,363.99M,87.50M,276.49M,,,-23.43M,253.06M,251.33M,400.64M,,2019-03,1.48,,1.48,,2019-03,1.47,,1.47,,2019-03,0.33,,2019-03,AOR,Restated
2018-12,4.391B,4.344B,3.575B,769.46M,85.96M,0.00,33.92M,6.232M,-27.68M,352.14M,551.81M,217.65M,6.232M,33.92M,-27.68M,1.851M,-27.68M,191.82M,28.50M,163.32M,,,-21.42M,141.90M,141.32M,225.74M,,2018-12,0.82,,0.82,,2018-12,0.81,,0.81,,2018-12,0.33,,2018-12,AOR,Restated
2018-09,4.757B,4.771B,3.770B,1.001B,71.13M,0.00,32.40M,5.136M,-27.26M,317.20M,497.21M,503.52M,5.136M,32.40M,-27.26M,2.136M,-27.26M,478.39M,116.26M,362.13M,,,-19.67M,342.47M,342.25M,510.79M,,2018-09,1.95,,1.95,,2018-09,1.93,,1.93,,2018-09,0.33,,2018-09,AOR,Restated
2018-06,4.461B,4.471B,3.489B,982.25M,68.68M,0.00,32.32M,2.934M,-29.39M,296.22M,475.27M,506.98M,2.934M,32.32M,-29.39M,2.773M,-29.39M,480.36M,117.45M,362.91M,,,-17.41M,345.51M,345.75M,512.68M,,2018-06,1.96,,1.96,,2018-06,1.94,,1.94,,2018-06,0.33,,2018-06,AOR,Restated
