,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,SECFilingLinks,AsOriginallyReported,Restated
2020-09,582.00M,0.00,1.00M,-1.00M,0.00,70.00M,48.00M,118.00M,118.00M,-3.00M,14.00M,2.00M,-260.00M,64.00M,27.00M,224.00M,,,-86.00M,-31.00M,,,2020-09,-52.00M,3.00M,-49.00M,0.00,0.00,1.00M,-48.00M,2020-09,0.00,0.00,0.00,32.00M,0.00,32.00M,-339.00M,-339.00M,1.00M,-306.00M,,1.812B,329.00M,28.00M,2.169B,2020-09,32.00M,0.00,0.00,0.00,246.00M,56.00M,2020-09,AOR,
2020-06,319.00M,0.00,0.00,-2.00M,-2.00M,65.00M,35.00M,100.00M,100.00M,5.00M,8.00M,2.00M,292.00M,34.00M,33.00M,-96.00M,,,40.00M,303.00M,,,2020-06,-56.00M,2.00M,-54.00M,0.00,3.00M,1.00M,-50.00M,2020-06,0.00,0.00,0.00,11.00M,0.00,11.00M,-338.00M,-338.00M,-1.00M,-328.00M,,1.43B,359.00M,23.00M,1.812B,2020-06,11.00M,0.00,0.00,0.00,47.00M,63.00M,2020-06,AOR,
2020-03,566.00M,-1.00M,,-3.00M,-4.00M,68.00M,36.00M,104.00M,104.00M,17.00M,9.00M,2.00M,10.00M,-48.00M,-10.00M,-76.00M,,,42.00M,-82.00M,,,2020-03,-60.00M,3.00M,-57.00M,0.00,7.00M,-3.00M,-53.00M,2020-03,0.00,0.00,0.00,17.00M,-706.00M,-689.00M,-342.00M,-342.00M,-16.00M,-1.047B,,1.981B,-486.00M,-65.00M,1.43B,2020-03,17.00M,,0.00,-706.00M,106.00M,56.00M,2020-03,AOR,
2019-12,641.00M,-50.00M,-1.00M,-3.00M,-54.00M,68.00M,37.00M,105.00M,105.00M,-15.00M,9.00M,2.00M,78.00M,67.00M,-10.00M,-58.00M,,,6.00M,83.00M,,,2019-12,-82.00M,3.00M,-79.00M,115.00M,4.00M,-3.00M,37.00M,2019-12,-1.00M,0.00,-1.00M,35.00M,-375.00M,-340.00M,-344.00M,-344.00M,0.00,-685.00M,,1.825B,126.00M,30.00M,1.981B,2019-12,35.00M,0.00,-1.00M,-375.00M,189.00M,16.00M,2019-12,AOR,
2019-09,660.00M,0.00,-9.00M,-1.00M,-10.00M,66.00M,38.00M,104.00M,104.00M,8.00M,10.00M,1.00M,78.00M,20.00M,7.00M,41.00M,,,1.00M,147.00M,,,2019-09,-90.00M,16.00M,-74.00M,3.00M,1.00M,1.00M,-69.00M,2019-09,0.00,1.00M,1.00M,26.00M,-375.00M,-349.00M,-323.00M,-323.00M,0.00,-671.00M,,1.677B,180.00M,-32.00M,1.825B,2019-09,26.00M,0.00,0.00,-375.00M,180.00M,56.00M,2019-09,AOR,Restated
2019-06,623.00M,4.00M,1.00M,-4.00M,1.00M,66.00M,41.00M,107.00M,107.00M,17.00M,12.00M,2.00M,-10.00M,43.00M,36.00M,-43.00M,,,-104.00M,-78.00M,,,2019-06,-77.00M,4.00M,-73.00M,2.00M,8.00M,-16.00M,-79.00M,2019-06,1.074B,-1.06B,14.00M,13.00M,-375.00M,-362.00M,-326.00M,-326.00M,-1.00M,-675.00M,,1.755B,-69.00M,-9.00M,1.677B,2019-06,13.00M,1.774B,-700.00M,-375.00M,289.00M,88.00M,2019-06,AOR,Restated
2019-03,597.00M,2.00M,,-7.00M,-5.00M,67.00M,43.00M,110.00M,110.00M,22.00M,10.00M,4.00M,-106.00M,-32.00M,-22.00M,-51.00M,,,87.00M,-124.00M,,,2019-03,-77.00M,2.00M,-75.00M,-4.00M,7.00M,,-72.00M,2019-03,-650.00M,1.058B,408.00M,11.00M,-375.00M,-364.00M,-328.00M,-328.00M,-11.00M,-295.00M,,1.504B,249.00M,2.00M,1.755B,2019-03,11.00M,,-650.00M,-375.00M,84.00M,63.00M,2019-03,AOR,Restated
2018-12,607.00M,1.00M,-5.00M,-1.00M,-5.00M,69.00M,46.00M,115.00M,115.00M,54.00M,9.00M,4.00M,142.00M,14.00M,-5.00M,-60.00M,,,-67.00M,24.00M,,,2018-12,-82.00M,12.00M,-70.00M,0.00,3.00M,0.00,-67.00M,2018-12,0.00,0.00,0.00,11.00M,-500.00M,-489.00M,-332.00M,-332.00M,0.00,-821.00M,,1.589B,-79.00M,-6.00M,1.504B,2018-12,11.00M,0.00,0.00,-500.00M,220.00M,36.00M,2018-12,AOR,Restated
2018-09,638.00M,0.00,0.00,-3.00M,-3.00M,68.00M,47.00M,115.00M,115.00M,-30.00M,11.00M,1.00M,86.00M,-27.00M,11.00M,8.00M,,,33.00M,111.00M,,,2018-09,-101.00M,6.00M,-95.00M,1.00M,3.00M,-2.00M,-93.00M,2018-09,-1.00M,0.00,-1.00M,1.00M,-500.00M,-499.00M,-262.00M,-262.00M,1.00M,-761.00M,,1.628B,-10.00M,-29.00M,1.589B,2018-09,1.00M,0.00,-1.00M,-500.00M,196.00M,62.00M,2018-09,AOR,Restated
2018-06,666.00M,1.00M,-1.00M,-2.00M,-2.00M,68.00M,48.00M,116.00M,116.00M,15.00M,11.00M,1.00M,-96.00M,-27.00M,26.00M,5.00M,,,-97.00M,-189.00M,,,2018-06,-87.00M,6.00M,-81.00M,0.00,5.00M,0.00,-76.00M,2018-06,0.00,-10.00M,-10.00M,0.00,-500.00M,-500.00M,-264.00M,-264.00M,0.00,-774.00M,,1.94B,-230.00M,-82.00M,1.628B,2018-06,0.00,0.00,0.00,-500.00M,309.00M,84.00M,2018-06,AOR,Restated
