,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,519.40M,,519.40M,373.00M,,373.00M,125.40M,55.80M,113.70M,294.90M,,51.00M,1.238B,,,,,2.007B,,2.007B,-1.056B,950.90M,109.30M,30.60M,139.90M,209.60M,22.30M,21.80M,1.344B,2.583B,180.30M,,30.20M,210.50M,96.10M,306.60M,,2.30M,2.30M,9.90M,12.20M,,,,126.70M,447.70M,253.40M,59.90M,313.30M,4.50M,4.50M,51.60M,,46.80M,416.20M,863.90M,18.80M,1.773B,268.20M,182.00M,,,-159.50M,1.719B
2020-06,445.90M,,445.90M,340.60M,,340.60M,112.70M,49.00M,113.10M,274.80M,,49.30M,1.111B,,,,,1.927B,,1.927B,-1.018B,908.30M,107.60M,31.20M,138.80M,199.60M,13.70M,21.30M,1.282B,2.392B,162.30M,,29.20M,191.50M,69.70M,261.20M,,2.30M,2.30M,9.80M,12.10M,,,,99.70M,375.20M,253.90M,60.90M,314.80M,0.00,0.00,52.60M,,43.40M,410.80M,786.00M,18.80M,1.703B,263.10M,190.80M,,,-187.80M,1.606B
2020-03,335.30M,,335.30M,333.00M,,333.00M,104.60M,43.10M,103.30M,251.00M,,58.20M,977.50M,,,,,1.885B,,1.885B,-988.60M,896.80M,106.90M,28.10M,135.00M,197.70M,12.30M,22.00M,1.269B,2.246B,157.90M,,13.90M,171.80M,61.20M,233.00M,,2.30M,2.30M,9.40M,11.70M,,,,97.50M,344.40M,254.40M,61.20M,315.60M,5.60M,5.60M,50.70M,,40.00M,411.90M,756.30M,18.80M,1.612B,267.60M,215.70M,,,-192.30M,1.490B
2019-12,439.10M,,439.10M,319.30M,,319.30M,97.40M,37.40M,100.90M,235.70M,,64.60M,1.059B,0.0,22.10M,572.90M,1.096B,70.10M,128.70M,1.890B,-980.80M,909.40M,107.80M,29.80M,137.60M,192.70M,14.00M,24.70M,1.283B,2.341B,156.80M,11.80M,12.90M,181.50M,91.90M,273.40M,,2.30M,2.30M,9.60M,11.90M,27.50M,27.50M,,18.70M,341.60M,255.00M,62.40M,317.40M,15.50M,15.50M,52.50M,,41.20M,426.60M,768.20M,18.80M,1.549B,272.70M,118.10M,,,-149.60M,1.573B
2019-09,396.00M,,396.00M,316.10M,,316.10M,99.20M,38.30M,92.90M,230.40M,,61.60M,1.004B,,,,,1.851B,,1.851B,-967.70M,883.40M,106.60M,28.70M,135.30M,97.40M,33.80M,20.00M,1.170B,2.174B,145.30M,,19.10M,164.40M,72.60M,237.00M,,,,9.80M,9.80M,,,,86.00M,335.00M,195.10M,63.50M,258.60M,10.30M,10.30M,46.80M,,35.70M,351.40M,686.40M,18.80M,1.497B,268.50M,126.60M,,,-170.40M,1.488B
2019-06,326.70M,,326.70M,330.80M,,330.80M,102.40M,38.90M,91.00M,232.30M,,54.50M,944.30M,,,,,1.861B,,1.861B,-963.90M,897.40M,108.20M,29.70M,137.90M,95.40M,27.90M,20.30M,1.179B,2.123B,152.10M,,5.40M,157.50M,59.00M,216.50M,,,,10.20M,10.20M,,,,84.20M,313.20M,196.00M,66.40M,262.40M,13.50M,13.50M,53.60M,,35.40M,364.90M,678.10M,18.80M,1.453B,273.40M,147.80M,,,-152.20M,1.445B
2019-03,265.50M,,265.50M,318.20M,,318.20M,100.10M,39.00M,87.00M,226.10M,,57.80M,867.60M,,,,,1.835B,,1.835B,-945.20M,889.90M,105.20M,19.50M,124.70M,94.90M,32.70M,26.40M,1.169B,2.036B,137.70M,,17.30M,155.00M,53.50M,208.50M,,,,10.20M,10.20M,,,,80.20M,301.10M,195.50M,67.40M,262.90M,14.30M,14.30M,54.30M,,34.10M,365.60M,666.70M,18.80M,1.398B,278.50M,172.60M,,,-153.40M,1.370B
2018-12,337.40M,,337.40M,288.20M,,288.20M,81.90M,42.20M,90.40M,214.50M,,54.30M,894.40M,0.0,20.90M,569.10M,1.074B,,89.10M,1.753B,-930.70M,822.00M,105.80M,20.30M,126.10M,91.20M,24.70M,20.50M,1.084B,1.979B,130.40M,11.30M,15.30M,157.00M,78.50M,235.50M,,0.10M,0.10M,0.00,0.10M,25.50M,25.50M,,18.00M,283.70M,196.00M,0.00,196.00M,13.10M,13.10M,56.20M,,33.60M,298.90M,582.60M,18.80M,1.353B,282.00M,103.70M,,,-154.20M,1.396B
2018-09,297.30M,,297.30M,302.90M,,302.90M,93.30M,38.00M,75.50M,206.80M,,43.10M,850.10M,,,,,1.746B,,1.746B,-923.80M,822.00M,106.30M,21.00M,127.30M,90.50M,34.50M,21.70M,1.096B,1.946B,125.20M,,17.70M,142.90M,67.30M,210.20M,,,,,,,,,76.40M,288.80M,196.20M,,196.20M,11.70M,11.70M,53.80M,,43.80M,305.50M,594.30M,18.80M,1.313B,282.80M,108.70M,,,-153.80M,1.352B
2018-06,225.50M,,225.50M,296.70M,,296.70M,90.20M,39.00M,79.00M,208.20M,,36.50M,766.90M,,,,,1.737B,,1.737B,-910.30M,826.70M,106.60M,21.70M,128.30M,91.80M,38.50M,21.50M,1.107B,1.874B,126.20M,,17.90M,144.10M,55.10M,199.20M,,,,,,,,,86.20M,287.60M,196.40M,,196.40M,11.80M,11.80M,53.60M,,42.40M,304.20M,591.80M,18.80M,1.258B,304.70M,155.90M,,,-143.70M,1.282B
