,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,-242.00M,,,,,,507.00M,507.00M,-286.00M,,-28.00M,,-13.00M,-448.00M,-5.00M,,-7.00M,,1.267B,-299.00M,508.00M,,446.00M,-1.383B,,,,61.00M,20.00M,-1.302B,370.00M,623.00M,993.00M,12.00M,,12.00M,,-308.00M,-308.00M,454.00M,-237.00M,0.00,-36.00M,424.00M,526.00M,-432.00M,,94.00M,12.00M,654.00M,266.00M,-308.00M,,
2020-06,348.00M,,,,,,504.00M,504.00M,0.00,,-18.00M,,-14.00M,-5.00M,-20.00M,,143.00M,,,-628.00M,-510.00M,,310.00M,-1.246B,,,,76.00M,56.00M,-1.114B,-567.00M,0.00,-567.00M,810.00M,,810.00M,,,,-454.00M,-228.00M,1.00M,-24.00M,-8.00M,1.338B,-812.00M,,526.00M,810.00M,1.007B,-1.574B,,,
2020-03,213.00M,,,,,,501.00M,501.00M,-58.00M,,,,100.00M,-30.00M,1.00M,,-129.00M,,,-283.00M,-441.00M,,315.00M,-1.268B,,,,-14.00M,4.00M,-1.278B,2.954B,-550.00M,2.404B,74.00M,,74.00M,,,,,-226.00M,10.00M,-31.00M,2.231B,70.00M,1.268B,,1.338B,74.00M,2.994B,-590.00M,,,
2019-12,173.00M,,,,,,487.00M,487.00M,-63.00M,,18.00M,,-19.00M,592.00M,-15.00M,,4.00M,,-101.00M,-566.00M,-86.00M,,510.00M,-1.38B,,,,-8.00M,55.00M,-1.333B,-207.00M,550.00M,343.00M,226.00M,,226.00M,,0.00,0.00,-810.00M,-216.00M,7.00M,-15.00M,345.00M,548.00M,-478.00M,,70.00M,226.00M,794.00M,-1.001B,0.00,,
2019-09,502.00M,,,,,,479.00M,479.00M,-39.00M,,0.00,,-2.356B,-311.00M,-19.00M,,63.00M,,0.00,266.00M,-1.00M,,-1.415B,-1.262B,,,,42.00M,11.00M,-1.209B,1.18B,-213.00M,967.00M,2.165B,,2.165B,,0.00,0.00,399.00M,-195.00M,10.00M,-40.00M,2.907B,265.00M,283.00M,,548.00M,2.165B,1.22B,469.00M,0.00,,
2019-06,422.00M,,,,,,339.00M,339.00M,-68.00M,,166.00M,,-19.00M,-81.00M,-19.00M,,190.00M,,,-542.00M,-452.00M,,388.00M,-1.161B,,,,-1.00M,12.00M,-1.15B,844.00M,29.00M,873.00M,0.00,,0.00,,,,-399.00M,-199.00M,-4.00M,-28.00M,642.00M,385.00M,-120.00M,,265.00M,0.00,1.595B,-722.00M,,,
2019-03,308.00M,,,,,,498.00M,498.00M,-114.00M,,,,-89.00M,9.00M,-30.00M,,31.00M,,,-403.00M,-393.00M,,210.00M,-1.074B,,,,73.00M,15.00M,-986.00M,1.797B,-538.00M,1.259B,0.00,,0.00,,,,,-200.00M,-19.00M,-31.00M,1.009B,152.00M,233.00M,,385.00M,0.00,1.837B,-578.00M,,,
2018-12,-1.434B,,,,,,301.00M,301.00M,-660.00M,,18.00M,,-64.00M,-1.714B,-24.00M,,-51.00M,,,-135.00M,2.745B,,906.00M,-1.268B,,,0.00,23.00M,19.00M,-1.226B,0.00,617.00M,617.00M,0.00,,0.00,,,,-197.00M,-197.00M,-3.00M,-24.00M,393.00M,79.00M,73.00M,,152.00M,0.00,0.00,0.00,,,595.00M
2018-09,544.00M,,,,,,565.00M,565.00M,138.00M,,-11.00M,,-32.00M,-267.00M,-11.00M,,24.00M,,,104.00M,-150.00M,,1.054B,-1.082B,,,0.00,13.00M,44.00M,-1.025B,379.00M,-197.00M,182.00M,0.00,,0.00,,,,-197.00M,-197.00M,-5.00M,-37.00M,-57.00M,107.00M,-28.00M,,79.00M,0.00,820.00M,-441.00M,,,-254.00M
2018-06,298.00M,,,,,,595.00M,595.00M,-9.00M,,5.00M,,-53.00M,-135.00M,-7.00M,,212.00M,,,-548.00M,-478.00M,,358.00M,-1.022B,,,78.00M,49.00M,4.00M,-891.00M,462.00M,230.00M,692.00M,,,,,,,-197.00M,-197.00M,-4.00M,0.00,491.00M,106.00M,-42.00M,,107.00M,,634.00M,-172.00M,,,90.00M
2018-03,242.00M,,,,,,479.00M,479.00M,4.00M,,66.00M,,-29.00M,77.00M,-7.00M,,-216.00M,,,243.00M,97.00M,,859.00M,-1.137B,,,,24.00M,16.00M,-1.097B,1.742B,-2.261B,-519.00M,,,,,,,-197.00M,-197.00M,-8.00M,-21.00M,-745.00M,1.132B,-983.00M,,106.00M,,1.783B,-41.00M,,,164.00M
2017-12,-547.00M,,,,,,534.00M,534.00M,161.00M,,738.00M,,-77.00M,395.00M,-23.00M,,66.00M,,,-451.00M,-13.00M,,796.00M,-1.234B,,,,80.00M,9.00M,-1.145B,284.00M,1.525B,1.809B,,,,-1.00M,0.00,-1.00M,-226.00M,-226.00M,-143.00M,-93.00M,1.346B,61.00M,997.00M,,1.132B,-1.00M,788.00M,-504.00M,0.00,-12.00M,95.00M
2017-09,497.00M,,,,,,539.00M,539.00M,144.00M,,0.00,,-67.00M,-272.00M,3.00M,,-38.00M,,,469.00M,162.00M,,1.275B,-888.00M,,,,44.00M,30.00M,-814.00M,-21.00M,109.00M,88.00M,,,,0.00,-475.00M,-475.00M,-37.00M,-37.00M,-3.00M,-13.00M,-440.00M,40.00M,21.00M,,61.00M,0.00,319.00M,-340.00M,-475.00M,-1.00M,213.00M
2017-06,326.00M,,,,,,522.00M,522.00M,206.00M,,-5.00M,,-97.00M,-144.00M,6.00M,,248.00M,,,-420.00M,-310.00M,,642.00M,-778.00M,,,,74.00M,18.00M,-686.00M,-799.00M,463.00M,-336.00M,,,,463.00M,,463.00M,-267.00M,-267.00M,107.00M,22.00M,-11.00M,169.00M,-55.00M,,40.00M,463.00M,-398.00M,-401.00M,,14.00M,240.00M
2017-03,392.00M,,,,,,520.00M,520.00M,-13.00M,,5.00M,,-9.00M,27.00M,2.00M,,-226.00M,,,186.00M,-11.00M,,884.00M,-944.00M,,,,-1.00M,4.00M,-941.00M,1.484B,-1.013B,471.00M,,,,,,,-177.00M,-177.00M,-139.00M,-43.00M,112.00M,114.00M,55.00M,,169.00M,,1.524B,-40.00M,,,
2016-12,347.00M,,,,,,523.00M,523.00M,76.00M,,0.00,,-24.00M,285.00M,51.00M,-56.00M,-116.00M,,,-334.00M,-170.00M,,752.00M,-976.00M,,,,20.00M,30.00M,-926.00M,-137.00M,551.00M,414.00M,,,,0.00,0.00,0.00,-157.00M,-157.00M,-29.00M,-31.00M,197.00M,84.00M,23.00M,,114.00M,0.00,0.00,-137.00M,0.00,6.00M,87.00M
2016-09,451.00M,,,,,,550.00M,550.00M,154.00M,,0.00,,-235.00M,-202.00M,-2.00M,55.00M,84.00M,,,215.00M,150.00M,,1.07B,-945.00M,,,,15.00M,134.00M,-796.00M,-42.00M,-46.00M,-88.00M,,,,0.00,0.00,0.00,-156.00M,-156.00M,-12.00M,-45.00M,-301.00M,111.00M,-27.00M,,84.00M,0.00,0.00,-42.00M,0.00,0.00,189.00M
2016-06,310.00M,,,,,,526.00M,526.00M,-67.00M,,0.00,,-51.00M,-150.00M,-40.00M,-65.00M,251.00M,,,-137.00M,-141.00M,,577.00M,-877.00M,,,,38.00M,-8.00M,-847.00M,-1.00M,438.00M,437.00M,,,,0.00,0.00,0.00,-157.00M,-157.00M,-10.00M,-26.00M,244.00M,137.00M,-26.00M,,111.00M,0.00,0.00,-1.00M,0.00,10.00M,70.00M
2016-03,305.00M,,,,,,499.00M,499.00M,27.00M,,0.00,,-123.00M,117.00M,-1.00M,66.00M,-184.00M,,,149.00M,147.00M,,855.00M,-951.00M,,,,106.00M,11.00M,-834.00M,357.00M,-332.00M,25.00M,,,,294.00M,-125.00M,169.00M,-156.00M,-156.00M,-51.00M,-32.00M,-45.00M,161.00M,-24.00M,,137.00M,294.00M,397.00M,-40.00M,-125.00M,2.00M,158.00M
2015-12,-47.00M,,,,,,490.00M,490.00M,247.00M,,,,-226.00M,461.00M,4.00M,18.00M,-156.00M,,,880.00M,1.207B,,1.676B,-1.091B,,,,132.00M,-76.00M,-1.035B,4.00M,-460.00M,-456.00M,,,,0.00,0.00,0.00,-136.00M,-136.00M,,47.00M,-614.00M,134.00M,27.00M,,161.00M,0.00,5.00M,-1.00M,0.00,-2.00M,78.00M
2015-09,405.00M,,,,,,528.00M,528.00M,101.00M,,,,-503.00M,-444.00M,5.00M,32.00M,34.00M,,,907.00M,534.00M,,1.065B,-937.00M,,,,290.00M,24.00M,-623.00M,-40.00M,-237.00M,-277.00M,,,,319.00M,-325.00M,-6.00M,-136.00M,-136.00M,,-28.00M,-447.00M,139.00M,-5.00M,,134.00M,319.00M,0.00,-40.00M,-325.00M,0.00,204.00M
