,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,,615.62M,442.47M,1.058B,1.169B,,1.169B,23.03M,401.16M,,,2.651B,,,,,1.909B,,1.909B,,1.909B,914.52M,1.339B,2.253B,510.22M,198.15M,4.870B,7.521B,,235.76M,235.76M,309.81M,545.57M,,,,,393.29M,393.29M,,229.76M,1.169B,1.336B,,1.336B,376.04M,,376.04M,,157.80M,1.870B,3.039B,,3.732M,6.476B,2.289B,4.165B,,,-120.80M,4.483B,,AOR,
2020-09,,419.15M,473.32M,892.48M,1.219B,,1.219B,15.77M,397.49M,,,2.525B,,,,,1.977B,,1.977B,,1.977B,907.10M,1.322B,2.230B,423.32M,205.69M,4.836B,7.361B,,256.45M,256.45M,328.66M,585.11M,,,,,320.29M,320.29M,,196.17M,1.102B,1.336B,,1.336B,391.79M,,391.79M,,125.14M,1.853B,2.955B,,3.723M,6.402B,2.196B,4.058B,,,-138.02M,4.406B,,AOR,
2020-06,,269.90M,171.12M,441.02M,1.184B,,1.184B,18.52M,410.02M,,,2.054B,,,,,1.993B,,1.993B,,1.993B,912.08M,1.319B,2.231B,388.68M,212.30M,4.826B,6.879B,,261.54M,261.54M,267.93M,529.47M,,,,,295.71M,295.71M,,181.62M,1.007B,1.338B,,1.338B,381.93M,,381.93M,,134.13M,1.855B,2.861B,,3.712M,6.101B,2.120B,4.058B,,,-149.67M,4.018B,,AOR,
2020-03,,285.41M,113.36M,398.78M,1.151B,,1.151B,23.46M,390.35M,,,1.964B,,,,,1.963B,,1.963B,,1.963B,881.09M,1.304B,2.185B,411.79M,212.32M,4.773B,6.736B,,295.95M,295.95M,248.85M,544.80M,,,,,316.61M,316.61M,,157.07M,1.018B,1.338B,,1.338B,378.53M,,378.53M,,137.92M,1.855B,2.873B,,3.702M,6.022B,2.054B,4.058B,,,-159.36M,3.863B,,AOR,
2019-12,,441.84M,99.93M,541.77M,1.140B,,1.140B,23.18M,392.07M,,,2.097B,0.00,1.375B,,1.989B,123.16M,214.61M,3.701B,-1.720B,1.982B,883.16M,1.304B,2.187B,419.42M,209.20M,4.798B,6.895B,,273.44M,273.44M,245.84M,519.28M,,,,,360.02M,360.02M,,148.14M,1.027B,1.038B,0.00,1.038B,377.66M,,377.66M,,133.81M,1.550B,2.577B,,3.676M,5.935B,1.905B,3.408B,,,-118.66M,4.317B,,AOR,
2019-09,,496.43M,136.27M,632.70M,1.155B,,1.155B,23.16M,402.25M,,,2.213B,,,,,1.988B,,1.988B,,1.988B,844.93M,1.283B,2.127B,403.44M,205.78M,4.724B,6.937B,,275.92M,275.92M,264.05M,539.96M,,,,,308.44M,308.44M,,153.19M,1.002B,1.039B,0.00,1.039B,353.71M,,353.71M,,132.29M,1.525B,2.526B,,3.662M,5.837B,1.807B,3.108B,,,-128.55M,4.411B,,AOR,Restated
2019-06,,702.92M,250.60M,953.52M,1.229B,,1.229B,23.16M,396.80M,,,2.602B,,,,,1.998B,,1.998B,,1.998B,847.67M,1.298B,2.146B,320.62M,208.93M,4.674B,7.276B,,328.40M,328.40M,208.99M,537.40M,,,,,320.92M,320.92M,,173.05M,1.031B,1.039B,,1.039B,347.66M,,347.66M,,141.49M,1.528B,2.559B,,3.647M,5.812B,1.722B,2.708B,,,-112.85M,4.717B,,AOR,Restated
2019-03,,503.16M,400.51M,903.67M,1.159B,,1.159B,24.10M,336.82M,,,2.424B,,,,,1.924B,,1.924B,,1.924B,846.74M,1.300B,2.147B,283.60M,219.84M,4.575B,6.999B,,290.95M,290.95M,230.41M,521.35M,,,,,337.81M,337.81M,,81.46M,940.62M,438.82M,,438.82M,343.79M,,343.79M,,146.13M,928.74M,1.869B,,3.629M,5.743B,1.591B,2.108B,,,-100.59M,5.129B,,AOR,Restated
2018-12,,374.13M,401.28M,775.41M,1.173B,10.93M,1.183B,25.03M,334.87M,,,2.319B,0.00,1.239B,,1.820B,,214.70M,3.274B,-1.530B,1.744B,847.54M,1.300B,2.147B,300.05M,198.85M,4.390B,6.709B,,293.53M,293.53M,195.93M,489.46M,,,4.914M,4.914M,399.19M,399.19M,,69.12M,962.69M,438.80M,,438.80M,336.38M,,336.38M,,42.38M,817.56M,1.780B,,3.622M,5.577B,1.560B,2.108B,,,-103.55M,4.928B,,AOR,Restated
2018-09,,498.61M,314.93M,813.55M,1.197B,13.26M,1.211B,24.74M,337.90M,,,2.387B,,,,,,,,,1.697B,848.24M,1.303B,2.151B,338.23M,212.07M,4.399B,6.785B,,258.43M,258.43M,293.50M,551.93M,,,2.318M,2.318M,352.78M,352.78M,,,907.02M,438.78M,,438.78M,369.55M,4.317M,373.86M,,,812.64M,1.720B,,3.619M,5.445B,1.527B,1.809B,,,-101.01M,5.066B,,AOR,Restated
