,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,1.395B,1.395B,234.67M,1.160B,675.48M,100.59M,776.06M,197.91M,12.56M,3.654M,,,,986.53M,173.82M,,,,2.313M,,176.13M,34.63M,141.50M,,141.50M,138.57M,352.26M,178.44M,173.82M,,0.46,,,,0.4504,0.46,,0.46,,,,0.4505,0.46,,306.40M,309.25M,0.22,,AOR,
2020-09,1.369B,1.369B,231.89M,1.137B,625.40M,116.82M,742.22M,186.83M,12.79M,216.87M,,,,941.83M,194.95M,,,,264.89M,,459.84M,103.16M,356.68M,,356.68M,188.39M,370.00M,175.05M,194.95M,,1.17,,,,0.6196,1.17,,1.16,,,,0.6143,1.16,,305.76M,308.37M,0.18,,AOR,
2020-06,1.330B,1.330B,211.96M,1.118B,645.09M,134.33M,779.42M,178.96M,13.11M,,,,,971.49M,146.90M,,,,24.63M,,171.53M,36.78M,134.75M,,134.75M,134.75M,318.19M,171.30M,146.90M,,0.44,,,,0.44,0.44,,0.44,,,,0.44,0.44,,304.78M,306.72M,0.18,,AOR,
2020-03,1.412B,1.412B,254.42M,1.157B,636.65M,139.85M,776.50M,185.32M,17.13M,,,,,978.95M,178.38M,,,,5.595M,,183.97M,36.81M,147.16M,,147.16M,147.16M,351.02M,172.65M,178.38M,,0.48,,,,0.48,0.48,,0.47,,,,0.47,0.47,,309.66M,312.24M,0.18,,AOR,
2019-12,1.442B,1.442B,277.39M,1.165B,648.51M,122.29M,770.80M,188.20M,23.01M,,,,,982.02M,182.83M,,,,-14.89M,,191.70M,37.37M,154.33M,,154.33M,154.33M,429.55M,178.41M,251.14M,,0.49,,,,0.49,0.49,,0.49,,,,0.49,0.49,,312.07M,314.86M,0.18,,AOR,
2019-09,1.429B,1.429B,271.78M,1.158B,707.74M,152.32M,860.06M,187.53M,21.28M,0.00,,,,1.069B,88.78M,,,,13.54M,,102.31M,20.38M,81.94M,,81.94M,81.94M,261.85M,173.07M,88.78M,,0.26,,,,0.26,0.26,,0.26,,,,0.26,0.26,,315.88M,319.11M,0.18,,AOR,Restated
2019-06,1.431B,1.431B,268.67M,1.162B,678.90M,149.79M,828.68M,181.05M,21.54M,,,,,1.031B,131.12M,,,,23.01M,,154.12M,27.15M,126.97M,,126.97M,126.97M,300.93M,169.82M,131.12M,,0.40,,,,0.40,0.40,,0.39,,,,0.39,0.39,,321.28M,324.66M,0.18,,AOR,Restated
2019-03,1.390B,1.390B,253.20M,1.137B,640.19M,96.20M,736.38M,180.36M,21.98M,,,,,938.73M,197.94M,,,,8.432M,,206.38M,40.16M,166.22M,,166.22M,166.22M,364.62M,166.67M,197.94M,,0.51,,,,0.51,0.51,,0.51,,,,0.51,0.51,,324.57M,327.00M,,,AOR,Restated
2018-12,1.366B,1.366B,236.96M,1.129B,662.70M,98.92M,761.62M,181.47M,21.49M,,,,,964.58M,164.13M,,,,-18.56M,,171.79M,40.47M,131.32M,,131.32M,131.32M,367.02M,168.84M,198.18M,,0.40,,,,0.40,0.40,,0.40,,,,0.40,0.40,,327.97M,330.81M,,,AOR,Restated
2018-09,1.340B,1.340B,230.33M,1.110B,605.95M,102.79M,708.74M,172.30M,21.55M,,,,,902.58M,207.16M,,,,6.943M,,214.10M,44.72M,169.38M,,169.38M,169.38M,368.26M,161.10M,207.16M,,0.51,,,,0.51,0.51,,0.51,,,,0.51,0.51,,329.34M,332.94M,,,AOR,Restated
2018-06,1.368B,1.368B,238.78M,1.129B,635.10M,95.46M,730.57M,168.28M,21.81M,,,,,920.66M,208.29M,,,,6.597M,,214.88M,45.53M,169.36M,,169.36M,169.36M,368.34M,160.05M,208.29M,,0.51,,,,0.51,0.51,,0.51,,,,0.51,0.51,,330.21M,333.56M,,,AOR,Restated
2018-03,1.293B,1.293B,231.28M,1.062B,589.95M,92.29M,682.24M,161.62M,22.51M,,,,,866.37M,195.22M,,,,4.864M,,200.08M,40.08M,160.00M,,160.00M,160.00M,347.81M,152.59M,195.22M,,0.48,,,,0.48,0.48,,0.48,,,,0.48,0.48,,332.40M,336.53M,,,AOR,Restated
2017-12,1.314B,1.314B,229.13M,1.085B,588.61M,92.06M,680.68M,162.48M,22.45M,,,,,865.60M,219.05M,,,,-8.317M,,221.66M,-115.00M,336.66M,,336.66M,336.66M,389.20M,155.48M,233.72M,,1.02,,,,1.02,1.02,,1.00,,,,1.00,1.00,,331.54M,338.16M,,,AOR,Restated
2017-09,1.276B,1.276B,202.90M,1.073B,564.62M,84.18M,648.80M,153.83M,22.56M,,,,,825.20M,247.91M,,,,2.509M,,250.42M,72.99M,177.42M,,177.42M,177.42M,394.26M,146.35M,247.91M,,0.53,,,,0.53,0.53,,0.52,,,,0.52,0.52,,331.99M,338.78M,,,AOR,Restated
2017-06,1.292B,1.292B,223.06M,1.069B,563.39M,90.63M,654.02M,142.84M,22.69M,,,,,819.54M,249.39M,,,,2.661M,,252.05M,72.37M,179.68M,,179.68M,179.68M,393.44M,144.06M,249.39M,,0.54,,,,0.54,0.54,,0.53,,,,0.53,0.53,,331.06M,337.90M,,,AOR,Restated
2017-03,1.260B,1.260B,198.99M,1.061B,560.20M,88.39M,648.59M,145.90M,22.87M,,,,,817.37M,244.13M,,,,-1.116M,,243.01M,69.80M,173.21M,,173.21M,173.21M,378.96M,134.83M,244.13M,,0.52,,,,0.52,0.52,,0.52,,,,0.52,0.52,,329.97M,336.19M,,,AOR,Restated
2016-12,1.258B,1.258B,215.00M,1.043B,537.16M,125.22M,662.38M,145.97M,22.44M,,,,,830.79M,212.03M,,,,-7.086M,,215.72M,66.02M,149.69M,,149.69M,149.69M,356.78M,132.85M,223.93M,,0.45,,,,0.45,0.45,,0.44,,,,0.44,0.44,,334.94M,339.86M,,,AOR,Restated
2016-09,1.185B,1.185B,182.97M,1.002B,512.67M,87.07M,599.74M,136.76M,22.86M,,,,,759.36M,242.22M,,,,-0.417M,,241.81M,71.83M,169.98M,,169.98M,169.98M,369.51M,127.29M,242.22M,,0.50,,,,0.50,0.50,,0.49,,,,0.49,0.49,,338.68M,344.82M,,,AOR,Restated
2016-06,1.216B,1.216B,205.56M,1.010B,520.26M,90.03M,610.29M,135.16M,23.64M,,,,,769.09M,241.31M,,,,2.47M,,243.78M,77.33M,166.45M,,166.45M,166.45M,366.28M,124.97M,241.31M,,0.49,,,,0.49,0.49,,0.48,,,,0.48,0.48,,337.76M,344.03M,,,AOR,Restated
2016-03,1.138B,1.138B,175.59M,962.54M,501.83M,90.13M,591.96M,133.53M,21.60M,,,,,747.09M,215.45M,,,,1.681M,,217.13M,66.77M,150.36M,,150.36M,150.36M,334.57M,119.13M,215.45M,,0.44,,,,0.44,0.44,,0.43,,,,0.43,0.43,,339.52M,345.90M,,,AOR,Restated
2015-12,1.175B,1.175B,199.22M,976.08M,489.10M,94.36M,583.46M,141.26M,24.22M,,,,,748.94M,227.13M,,,,0.628M,,227.93M,61.82M,166.11M,,166.11M,166.11M,362.35M,123.15M,239.20M,,0.49,,,,0.49,0.49,,0.48,,,,0.48,0.48,,340.91M,347.96M,,,AOR,Restated
2015-09,1.128B,1.128B,190.58M,937.30M,465.88M,98.70M,564.59M,132.81M,24.55M,,,,,721.95M,215.35M,,,,0.317M,,215.67M,68.39M,147.28M,,147.28M,147.28M,330.92M,115.56M,215.35M,,0.43,,,,0.43,0.43,,0.42,,,,0.42,0.42,,344.04M,351.36M,,,AOR,Restated
2015-06,1.126B,1.126B,192.32M,933.68M,463.44M,135.54M,598.98M,138.45M,24.51M,,,,,761.94M,171.74M,,,,-1.079M,,170.66M,55.62M,115.04M,,115.04M,115.04M,284.80M,113.07M,171.74M,,0.33,,,,0.33,0.33,,0.33,,,,0.33,0.33,,344.43M,352.45M,,,AOR,Restated
2015-03,996.09M,996.09M,168.66M,827.43M,420.18M,94.81M,514.99M,127.27M,18.25M,,,,,660.52M,166.91M,,,,0.208M,,167.12M,56.19M,110.93M,,110.93M,110.93M,267.36M,100.44M,166.91M,,0.32,,,,0.32,0.32,,0.32,,,,0.32,0.32,,343.22M,351.66M,,,AOR,Restated
2014-12,926.03M,926.03M,172.84M,753.19M,375.02M,62.56M,437.58M,106.91M,3.41M,,,,,547.89M,205.29M,,,,-9.167M,,208.48M,60.60M,147.87M,,147.87M,147.87M,305.52M,85.14M,220.38M,,0.43,,,,0.43,0.43,,0.42,,,,0.42,0.42,,341.84M,350.14M,,,AOR,Restated
2014-09,840.15M,840.15M,140.06M,700.08M,346.42M,64.88M,411.29M,97.03M,3.61M,,,,,511.93M,188.15M,,,,2.181M,,190.34M,61.33M,129.00M,,129.00M,129.00M,263.56M,75.41M,188.15M,,0.38,,,,0.38,0.38,,0.37,,,,0.37,0.37,,341.19M,349.33M,,,AOR,Restated
2014-06,851.76M,851.76M,162.37M,689.39M,343.23M,53.97M,397.20M,97.33M,3.229M,,,,,497.76M,191.63M,,,,2.737M,,194.37M,65.34M,129.03M,,129.03M,129.03M,263.34M,71.71M,191.63M,,0.38,,,,0.38,0.38,,0.37,,,,0.37,0.37,,341.79M,349.79M,,,AOR,Restated
2014-03,784.76M,784.76M,129.10M,655.66M,330.90M,55.21M,386.11M,91.54M,,,,,,477.66M,178.00M,,,,2.99M,,180.99M,61.47M,119.53M,,119.53M,119.53M,248.10M,70.09M,178.00M,,0.35,,,,0.35,0.35,,0.34,,,,0.34,0.34,,343.70M,352.23M,,,AOR,Restated
2013-12,795.33M,795.33M,142.12M,653.21M,319.84M,144.39M,464.23M,92.44M,,,,,,569.46M,83.75M,,,,-8.332M,,86.50M,26.44M,60.06M,,60.06M,60.06M,174.10M,74.08M,100.02M,,0.17,,,,0.17,0.17,,0.17,,,,0.17,0.17,,343.50M,352.13M,,,AOR,Restated
2013-09,727.83M,727.83M,119.58M,608.25M,304.66M,51.35M,356.02M,83.00M,,,,,,439.02M,169.24M,,,,3.509M,,172.75M,57.40M,115.34M,,115.34M,115.34M,236.47M,67.23M,169.24M,,0.34,,,,0.34,0.34,,0.33,,,,0.33,0.33,,342.99M,351.45M,,,AOR,Restated
2013-06,707.56M,707.56M,125.80M,581.76M,281.19M,51.83M,333.02M,82.28M,,,,,,415.30M,166.46M,,,,2.733M,,169.19M,56.28M,112.91M,,112.91M,112.91M,229.35M,62.89M,166.46M,,0.33,,,,0.33,0.33,,0.32,,,,0.32,0.32,,343.80M,352.48M,,,AOR,Restated
2013-03,680.03M,680.03M,127.23M,552.80M,267.36M,47.81M,315.17M,81.06M,,,,,,396.23M,156.57M,,,,3.044M,,159.61M,49.57M,110.04M,,110.04M,110.04M,215.91M,59.34M,156.57M,,0.32,,,,0.32,0.32,,0.31,,,,0.31,0.31,,344.06M,352.82M,,,AOR,Restated
2012-12,710.38M,710.38M,153.11M,557.27M,274.55M,43.66M,318.20M,78.62M,,,,,,396.83M,160.44M,,,,-4.218M,,167.70M,55.89M,111.81M,,111.81M,111.81M,241.80M,60.24M,181.56M,,0.325,,,,0.325,0.325,,0.315,,,,0.315,0.315,,343.58M,352.48M,,,AOR,Restated
2012-09,676.48M,676.48M,149.58M,526.90M,259.14M,41.97M,301.11M,78.09M,,,,,,379.21M,147.70M,,,,3.351M,,151.05M,52.16M,98.89M,,98.89M,98.89M,203.82M,56.12M,147.70M,,0.29,,,,0.29,0.29,,0.28,,,,0.28,0.28,,342.50M,351.74M,,,AOR,Restated
2012-06,637.36M,637.36M,147.50M,489.86M,241.88M,38.39M,280.27M,73.51M,,,,,,353.78M,136.08M,,,,2.814M,,138.90M,41.07M,97.83M,,97.83M,97.83M,189.51M,53.43M,136.08M,,0.29,,,,0.29,0.29,,0.28,,,,0.28,0.28,,341.43M,351.27M,,,AOR,Restated
2012-03,641.21M,641.21M,158.01M,483.20M,245.07M,39.55M,284.62M,71.14M,,,,,,355.76M,127.44M,,,,2.624M,,130.06M,41.36M,88.71M,,88.71M,88.71M,180.23M,52.79M,127.44M,,0.26,,,,0.26,0.26,,0.255,,,,0.255,0.255,,339.94M,350.05M,,,AOR,Restated
2011-12,615.63M,615.63M,132.05M,483.58M,238.22M,34.30M,272.52M,73.32M,,,1.441M,3.691M,2.25M,345.85M,137.73M,3.691M,1.441M,2.25M,-0.02M,2.25M,139.96M,48.77M,91.19M,,91.19M,91.19M,197.12M,55.72M,141.40M,,0.27,0.00,,,0.27,0.27,,0.26,0.00,,,0.26,0.26,,339.01M,349.00M,,,AOR,Restated
