,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,2.956B,,2.956B,1.833B,1.833B,1.466B,1.11B,1.00B,3.576B,,744.00M,9.109B,0.00,278.00M,1.793B,8.172B,,321.00M,,10.56B,-7.646B,2.918B,10.07B,596.00M,10.67B,1.858B,1.00B,16.44B,25.55B,,2.332B,2.332B,1.42B,3.752B,,,,251.00M,251.00M,,4.526B,8.882B,8.882B,,,,893.00M,11.20B,15.72B,,3.00M,6.72B,3.546B,390.00M,-50.00M,9.829B,,AOR,
2020-09,2.995B,,2.995B,2.097B,2.097B,1.426B,964.00M,965.00M,3.355B,,558.00M,9.005B,0.00,286.00M,1.865B,7.996B,,327.00M,,10.47B,-7.577B,2.897B,10.07B,758.00M,10.83B,1.746B,927.00M,16.40B,25.40B,,2.353B,2.353B,1.293B,3.646B,,,,286.00M,286.00M,,4.429B,9.086B,9.086B,,,,885.00M,11.40B,15.83B,,3.00M,6.658B,3.537B,521.00M,-101.00M,9.576B,,AOR,
2020-06,3.048B,,3.048B,2.379B,2.379B,1.306B,956.00M,808.00M,3.07B,,551.00M,9.048B,0.00,294.00M,1.837B,7.872B,,297.00M,,10.30B,-7.446B,2.854B,10.07B,941.00M,11.01B,1.875B,877.00M,16.61B,25.66B,,2.352B,2.352B,1.296B,3.648B,,,,286.00M,286.00M,,4.406B,9.289B,9.289B,,,,881.00M,11.70B,16.11B,,3.00M,6.725B,3.717B,737.00M,-157.00M,9.551B,,AOR,
2020-03,2.943B,,2.943B,1.978B,1.978B,1.302B,842.00M,947.00M,3.091B,,541.00M,8.553B,0.00,294.00M,1.823B,7.778B,,190.00M,,10.08B,-7.35B,2.735B,10.07B,1.126B,11.19B,2.157B,872.00M,16.96B,25.51B,,2.183B,2.183B,1.569B,3.752B,,,,286.00M,286.00M,,4.471B,9.343B,9.343B,,,,906.00M,11.80B,16.27B,,3.00M,6.578B,3.743B,898.00M,-183.00M,9.243B,,AOR,
2019-12,3.137B,,3.137B,1.791B,1.791B,1.334B,847.00M,941.00M,3.122B,,577.00M,8.627B,0.00,294.00M,1.806B,7.673B,,184.00M,,9.957B,-7.235B,2.722B,10.07B,1.311B,11.38B,2.321B,810.00M,17.23B,25.86B,,2.10B,2.10B,1.559B,3.659B,,,,286.00M,286.00M,,4.482B,9.547B,9.547B,,,,905.00M,12.00B,16.48B,,3.00M,6.717B,3.731B,962.00M,-110.00M,9.379B,,AOR,Restated
2019-09,3.248B,,3.248B,1.448B,1.448B,1.37B,900.00M,1.017B,3.287B,,517.00M,8.50B,0.00,294.00M,1.783B,7.689B,,190.00M,,9.956B,-7.16B,2.796B,10.09B,1.514B,11.60B,2.629B,751.00M,17.78B,26.28B,,2.231B,2.231B,1.374B,3.605B,,,,251.00M,251.00M,,4.288B,9.961B,9.961B,,,,928.00M,12.43B,16.71B,,3.00M,7.012B,3.728B,1.087B,-90.00M,9.566B,,AOR,Restated
2019-06,3.455B,,3.455B,1.204B,1.204B,1.142B,968.00M,1.173B,3.283B,,535.00M,8.477B,0.00,294.00M,1.743B,7.764B,,202.00M,,10.00B,-7.16B,2.843B,10.08B,1.711B,11.79B,2.791B,472.00M,17.89B,26.37B,,1.898B,1.898B,1.296B,3.194B,,,,276.00M,276.00M,,3.817B,10.25B,10.25B,,,,713.00M,12.59B,16.40B,,3.00M,7.449B,3.851B,1.268B,-68.00M,9.967B,,AOR,Restated
2019-03,3.682B,,3.682B,1.223B,1.223B,1.122B,955.00M,1.363B,3.44B,,557.00M,8.902B,0.00,307.00M,2.012B,8.108B,,211.00M,,10.64B,-7.607B,3.031B,10.08B,1.918B,11.99B,2.403B,584.00M,18.01B,26.91B,,1.889B,1.889B,1.645B,3.534B,,,,276.00M,276.00M,,4.212B,10.31B,10.31B,,,,1.248B,12.49B,16.70B,,3.00M,7.799B,3.891B,1.424B,-55.00M,10.21B,,AOR,Restated
2018-12,4.013B,,4.013B,1.715B,1.715B,1.191B,864.00M,1.372B,3.427B,,587.00M,9.742B,0.00,307.00M,1.975B,7.997B,,238.00M,,10.52B,-7.44B,3.077B,10.07B,2.148B,12.22B,2.318B,580.00M,18.20B,27.94B,,2.235B,2.235B,1.526B,3.761B,,,,244.00M,244.00M,,4.35B,10.37B,10.37B,,,,1.289B,12.68B,17.03B,,3.00M,8.532B,4.062B,1.65B,-35.00M,10.91B,,AOR,Restated
2018-09,4.646B,,4.646B,2.219B,2.219B,1.139B,934.00M,1.046B,3.119B,,587.00M,10.57B,0.00,306.00M,1.965B,7.809B,,251.00M,,10.33B,-7.277B,3.054B,10.07B,2.404B,12.48B,2.028B,576.00M,18.13B,28.70B,,2.367B,2.367B,1.305B,3.672B,,,,213.00M,213.00M,,4.385B,10.93B,10.93B,,,,1.076B,12.94B,17.33B,,3.00M,9.172B,4.085B,1.809B,-76.00M,11.38B,,AOR,Restated
