,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-12,5.336B,5.336B,3.323B,2.013B,,381.00M,629.00M,,-48.00M,197.00M,14.00M,-183.00M,1.01B,1.003B,14.00M,197.00M,-183.00M,-46.00M,-183.00M,774.00M,1.597B,-823.00M,,,,-823.00M,-794.20M,1.506B,535.00M,971.00M,,-2.78,,,,-2.683,-2.78,,-2.78,,,,-2.683,-2.78,,296.00M,296.00M,0.50,,AOR,Restated
2017-09,5.181B,5.181B,3.268B,1.913B,,364.00M,592.00M,,-52.00M,205.00M,16.00M,-189.00M,956.00M,957.00M,16.00M,205.00M,-189.00M,-58.00M,-189.00M,710.00M,29.00M,681.00M,,,,681.00M,730.92M,1.448B,533.00M,915.00M,,2.31,,,,2.479,2.31,,2.23,,,,2.393,2.23,,295.00M,306.00M,0.50,,AOR,Restated
2017-06,4.842B,4.842B,3.161B,1.681B,,345.00M,604.00M,-2.00M,-80.00M,201.00M,9.00M,-192.00M,949.00M,732.00M,9.00M,201.00M,-192.00M,-125.00M,-192.00M,415.00M,135.00M,280.00M,,,,280.00M,333.98M,1.162B,546.00M,616.00M,,0.96,,,,1.145,0.96,,0.93,,,,1.111,0.93,,291.00M,299.00M,0.50,,AOR,Restated
2017-03,4.649B,4.649B,3.126B,1.523B,,346.00M,613.00M,0.00,-39.00M,205.00M,7.00M,-198.00M,959.00M,564.00M,7.00M,205.00M,-198.00M,-62.00M,-198.00M,304.00M,56.00M,248.00M,,,,248.00M,279.98M,1.069B,560.00M,509.00M,,0.86,,,,0.9707,0.86,,0.83,,,,0.9370,0.83,,289.00M,299.00M,0.50,,AOR,Restated
2016-12,4.888B,4.888B,3.355B,1.533B,,358.00M,585.00M,13.00M,-45.00M,205.00M,5.00M,-200.00M,943.00M,590.00M,5.00M,205.00M,-200.00M,-69.00M,-200.00M,321.00M,86.00M,235.00M,,,,235.00M,267.85M,1.04B,514.00M,526.00M,,0.82,,,,0.9349,0.82,,0.80,,,,0.9117,0.80,,286.00M,294.00M,0.50,,AOR,Restated
2016-09,4.714B,4.714B,3.379B,1.335B,,396.00M,639.00M,,-68.00M,236.00M,5.00M,-231.00M,1.035B,300.00M,5.00M,236.00M,-231.00M,-340.00M,-231.00M,-271.00M,95.00M,-366.00M,,,,-366.00M,-325.20M,473.00M,508.00M,-35.00M,,-1.28,,,,-1.137,-1.28,,-1.28,,,,-1.137,-1.28,,285.00M,285.00M,0.50,,AOR,Restated
2016-06,3.495B,3.495B,2.674B,821.00M,,400.00M,494.00M,5.00M,-122.00M,226.00M,11.00M,-215.00M,894.00M,-73.00M,11.00M,226.00M,-215.00M,-197.00M,-215.00M,-485.00M,-119.00M,-366.00M,,,,-366.00M,-273.93M,161.00M,420.00M,-259.00M,,-1.34,,,,-0.9859,-1.34,,-1.34,,,,-0.9939,-1.34,,260.00M,266.00M,0.50,,AOR,Restated
2016-03,2.822B,2.822B,2.069B,753.00M,,166.00M,359.00M,24.00M,-140.00M,14.00M,6.00M,-8.00M,525.00M,228.00M,6.00M,14.00M,-8.00M,-140.00M,-8.00M,80.00M,6.00M,74.00M,,,,74.00M,202.80M,340.00M,246.00M,94.00M,,0.32,,,,0.8728,0.32,,0.32,,,,0.8704,0.32,,233.00M,234.00M,0.50,,AOR,Restated
2015-12,3.317B,3.317B,2.411B,906.00M,,239.00M,389.00M,0.00,-27.00M,13.00M,5.00M,-8.00M,628.00M,278.00M,5.00M,13.00M,-8.00M,-26.00M,-8.00M,244.00M,-7.00M,251.00M,,,,251.00M,267.20M,509.00M,252.00M,257.00M,,1.08,,,,1.150,1.08,,1.07,,,,1.139,1.07,,232.00M,234.00M,0.50,,AOR,Restated
2015-09,3.36B,3.36B,2.405B,955.00M,,192.00M,385.00M,8.00M,-56.00M,13.00M,5.00M,-8.00M,577.00M,378.00M,5.00M,13.00M,-8.00M,-56.00M,-8.00M,314.00M,31.00M,283.00M,,,,283.00M,333.40M,563.00M,236.00M,327.00M,,1.23,,,,1.448,1.23,,1.21,,,,1.425,1.21,,231.00M,234.00M,0.50,,AOR,Restated
2015-06,3.191B,3.191B,2.261B,930.00M,,205.00M,381.00M,,-89.00M,12.00M,3.00M,-9.00M,586.00M,344.00M,3.00M,12.00M,-9.00M,-88.00M,-9.00M,247.00M,27.00M,220.00M,,,,220.00M,299.27M,509.00M,250.00M,259.00M,,0.95,,,,1.296,0.95,,0.94,,,,1.279,0.94,,229.00M,234.00M,0.50,,AOR,Restated
2015-03,3.55B,3.55B,2.518B,1.032B,,199.00M,402.00M,,-10.00M,12.00M,3.00M,-9.00M,601.00M,431.00M,3.00M,12.00M,-9.00M,-10.00M,-9.00M,412.00M,28.00M,384.00M,,,,384.00M,393.32M,709.00M,285.00M,424.00M,,1.66,,,,1.700,1.66,,1.63,,,,1.669,1.63,,231.00M,236.00M,0.50,,AOR,Restated
2014-12,3.888B,3.888B,2.778B,1.11B,,164.00M,426.00M,,-54.00M,12.00M,4.00M,-8.00M,590.00M,520.00M,4.00M,12.00M,-8.00M,-54.00M,-8.00M,458.00M,20.00M,438.00M,,,,438.00M,489.64M,760.00M,290.00M,470.00M,,1.88,,,,2.102,1.88,,1.84,,,,2.057,1.84,,233.00M,238.00M,0.40,,AOR,Restated
2014-09,3.943B,3.943B,2.794B,1.149B,,220.00M,437.00M,,-23.00M,13.00M,4.00M,-9.00M,657.00M,492.00M,4.00M,13.00M,-9.00M,-23.00M,-9.00M,460.00M,37.00M,423.00M,,,,423.00M,444.15M,762.00M,289.00M,473.00M,,1.81,,,,1.900,1.81,,1.76,,,,1.848,1.76,,234.00M,240.00M,0.40,,AOR,Restated
