,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2007-09,1.766B,1.766B,1.443B,323.00M,,48.00M,91.00M,,-49.00M,,,,139.00M,184.00M,,,,-49.00M,,138.00M,69.00M,69.00M,,,,69.00M,100.85M,262.00M,78.00M,184.00M,,0.31,0.00,,,0.4554,0.31,,0.31,0.00,,,0.4522,0.31,,219.00M,224.00M,,,,
2007-06,1.367B,1.367B,1.162B,205.00M,,47.00M,79.00M,,,,,,126.00M,79.00M,,,,,,87.00M,-125.00M,212.00M,,,,212.00M,212.00M,140.00M,61.00M,79.00M,,0.97,0.00,,,0.97,0.97,,0.94,0.00,,,0.94,0.94,,219.00M,226.00M,,,,
2007-03,1.41B,1.41B,1.188B,222.00M,,32.00M,75.00M,,,,,,107.00M,115.00M,,,,,,122.00M,1.00M,121.00M,,,,121.00M,121.00M,170.00M,55.00M,115.00M,,0.55,0.00,,,0.55,0.55,,0.53,0.00,,,0.53,0.53,,220.00M,226.00M,,,,
2006-12,1.428B,1.428B,1.173B,255.00M,,56.00M,77.00M,,,,,,133.00M,122.00M,,,,,,128.00M,,128.00M,,,,128.00M,128.00M,171.00M,49.00M,122.00M,,0.58,0.00,,,0.58,0.58,,0.57,0.00,,,0.57,0.57,,220.00M,226.00M,,,,
2006-09,1.264B,1.264B,1.046B,218.00M,,44.00M,75.00M,,,,,,119.00M,99.00M,,,,,,106.00M,3.00M,103.00M,,,,103.00M,103.00M,144.00M,45.00M,99.00M,,0.47,0.00,,,0.47,0.47,,0.46,0.00,,,0.46,0.46,,219.00M,225.00M,,,,
2006-06,1.085B,1.085B,882.00M,203.00M,,39.00M,71.00M,,,,,,110.00M,93.00M,,,,,,100.00M,-20.00M,120.00M,,,,120.00M,120.00M,137.00M,44.00M,93.00M,,0.56,0.00,,,0.56,0.56,,0.53,0.00,,,0.53,0.53,,218.00M,227.00M,,,,
2006-03,1.129B,1.129B,911.00M,218.00M,,39.00M,79.00M,,,,,,118.00M,100.00M,,,,,,105.00M,3.00M,102.00M,,,,102.00M,102.00M,142.00M,42.00M,100.00M,,0.47,0.00,,,0.47,0.47,,0.45,0.00,,,0.45,0.45,,217.00M,227.00M,,,,
2005-12,1.117B,1.117B,889.00M,228.00M,,48.00M,76.00M,,,,,,124.00M,104.00M,,,,,,107.00M,3.00M,104.00M,,,,104.00M,104.00M,142.00M,38.00M,104.00M,,0.49,0.00,,,0.49,0.49,,0.47,0.00,,,0.47,0.47,,213.00M,221.00M,,,,
2005-09,1.01B,1.01B,832.00M,178.00M,,40.00M,70.00M,,,,,,110.00M,68.00M,,,,,,70.00M,2.00M,69.00M,,,,69.00M,69.00M,104.00M,36.00M,68.00M,,0.32,0.00,,,0.32,0.32,,0.31,0.00,,,0.31,0.31,,213.00M,221.00M,,,,
2005-06,940.40M,940.40M,781.10M,159.30M,,57.70M,65.40M,,,,,,123.10M,36.20M,,,,,,38.90M,0.10M,38.80M,,,,38.80M,38.80M,71.90M,35.70M,36.20M,,0.18,0.00,,,0.18,0.18,,0.17,0.00,,,0.17,0.17,,214.84M,226.11M,,,,
2005-03,919.90M,919.90M,752.90M,167.00M,,35.60M,60.70M,,,,,,96.30M,70.70M,,,,,,72.60M,1.80M,70.80M,,,,70.80M,70.80M,104.50M,33.80M,70.70M,,0.34,0.00,,,0.34,0.34,,0.32,0.00,,,0.32,0.32,,208.80M,218.70M,,,,
2004-12,954.90M,954.90M,804.70M,150.20M,,33.90M,59.70M,,,,,,93.60M,56.60M,,,,,,57.40M,1.40M,56.00M,,,,56.00M,56.00M,89.30M,32.70M,56.60M,,0.27,0.00,,,0.27,0.27,,0.26,0.00,,,0.26,0.26,,205.10M,213.60M,,,,
2004-09,823.60M,823.60M,710.50M,113.10M,,27.90M,54.00M,,,,,,81.90M,31.20M,,,,,,31.20M,0.80M,30.40M,,,,30.40M,30.40M,60.00M,28.80M,31.20M,,0.15,0.00,,,0.15,0.15,,0.14,0.00,,,0.14,0.14,,205.20M,212.60M,,,,
2004-06,748.80M,748.80M,648.10M,100.70M,,24.70M,47.60M,,,,,,72.30M,28.40M,,,,,,28.40M,0.30M,28.10M,,,,28.10M,28.10M,54.80M,26.40M,28.40M,,0.14,0.00,,,0.14,0.14,,0.13,0.00,,,0.13,0.13,,204.62M,217.11M,,,,
2004-03,748.90M,748.90M,626.30M,122.60M,,27.20M,46.50M,,,,,,73.70M,48.90M,,,,,,49.00M,1.10M,47.90M,,,,47.90M,47.90M,75.70M,26.80M,48.90M,,0.23,0.00,,,0.23,0.23,,0.22,0.00,,,0.22,0.22,,206.70M,217.50M,,,,
2003-12,834.80M,834.80M,693.00M,141.80M,,26.50M,44.00M,,,,,,70.50M,71.30M,,,,,,71.30M,2.50M,68.80M,,,,68.80M,68.80M,97.10M,25.80M,71.30M,,0.33,0.00,,,0.33,0.33,,0.32,0.00,,,0.32,0.32,,205.40M,217.90M,,,,
2003-09,714.20M,714.20M,618.00M,96.20M,,27.60M,63.70M,,,,,,91.30M,4.90M,,,,,,5.20M,0.20M,5.00M,,,,5.00M,5.00M,26.30M,21.40M,4.90M,,0.02,0.00,,,0.02,0.02,,0.02,0.00,,,0.02,0.02,,204.10M,215.90M,,,,
2003-06,680.26M,680.26M,587.11M,93.16M,,31.12M,33.65M,,,,,,64.77M,28.38M,,,,,,33.65M,1.305M,32.34M,,,,31.02M,32.34M,42.48M,14.10M,28.38M,,0.14,-0.01,,,0.14,0.13,,0.13,-0.01,,,0.13,0.13,,217.99M,228.57M,,,,
2003-03,705.84M,705.84M,583.82M,122.02M,,30.20M,34.73M,,,,,,64.93M,57.09M,,,,,,56.77M,2.271M,54.50M,,,,54.50M,54.50M,69.95M,12.86M,57.09M,,0.28,0.00,,,0.28,0.28,,0.26,0.00,,,0.26,0.26,,196.26M,207.72M,,,,
2002-12,749.49M,749.49M,605.41M,144.08M,,33.63M,34.41M,,-0.78M,,,,68.04M,76.04M,,,,-0.78M,,75.26M,2.223M,73.04M,1.32M,,,74.36M,73.80M,87.84M,11.80M,76.04M,,0.38,0.00,,,0.3839,0.38,,0.36,0.00,,,0.3637,0.36,,193.72M,204.12M,,,,
2002-09,582.91M,582.91M,499.27M,83.64M,,26.44M,31.91M,,,,,,58.36M,25.28M,,,,,,24.02M,1.801M,22.22M,,,,22.22M,22.22M,36.92M,11.63M,25.28M,,0.12,0.00,,,0.12,0.12,,0.11,0.00,,,0.11,0.11,,192.46M,196.82M,,,,
2002-06,540.67M,540.67M,466.65M,74.02M,,22.73M,24.09M,,,,,,46.81M,27.20M,,,,,,25.85M,0.484M,25.37M,-12.29M,,,13.12M,25.37M,38.67M,11.47M,27.20M,,0.13,-0.06,,0.0002,0.13,0.07,,0.13,-0.06,,0.0002,0.13,0.07,,191.58M,197.68M,,,,
2002-03,594.87M,594.87M,513.85M,81.02M,,29.76M,33.21M,,-0.492M,,,,62.97M,18.05M,,,,-0.492M,,17.56M,-1.624M,19.18M,,,,19.20M,19.48M,29.77M,11.72M,18.05M,,0.10,0.00,,0.0001,0.1016,0.10,,0.10,0.00,,0.0001,0.1015,0.10,,190.09M,198.36M,,,,
2001-12,574.67M,574.67M,504.11M,70.56M,,28.49M,29.21M,,,,,,57.71M,12.85M,,,,,,15.44M,,15.44M,-2.851M,,,12.59M,15.44M,24.20M,11.35M,12.85M,,0.08,-0.01,,,0.08,0.07,,0.08,-0.01,,,0.08,0.07,,187.69M,191.62M,,,,
2001-09,440.94M,440.94M,384.94M,56.01M,,27.37M,28.84M,,,,,,56.21M,-0.206M,,,,,,-0.557M,,-0.557M,21.08M,,0.35M,20.52M,-0.557M,11.05M,11.26M,-0.206M,,0.00,-0.11,,,0.00,-0.11,,0.00,-0.11,,,0.00,-0.11,,186.64M,186.64M,,,,
2001-06,455.73M,455.73M,404.77M,50.97M,,24.16M,15.68M,,,,,,39.84M,11.13M,,,,,,,,-41.25M,-20.14M,0.00,,-61.18M,-41.25M,23.34M,12.21M,11.13M,,-0.11,-0.1049,0.00,-0.0080,-0.11,-0.08,,-0.11,-0.1049,0.0006,-0.0080,-0.11,-0.08,,165.16M,165.16M,,,,
2001-03,511.72M,511.72M,448.43M,63.30M,,30.22M,32.08M,,,,,,62.31M,0.985M,,,,,,,,1.037M,-7.156M,,,-5.748M,1.037M,13.89M,12.90M,0.985M,,0.01,-0.04,,0.0021,0.01,-0.03,,0.01,-0.04,,0.0021,0.01,-0.03,,176.25M,176.25M,,,,
2000-12,530.72M,530.72M,454.18M,76.54M,,35.77M,37.37M,,,,,,86.16M,-9.627M,,,,,,,,-8.788M,,,,1.788M,-8.788M,3.446M,13.07M,-9.627M,,-0.05,0.06,,0.0618,-0.05,0.01,,-0.05,0.06,,0.0618,-0.05,0.01,,171.18M,171.18M,,,,
2000-09,424.37M,424.37M,398.43M,25.94M,,29.52M,32.00M,,-0.738M,,,,61.52M,-35.59M,,,,-0.738M,,,,-37.22M,-8.045M,-1.504M,0.356M,-35.53M,-36.78M,-21.87M,13.71M,-35.59M,,-0.25,-0.05,0.00,0.0759,-0.2470,-0.24,,-0.25,-0.05,-0.0102,0.0759,-0.2470,-0.24,,148.04M,148.04M,,,,
2000-06,473.48M,473.48M,495.31M,-21.83M,,10.12M,22.66M,,-5.132M,,,,-32.16M,10.34M,,,,-5.132M,,,,29.58M,,,,4.165M,32.66M,23.67M,13.33M,10.34M,,0.38,-1.612,,-0.2289,0.4063,-1.05,,0.38,-1.612,,-0.2289,0.4063,-1.05,,116.98M,116.98M,,,,
2000-03,516.59M,516.59M,487.25M,29.33M,,33.97M,33.77M,,-14.51M,,,,85.49M,-56.16M,,,,-14.51M,,,,-70.67M,,,,-70.67M,-61.96M,-38.41M,17.75M,-56.16M,,-0.53,0.00,,,-0.4650,-0.53,,-0.53,0.00,,,-0.4650,-0.53,,133.90M,133.90M,,,,
1999-12,560.20M,560.20M,517.40M,42.80M,,39.10M,44.10M,,-25.50M,,,,105.70M,-62.90M,,,,-25.50M,,,,-91.50M,,,,-15.20M,-76.20M,-40.40M,22.50M,-62.90M,,-0.76,0.63,,0.6299,-0.6337,-0.13,,-0.76,0.63,,0.6299,-0.6337,-0.13,,121.13M,121.13M,,,,
1999-09,407.00M,407.00M,447.60M,-40.60M,,43.80M,50.10M,,-32.30M,,,,118.60M,-159.20M,,,,-32.30M,,,,-196.90M,,,,-106.30M,-177.52M,-134.50M,24.70M,-159.20M,,-2.05,0.94,,0.9461,-1.848,-1.11,,-2.05,0.94,,0.9461,-1.848,-1.11,,95.77M,95.77M,,,,
1999-06,709.30M,709.30M,659.20M,50.10M,,44.60M,52.00M,,-34.30M,,,,125.90M,-75.80M,,,,-34.30M,,,,-101.50M,,,,-101.50M,-80.92M,-46.50M,29.27M,-75.80M,,-0.89,-0.23,,,-0.6628,-1.12,,-0.89,-0.23,,,-0.6628,-1.12,,90.58M,90.58M,,,,
1999-03,668.50M,668.50M,594.10M,74.40M,,46.20M,62.70M,,-36.80M,,,,143.40M,-69.00M,,,,-36.80M,,,,-114.30M,,,,-114.30M,-92.22M,-34.50M,34.50M,-69.00M,,-1.27,0.00,,,-1.025,-1.27,,-1.27,0.00,,,-1.025,-1.27,,90.00M,90.00M,,,,
1998-12,738.60M,738.60M,685.80M,52.80M,,47.80M,50.40M,,4.80M,,,,131.80M,-79.00M,,,,4.80M,,,,-82.30M,,,,-82.30M,-85.18M,-45.30M,33.70M,-79.00M,,-0.93,0.00,,,-0.9625,-0.93,,-0.93,0.00,,,-0.9625,-0.93,,88.49M,88.49M,,,,
1998-09,650.90M,650.90M,700.00M,-49.10M,,57.30M,51.90M,,5.30M,,,,142.80M,-191.90M,,,,5.30M,,,,-194.70M,,,,-194.70M,-197.88M,-158.30M,33.60M,-191.90M,,-2.20,0.00,,,-2.236,-2.20,,-2.20,0.00,,,-2.236,-2.20,,88.50M,88.50M,,,,
1998-06,650.50M,650.50M,659.50M,-9.00M,,50.70M,70.00M,,,,,,153.50M,-162.50M,,,,,,-162.70M,0.00,-162.70M,,,,-162.70M,-162.70M,-129.70M,32.80M,-162.50M,,-1.87,0.00,,,-1.87,-1.87,,-1.87,0.00,,,-1.87,-1.87,,86.31M,95.10M,,,,
1998-03,831.30M,831.30M,768.60M,62.70M,,47.60M,46.90M,,-0.50M,,,,120.90M,-58.20M,,,,-0.50M,,-58.70M,-13.70M,-45.00M,,,,-45.00M,-44.62M,-31.80M,26.40M,-58.20M,,-0.51,0.00,,,-0.5057,-0.51,,-0.51,0.00,,,-0.5057,-0.51,,88.24M,88.24M,,,,
1997-12,969.60M,969.60M,999.70M,-30.10M,,47.20M,44.50M,,2.00M,,,,117.10M,-147.20M,,,,2.00M,,,,-145.20M,,,,-145.20M,-146.40M,-121.80M,25.40M,-147.20M,,-1.66,0.00,,,-1.674,-1.66,,-1.66,0.00,,,-1.674,-1.66,,87.47M,87.47M,,,,
1997-09,1.090B,1.090B,907.10M,183.10M,,46.70M,42.30M,,2.60M,,,,111.00M,72.10M,,,,2.60M,,74.60M,11.90M,62.70M,,,,62.70M,60.51M,94.10M,22.00M,72.10M,,0.72,0.00,,,0.6949,0.72,,0.67,0.00,,,0.6466,0.67,,87.08M,93.58M,,,,
1997-06,1.080B,1.080B,873.70M,206.20M,,49.00M,40.30M,,3.50M,,,,106.40M,99.80M,,,,3.50M,,103.40M,15.50M,87.90M,,,,87.90M,84.92M,116.90M,17.10M,99.80M,,1.01,0.00,,,0.9758,1.01,,0.94,0.00,,,0.9082,0.94,,86.97M,93.48M,,,,
1997-03,1.096B,1.096B,893.30M,202.90M,,51.10M,39.70M,,3.10M,,,,108.90M,94.00M,,,,3.10M,,97.20M,14.60M,82.60M,,,,82.60M,79.97M,112.10M,18.10M,94.00M,,0.95,0.00,,,0.9197,0.95,,0.88,0.00,,,0.8519,0.88,,86.95M,93.86M,,,,
1996-12,1.119B,1.119B,942.00M,176.60M,,55.60M,36.00M,,3.70M,,,,104.90M,71.70M,,,,3.70M,,75.50M,11.30M,64.20M,,,,64.20M,61.05M,85.00M,13.30M,71.70M,,0.73,0.00,,,0.6942,0.73,,0.68,0.00,,,0.6467,0.68,,87.95M,94.41M,,,,
1996-09,883.10M,883.10M,755.20M,127.90M,,42.90M,34.30M,,2.90M,,,,92.20M,35.70M,,,,2.90M,,38.80M,5.90M,32.90M,,,,32.90M,30.44M,50.70M,15.00M,35.70M,,0.38,0.00,,,0.3516,0.38,,0.36,0.00,,,0.3331,0.36,,86.58M,91.39M,,,,
1996-06,820.70M,820.70M,703.70M,117.00M,,189.50M,,,3.00M,,,,85.90M,31.10M,,,,3.00M,,34.10M,1.40M,32.70M,,,,32.70M,29.82M,43.60M,12.50M,31.10M,,0.39,0.00,,,0.3528,0.39,,0.35,0.00,,,0.3187,0.35,,77.32M,91.94M,,,,
1996-03,728.40M,728.40M,621.80M,106.60M,,37.60M,36.70M,,3.30M,,,,87.50M,19.10M,,,,3.30M,,22.30M,2.90M,19.40M,,,,19.40M,16.53M,32.30M,13.20M,19.10M,,0.21,0.00,,,0.1789,0.21,,0.21,0.00,,,0.1789,0.21,,92.38M,92.38M,,,,
1995-12,758.00M,758.00M,641.00M,117.00M,,43.50M,38.70M,,20.40M,,,,95.80M,21.20M,,,,20.40M,,41.60M,5.20M,36.40M,,,,36.40M,18.55M,34.80M,13.60M,21.20M,,0.38,0.00,,,0.1937,0.38,,0.38,0.00,,,0.1937,0.38,,95.79M,95.79M,,,,
1995-09,558.10M,558.10M,465.00M,93.10M,,33.90M,40.70M,,3.60M,,,,86.90M,6.20M,,,,3.60M,,9.80M,1.50M,8.30M,,,,8.30M,5.251M,18.50M,12.30M,6.20M,,0.08,0.00,,,0.0506,0.08,,0.08,0.00,,,0.0506,0.08,,103.75M,103.75M,,,,
1995-06,585.10M,585.10M,474.40M,110.70M,,34.10M,37.70M,,3.90M,,,,83.50M,27.20M,,,,3.90M,,31.00M,4.60M,26.40M,,,,26.40M,23.08M,38.90M,11.70M,27.20M,,0.26,0.00,,,0.2270,0.26,,0.255,0.00,,,0.2261,0.255,,100.58M,114.73M,,,,
1995-03,529.30M,529.30M,430.30M,99.00M,,34.20M,33.50M,,2.40M,,,,78.30M,20.70M,,,,2.40M,,23.10M,3.40M,19.70M,,,,19.70M,17.65M,33.00M,12.30M,20.70M,,0.20,0.00,,,0.1792,0.20,,0.20,0.00,,,0.1792,0.20,,98.50M,98.50M,,,,
1994-12,551.90M,551.90M,433.10M,118.80M,,30.80M,30.90M,,2.70M,,,,71.50M,47.30M,,,,2.70M,,50.10M,7.50M,42.60M,,,,42.60M,40.30M,57.50M,10.20M,47.30M,,0.45,0.00,,,0.4257,0.45,,0.43,0.00,,,0.4068,0.43,,94.67M,99.07M,,,,
1994-09,464.60M,464.60M,357.40M,107.20M,,31.20M,28.70M,,2.90M,,,,69.30M,37.90M,,,,2.90M,,40.80M,6.10M,34.70M,,,,34.70M,32.23M,47.30M,9.40M,37.90M,,0.37,0.00,,,0.3437,0.37,,0.35,0.00,,,0.3251,0.35,,93.78M,99.14M,,,,
1994-06,462.30M,462.30M,348.80M,113.50M,,32.60M,28.80M,,,,,,69.90M,43.60M,,,,,,43.90M,6.60M,37.30M,,,,37.30M,37.30M,52.10M,8.50M,43.60M,,0.425,0.00,,,0.425,0.425,,0.41,0.00,,,0.41,0.41,,97.43M,121.35M,,,,
1994-03,420.90M,420.90M,314.50M,106.40M,,32.00M,27.50M,,,,,,72.10M,34.30M,,,,,,33.40M,5.00M,28.40M,,,,28.40M,28.40M,46.90M,11.30M,34.30M,,0.32,0.00,,,0.32,0.32,,0.31,0.00,,,0.31,0.31,,88.75M,91.61M,,,,
1993-12,371.10M,371.10M,285.10M,86.00M,,56.50M,,,,,,,69.70M,16.30M,,,,,,13.80M,1.30M,12.50M,,,,12.50M,12.50M,29.50M,12.20M,16.30M,,0.16,0.00,,,0.16,0.16,,0.16,0.00,,,0.16,0.16,,78.12M,78.12M,,,,
1993-09,285.50M,285.50M,224.80M,60.70M,,48.50M,,,,,,,62.70M,-2.00M,,,,,,,,-5.10M,,,,-5.10M,-5.10M,12.20M,14.20M,-2.00M,,-0.07,0.00,,,-0.07,-0.07,,-0.07,0.00,,,-0.07,-0.07,,72.86M,72.86M,,,,
1993-06,285.20M,285.20M,249.80M,35.40M,,56.40M,,,,,,,70.90M,-35.50M,,,,,,,,-37.80M,,,,-37.80M,-37.80M,-21.00M,14.50M,-35.50M,,-0.60,0.00,,,-0.60,-0.60,,-0.60,0.00,,,-0.60,-0.60,,60.50M,60.50M,,,,
1993-03,325.40M,325.40M,260.00M,65.40M,,47.00M,,,,,,,60.10M,5.30M,,,,,,,,1.60M,,,,1.60M,1.60M,18.40M,12.90M,5.30M,,0.03,0.00,,,0.03,0.03,,0.03,0.00,,,0.03,0.03,,53.33M,53.33M,,,,
1992-12,343.50M,343.50M,271.90M,71.60M,,46.80M,,,,,,,59.80M,11.80M,,,,,,7.70M,0.80M,6.90M,,,,6.90M,6.90M,24.80M,13.00M,11.80M,,0.11,0.00,,,0.11,0.11,,0.11,0.00,,,0.11,0.11,,62.73M,62.73M,,,,
1992-09,271.10M,271.10M,207.50M,63.60M,,41.80M,,,,,,,55.10M,8.50M,,,,,,4.70M,0.50M,4.20M,,,,4.20M,4.20M,21.80M,13.30M,8.50M,,0.07,0.00,,,0.07,0.07,,0.07,0.00,,,0.07,0.07,,60.00M,60.00M,,,,
1992-06,293.50M,293.50M,218.80M,74.70M,,53.70M,,,1.70M,,,,66.00M,8.70M,,,,1.70M,,4.40M,0.40M,4.00M,,,,4.00M,2.455M,21.00M,12.30M,8.70M,,0.07,0.00,,,0.0436,0.07,,0.07,0.00,,,0.0436,0.07,,58.51M,58.51M,,,,
1992-03,229.30M,229.30M,190.40M,38.90M,,39.00M,,,,,,,52.00M,-13.10M,,,,,,-17.90M,0.70M,-18.60M,,,,-18.60M,-18.60M,-0.10M,13.00M,-13.10M,,-0.32,0.00,,,-0.32,-0.32,,-0.32,0.00,,,-0.32,-0.32,,58.12M,58.12M,,,,
1991-12,216.30M,216.30M,180.10M,36.20M,,41.20M,,,15.80M,,,,66.70M,-30.50M,,,,15.80M,,-20.10M,0.30M,-20.40M,,,,-20.40M,-29.88M,-5.00M,11.30M,-30.50M,,-0.35,0.00,,,-0.5126,-0.35,,-0.35,0.00,,,-0.5126,-0.35,,58.29M,58.29M,,,,
1991-09,199.10M,199.10M,173.40M,25.70M,,43.70M,,,,,,,57.90M,-32.20M,,,,,,-37.80M,0.10M,-37.90M,,,,-37.90M,-37.90M,-18.00M,14.20M,-32.20M,,-0.65,0.00,,,-0.65,-0.65,,-0.65,0.00,,,-0.65,-0.65,,58.31M,58.31M,,,,
1991-06,253.30M,253.30M,203.10M,50.20M,,-24.30M,,,,,,,-8.50M,58.70M,,,,,,-28.10M,-1.50M,-26.60M,,,,-26.60M,-26.60M,74.50M,15.80M,58.70M,,-0.46,0.00,,,-0.46,-0.46,,-0.46,0.00,,,-0.46,-0.46,,57.96M,57.96M,,,,
1991-03,247.10M,247.10M,191.70M,55.40M,,48.80M,,,,,,,61.50M,-6.10M,,,,,,,,-10.80M,,,,-10.80M,-10.80M,7.50M,13.60M,-6.10M,,-0.19,0.00,,,-0.19,-0.19,,-0.19,0.00,,,-0.19,-0.19,,56.84M,56.84M,,,,
1990-12,230.00M,230.00M,189.80M,40.20M,,55.80M,,,-66.00M,,,,67.30M,-27.10M,,,,-66.00M,,-95.90M,2.60M,-98.50M,,,,-98.50M,-58.90M,-15.60M,11.50M,-27.10M,,-1.69,0.00,,,-1.011,-1.69,,-1.69,0.00,,,-1.011,-1.69,,58.28M,58.28M,,,,
1990-09,255.80M,255.80M,185.50M,70.30M,,53.00M,,,,,,,65.90M,4.40M,,,,,,2.30M,0.60M,1.70M,,,,1.70M,1.70M,17.30M,12.90M,4.40M,,0.03,0.00,,,0.03,0.03,,0.03,0.00,,,0.03,0.03,,56.67M,56.67M,,,,
1990-06,293.90M,293.90M,211.20M,82.70M,,56.60M,,,0.00,,,,68.40M,14.30M,,,,0.00,,12.90M,3.40M,9.50M,,,,9.50M,9.50M,26.10M,11.80M,14.30M,,0.16,0.00,,,0.16,0.16,,0.16,0.00,,,0.16,0.16,,59.70M,59.70M,,,,
1990-03,286.80M,286.80M,203.30M,83.50M,,58.00M,,,0.20M,,,,69.90M,13.60M,,,,0.20M,,11.60M,2.80M,8.80M,,,,8.80M,8.648M,25.50M,11.80M,13.60M,,0.15,0.00,,,0.1474,0.15,,0.15,0.00,,,0.1474,0.15,,58.67M,58.67M,,,,
1989-12,264.90M,264.90M,186.20M,78.70M,,55.30M,,,1.10M,,,,67.50M,11.20M,,,,1.10M,,9.90M,1.30M,8.60M,,,,8.60M,7.644M,23.50M,12.30M,11.20M,,0.15,0.00,,,0.1333,0.15,,0.15,0.00,,,0.1333,0.15,,57.33M,57.33M,,,,
1989-09,224.90M,224.90M,160.00M,64.90M,,52.30M,,,,,,,64.00M,0.90M,,,,,,-2.10M,0.60M,-2.70M,,,,-2.70M,-2.70M,12.60M,11.70M,0.90M,,-0.05,0.00,,,-0.05,-0.05,,-0.05,0.00,,,-0.05,-0.05,,54.00M,54.00M,,,,
1989-06,243.50M,243.50M,,,,,,,,,,,,-689.80M,,,,,,,,4.30M,,,,4.30M,,-689.80M,,-689.80M,,,,,,,,,,,,,,,,58.21M,58.21M,,,,
1989-03,243.20M,243.20M,,,,,,,,,,,,243.20M,,,,,,,,4.40M,,,,4.40M,,243.20M,,243.20M,,0.08,0.00,,,0.08,0.08,,0.08,0.00,,,0.08,0.08,,57.95M,57.95M,,,,
1988-12,258.40M,258.40M,,,,,,,,,,,,258.40M,,,,,,,,12.70M,,,,12.70M,,258.40M,,258.40M,,0.22,0.00,,,0.22,0.22,,0.22,0.00,,,0.22,0.22,,56.82M,56.82M,,,,
1988-09,247.00M,247.00M,,,,,,,,,,,,247.00M,,,,,,,,12.90M,,,,12.90M,,247.00M,,247.00M,,0.23,0.00,,,0.23,0.23,,0.23,0.00,,,0.23,0.23,,56.45M,56.45M,,,,
1988-06,276.80M,276.80M,,,,,,,,,,,,-434.60M,,,,,,,,14.60M,,,,14.60M,,-434.60M,,-434.60M,,,,,,,,,,,,,,,,55.06M,55.06M,,,,
1988-03,190.70M,190.70M,,,,,,,,,,,,190.70M,,,,,,,,8.10M,,,,8.10M,,190.70M,,190.70M,,0.15,0.00,,,0.15,0.15,,0.15,0.00,,,0.15,0.15,,54.85M,54.85M,,,,
1987-12,160.70M,160.70M,,,,,,,,,,,,160.70M,,,,,,,,8.20M,,,,8.20M,,160.70M,,160.70M,,0.15,0.00,,,0.15,0.15,,0.15,0.00,,,0.15,0.15,,54.77M,54.77M,,,,
1987-09,140.10M,140.10M,,,,,,,,,,,,140.10M,,,,,,,,12.00M,,,,12.00M,,140.10M,,140.10M,,0.21,0.00,,,0.21,0.21,,0.21,0.00,,,0.21,0.21,,51.38M,51.38M,,,,
1987-06,140.40M,140.40M,,,,,,,,,,,,-263.80M,,,,,,,,13.40M,,,,13.40M,,-263.80M,,-263.80M,,,,,,,,,,,,,,,,51.60M,51.60M,,,,
1987-03,122.00M,122.00M,,,,,,,,,,,,122.00M,,,,,,,,10.80M,,,,10.80M,,122.00M,,122.00M,,0.23,0.00,,,0.23,0.23,,0.23,0.00,,,0.23,0.23,,49.35M,49.35M,,,,
1986-12,109.80M,109.80M,,,,,,,,,,,,109.80M,,,,,,,,10.50M,,,,10.50M,,109.80M,,109.80M,,0.23,0.00,,,0.23,0.23,,0.23,0.00,,,0.23,0.23,,43.98M,43.98M,,,,
1986-09,83.70M,83.70M,,,,,,,,,,,,83.70M,,,,,,,,8.20M,,,,8.20M,,83.70M,,83.70M,,0.21,0.00,,,0.21,0.21,,0.21,0.00,,,0.21,0.21,,43.98M,43.98M,,,,
1986-06,79.60M,79.60M,,,,,,,,,,,,-167.40M,,,,,,,,7.70M,,,,7.70M,,-167.40M,,-167.40M,,,,,,,,,,,,,,,,39.19M,39.19M,,,,
1986-03,71.00M,71.00M,,,,,,,,,,,,71.00M,,,,,,,,6.20M,,,,6.20M,,71.00M,,71.00M,,0.16,0.00,,,0.16,0.16,,0.16,0.00,,,0.16,0.16,,38.54M,38.54M,,,,
1985-12,64.00M,64.00M,,,,,,,,,,,,64.00M,,,,,,,,4.30M,,,,4.30M,,64.00M,,64.00M,,0.11,0.00,,,0.11,0.11,,0.11,0.00,,,0.11,0.11,,38.13M,38.13M,,,,
