,NetIncome,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,62.00M,,0.00,336.00M,336.00M,-16.00M,80.00M,-2.00M,264.00M,-220.00M,,62.00M,,,-141.00M,-35.00M,,425.00M,,-239.00M,32.00M,-207.00M,,6.00M,-69.00M,-270.00M,,-248.00M,,-248.00M,,,,,,62.00M,-11.00M,-197.00M,,2.995B,-42.00M,3.00M,2.956B,,,,-248.00M,,107.00M,40.00M,,AOR,
2020-09,-60.00M,,1.00M,374.00M,374.00M,11.00M,76.00M,4.00M,282.00M,-285.00M,,73.00M,,,-113.00M,-43.00M,,363.00M,,-337.00M,7.00M,-330.00M,0.00,1.00M,163.00M,-166.00M,,-213.00M,,-213.00M,,,,0.00,0.00,1.00M,-41.00M,-253.00M,,3.048B,-56.00M,3.00M,2.995B,,,,-213.00M,,144.00M,104.00M,,AOR,
2020-06,148.00M,,2.00M,377.00M,377.00M,-29.00M,76.00M,24.00M,-401.00M,21.00M,,-77.00M,,,31.00M,-426.00M,,172.00M,,-215.00M,0.00,-215.00M,0.00,-3.00M,304.00M,86.00M,,-63.00M,,-63.00M,,0.00,0.00,-150.00M,-150.00M,62.00M,-3.00M,-154.00M,,2.943B,104.00M,1.00M,3.048B,,,,-63.00M,0.00,38.00M,45.00M,,AOR,
2020-03,17.00M,,3.00M,384.00M,384.00M,-11.00M,78.00M,-132.00M,-187.00M,24.00M,,-2.00M,,,-186.00M,-351.00M,,142.00M,,-127.00M,0.00,-127.00M,0.00,-2.00M,161.00M,32.00M,,-212.00M,0.00,-212.00M,,0.00,0.00,-149.00M,-149.00M,7.00M,-15.00M,-369.00M,,3.137B,-195.00M,1.00M,2.943B,,,,-212.00M,0.00,122.00M,121.00M,,AOR,
2019-12,-139.00M,,-14.00M,399.00M,399.00M,-15.00M,77.00M,165.00M,-344.00M,160.00M,,99.00M,,,23.00M,-62.00M,,257.00M,,-160.00M,0.00,-160.00M,0.00,6.00M,280.00M,126.00M,,-388.00M,,-388.00M,,,,-149.00M,-149.00M,46.00M,-2.00M,-493.00M,,3.248B,-110.00M,-1.00M,3.137B,,,,-388.00M,,114.00M,63.00M,,AOR,Restated
2019-09,-276.00M,,2.00M,406.00M,406.00M,-27.00M,77.00M,-11.00M,-243.00M,-5.00M,,431.00M,,,-101.00M,82.00M,,253.00M,,-145.00M,0.00,-145.00M,-22.00M,15.00M,186.00M,34.00M,,-319.00M,,-319.00M,,,,-147.00M,-147.00M,26.00M,-52.00M,-492.00M,,3.455B,-205.00M,-2.00M,3.248B,,,,-319.00M,,67.00M,143.00M,,AOR,Restated
2019-06,-197.00M,,35.00M,416.00M,416.00M,121.00M,64.00M,-17.00M,18.00M,157.00M,,-435.00M,,,7.00M,-253.00M,,169.00M,,-154.00M,116.00M,-38.00M,0.00,118.00M,-310.00M,-230.00M,,-568.00M,500.00M,-68.00M,,0.00,0.00,-146.00M,-146.00M,52.00M,-10.00M,-172.00M,,3.682B,-233.00M,6.00M,3.455B,,,,-68.00M,0.00,54.00M,76.00M,,AOR,Restated
2019-03,-581.00M,,3.00M,444.00M,444.00M,-28.00M,84.00M,-9.00M,493.00M,-13.00M,,-172.00M,,,-17.00M,291.00M,,204.00M,,-222.00M,0.00,-222.00M,0.00,-3.00M,-92.00M,-317.00M,,-38.00M,0.00,-38.00M,,0.00,0.00,-146.00M,-146.00M,5.00M,-40.00M,-219.00M,,4.013B,-332.00M,1.00M,3.682B,,,,-38.00M,0.00,59.00M,139.00M,,AOR,Restated
2018-12,-487.00M,,-1.00M,472.00M,472.00M,80.00M,79.00M,27.00M,504.00M,-308.00M,,65.00M,,,38.00M,299.00M,,469.00M,,-223.00M,3.00M,-220.00M,0.00,-21.00M,-225.00M,-466.00M,,-37.00M,-500.00M,-537.00M,,0.00,0.00,-144.00M,-144.00M,53.00M,-3.00M,-631.00M,,4.646B,-628.00M,-5.00M,4.013B,,,,-537.00M,0.00,73.00M,77.00M,,AOR,Restated
2018-09,511.00M,,2.00M,480.00M,480.00M,201.00M,79.00M,29.00M,-22.00M,-175.00M,,-16.00M,,,-384.00M,-597.00M,,705.00M,,-277.00M,,-277.00M,0.00,-11.00M,29.00M,-259.00M,,-38.00M,,-38.00M,,-563.00M,-563.00M,-148.00M,-148.00M,8.00M,-66.00M,-807.00M,,5.005B,-361.00M,2.00M,4.646B,,,,-38.00M,-563.00M,191.00M,139.00M,,AOR,Restated
