,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,,24.26B,20.57B,44.83B,10.11B,,41.85B,51.96B,4.401B,6.182B,10.58B,,3.714B,111.76B,,,,,,,,,36.12B,,,,32.64B,55.66B,10.91B,12.86B,,2020-09,21.47B,,,21.47B,1.186B,22.65B,,,,133.27B,133.27B,331.00M,133.60B,2.137B,2.137B,15.10B,175.43B,,24.01B,955.00M,4.374B,4.891B,,16.53B,36.00M,51.35B,226.78B,,2020-09,41.00M,21.03B,22.26B,1.596B,,-8.613B,33.12B,,2020-09,AOR,
2020-06,17.70B,30.99B,26.14B,57.13B,51.83B,,,51.83B,4.367B,5.853B,10.22B,,4.214B,124.11B,,,,,,,,,35.28B,,,,32.37B,53.99B,11.07B,12.56B,,2020-06,16.36B,,,16.36B,1.117B,17.48B,,,,55.34B,55.34B,339.00M,55.68B,2.021B,2.021B,15.60B,92.78B,,119.89B,914.00M,4.257B,4.711B,,16.25B,31.00M,145.73B,238.51B,,2020-06,41.00M,18.64B,22.21B,1.601B,,-8.471B,30.82B,,2020-06,AOR,
2020-03,16.52B,25.97B,20.40B,46.37B,61.51B,,,61.51B,4.598B,6.714B,11.31B,,4.38B,124.28B,,,,,,,,,35.29B,,,,30.79B,51.14B,10.92B,11.73B,,2020-03,18.44B,,,18.44B,819.00M,19.26B,,,,52.91B,52.91B,361.00M,53.27B,2.111B,2.111B,17.73B,94.49B,,114.41B,1.006B,4.14B,4.579B,,16.12B,48.00M,139.96B,234.45B,,2020-03,41.00M,17.53B,22.15B,1.607B,,-8.461B,29.65B,,2020-03,AOR,
2019-12,14.66B,17.50B,17.15B,34.65B,62.89B,,,62.89B,4.402B,6.384B,10.79B,,3.339B,114.05B,0.00,421.00M,11.90B,53.46B,,1.71B,67.49B,-31.02B,36.47B,278.00M,188.00M,466.00M,31.75B,53.70B,11.86B,10.24B,,2019-12,20.67B,,,20.67B,1.128B,21.80B,,,,53.95B,53.95B,367.00M,54.31B,2.091B,2.091B,17.55B,98.13B,,101.36B,1.047B,4.191B,4.681B,,16.72B,45.00M,127.18B,225.31B,,2019-12,41.00M,20.32B,22.16B,1.613B,,-7.728B,33.18B,,2019-12,AOR,
2019-09,14.64B,20.52B,16.81B,37.33B,61.80B,,,61.80B,4.524B,7.927B,12.45B,,3.356B,115.75B,,,,,,,,,35.40B,,,,32.08B,53.53B,10.68B,10.72B,,2019-09,22.23B,,,22.23B,865.00M,23.09B,,,,54.60B,54.60B,309.00M,54.91B,2.57B,2.57B,16.06B,99.09B,,99.51B,958.00M,4.168B,4.615B,,15.18B,38.00M,123.68B,222.77B,,2019-09,41.00M,22.59B,22.18B,1.619B,,-7.842B,35.35B,,2019-09,AOR,Restated
2019-06,15.09B,22.12B,15.93B,38.05B,64.70B,,,64.70B,4.619B,7.818B,12.44B,,3.169B,118.35B,,,,,,,,,36.58B,,,,32.44B,53.88B,10.15B,10.79B,,2019-06,22.98B,,,22.98B,1.046B,24.03B,,,,52.85B,52.85B,327.00M,53.18B,2.732B,2.732B,15.76B,98.33B,,103.21B,1.013B,4.184B,4.653B,,15.41B,39.00M,127.71B,226.05B,,2019-06,41.00M,22.77B,22.11B,1.388B,,-7.436B,36.10B,,2019-06,AOR,Restated
2019-03,15.59B,20.85B,16.88B,37.73B,67.46B,,,67.46B,4.653B,7.68B,12.33B,,3.672B,121.20B,,,,,,,,,36.14B,,,,31.83B,54.33B,10.32B,9.459B,,2019-03,23.32B,,,23.32B,838.00M,24.16B,,,,54.55B,54.55B,335.00M,54.88B,2.019B,2.019B,16.04B,99.24B,,102.61B,1.025B,4.104B,4.751B,,15.38B,36.00M,127.61B,226.85B,,2019-03,41.00M,23.23B,22.03B,1.394B,,-7.501B,36.40B,,2019-03,AOR,Restated
2018-12,14.50B,16.72B,17.23B,33.95B,65.55B,,,65.55B,4.536B,6.684B,11.22B,,3.93B,114.65B,0.00,445.00M,11.48B,52.43B,,2.066B,66.42B,-30.24B,36.18B,264.00M,178.00M,442.00M,31.83B,55.54B,10.41B,7.487B,,2018-12,21.52B,,,21.52B,988.00M,22.51B,,,,53.49B,53.49B,0.00,53.49B,2.095B,2.095B,15.18B,95.57B,,100.72B,0.00,3.985B,4.582B,,15.72B,34.00M,125.00B,220.57B,,2018-12,41.00M,22.67B,22.01B,1.417B,,-7.366B,35.93B,,2018-12,AOR,Restated
2018-09,14.41B,18.56B,17.78B,36.34B,62.06B,,,62.06B,4.74B,8.07B,12.81B,,3.629B,114.84B,,,,,,,,,35.76B,,,,32.40B,57.04B,10.55B,8.367B,,2018-09,23.27B,,,23.27B,795.00M,24.07B,,,,59.80B,59.80B,,59.80B,2.833B,2.833B,14.94B,103.78B,,93.64B,,3.957B,4.559B,,16.14B,29.00M,118.56B,222.35B,,2018-09,41.00M,23.38B,22.01B,1.417B,,-7.429B,36.59B,,2018-09,AOR,Restated
2018-06,15.32B,16.83B,19.65B,36.48B,62.38B,,,62.38B,4.446B,8.119B,12.56B,,3.604B,115.02B,,,,,,,,,35.58B,,,,32.45B,56.35B,10.37B,8.30B,,2018-06,22.74B,,,22.74B,1.003B,23.75B,,,,59.92B,59.92B,,59.92B,2.854B,2.854B,15.41B,103.89B,,92.93B,,3.937B,4.521B,,16.29B,28.00M,117.72B,221.61B,,2018-06,41.00M,22.99B,21.95B,1.342B,,-7.204B,36.44B,,2018-06,AOR,Restated
