,NetIncome,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported
2020-09,2.39B,-329.00M,-3.00M,0.00,-332.00M,1.868B,-348.00M,1.52B,1.52B,323.00M,3.00M,63.00M,-92.00M,1.088B,-268.00M,6.343B,,7.163B,,11.09B,,-1.256B,,,0.00,5.341B,-2.74B,1.345B,,2020-09,-2.026B,-19.30B,,0.00,0.00,0.00,0.00,-60.00M,-19.36B,,2020-09,31.18B,218.00M,24.47B,,2020-09,,10.02B,-27.30B,0.00,,2020-09,AOR
2020-06,1.118B,-225.00M,-3.465B,-276.00M,-3.966B,2.358B,-288.00M,2.07B,2.07B,-47.00M,15.00M,69.00M,27.00M,11.03B,1.243B,-2.679B,,9.597B,,9.115B,,-1.175B,,,0.00,-5.632B,-4.294B,-11.10B,,2020-06,-167.00M,7.048B,,0.00,0.00,0.00,0.00,-111.00M,6.937B,,2020-06,26.16B,70.00M,31.18B,,2020-06,,17.61B,-10.40B,0.00,,2020-06,AOR
2020-03,-1.993B,338.00M,-15.00M,-178.00M,145.00M,2.444B,-302.00M,2.142B,2.142B,702.00M,3.00M,38.00M,-202.00M,-1.041B,-1.177B,194.00M,,-2.024B,,-473.00M,,-1.78B,,,1.34B,-3.115B,441.00M,-3.114B,,2020-03,-622.00M,13.12B,,0.00,0.00,-596.00M,-596.00M,-71.00M,12.45B,,2020-03,17.74B,-448.00M,26.16B,,2020-03,,26.69B,-12.95B,0.00,,2020-03,AOR
2019-12,-1.672B,-103.00M,220.00M,2.224B,2.341B,2.379B,-308.00M,2.071B,2.071B,-967.00M,5.00M,-10.00M,85.00M,-1.031B,1.996B,34.00M,,999.00M,,2.90B,,-2.274B,,,,-985.00M,-2.091B,-5.35B,,2019-12,-290.00M,-41.00M,,0.00,0.00,-595.00M,-595.00M,-53.00M,-689.00M,,2019-12,20.68B,199.00M,17.74B,,2019-12,,11.90B,-11.65B,0.00,,2019-12,AOR
2019-09,423.00M,141.00M,-44.00M,278.00M,375.00M,2.322B,-304.00M,2.018B,2.018B,-603.00M,799.00M,69.00M,-230.00M,2.016B,-610.00M,297.00M,,1.703B,,4.732B,,-1.805B,,,,-625.00M,-2.117B,-4.547B,,2019-09,-1.165B,-773.00M,,-237.00M,-237.00M,-598.00M,-598.00M,-24.00M,-1.632B,,2019-09,22.31B,-178.00M,20.68B,,2019-09,,9.472B,-9.08B,-237.00M,,2019-09,AOR
2019-06,150.00M,-43.00M,1.00M,141.00M,99.00M,2.559B,-300.00M,2.259B,2.259B,-21.00M,0.00,84.00M,74.00M,1.803B,-97.00M,1.985B,,3.691B,,6.463B,,-1.92B,,,0.00,449.00M,-1.019B,-2.49B,,2019-06,-349.00M,-2.017B,,0.00,0.00,-599.00M,-599.00M,-65.00M,-2.681B,,2019-06,21.02B,-5.00M,22.31B,,2019-06,,10.82B,-12.49B,0.00,,2019-06,AOR
2019-03,1.183B,-49.00M,-3.00M,-18.00M,-70.00M,2.429B,-287.00M,2.142B,2.142B,221.00M,0.00,85.00M,112.00M,-2.05B,-1.083B,2.944B,,-189.00M,,3.544B,,-1.633B,,,0.00,504.00M,-205.00M,-1.334B,,2019-03,420.00M,2.554B,,0.00,0.00,-597.00M,-597.00M,-84.00M,1.873B,,2019-03,16.91B,29.00M,21.02B,,2019-03,,15.41B,-13.28B,0.00,,2019-03,AOR
2018-12,-112.00M,53.00M,193.00M,787.00M,1.033B,2.455B,-346.00M,2.109B,2.109B,-115.00M,0.00,-8.00M,53.00M,-3.267B,1.532B,-5.00M,,-1.74B,,1.357B,,-2.116B,,,,661.00M,-2.211B,-3.666B,,2018-12,-1.551B,1.131B,,0.00,0.00,-597.00M,-597.00M,-8.00M,526.00M,,2018-12,18.76B,-65.00M,16.91B,,2018-12,,12.92B,-10.24B,0.00,,2018-12,AOR
2018-09,3.807B,476.00M,-29.00M,-387.00M,60.00M,6.93B,-626.00M,6.304B,6.304B,-82.00M,0.00,199.00M,-36.00M,-1.38B,-2.36B,6.786B,,3.046B,,5.179B,,-1.981B,,,,1.944B,-3.536B,-3.573B,,2018-09,467.00M,907.00M,,-75.00M,-75.00M,-597.00M,-597.00M,-91.00M,144.00M,,2018-09,17.02B,-16.00M,18.76B,,2018-09,,9.076B,-8.636B,-75.00M,,2018-09,AOR
2018-06,,,,,,,,,,,,,,,,,,,,4.972B,,-1.909B,,,,3.028B,-3.597B,-2.478B,,2018-06,-826.00M,-2.583B,,0.00,0.00,-598.00M,-598.00M,-25.00M,-3.206B,,2018-06,18.14B,-404.00M,17.02B,,2018-06,,11.18B,-12.94B,0.00,,2018-06,AOR
