,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,1.315B,0.00,0.30M,,0.00,0.30M,,33.60M,33.60M,0.00,-1.580B,10.80M,,0.464M,-34.30M,-3.70M,24.80M,12.20M,,356.90M,355.90M,,135.66M,-19.98M,0.018M,0.018M,0.00,0.234M,110.58M,,90.85M,-0.183M,,-0.183M,,0.001M,0.001M,6.979M,-6.358M,0.439M,612.13M,226.96M,6.012M,845.10M,,,-0.183M,0.001M
2020-06,966.40M,-11.70M,-0.10M,,-0.20M,-12.00M,-33.60M,34.70M,34.70M,4.60M,-1.184B,8.80M,,-1.778M,22.50M,-66.10M,62.20M,-9.10M,,265.40M,274.90M,,92.12M,-18.12M,-0.005M,-0.005M,0.00,-84.65M,14.20M,,-88.57M,-0.182M,,-0.182M,,0.00,0.00,4.134M,-6.931M,-2.979M,608.44M,0.57M,3.119M,612.13M,,,-0.182M,0.00
2020-03,685.90M,,0.10M,,-0.40M,-0.30M,33.60M,33.60M,33.60M,0.00,-827.70M,9.70M,,-0.192M,2.20M,-13.70M,-4.70M,-9.50M,,187.50M,161.80M,,62.81M,-21.69M,0.038M,0.038M,-0.10M,0.00,9.231M,,-12.42M,-1.415M,,-1.415M,,-100.00M,-100.00M,4.068M,-1.265M,-98.62M,662.65M,-48.23M,-5.977M,608.44M,,,-1.415M,-100.00M
2019-12,553.50M,0.00,0.90M,,-1.30M,-0.40M,,34.40M,34.40M,4.20M,-646.00M,10.20M,,0.802M,-28.80M,38.70M,33.80M,13.90M,,145.50M,203.10M,,159.80M,-21.60M,0.044M,0.044M,1.435M,75.81M,-116.89M,,-61.20M,-0.156M,,-0.156M,,-8.00M,-8.00M,3.373M,0.00,-4.783M,563.35M,93.82M,5.476M,662.65M,,,-0.156M,-8.00M
2019-09,-258.80M,0.00,0.10M,,-0.20M,-0.10M,,33.70M,33.70M,0.00,390.60M,9.10M,,2.45M,15.80M,-6.50M,-13.00M,10.30M,,-83.80M,-77.20M,,99.75M,-31.09M,-0.001M,-0.001M,0.00,-59.73M,-19.09M,,-109.91M,-0.128M,,-0.128M,,-4.999M,-4.999M,5.828M,-5.192M,-4.491M,583.37M,-14.65M,-5.366M,563.35M,,,-0.128M,-4.999M
2019-06,598.80M,0.00,-0.10M,,,-0.10M,-32.90M,33.20M,33.20M,0.00,-716.40M,7.80M,,6.402M,16.60M,3.60M,-48.80M,54.30M,,200.00M,225.70M,,155.40M,-22.21M,0.012M,0.012M,-0.02M,0.00,7.151M,,-15.07M,-0.122M,,-0.122M,,-15.00M,-15.00M,3.912M,-4.434M,-15.64M,458.54M,124.69M,0.145M,583.37M,,,-0.122M,-15.00M
2019-03,865.20M,,0.30M,,,0.30M,32.90M,32.90M,32.90M,1.60M,-1.059B,8.50M,,-10.66M,-2.00M,-11.60M,34.40M,-16.70M,,200.20M,204.30M,,42.94M,-23.63M,0.074M,0.074M,7.403M,-16.08M,9.522M,,-22.71M,-0.237M,,-0.237M,,0.00,0.00,3.831M,-1.433M,2.161M,434.16M,22.39M,1.982M,458.54M,,,-0.237M,0.00
2018-12,-828.50M,0.00,0.80M,,-2.60M,-1.80M,-103.60M,34.50M,34.50M,293.30M,814.10M,8.60M,,1.709M,-12.50M,13.40M,-1.30M,-6.40M,,-210.10M,-216.90M,,105.01M,-53.87M,0.042M,0.042M,0.00,-0.266M,-0.713M,,-54.81M,-1.366M,,-1.366M,,-48.91M,-48.91M,3.275M,0.00,-47.00M,435.59M,3.195M,-4.62M,434.16M,,,-1.366M,-48.91M
2018-09,269.30M,0.00,0.40M,,0.40M,0.80M,34.90M,34.90M,34.90M,0.00,-318.00M,7.10M,,-2.723M,19.70M,-14.60M,-0.60M,-3.00M,,69.40M,70.90M,,62.28M,-22.05M,0.173M,0.173M,0.00,0.045M,-7.673M,,-29.51M,-0.09M,,-0.09M,,0.00,0.00,3.746M,-5.832M,-2.176M,404.08M,30.59M,0.912M,435.59M,,,-0.09M,0.00
2018-06,268.00M,0.00,0.40M,,0.40M,0.80M,34.40M,34.40M,34.40M,0.00,-286.40M,6.20M,,1.162M,12.30M,5.20M,-28.70M,6.90M,,58.00M,53.70M,,77.86M,-26.72M,4.082M,4.082M,-0.003M,0.266M,-61.48M,0.003M,-83.84M,-1.418M,,-1.418M,,0.00,0.00,3.24M,-3.838M,-2.016M,407.64M,-7.996M,4.436M,404.08M,,,-1.418M,0.00
2018-03,656.80M,-5.10M,-3.70M,,0.20M,-8.60M,34.30M,34.30M,34.30M,0.00,-815.90M,5.90M,,-1.454M,40.20M,-16.90M,-35.90M,-12.80M,,194.70M,169.30M,,40.35M,-27.18M,0.018M,0.018M,,6.919M,1.434M,-0.003M,-18.82M,-0.087M,,-0.087M,,,,3.872M,-1.27M,2.515M,384.98M,24.04M,-1.383M,407.64M,,,-0.087M,
2017-12,82.70M,0.00,1.30M,,-0.30M,1.00M,,42.70M,42.70M,,0.00,6.80M,,-1.235M,-41.70M,4.90M,29.10M,-17.30M,,-56.10M,-81.10M,,69.36M,-26.07M,0.024M,0.024M,-0.005M,74.87M,-60.91M,,-13.08M,-0.096M,,-0.096M,,0.00,0.00,10.98M,-7.31M,3.576M,330.04M,59.86M,-4.917M,384.98M,,,-0.096M,0.00
2017-09,22.10M,0.00,6.80M,,-0.10M,6.70M,,35.30M,35.30M,,0.00,6.00M,,-3.025M,-20.60M,-14.70M,-6.30M,-3.60M,,6.60M,-38.60M,,28.48M,-20.18M,0.041M,0.041M,0.13M,-1.301M,6.629M,,-14.81M,-0.071M,,-0.071M,-3.778M,-2.037M,-5.815M,3.622M,-0.576M,-2.84M,322.59M,10.82M,-3.367M,330.04M,-3.778M,,-0.071M,-2.037M
2017-06,5.00M,,0.10M,,0.40M,0.50M,,37.00M,37.00M,,,5.20M,,0.70M,-8.60M,-11.00M,25.50M,4.30M,,3.90M,14.10M,,62.50M,-29.54M,0.006M,0.006M,-3.92M,-0.032M,-7.718M,,-37.28M,-0.073M,,-0.073M,-0.112M,-0.883M,-0.995M,,0.00,-1.068M,292.59M,24.15M,5.852M,322.59M,-0.112M,,-0.073M,-0.883M
2017-03,12.40M,0.00,-0.10M,,-0.10M,-0.20M,,33.70M,33.70M,,0.00,5.40M,,-9.403M,6.80M,-26.90M,-62.90M,-19.10M,,4.00M,-98.10M,,-56.20M,-39.33M,0.015M,0.015M,0.00,-73.54M,2.466M,,-110.39M,-0.112M,,-0.112M,3.89M,,3.89M,,-3.105M,0.673M,457.17M,-165.92M,1.338M,292.59M,3.89M,,-0.112M,
2016-12,-22.70M,,0.432M,,-0.707M,-0.275M,,32.74M,32.74M,,,5.382M,-0.406M,7.53M,-20.15M,10.84M,53.87M,-4.782M,,-30.20M,9.572M,,94.75M,-45.24M,0.02M,0.02M,-0.129M,11.78M,-16.34M,,-50.12M,-0.035M,,-0.035M,-8.828M,0.00,-8.828M,,0.412M,2.829M,417.94M,47.46M,-9.50M,457.17M,-8.828M,,-0.072M,0.00
2016-09,18.40M,,0.168M,,-0.027M,0.141M,,38.49M,38.49M,,,4.911M,-1.019M,-0.291M,0.583M,-16.96M,19.48M,0.543M,,-12.68M,-9.028M,,51.61M,-39.46M,0.357M,0.357M,0.00,-0.308M,-14.02M,,-53.43M,-0.075M,,-0.075M,1.953M,0.00,1.953M,,1.019M,2.897M,418.65M,1.075M,-1.787M,417.94M,1.953M,,-0.075M,0.00
2016-06,18.01M,,,,-0.295M,-0.295M,,37.58M,37.58M,,,4.762M,-0.008M,-0.589M,12.08M,-16.58M,1.038M,13.17M,,7.989M,17.69M,,77.16M,-31.58M,0.02M,0.02M,-0.006M,-1.843M,-26.07M,,-59.47M,-0.079M,,-0.079M,3.107M,0.00,3.107M,,0.008M,3.036M,403.62M,20.72M,-5.685M,418.65M,3.107M,,-0.079M,0.00
2016-03,12.28M,,,,0.229M,0.229M,,34.09M,34.09M,,,4.645M,-0.067M,-1.284M,19.99M,-34.40M,-33.59M,-15.73M,,6.393M,-57.34M,,-7.448M,-25.30M,0.001M,0.001M,,-9.634M,-15.93M,,-50.86M,-0.077M,,-0.077M,3.768M,,3.768M,,-3.433M,0.258M,457.55M,-58.05M,4.114M,403.62M,3.768M,,-0.077M,
2015-12,45.59M,,,,-1.581M,-1.281M,,33.83M,33.83M,,,4.691M,-0.358M,-0.56M,-56.00M,13.41M,8.671M,-2.52M,,-10.12M,-46.56M,,35.95M,-27.98M,0.038M,0.038M,0.003M,-0.866M,-50.76M,,-83.78M,-0.15M,,-0.15M,3.51M,,3.51M,,0.368M,3.728M,507.33M,-44.10M,-5.682M,457.55M,3.51M,,-0.15M,
2015-09,17.37M,,,,0.053M,0.053M,,33.56M,33.56M,,,4.004M,-1.984M,-0.825M,7.137M,-21.02M,38.88M,3.84M,,1.268M,30.10M,,82.28M,-24.80M,0.012M,0.012M,-0.054M,-0.901M,-1.548M,,-27.24M,-0.001M,,-0.001M,0.14M,,0.14M,,1.984M,2.123M,450.13M,57.17M,0.029M,507.33M,0.14M,,-0.001M,
2015-06,28.42M,,,,0.142M,0.142M,,32.13M,32.13M,,,4.234M,-0.046M,1.287M,-5.708M,-17.12M,-4.61M,3.856M,,-4.056M,-27.63M,,38.53M,-32.20M,0.025M,0.025M,-0.014M,-1.694M,6.007M,,-27.86M,-0.065M,,-0.065M,3.08M,,3.08M,,0.046M,3.061M,425.73M,13.73M,10.68M,450.13M,3.08M,,-0.065M,
2015-03,17.82M,,,,-0.214M,-0.214M,,32.28M,32.28M,,,4.071M,-1.212M,-1.192M,15.57M,-29.47M,-1.641M,-5.076M,,-1.489M,-22.11M,,29.45M,-28.39M,0.004M,0.004M,-1.307M,-0.895M,1.287M,,-27.99M,-0.066M,,-0.066M,1.506M,,1.506M,,-1.771M,-0.331M,413.25M,1.124M,11.35M,425.73M,1.506M,,-0.066M,
2014-12,38.99M,,,,-0.029M,0.371M,,39.77M,39.77M,,,4.186M,-0.534M,10.99M,-40.05M,34.68M,-28.65M,-6.054M,,-13.49M,-53.56M,,40.22M,-40.12M,-0.156M,-0.156M,0.009M,-0.982M,-8.181M,,-49.44M,-1.27M,,-1.27M,6.686M,,6.686M,,-1.791M,3.625M,424.59M,-5.603M,-5.739M,413.25M,6.686M,,-1.27M,
2014-09,11.51M,,,,0.013M,0.013M,,37.12M,37.12M,,,3.332M,-0.298M,-3.039M,5.079M,-4.29M,26.61M,3.714M,,10.91M,42.02M,,90.65M,-27.46M,0.043M,0.043M,-0.106M,-1.635M,-17.46M,,-46.51M,-0.363M,,-0.363M,1.892M,,1.892M,,0.237M,1.766M,384.67M,45.91M,-5.986M,424.59M,1.892M,,-0.363M,
2014-06,31.63M,,,,0.216M,0.216M,,36.34M,36.34M,,,3.681M,-0.286M,-0.446M,6.501M,-9.811M,3.605M,8.03M,,-2.585M,5.74M,,76.87M,-33.95M,0.224M,0.224M,-3.024M,-40.65M,15.39M,,-58.99M,-0.064M,,-0.064M,3.049M,,3.049M,,-0.177M,2.808M,364.51M,20.69M,-0.531M,384.67M,3.049M,,-0.064M,
2014-03,6.668M,,,,0.10M,0.10M,,36.67M,36.67M,,,3.701M,-0.182M,-4.893M,39.57M,-14.78M,8.939M,-11.39M,,1.167M,23.50M,,65.57M,-34.94M,0.114M,0.114M,-12.36M,-1.364M,0.619M,,-35.57M,-0.116M,,-0.116M,3.424M,,3.424M,,0.182M,3.49M,331.55M,33.49M,-0.534M,364.51M,3.424M,,-0.116M,
2013-12,30.12M,,,,0.192M,0.692M,,42.02M,42.02M,,,3.806M,-1.892M,-4.417M,-39.00M,21.88M,6.638M,1.548M,,9.154M,0.217M,,70.55M,-27.92M,-0.038M,-0.038M,-0.20M,-3.544M,-7.943M,,-39.44M,0.016M,,0.016M,1.84M,,1.84M,,1.912M,3.768M,291.79M,34.87M,4.885M,331.55M,1.84M,,-0.032M,
2013-09,-7.099M,,,,0.511M,0.511M,,36.97M,36.97M,,,3.113M,-0.309M,-0.046M,21.28M,-24.49M,26.50M,3.308M,,-4.913M,21.69M,,54.83M,-20.34M,0.164M,0.164M,0.00,-2.627M,197.73M,,174.93M,-300.06M,,-300.06M,2.817M,,2.817M,,-12.09M,-309.33M,367.00M,-79.57M,4.361M,291.79M,2.817M,,-300.06M,
2013-06,34.60M,,,,0.087M,0.087M,,34.92M,34.92M,,,3.299M,-0.393M,-0.59M,-20.93M,-18.74M,-19.11M,2.105M,,4.487M,-52.19M,,19.74M,-24.53M,1.062M,1.062M,-0.037M,-1.827M,-0.987M,,-26.28M,-0.048M,,-0.048M,3.445M,,3.445M,,-2.107M,1.29M,368.63M,-5.257M,3.627M,367.00M,3.445M,,-0.048M,
2013-03,20.17M,,,,-0.19M,-0.19M,,33.29M,33.29M,,,3.482M,-0.106M,-0.711M,14.45M,-18.35M,-18.84M,-11.16M,,1.972M,-31.92M,,24.02M,-34.57M,0.026M,0.026M,-0.463M,-64.06M,-9.686M,,-108.28M,-0.093M,,-0.093M,3.135M,,3.135M,,-10.47M,-7.426M,463.39M,-91.69M,-3.068M,368.63M,3.135M,,-0.093M,
2012-12,43.13M,,,,-1.503M,-6.303M,,35.52M,35.52M,,,3.952M,-1.975M,-0.136M,-20.48M,5.079M,33.64M,-1.233M,,-5.945M,11.06M,,86.24M,-30.56M,6.094M,6.094M,-0.056M,-0.964M,-34.19M,,-59.62M,-0.102M,,-0.102M,1.653M,0.00,1.653M,,1.964M,3.515M,426.46M,30.13M,6.802M,463.39M,1.653M,,-0.102M,0.00
2012-09,42.86M,,,,3.486M,3.486M,,32.14M,32.14M,,,2.922M,-0.376M,-11.86M,4.952M,-3.684M,-11.29M,4.347M,,7.845M,2.17M,,71.34M,-37.16M,0.117M,0.117M,-0.491M,-19.89M,-46.99M,,-103.93M,-0.568M,,-0.568M,2.746M,0.00,2.746M,,0.376M,2.554M,456.49M,-30.03M,0.00,426.46M,2.746M,,-0.568M,0.00
2012-06,48.56M,,,,-4.746M,-4.746M,,31.65M,31.65M,,,3.19M,-0.208M,-0.139M,2.346M,0.207M,-3.129M,-4.097M,,,-4.673M,,73.64M,-42.03M,0.114M,0.114M,-0.988M,-3.26M,-105.38M,,-150.55M,-0.055M,,-0.055M,2.748M,-0.101M,2.647M,,0.208M,2.80M,533.81M,-74.11M,-3.214M,456.49M,2.748M,,-0.055M,-0.101M
2012-03,30.94M,,,,-4.837M,-4.837M,,31.10M,31.10M,,,3.136M,-0.341M,-3.985M,17.58M,-15.50M,-18.22M,-4.617M,,,-20.75M,,35.26M,-34.90M,0.00,0.00,-0.245M,-15.33M,-36.06M,,-86.28M,-0.086M,,-0.086M,3.464M,,3.464M,,0.341M,3.719M,574.23M,-47.31M,6.887M,533.81M,3.464M,,-0.086M,
2011-12,59.98M,,,,0.24M,-3.141M,,32.87M,32.87M,,,2.884M,-1.17M,-5.751M,-31.73M,5.094M,6.098M,14.59M,,-4.013M,-9.963M,,81.50M,-35.65M,0.057M,0.057M,0.003M,-149.84M,9.411M,3.581M,-172.44M,-4.12M,0.031M,-4.089M,1.218M,0.00,1.218M,,1.138M,-1.733M,671.03M,-92.68M,-4.117M,574.23M,1.218M,,-4.089M,0.00
