,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-10,964.00M,,964.00M,879.00M,,879.00M,130.00M,181.00M,1.404B,,1.715B,,,257.00M,3.815B,,,,,,,,828.00M,759.00M,654.00M,1.413B,58.00M,236.00M,2.535B,6.35B,,601.00M,,63.00M,,664.00M,,664.00M,358.00M,,358.00M,358.00M,,,,1.022B,2.309B,,2.309B,146.00M,146.00M,,297.00M,173.00M,2.925B,3.947B,,72.00M,3.082B,,243.00M,,,,,,-508.00M,2.403B,,AOR,
2020-07,908.00M,,908.00M,721.00M,,721.00M,126.00M,189.00M,1.426B,,1.741B,,,276.00M,3.646B,,,,,,,,834.00M,760.00M,657.00M,1.417B,58.00M,236.00M,2.545B,6.191B,,545.00M,84.00M,73.00M,,702.00M,,702.00M,389.00M,,389.00M,389.00M,,,,1.091B,2.316B,,2.316B,156.00M,156.00M,,297.00M,181.00M,2.95B,4.041B,,72.00M,2.849B,,248.00M,,,,,,-523.00M,2.15B,,AOR,
2020-04,675.00M,,675.00M,570.00M,,570.00M,101.00M,172.00M,1.412B,,1.685B,195.00M,,140.00M,3.265B,0.00,82.00M,652.00M,814.00M,41.00M,1.589B,-741.00M,848.00M,756.00M,635.00M,1.391B,15.00M,247.00M,2.501B,5.766B,,131.00M,,110.00M,,241.00M,235.00M,476.00M,333.00M,,333.00M,333.00M,,,,880.00M,2.269B,,2.269B,177.00M,177.00M,,297.00M,168.00M,2.911B,3.791B,,72.00M,2.708B,,258.00M,,,,,,-547.00M,1.975B,,AOR,
2020-01,276.00M,,276.00M,732.00M,,732.00M,96.00M,191.00M,1.381B,,1.668B,,,318.00M,2.994B,,,,,,,,840.00M,765.00M,654.00M,1.419B,19.00M,246.00M,2.524B,5.518B,,558.00M,83.00M,19.00M,,660.00M,,660.00M,4.00M,,4.00M,4.00M,,,,664.00M,2.293B,,2.293B,187.00M,187.00M,,198.00M,171.00M,2.849B,3.513B,,72.00M,2.588B,,263.00M,,,,,,-392.00M,2.005B,,AOR,
2019-10,235.00M,,235.00M,823.00M,,823.00M,103.00M,177.00M,1.374B,,1.654B,,,327.00M,3.039B,,,,,,,,828.00M,762.00M,655.00M,1.417B,16.00M,253.00M,2.514B,5.553B,,592.00M,,23.00M,,615.00M,,615.00M,156.00M,,156.00M,156.00M,,,,771.00M,2.288B,,2.288B,162.00M,162.00M,,198.00M,192.00M,2.84B,3.611B,,72.00M,2.544B,,274.00M,,,,,,-400.00M,1.942B,,AOR,Restated
2019-07,307.00M,,307.00M,616.00M,,616.00M,105.00M,163.00M,1.341B,,1.609B,,,305.00M,2.837B,,,,,,,,815.00M,754.00M,654.00M,1.408B,16.00M,246.00M,2.485B,5.322B,,524.00M,79.00M,44.00M,,647.00M,,647.00M,,,220.00M,220.00M,,,,867.00M,2.267B,,2.267B,148.00M,148.00M,,197.00M,180.00M,2.792B,3.659B,,72.00M,2.282B,1.00M,285.00M,,,,,,-407.00M,1.663B,,AOR,Restated
2019-04,307.00M,,307.00M,609.00M,,609.00M,85.00M,152.00M,1.283B,,1.52B,191.00M,,92.00M,2.719B,0.00,82.00M,617.00M,769.00M,57.00M,1.525B,-709.00M,816.00M,753.00M,645.00M,1.398B,16.00M,190.00M,2.42B,5.139B,,150.00M,,72.00M,,222.00M,247.00M,469.00M,150.00M,,150.00M,150.00M,,,,703.00M,2.29B,37.00M,2.327B,145.00M,145.00M,,197.00M,120.00M,2.789B,3.492B,,72.00M,2.238B,,300.00M,,,,,,-363.00M,1.647B,,AOR,Restated
2019-01,260.00M,,260.00M,737.00M,,737.00M,83.00M,158.00M,1.23B,,1.471B,,,287.00M,2.755B,,,,,,,,801.00M,754.00M,651.00M,1.405B,20.00M,182.00M,2.408B,5.163B,,587.00M,79.00M,22.00M,,688.00M,,688.00M,,,207.00M,207.00M,,,,895.00M,2.301B,,2.301B,119.00M,119.00M,,198.00M,157.00M,2.775B,3.67B,,72.00M,2.085B,3.00M,307.00M,,,,,,-360.00M,1.493B,,AOR,Restated
2018-10,193.00M,,193.00M,768.00M,,768.00M,92.00M,145.00M,1.24B,,1.477B,,,305.00M,2.743B,,,,,,,,785.00M,750.00M,648.00M,1.398B,16.00M,207.00M,2.406B,5.149B,,620.00M,,17.00M,,637.00M,,637.00M,,,258.00M,258.00M,,,,895.00M,2.288B,,2.288B,113.00M,113.00M,,193.00M,163.00M,2.757B,3.652B,,72.00M,2.016B,4.00M,230.00M,,,,,,-365.00M,1.497B,,AOR,Restated
2018-07,211.00M,,211.00M,658.00M,,658.00M,97.00M,137.00M,1.215B,,1.449B,,,305.00M,2.623B,,,,,,,,778.00M,755.00M,658.00M,1.413B,16.00M,195.00M,2.402B,5.025B,,564.00M,76.00M,52.00M,,692.00M,,692.00M,176.00M,,176.00M,176.00M,,,,868.00M,2.31B,,2.31B,119.00M,119.00M,,192.00M,168.00M,2.789B,3.657B,,72.00M,1.767B,2.00M,109.00M,,,,,,-364.00M,1.368B,,AOR,Restated
