,OperatingRevenue,ExciseTaxes,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-10,1.272B,287.00M,985.00M,404.00M,581.00M,95.00M,155.00M,250.00M,,0.00,20.00M,1.00M,-19.00M,1.00M,251.00M,330.00M,1.00M,20.00M,-19.00M,-2.00M,-19.00M,309.00M,69.00M,240.00M,,,,240.00M,240.00M,349.00M,20.00M,329.00M,,0.50,,,0.50,0.50,,0.50,,,0.50,0.50,,478.51M,480.75M,0.1743,,AOR,
2020-07,987.00M,234.00M,753.00M,288.00M,465.00M,62.00M,148.00M,210.00M,,127.00M,20.00M,0.00,-20.00M,-5.00M,205.00M,260.00M,0.00,20.00M,-20.00M,126.00M,-20.00M,366.00M,42.00M,324.00M,,,,324.00M,211.73M,405.00M,19.00M,386.00M,,0.68,,,0.4453,0.68,,0.67,,,0.4363,0.67,,478.33M,480.43M,0.1743,,AOR,
2020-04,902.00M,193.00M,709.00M,256.00M,453.00M,75.00M,167.00M,242.00M,,,20.00M,1.00M,-19.00M,24.00M,266.00M,187.00M,1.00M,20.00M,-19.00M,-2.00M,-19.00M,166.00M,38.00M,128.00M,,,,128.00M,128.00M,205.00M,19.00M,186.00M,,0.27,,,0.27,0.27,,0.27,,,0.27,0.27,,478.13M,480.33M,0.1743,,AOR,
2020-01,1.178B,279.00M,899.00M,342.00M,557.00M,104.00M,153.00M,257.00M,,,20.00M,1.00M,-19.00M,-4.00M,253.00M,304.00M,1.00M,20.00M,-19.00M,-1.00M,-19.00M,284.00M,53.00M,231.00M,,,,231.00M,231.00M,323.00M,19.00M,304.00M,,0.48,,,0.48,0.48,,0.48,,,0.48,0.48,,477.90M,480.76M,0.1743,,AOR,
2019-10,1.248B,259.00M,989.00M,370.00M,619.00M,112.00M,158.00M,270.00M,,0.00,21.00M,1.00M,-20.00M,-3.00M,267.00M,352.00M,1.00M,21.00M,-20.00M,-1.00M,-20.00M,331.00M,49.00M,282.00M,,,,282.00M,282.00M,370.00M,18.00M,352.00M,,0.59,,,0.59,0.59,,0.59,,,0.59,0.59,,477.68M,480.48M,0.166,,AOR,Restated
2019-07,978.00M,212.00M,766.00M,268.00M,498.00M,92.00M,164.00M,256.00M,,0.00,21.00M,2.00M,-19.00M,-6.00M,250.00M,248.00M,2.00M,21.00M,-19.00M,-1.00M,-19.00M,228.00M,42.00M,186.00M,,,,186.00M,186.00M,267.00M,18.00M,249.00M,,0.39,,,0.39,0.39,,0.39,,,0.39,0.39,,477.37M,480.09M,0.166,,AOR,Restated
2019-04,947.00M,203.00M,744.00M,262.00M,482.00M,93.00M,163.00M,256.00M,,,21.00M,2.00M,-19.00M,-2.00M,254.00M,228.00M,2.00M,21.00M,-19.00M,-3.00M,-19.00M,206.00M,47.00M,159.00M,,,,159.00M,159.00M,247.00M,20.00M,227.00M,,0.33,,,0.33,0.33,,0.33,,,0.33,0.33,,477.26M,480.27M,0.166,,AOR,Restated
2019-01,1.181B,277.00M,904.00M,333.00M,571.00M,103.00M,149.00M,252.00M,,,23.00M,2.00M,-21.00M,-1.00M,251.00M,320.00M,2.00M,23.00M,-21.00M,-15.00M,-21.00M,284.00M,57.00M,227.00M,,,,227.00M,227.00M,323.00M,16.00M,307.00M,,0.47,,,0.47,0.47,,0.47,,,0.47,0.47,,477.30M,480.10M,0.166,,AOR,Restated
2018-10,1.161B,251.00M,910.00M,320.00M,590.00M,102.00M,161.00M,263.00M,,,22.00M,2.00M,-20.00M,-5.00M,258.00M,332.00M,2.00M,22.00M,-20.00M,-2.00M,-20.00M,310.00M,61.00M,249.00M,,,,249.00M,249.00M,350.00M,18.00M,332.00M,,0.52,,,0.52,0.52,,0.52,,,0.52,0.52,,480.44M,483.59M,0.158,,AOR,Restated
2018-07,987.00M,221.00M,766.00M,243.00M,523.00M,98.00M,168.00M,266.00M,,,22.00M,2.00M,-20.00M,-7.00M,259.00M,264.00M,2.00M,22.00M,-20.00M,-2.00M,-20.00M,242.00M,42.00M,200.00M,,,,200.00M,200.00M,282.00M,18.00M,264.00M,,0.42,,,0.42,0.42,,0.41,,,0.41,0.41,,480.96M,484.44M,0.158,,AOR,Restated
