,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,11.24B,11.24B,7.912B,3.323B,1.216B,374.00M,,130.00M,,-130.00M,353.00M,1.943B,1.38B,,130.00M,-130.00M,-309.00M,-130.00M,941.00M,167.00M,780.00M,0.00,780.00M,780.00M,1.688B,617.00M,1.071B,,1.43,,1.43,1.43,,1.42,,1.42,1.42,,544.50M,549.50M,1.03,,AOR,
2020-09,9.881B,9.881B,7.056B,2.825B,1.126B,344.00M,,136.00M,,-136.00M,370.00M,1.84B,985.00M,,136.00M,-136.00M,14.00M,-136.00M,863.00M,187.00M,671.00M,-3.00M,668.00M,678.18M,1.592B,593.00M,999.00M,,1.23,,1.249,1.23,,1.22,,1.239,1.22,,542.30M,546.40M,1.03,,AOR,
2020-06,9.997B,9.997B,7.262B,2.735B,1.179B,341.00M,,135.00M,,-135.00M,431.00M,1.951B,784.00M,,135.00M,-135.00M,29.00M,-135.00M,678.00M,227.00M,459.00M,-1.00M,458.00M,418.09M,1.421B,608.00M,813.00M,,0.84,,0.7663,0.84,,0.84,,0.7667,0.84,,541.50M,544.50M,1.03,,AOR,
2020-03,10.64B,10.64B,7.441B,3.194B,1.121B,356.00M,,113.00M,,-113.00M,313.00M,1.79B,1.404B,,113.00M,-113.00M,222.00M,-113.00M,1.513B,425.00M,1.093B,-1.00M,1.092B,1.157B,2.24B,614.00M,1.626B,,2.00,,2.118,2.00,,1.98,,2.097,1.98,,546.80M,551.10M,1.03,,AOR,
2019-12,13.14B,13.14B,9.30B,3.844B,1.283B,386.00M,,112.00M,,-112.00M,325.00M,1.994B,1.85B,,112.00M,-112.00M,-373.00M,-112.00M,1.365B,276.00M,1.097B,1.00M,1.098B,1.080B,2.121B,644.00M,1.477B,,2.00,,1.967,2.00,,1.97,,1.937,1.97,,550.80M,557.60M,1.03,,AOR,
2019-09,12.76B,12.76B,8.758B,4.00B,1.251B,431.00M,,103.00M,,-103.00M,298.00M,1.98B,2.02B,,103.00M,-103.00M,88.00M,-103.00M,2.005B,518.00M,1.494B,0.00,1.494B,1.459B,2.753B,645.00M,2.108B,,2.69,,2.627,2.69,,2.66,,2.598,2.66,,556.30M,561.20M,1.03,,AOR,Restated
2019-06,14.43B,14.43B,10.13B,4.299B,1.309B,441.00M,,103.00M,,-103.00M,336.00M,2.086B,2.213B,,103.00M,-103.00M,68.00M,-103.00M,2.178B,565.00M,1.619B,1.00M,1.62B,1.604B,2.928B,647.00M,2.281B,,2.85,,2.823,2.85,,2.83,,2.803,2.83,,567.80M,573.10M,0.86,,AOR,Restated
2019-03,13.47B,13.47B,9.193B,4.273B,1.319B,435.00M,,103.00M,,-103.00M,312.00M,2.066B,2.207B,,103.00M,-103.00M,160.00M,-103.00M,2.264B,387.00M,1.884B,-3.00M,1.881B,1.791B,3.008B,641.00M,2.367B,,3.29,,3.132,3.29,,3.25,,3.094,3.25,,572.40M,578.80M,0.86,,AOR,Restated
2018-12,14.34B,14.34B,10.18B,4.166B,1.463B,466.00M,,99.00M,,-99.00M,354.00M,2.283B,1.883B,,99.00M,-99.00M,-417.00M,-99.00M,1.367B,321.00M,1.049B,-1.00M,1.048B,1.072B,2.167B,701.00M,1.466B,,1.80,,1.842,1.80,,1.78,,1.821,1.78,,589.30M,599.40M,0.86,,AOR,Restated
2018-09,13.51B,13.51B,9.207B,4.303B,1.299B,479.00M,,102.00M,,-102.00M,390.00M,2.168B,2.135B,,102.00M,-102.00M,102.00M,-102.00M,2.135B,415.00M,1.727B,0.00,1.727B,1.734B,2.935B,698.00M,2.237B,,2.92,,2.932,2.92,,2.88,,2.892,2.88,,595.30M,603.80M,0.86,,AOR,Restated
2018-06,14.01B,14.01B,9.604B,4.407B,1.44B,462.00M,,102.00M,,-102.00M,338.00M,2.24B,2.167B,,102.00M,-102.00M,121.00M,-102.00M,2.186B,490.00M,1.705B,2.00M,1.707B,1.713B,2.974B,686.00M,2.288B,,2.86,,2.870,2.86,,2.82,,2.830,2.82,,596.20M,604.20M,0.78,,AOR,Restated
2018-03,12.86B,12.86B,8.732B,4.127B,1.276B,443.00M,,101.00M,,-101.00M,300.00M,2.019B,2.108B,,101.00M,-101.00M,127.00M,-101.00M,2.134B,472.00M,1.667B,-2.00M,1.665B,1.653B,2.916B,681.00M,2.235B,,2.78,,2.760,2.78,,2.74,,2.721,2.74,,598.00M,608.00M,0.78,,AOR,Restated
2017-12,12.90B,12.90B,9.127B,3.769B,1.38B,498.00M,,169.00M,,-169.00M,504.00M,2.382B,1.387B,,169.00M,-169.00M,-107.00M,-169.00M,1.111B,2.418B,-1.299B,0.00,-1.299B,-1.346B,2.004B,724.00M,1.28B,,-2.18,,-2.258,-2.18,,-2.18,,-2.257,-2.18,,596.30M,607.70M,0.78,,AOR,Restated
2017-09,11.41B,11.41B,7.841B,3.572B,1.254B,461.00M,,118.00M,,-118.00M,348.00M,2.063B,1.509B,,118.00M,-118.00M,132.00M,-118.00M,1.523B,470.00M,1.061B,-2.00M,1.059B,1.032B,2.364B,723.00M,1.641B,,1.79,,1.745,1.79,,1.77,,1.725,1.77,,592.90M,600.10M,0.78,,AOR,Restated
2017-06,11.33B,11.33B,7.978B,3.353B,1.304B,458.00M,,121.00M,,-121.00M,407.00M,2.169B,1.184B,,121.00M,-121.00M,96.00M,-121.00M,1.159B,361.00M,803.00M,-1.00M,802.00M,857.08M,2.00B,720.00M,1.28B,,1.36,,1.453,1.36,,1.35,,1.443,1.35,,590.20M,595.40M,0.77,,AOR,Restated
2017-03,9.822B,9.822B,6.96B,2.862B,1.061B,425.00M,,123.00M,,-123.00M,996.00M,2.482B,380.00M,,123.00M,-123.00M,32.00M,-123.00M,289.00M,90.00M,194.00M,-2.00M,192.00M,209.90M,1.122B,710.00M,412.00M,,0.33,,0.3605,0.33,,0.32,,0.3502,0.32,,587.50M,593.20M,0.77,,AOR,Restated
2016-12,9.574B,9.574B,7.425B,2.149B,1.18B,424.00M,,120.00M,,-120.00M,548.00M,2.152B,-3.00M,,120.00M,-120.00M,-1.225B,-120.00M,-1.348B,-180.00M,-1.167B,-4.00M,-1.171B,-1.171B,-449.00M,779.00M,-1.228B,,-2.00,,-2.00,-2.00,,-2.00,,-2.00,-2.00,,585.80M,585.80M,0.77,,AOR,Restated
