,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,693.66M,693.66M,186.80M,506.86M,62.43M,62.43M,,,0.00,,47.00M,1.976M,-45.02M,3.239M,269.75M,237.11M,1.976M,47.00M,-45.02M,216.67M,-45.02M,408.51M,16.55M,391.96M,,,-24.58M,1.476M,367.38M,219.60M,659.59M,204.08M,455.51M,0.69,,,,0.4123,0.69,0.68,,,,0.4133,0.68,532.18M,554.12M,0.48
2017-12,619.92M,619.92M,175.70M,444.22M,59.71M,59.71M,,,-37.78M,,48.01M,4.238M,-58.25M,3.597M,285.81M,158.42M,4.238M,48.01M,-58.25M,250.53M,-58.25M,351.15M,12.28M,338.87M,,,-37.99M,1.476M,300.89M,132.75M,621.66M,222.50M,399.16M,0.56,,,,0.2437,0.56,0.55,,,,0.2467,0.55,531.49M,554.35M,0.44
2017-09,602.87M,602.87M,164.73M,438.14M,57.66M,57.66M,,,0.00,,64.19M,4.816M,-59.37M,3.093M,262.65M,175.49M,4.816M,64.19M,-59.37M,815.25M,-59.37M,931.36M,17.95M,913.42M,,,-35.52M,1.675M,877.89M,132.36M,1.197B,201.90M,995.55M,1.65,,,,0.2467,1.65,1.63,,,,0.2847,1.63,531.29M,554.16M,0.44
2017-06,766.18M,766.18M,199.78M,566.40M,60.08M,60.08M,,,-30.60M,,75.35M,1.892M,-73.46M,2.909M,291.13M,275.27M,1.892M,75.35M,-73.46M,100.95M,-73.46M,302.76M,14.78M,287.98M,,,-19.36M,1.674M,268.62M,237.84M,606.26M,228.14M,378.12M,0.5,,,,0.4419,0.5,0.5,,,,0.4443,0.5,530.04M,552.11M,0.44
2017-03,629.16M,629.16M,184.46M,444.70M,53.62M,53.62M,,,,,73.00M,2.785M,-70.22M,2.606M,282.81M,161.89M,2.785M,73.00M,-70.22M,138.53M,-70.22M,230.29M,9.60M,220.69M,,,-15.76M,1.674M,204.93M,118.75M,529.88M,226.59M,303.29M,0.38,,,,0.217,0.38,0.38,,,,0.2233,0.38,528.72M,550.01M,0.44
2016-12,620.12M,620.12M,171.77M,448.34M,56.43M,56.43M,,,136.29M,,54.69M,1.05M,-69.10M,1.965M,284.13M,164.21M,1.05M,54.69M,-69.10M,389.98M,-69.10M,484.67M,17.97M,466.70M,,,-24.50M,1.658M,442.20M,125.11M,765.09M,225.74M,539.36M,0.84,,,,0.2395,0.84,0.83,,,,0.2545,0.83,528.03M,550.98M,0.42
2016-09,704.56M,704.56M,185.14M,519.43M,58.16M,58.16M,,,1.492M,,75.31M,2.932M,-72.38M,3.779M,286.80M,232.62M,2.932M,75.31M,-72.38M,162.92M,-72.38M,323.16M,15.92M,307.24M,,,-26.32M,1.671M,280.93M,169.63M,623.34M,224.87M,398.47M,0.53,,,,0.3189,0.53,0.52,,,,0.3166,0.52,527.29M,547.20M,0.42
2016-06,602.16M,602.16M,168.59M,433.56M,56.93M,56.93M,,,2.044M,,76.46M,1.527M,-74.93M,3.90M,291.22M,142.35M,1.527M,76.46M,-74.93M,233.51M,-74.93M,300.93M,5.142M,295.79M,,,-18.71M,1.696M,277.08M,88.30M,607.77M,230.38M,377.39M,0.52,,,,0.1603,0.52,0.52,,,,0.1739,0.52,524.84M,545.39M,0.42
2016-03,606.30M,606.30M,171.87M,434.43M,50.54M,50.54M,,,-1.052M,,81.00M,2.591M,-78.41M,4.685M,305.23M,129.20M,2.591M,81.00M,-78.41M,187.36M,-78.41M,238.34M,15.54M,222.80M,,,-13.08M,1.689M,209.73M,89.09M,569.34M,250.00M,319.34M,0.4,,,,0.1699,0.4,0.39,,,,0.1681,0.39,524.20M,543.56M,0.42
2015-12,643.20M,643.20M,182.74M,460.46M,59.77M,59.77M,,,-69.78M,,78.95M,6.351M,-76.01M,22.23M,354.91M,105.55M,6.351M,78.95M,-76.01M,99.54M,-76.01M,128.78M,2.02M,126.76M,,,-6.762M,1.632M,120.00M,74.07M,480.63M,272.91M,207.73M,0.23,,,,0.1423,0.23,0.23,,,,0.1453,0.23,523.80M,542.41M,0.4
