,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2008-03,171.86M,171.86M,44.99M,126.86M,,35.35M,,,42.29M,,29.96M,,-29.96M,,76.32M,50.55M,,29.96M,-29.96M,45.22M,-29.96M,65.81M,,65.81M,3.923M,,-26.80M,3.952M,42.93M,11.52M,136.74M,37.64M,95.77M,0.36,0.03,,,0.0788,0.39,0.36,0.03,,,0.0842,0.39,97.75M,99.67M,0.52
2007-12,174.53M,174.53M,45.62M,128.91M,,34.55M,,,36.14M,,29.48M,,-29.48M,2.117M,77.34M,51.58M,,29.48M,-29.48M,34.92M,-29.48M,,,39.98M,57.22M,,-17.03M,3.95M,97.20M,57.59M,92.24M,36.19M,51.58M,0.36,0.59,,-0.4146,0.1307,0.95,0.35,0.57,,-0.4146,0.1271,0.92,98.47M,101.30M,0.5
2007-09,165.37M,165.37M,42.66M,122.70M,,35.41M,,,56.25M,,29.33M,,-29.33M,0.944M,76.98M,45.73M,,29.33M,-29.33M,59.68M,-29.33M,,,66.06M,7.047M,,-10.02M,3.955M,73.11M,26.53M,86.36M,37.26M,45.73M,0.63,0.07,,0.0301,0.2596,0.7,0.62,0.07,,0.0294,0.2577,0.69,98.72M,100.91M,0.5
2007-06,167.40M,167.40M,42.57M,124.83M,,30.54M,,,35.47M,,33.15M,,-33.15M,1.139M,71.85M,52.98M,,33.15M,-33.15M,111.92M,-33.15M,,,115.86M,2.407M,,-15.89M,6.879M,118.27M,30.76M,93.16M,34.33M,52.98M,1.11,0.02,,0.1363,0.3862,1.13,1.08,0.02,,0.1331,0.3735,1.1,98.94M,101.36M,0.5
2007-03,164.50M,164.50M,25.03M,139.48M,29.85M,29.85M,12.19M,,19.95M,,,,,7.875M,90.38M,49.10M,,,,19.95M,,,,22.81M,2.87M,,-11.84M,3.952M,25.68M,9.846M,90.38M,41.28M,49.10M,0.21,0.03,,,0.0695,0.24,0.2,0.03,,,0.0637,0.23,92.27M,95.10M,0.5
2006-12,183.74M,183.74M,,,,30.43M,,,50.27M,,,,,18.03M,19.78M,67.82M,,,,50.27M,,,,64.71M,23.04M,0.00,-15.78M,3.951M,87.76M,34.55M,112.29M,44.46M,67.82M,0.69,0.26,0.0,,0.351,0.95,0.66,0.25,-0.0,,0.3359,0.91,88.96M,93.05M,0.46
2006-09,180.34M,180.34M,,,25.64M,25.64M,23.52M,,28.67M,,,,,22.41M,118.48M,61.85M,,,,28.67M,,,,29.62M,3.772M,0.00,-16.94M,3.44M,33.39M,12.41M,110.58M,48.72M,61.85M,0.3,0.04,0.0,,0.1046,0.34,0.29,0.04,0.0,,0.1011,0.33,88.03M,91.06M,0.46
2006-06,175.92M,175.92M,,,,25.14M,45.70M,,56.23M,,,,,3.468M,118.81M,57.11M,,,,56.23M,,,,54.15M,21.20M,0.00,-14.88M,3.095M,75.35M,20.41M,106.94M,49.83M,57.11M,0.59,0.24,0.0,,0.2036,0.83,0.56,0.24,0.0,,0.1857,0.8,87.32M,90.14M,0.46
2006-03,182.68M,176.41M,,,23.05M,23.05M,0.674M,,6.269M,-111.10M,,,,155.72M,111.10M,65.31M,,,,6.269M,,,,18.12M,9.259M,0.193M,-14.30M,3.096M,27.58M,14.36M,108.58M,43.27M,65.31M,0.16,0.11,0.0,,0.1165,0.27,0.16,0.1,0.0021,,0.1183,0.26,86.43M,90.18M,0.46
2005-12,139.19M,172.84M,,,,16.69M,,,148.16M,,,,,-365.96M,-10.84M,98.84M,,,,129.23M,,,,61.96M,79.23M,0.00,-18.56M,7.383M,141.18M,-26.94M,145.38M,46.54M,98.84M,0.71,0.94,0.0,,-0.335,1.65,0.68,0.9,0.0,,-0.3163,1.58,85.06M,89.22M,0.44
2005-09,164.57M,160.08M,,,16.82M,16.82M,,,-32.02M,-100.40M,,,,143.90M,100.80M,59.27M,,,,-32.02M,,,,12.53M,16.53M,0.00,-14.72M,-1.783M,29.07M,31.74M,120.40M,61.13M,59.27M,0.12,0.2,0.0,,0.3475,0.32,0.12,0.19,0.0,,0.3374,0.31,84.44M,88.37M,0.44
2005-06,157.81M,157.81M,,,,20.11M,,,-8.734M,,,,,39.50M,97.38M,60.43M,,,,-8.734M,,,,36.30M,4.488M,0.00,-15.39M,1.783M,40.79M,41.54M,98.19M,33.10M,60.43M,0.42,0.05,0.0,,0.4827,0.47,0.4,0.05,0.0,,0.4602,0.45,83.52M,87.08M,0.44
2005-03,177.35M,156.72M,,,18.54M,18.54M,,,-17.55M,-99.14M,,,,140.21M,99.14M,57.58M,,,,-16.25M,,,,16.48M,30.28M,0.00,-24.85M,1.783M,46.77M,26.23M,97.11M,39.53M,57.58M,0.18,0.36,0.0,,0.2973,0.54,0.17,0.35,0.0,,0.2827,0.52,83.13M,86.52M,0.44
2004-12,74.30M,85.53M,,,,,,,,,,,,,,364.34M,,,,,,,,7.764M,50.17M,,,1.782M,57.93M,7.764M,399.35M,35.00M,364.34M,0.07,0.61,,,0.07,0.68,0.07,0.59,,,0.07,0.66,82.73M,85.51M,0.425
2004-09,171.17M,167.79M,,,15.66M,15.66M,,,-36.91M,-96.45M,,,,137.75M,96.45M,71.34M,,,,-36.91M,,,,18.54M,13.51M,,-15.89M,1.783M,32.05M,40.69M,110.83M,32.26M,71.34M,0.21,0.16,,,0.4794,0.37,0.19,0.16,,,0.4493,0.35,82.19M,85.40M,0.425
2004-06,157.42M,156.00M,,,14.73M,14.73M,,,-32.29M,-92.59M,,,,135.94M,95.82M,60.17M,,,,-32.29M,,,,12.49M,6.42M,,-15.39M,1.783M,18.91M,31.86M,103.02M,42.85M,60.17M,0.13,0.08,,,0.3661,0.21,0.12,0.08,,,0.3492,0.2,82.07M,84.54M,0.425
2004-03,160.83M,157.64M,,,14.57M,14.57M,,,-35.83M,-93.11M,,,,134.39M,93.11M,64.53M,,,,-35.83M,,,,14.47M,2.109M,,-14.23M,1.783M,16.58M,35.97M,101.78M,37.26M,64.53M,0.15,0.03,,,0.4131,0.18,0.15,0.02,,,0.4033,0.17,81.69M,84.86M,0.425
2003-12,27.16M,47.46M,,,12.90M,12.90M,,,,,,,,,-205.50M,252.97M,,,,,,,,1.089M,27.19M,,,6.624M,28.28M,1.089M,295.09M,42.12M,252.97M,-0.02,0.33,,,-0.02,0.31,-0.02,0.32,,,-0.02,0.3,80.99M,83.49M,0.415
2003-09,154.92M,147.39M,,,10.82M,10.82M,,,6.877M,-83.69M,,,,122.82M,83.69M,63.71M,,,,6.877M,,,,15.88M,9.807M,,-19.79M,1.47M,25.69M,11.75M,97.44M,31.35M,63.71M,0.13,0.12,,,0.0791,0.25,0.13,0.12,,,0.0801,0.25,81.10M,82.72M,0.415
2003-06,151.99M,148.99M,,,12.12M,12.12M,,,,-88.32M,,,,126.38M,88.32M,60.66M,,,,,,,,12.20M,5.921M,,-15.22M,2.195M,18.13M,12.20M,98.81M,37.07M,60.66M,0.12,0.08,,,0.12,0.2,0.12,0.07,,,0.12,0.19,81.02M,82.47M,0.415
2003-03,160.94M,150.88M,,,12.19M,12.19M,,,1.235M,-86.28M,,,,125.93M,86.28M,64.61M,,,,8.664M,,,,23.41M,35.97M,,-15.34M,2.123M,59.38M,18.21M,99.04M,34.43M,64.61M,0.26,0.45,,,0.1959,0.71,0.26,0.43,,,0.19699999999999998,0.69,81.10M,82.51M,0.415
2002-12,139.23M,-1.864M,,,13.00M,13.00M,,,,-76.40M,,,,,-516.86M,515.00M,,,,5.723M,,,,-32.09M,24.57M,,111.22M,1.711M,38.01M,9.291M,559.74M,44.74M,515.00M,-0.11,0.3041,,,-0.151,-0.21,-0.11,0.3041,,,-0.1509,-0.21,83.76M,83.87M,0.41
2002-09,165.60M,164.98M,,,12.38M,12.38M,,,,-86.78M,,,,127.44M,86.78M,78.20M,,,,0.618M,,,,39.54M,4.274M,-0.088M,-17.27M,2.123M,27.07M,22.61M,111.95M,32.20M,78.20M,0.24,0.05,0.0,-0.0011,0.2356,0.3,0.24,0.05,-0.0011,-0.0011,0.2357,0.3,83.72M,85.53M,0.41
2002-06,149.97M,149.97M,,,10.76M,10.76M,,,,-74.40M,,,,,-63.64M,213.61M,,,,2.768M,,,,23.82M,5.03M,,15.27M,2.125M,28.85M,22.16M,246.92M,33.31M,213.61M,0.26,0.06,,,0.2402,0.33,0.25,0.06,,,0.2306,0.32,83.71M,85.53M,0.41
2002-03,148.41M,148.41M,,,10.14M,10.14M,,,,-72.47M,,,,,-62.34M,210.75M,,,,-0.288M,,,,25.32M,4.988M,,15.62M,2.125M,30.30M,25.49M,240.42M,29.68M,210.75M,0.28,0.06,,,0.2821,0.34,0.27,0.06,,,0.272,0.33,83.32M,84.78M,0.41
2001-12,591.18M,4.161M,,,9.64M,9.64M,,,,,,,,,-495.33M,499.50M,,,,-6.904M,,,,-1.737M,,,111.47M,6.525M,30.25M,-1.737M,514.82M,15.33M,499.50M,-0.13,0.38,,,-0.13,0.25,-0.13,0.37,,,-0.13,0.24,83.54M,85.42M,0.395
2001-09,2.34M,155.46M,,,8.796M,8.796M,,,8.773M,,,,,35.35M,83.11M,72.35M,,,,8.773M,,,,31.49M,,0.087M,-17.98M,2.125M,31.58M,26.23M,111.31M,38.96M,72.35M,0.35,0.0,0.0,,0.2876,0.35,0.34,0.0,0.001,,0.2785,0.34,84.40M,85.64M,0.395
2001-06,1.544M,146.03M,,,9.201M,9.201M,,,,,,,,49.74M,86.27M,59.76M,,,,,,,,30.37M,,-0.438M,-16.97M,2.125M,29.93M,30.37M,87.08M,27.32M,59.76M,0.33,0.0,0.0,,0.33,0.33,0.33,0.0,-0.0052,,0.33,0.33,84.46M,85.38M,0.395
2001-03,2.42M,144.83M,,,8.183M,8.183M,,,,,,,,37.58M,72.61M,72.22M,,,,,,,,42.32M,,,-13.00M,2.125M,44.44M,44.44M,99.08M,26.85M,72.22M,0.5,0.0,,,0.5,0.5,0.5,0.0,,,0.5,0.5,83.90M,84.72M,0.395
2000-12,96.85M,70.00M,,,6.428M,6.428M,,,,-49.71M,,,,,-345.79M,415.79M,,,,-11.30M,,,,6.194M,,,77.61M,2.125M,25.88M,9.240M,440.85M,25.07M,415.79M,0.04,0.24,,,0.0763,0.28,0.04,0.23,,,0.0763,0.28,83.84M,83.84M,0.37
2000-09,127.19M,121.37M,,,5.987M,5.987M,,,5.815M,-56.69M,,,,84.09M,56.69M,64.68M,,,,11.63M,,,,34.85M,,0.00,-13.08M,2.125M,34.85M,27.87M,87.99M,23.31M,64.68M,0.39,0.0,0.0,,0.307,0.39,0.39,0.0,0.0,,0.3076,0.39,84.12M,84.73M,0.37
2000-06,113.90M,113.48M,,,5.984M,5.984M,,,0.416M,-53.70M,,,,78.79M,53.70M,59.78M,,,,0.832M,,,,30.01M,,0.00,-10.18M,2.125M,30.01M,29.51M,82.41M,22.63M,59.78M,0.33,0.0,0.0,,0.324,0.33,0.33,0.0,0.0,,0.3241,0.33,83.85M,84.13M,0.37
2000-03,110.31M,110.32M,,,5.351M,5.351M,,,,-49.52M,,,,74.49M,49.52M,60.81M,,,,-0.011M,,,,28.92M,,,-9.409M,2.125M,31.04M,31.05M,80.00M,19.19M,60.81M,0.34,0.0,,,0.3401,0.34,0.34,0.0,,,0.3401,0.34,83.85M,83.86M,0.37
1999-12,78.40M,42.96M,,,,,,,,-49.60M,,,,,-24.40M,67.36M,,,,,,,,38.35M,,,9.70M,2.10M,52.20M,40.85M,67.36M,,67.36M,0.42,0.16,,0.0047,0.42,0.58,0.42,0.16,,0.0047,0.42,0.58,86.75M,86.75M,0.35
1999-09,133.30M,133.30M,,,,,,,,-48.60M,,,,,-48.60M,181.90M,,,,,,,,53.90M,,,9.70M,2.10M,52.60M,53.90M,181.90M,,181.90M,0.6,-0.02,,-0.015,0.6,0.58,0.6,-0.02,,-0.015,0.6,0.58,86.54M,86.64M,0.35
1999-06,126.90M,126.90M,,,4.30M,4.30M,,,,-50.30M,,,,,-46.00M,172.90M,,,,11.50M,,,,44.80M,,,8.10M,2.10M,44.80M,37.90M,187.40M,14.50M,172.90M,0.5,-0.02,,,0.42,0.48,0.5,-0.02,,,0.4202,0.48,86.29M,86.47M,0.35
1999-03,109.57M,109.57M,,,4.072M,4.072M,,,,-52.03M,,,,,-47.96M,157.53M,,,,,,,,28.01M,,,6.561M,2.125M,28.01M,28.01M,175.23M,17.70M,157.53M,0.3,0.0,,,0.3,0.3,0.3,0.0,,,0.3,0.3,86.00M,86.02M,0.35
1998-12,104.04M,104.03M,,,10.89M,10.89M,,,,-49.12M,,,,,273.16M,-169.13M,,,,,,,,27.84M,,,-17.77M,2.125M,27.84M,27.84M,-149.98M,19.15M,-169.13M,0.3,0.0,,,0.3,0.3,0.29,0.0,,,0.29,0.29,85.88M,86.18M,0.3425
1998-09,94.06M,94.06M,,,2.832M,2.832M,,,,-42.72M,,,,,-39.88M,133.94M,,,,,,,,28.87M,,,2.93M,1.514M,28.87M,28.87M,148.23M,14.28M,133.94M,0.32,0.0,,,0.32,0.32,0.32,0.0,,,0.32,0.32,85.88M,86.25M,0.3425
1998-06,85.01M,85.01M,,,3.144M,3.144M,,,,-38.91M,,,,,-35.77M,120.78M,,,,,,,,27.98M,,,2.404M,,27.98M,27.98M,133.69M,12.91M,120.78M,0.33,0.0,,,0.33,0.33,0.32,0.0,,,0.32,0.32,85.88M,86.25M,0.3425
