,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,-379.00M,,,,614.00M,614.00M,-46.00M,,,-313.00M,-1.387B,441.00M,453.00M,739.00M,,,43.00M,289.00M,,165.00M,,-407.00M,,,-10.00M,,-96.00M,-513.00M,,2.53B,,2.53B,,0.00,0.00,-399.00M,-399.00M,,-96.00M,2.035B,,2.319B,1.687B,41.00M,4.047B,,,2.56B,-30.00M,0.00,,,,AOR,
2020-06,1.335B,,,,578.00M,578.00M,385.00M,,,-2.248B,1.219B,509.00M,54.00M,-1.153B,,,57.00M,686.00M,,736.00M,,-440.00M,,,-10.00M,,-132.00M,-582.00M,,1.173B,,1.173B,,0.00,0.00,-400.00M,-400.00M,,-143.00M,630.00M,,1.515B,784.00M,20.00M,2.319B,,,1.592B,-419.00M,0.00,,,,AOR,
2020-03,-1.754B,,,,582.00M,582.00M,-162.00M,,,2.542B,3.397B,627.00M,-437.00M,-4.694B,,,-150.00M,-1.257B,,-49.00M,,-435.00M,,,-19.00M,,-303.00M,-757.00M,,354.00M,,354.00M,,-147.00M,-147.00M,-401.00M,-401.00M,,-1.00M,-195.00M,,2.583B,-1.001B,-67.00M,1.515B,,,370.00M,-16.00M,-147.00M,,,,AOR,
2019-12,1.33B,,,,571.00M,571.00M,215.00M,,,,-1.227B,-511.00M,482.00M,822.00M,,,26.00M,-408.00M,,1.708B,,-585.00M,,,-52.00M,,-174.00M,-811.00M,,86.00M,,86.00M,,-222.00M,-222.00M,-369.00M,-369.00M,,-18.00M,-523.00M,,2.137B,374.00M,72.00M,2.583B,,,91.00M,-5.00M,-222.00M,,,,AOR,
2019-09,639.00M,,,,567.00M,567.00M,31.00M,,,,1.423B,-152.00M,-461.00M,-495.00M,,,-123.00M,192.00M,,1.429B,,-435.00M,,,-68.00M,,-132.00M,-635.00M,,67.00M,,67.00M,,-307.00M,-307.00M,-372.00M,-372.00M,,-37.00M,-649.00M,,2.033B,145.00M,-41.00M,2.137B,,,78.00M,-11.00M,-307.00M,,,,AOR,Restated
2019-06,648.00M,,,,566.00M,566.00M,10.00M,,,,-769.00M,250.00M,390.00M,412.00M,,,10.00M,293.00M,,1.517B,,-511.00M,,,-56.00M,,-241.00M,-808.00M,,-841.00M,,-841.00M,,-212.00M,-212.00M,-376.00M,-376.00M,,-18.00M,-1.447B,,2.777B,-738.00M,-6.00M,2.033B,,,47.00M,-888.00M,-212.00M,,,,AOR,Restated
2019-03,167.00M,,,,551.00M,551.00M,-22.00M,,,,-895.00M,28.00M,16.00M,981.00M,,,51.00M,181.00M,,877.00M,,-463.00M,,,-63.00M,,-221.00M,-747.00M,,1.008B,,1.008B,,-986.00M,-986.00M,-375.00M,-375.00M,,-25.00M,-378.00M,,2.982B,-248.00M,43.00M,2.777B,,,1.915B,-907.00M,-986.00M,,,,AOR,Restated
2018-12,1.022B,,,,531.00M,531.00M,265.00M,,,,850.00M,937.00M,-12.00M,-1.898B,,,-17.00M,-140.00M,,1.678B,,-495.00M,,,-410.00M,,-255.00M,-1.16B,,31.00M,,31.00M,,-627.00M,-627.00M,-338.00M,-338.00M,,-53.00M,-987.00M,,3.551B,-469.00M,-100.00M,2.982B,,,38.00M,-7.00M,-627.00M,,,,AOR,Restated
2018-09,874.00M,,,,517.00M,517.00M,-38.00M,,,,-712.00M,-1.088B,-30.00M,1.101B,,,-128.00M,-857.00M,,496.00M,,-439.00M,,,-33.00M,,-164.00M,-636.00M,,8.00M,,8.00M,,-434.00M,-434.00M,-341.00M,-341.00M,,-12.00M,-779.00M,,4.451B,-919.00M,19.00M,3.551B,,,15.00M,-7.00M,-434.00M,-817.00M,-248.00M,,AOR,Restated
2018-06,875.00M,,,,523.00M,523.00M,-26.00M,,,,-740.00M,80.00M,44.00M,1.197B,,,106.00M,687.00M,,2.059B,,-434.00M,,,-686.00M,,-260.00M,-1.38B,,-114.00M,,-114.00M,,-327.00M,-327.00M,-345.00M,-345.00M,,-43.00M,-829.00M,,4.658B,-150.00M,-57.00M,4.451B,,,816.00M,-930.00M,-327.00M,817.00M,248.00M,,AOR,Restated
2018-03,582.00M,,,,498.00M,498.00M,2.00M,,,,145.00M,-126.00M,-79.00M,-966.00M,,,82.00M,-944.00M,,138.00M,,-384.00M,,,-140.00M,,-228.00M,-752.00M,,83.00M,,83.00M,,-320.00M,-320.00M,-345.00M,-345.00M,,9.00M,-573.00M,,5.85B,-1.187B,-5.00M,4.658B,,,498.00M,-415.00M,-320.00M,,,,AOR,Restated
2017-12,2.40B,,,,490.00M,490.00M,-2.623B,,,,-944.00M,-231.00M,13.00M,1.907B,,,648.00M,1.393B,,1.66B,,-466.00M,,,-33.00M,,-143.00M,-642.00M,,374.00M,,374.00M,-36.00M,-421.00M,-457.00M,-306.00M,-306.00M,,60.00M,-329.00M,,5.176B,689.00M,-15.00M,5.85B,,-36.00M,380.00M,-6.00M,-421.00M,-357.00M,-356.00M,,AOR,Restated
2017-09,863.00M,,,,497.00M,497.00M,56.00M,,,,-1.322B,-408.00M,52.00M,1.363B,,,-64.00M,-379.00M,,1.037B,,-341.00M,,,-151.00M,,-74.00M,-566.00M,,-4.00M,,-4.00M,0.00,-291.00M,-291.00M,-309.00M,-309.00M,,-11.00M,-615.00M,,5.207B,-144.00M,113.00M,5.176B,,0.00,0.00,-4.00M,-291.00M,94.00M,121.00M,,AOR,Restated
2017-06,572.00M,,,,499.00M,499.00M,28.00M,,,,579.00M,414.00M,33.00M,-318.00M,,,-10.00M,698.00M,,1.797B,,-293.00M,,,-177.00M,,10.00M,-460.00M,,-6.00M,,-6.00M,1.00M,-346.00M,-345.00M,-312.00M,-312.00M,,-13.00M,-676.00M,,4.463B,661.00M,83.00M,5.207B,,1.00M,0.00,-6.00M,-346.00M,167.00M,107.00M,,AOR,Restated
2017-03,321.00M,,,,500.00M,500.00M,-4.00M,,,,817.00M,-291.00M,53.00M,-428.00M,,,20.00M,171.00M,,988.00M,,-279.00M,,,-117.00M,,-318.00M,-714.00M,,-5.00M,,-5.00M,35.00M,-314.00M,-279.00M,-315.00M,-315.00M,,-53.00M,-652.00M,,4.816B,-378.00M,25.00M,4.463B,,35.00M,0.00,-5.00M,-314.00M,96.00M,128.00M,,AOR,Restated
2016-12,416.00M,,,,468.00M,468.00M,37.00M,0.00,,0.00,-1.253B,214.00M,-90.00M,1.152B,,,54.00M,77.00M,,998.00M,,-366.00M,,,-4.00M,,-252.00M,-622.00M,,-947.00M,,-947.00M,-3.00M,-169.00M,-172.00M,-271.00M,-271.00M,,-43.00M,-1.433B,,5.949B,-1.057B,-76.00M,4.816B,,-3.00M,500.00M,-1.447B,-169.00M,139.00M,115.00M,,AOR,Restated
2016-09,645.00M,,,,470.00M,470.00M,-2.00M,0.00,,0.00,20.00M,135.00M,123.00M,-455.00M,,,-73.00M,-250.00M,,863.00M,,-302.00M,,,0.00,,-151.00M,-453.00M,,1.452B,,1.452B,3.00M,-502.00M,-499.00M,-276.00M,-276.00M,,-19.00M,658.00M,,4.925B,1.068B,-44.00M,5.949B,,3.00M,1.456B,-4.00M,-502.00M,168.00M,99.00M,,AOR,Restated
2016-06,843.00M,,,,471.00M,471.00M,74.00M,-398.00M,,-398.00M,-296.00M,275.00M,140.00M,1.188B,,,22.00M,1.329B,,2.319B,,-294.00M,,,2.00M,,-158.00M,-450.00M,,176.00M,,176.00M,0.00,-400.00M,-400.00M,-282.00M,-282.00M,,-187.00M,-693.00M,,3.778B,1.176B,-29.00M,4.925B,,0.00,197.00M,-21.00M,-400.00M,42.00M,118.00M,,AOR,Restated
2016-03,513.00M,,,,485.00M,485.00M,121.00M,-293.00M,,-293.00M,-2.00M,147.00M,-126.00M,-196.00M,,,-9.00M,-186.00M,,640.00M,,-316.00M,,,-2.00M,,-163.00M,-481.00M,,-3.00M,,-3.00M,0.00,-265.00M,-265.00M,-282.00M,-282.00M,,6.00M,-544.00M,,4.114B,-385.00M,49.00M,3.778B,,0.00,,-3.00M,-265.00M,95.00M,95.00M,,AOR,Restated
