,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,3.313B,3.313B,,,,,,,,,6.038B,,,,9.806B,15.84B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.283B,,,,,,,,,,,,,,,,,,,,,,,,,18.80B,,AOR,
2020-09,4.047B,4.047B,5.601B,,,5.601B,1.937B,,3.42B,,5.357B,417.00M,,,,15.42B,,,,,,,46.86B,-16.13B,30.73B,,,,,,5.581B,,36.31B,51.73B,,5.237B,1.323B,6.56B,926.00M,7.486B,,,636.00M,,636.00M,,,,,8.122B,,14.58B,,14.58B,5.297B,,5.297B,,,,793.00M,,3.72B,23.59B,31.72B,,7.00M,29.71B,6.834B,15.76B,,,,-1.571B,19.22B,,AOR,
2020-06,2.319B,2.319B,4.152B,,,4.152B,2.329B,,3.385B,,5.42B,871.00M,,,,12.76B,,,,,,,46.34B,-15.68B,30.65B,,,,,,5.684B,,36.34B,49.10B,,4.652B,1.20B,5.852B,861.00M,6.713B,,,587.00M,,587.00M,,,,,7.30B,,12.09B,,12.09B,5.305B,,5.305B,,,,787.00M,,3.77B,21.16B,28.46B,,7.00M,30.58B,6.824B,15.76B,,,,-1.799B,19.85B,,AOR,
2020-03,1.515B,1.515B,5.392B,,,5.392B,2.337B,,3.886B,,3.675B,883.00M,,,,11.46B,,,,,,,45.79B,-15.26B,30.53B,,,,,,5.756B,,36.28B,47.75B,,5.906B,1.074B,6.98B,866.00M,7.846B,,,886.00M,,886.00M,,,,,8.732B,,10.57B,,10.57B,4.909B,,4.909B,,,,843.00M,,3.847B,19.33B,28.06B,,7.00M,29.72B,6.814B,15.76B,,,,-1.937B,18.84B,,AOR,
2019-12,2.583B,2.583B,8.094B,,846.00M,8.904B,2.719B,,4.294B,,7.013B,469.00M,,,,18.97B,0.00,476.00M,1.015B,38.43B,2.645B,1.731B,44.29B,-15.03B,29.26B,260.00M,283.00M,543.00M,2.271B,525.00M,1.778B,514.00M,34.90B,53.86B,,10.20B,1.512B,11.72B,468.00M,12.18B,58.00M,494.00M,494.00M,331.00M,825.00M,55.00M,55.00M,,,13.16B,319.00M,9.178B,959.00M,10.14B,5.103B,0.00,5.103B,313.00M,834.00M,,733.00M,,954.00M,18.17B,31.33B,,7.00M,31.97B,6.821B,15.65B,,,,-1.351B,21.80B,,AOR,
2019-09,2.137B,2.137B,7.994B,,,7.994B,2.377B,,3.999B,,6.376B,526.00M,,,,17.03B,,,,,,,43.54B,-14.65B,28.89B,,,,,,5.306B,,34.20B,51.23B,,9.504B,1.343B,10.85B,881.00M,11.73B,,,402.00M,,402.00M,,,,,12.13B,,9.17B,,9.17B,4.92B,,4.92B,,,,481.00M,,3.421B,17.51B,29.64B,,7.00M,31.28B,6.818B,15.47B,,,,-1.529B,21.11B,,AOR,Restated
2019-06,2.033B,2.033B,9.05B,,,9.05B,2.417B,,3.864B,,6.281B,447.00M,,,,17.81B,,,,,,,43.11B,-14.33B,28.78B,,,,,,5.427B,,34.21B,52.02B,,10.14B,1.326B,11.46B,764.00M,12.22B,,,323.00M,,323.00M,,,,,12.55B,,9.167B,,9.167B,4.899B,,4.899B,,,,492.00M,,3.571B,17.64B,30.18B,,7.00M,31.05B,6.812B,15.17B,,,,-1.35B,21.34B,,AOR,Restated
2019-03,2.777B,2.777B,8.289B,,,8.289B,2.604B,,3.95B,,6.554B,860.00M,,,,18.48B,,,,,,,42.39B,-13.98B,28.41B,,,,,,5.207B,,33.62B,52.10B,,10.00B,1.026B,11.03B,772.00M,11.80B,,,1.11B,,1.11B,,,,,12.91B,,9.006B,,9.006B,4.867B,,4.867B,,,,470.00M,,3.53B,17.40B,30.32B,,7.00M,30.81B,6.802B,14.96B,,,,-1.352B,21.31B,,AOR,Restated
2018-12,2.982B,2.982B,6.984B,,395.00M,7.345B,2.581B,,3.951B,,6.532B,816.00M,,,,17.68B,0.00,416.00M,953.00M,36.87B,2.276B,1.96B,42.47B,-13.62B,28.85B,260.00M,307.00M,567.00M,542.00M,343.00M,1.749B,431.00M,32.48B,50.16B,,8.594B,1.262B,9.856B,493.00M,10.35B,63.00M,238.00M,238.00M,0.00,238.00M,31.00M,31.00M,,,10.72B,327.00M,8.871B,0.00,8.871B,4.962B,0.00,4.962B,562.00M,654.00M,,1.064B,,721.00M,16.70B,27.42B,,7.00M,31.04B,7.048B,14.92B,,,,-1.507B,21.67B,,AOR,Restated
2018-09,3.551B,3.551B,8.249B,,,8.249B,2.867B,,4.634B,,7.501B,590.00M,,,,19.89B,,,,,,,41.84B,-13.41B,28.43B,,,,,,3.575B,,32.00B,51.89B,,10.22B,1.506B,11.73B,553.00M,12.28B,,,199.00M,,199.00M,,,,,12.48B,,8.877B,,8.877B,4.725B,,4.725B,,,,1.05B,,2.85B,16.45B,28.93B,,7.00M,30.43B,7.042B,14.33B,,,,-1.235B,21.91B,,AOR,Restated
