,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,3.126B,,,,,,,197.00M,197.00M,5.00M,,,122.00M,,1.873B,-352.00M,-208.00M,235.00M,,-1.485B,-1.81B,3.513B,,-160.00M,,-160.00M,,-75.00M,830.00M,44.00M,639.00M,,-3.00B,,-3.00B,,-1.796B,-1.796B,,-703.00M,61.00M,-134.00M,-5.572B,,19.17B,-1.42B,304.00M,18.06B,,,,-3.00B,-1.796B,252.00M,281.00M,,AOR,
2020-09,2.137B,,,,,,,196.00M,196.00M,423.00M,,,94.00M,,1.687B,741.00M,-1.424B,62.00M,,-1.82B,-2.441B,2.096B,,-168.00M,,-168.00M,,0.00,-709.00M,-4.00M,-881.00M,,3.227B,,3.227B,,-1.542B,-1.542B,,-662.00M,48.00M,-316.00M,755.00M,,16.93B,1.97B,267.00M,19.17B,,,3.227B,0.00,-1.542B,878.00M,34.00M,,AOR,
2020-06,2.373B,,,,,,,197.00M,197.00M,-79.00M,,,107.00M,,1.439B,-606.00M,1.477B,32.00M,,-1.938B,-1.035B,3.002B,,-161.00M,,-161.00M,,0.00,-16.00M,44.00M,-133.00M,,3.985B,-1.001B,2.984B,,-1.069B,-1.069B,,-663.00M,33.00M,-121.00M,1.164B,,12.82B,4.033B,85.00M,16.93B,,,2.984B,,-1.069B,102.00M,234.00M,,AOR,
2020-03,3.084B,,,,,,,192.00M,192.00M,10.00M,,,99.00M,,1.662B,1.97B,-2.551B,-619.00M,,-2.38B,-3.58B,1.467B,,-216.00M,,-216.00M,,0.00,2.10B,-5.00M,1.879B,,,1.001B,1.001B,,-3.133B,-3.133B,,-668.00M,54.00M,-8.00M,-2.754B,,12.26B,592.00M,-39.00M,12.82B,,,1.001B,,-3.133B,1.346B,35.00M,,AOR,
2019-12,3.272B,,,,,,,182.00M,182.00M,-47.00M,,,116.00M,,1.694B,-290.00M,768.00M,123.00M,,-1.943B,-1.342B,3.875B,,-191.00M,,-191.00M,,-77.00M,793.00M,37.00M,562.00M,,0.00,,0.00,,-2.37B,-2.37B,,-671.00M,55.00M,-147.00M,-3.133B,,10.83B,1.304B,127.00M,12.26B,,,,0.00,-2.37B,345.00M,234.00M,,AOR,Restated
2019-09,3.025B,,,,,,,172.00M,172.00M,-20.00M,,,86.00M,,1.624B,-1.42B,2.365B,-138.00M,,-1.652B,-845.00M,4.042B,,-249.00M,,-249.00M,,-563.00M,-235.00M,43.00M,-1.004B,,0.00,,0.00,,-2.127B,-2.127B,,-563.00M,35.00M,-5.00M,-2.66B,,10.67B,378.00M,-215.00M,10.83B,,,0.00,,-2.127B,656.00M,34.00M,,AOR,Restated
2019-06,3.101B,,,,,,,165.00M,165.00M,-22.00M,,,110.00M,,1.44B,-220.00M,373.00M,73.00M,,-1.636B,-1.41B,3.384B,,-194.00M,,-194.00M,,-136.00M,1.071B,68.00M,809.00M,,0.00,,0.00,,-2.149B,-2.149B,,-565.00M,38.00M,-1.239B,-3.915B,,10.28B,278.00M,109.00M,10.67B,,,0.00,,-2.149B,611.00M,234.00M,,AOR,Restated
2019-03,2.977B,,,,,,,160.00M,160.00M,117.00M,,,111.00M,,1.292B,1.525B,-2.129B,-208.00M,,-1.781B,-2.593B,2.064B,,-156.00M,,-313.00M,,0.00,-81.00M,-89.00M,-326.00M,,,0.00,0.00,,-1.938B,-1.938B,,-569.00M,41.00M,-2.00M,-2.468B,,11.12B,-730.00M,-103.00M,10.28B,,,0.00,,-1.938B,1.213B,35.00M,,AOR,Restated
2018-12,2.977B,,,,,,,159.00M,159.00M,139.00M,,,100.00M,,1.374B,-1.751B,1.694B,-37.00M,,-1.361B,-1.455B,3.294B,,-157.00M,,,,0.00,87.00M,,-70.00M,,,,,,-2.393B,-2.393B,,-572.00M,48.00M,-101.00M,-3.018B,,10.98B,206.00M,-68.00M,11.12B,,,,,-2.393B,168.00M,234.00M,,AOR,Restated
2018-09,2.845B,,,,,,,163.00M,163.00M,-144.00M,,,85.00M,,1.474B,28.00M,262.00M,-38.00M,,-1.199B,-947.00M,3.476B,,-195.00M,-14.00M,-209.00M,,0.00,-1.586B,,-1.779B,,0.00,,0.00,,-1.588B,-1.588B,,-483.00M,29.00M,-4.00M,-2.046B,,11.34B,-349.00M,-12.00M,10.98B,,,,0.00,-1.588B,636.00M,35.00M,,AOR,Restated
